date,CCI
2010-01-04,149.2872
2010-01-05,149.425
2010-01-06,136.6288
2010-01-07,135.0383
2010-01-08,170.5372
2010-01-11,190.3898
2010-01-12,151.5435
2010-01-13,116.5447
2010-01-14,120.341
2010-01-15,96.2316
2010-01-19,85.5264
2010-01-20,38.9116
2010-01-21,-67.4454
2010-01-22,-85.7757
2010-01-25,-98.4187
2010-01-26,-216.0859
2010-01-27,-209.2879
2010-01-28,-190.4382
2010-01-29,-205.7346
2010-02-01,-203.239
2010-02-02,-181.8972
2010-02-03,-175.4253
2010-02-04,-264.9528
2010-02-05,-225.9573
2010-02-08,-182.9849
2010-02-09,-178.1628
2010-02-10,-191.3448
2010-02-11,-158.1689
2010-02-12,-130.2516
2010-02-16,-92.7702
2010-02-17,-93.9809
2010-02-18,-97.6851
2010-02-19,-89.4317
2010-02-22,-100.7964
2010-02-23,-121.6549
2010-02-24,-96.9325
2010-02-25,-74.4364
2010-02-26,-51.9182
2010-03-01,-45.6595
2010-03-02,-22.6487
2010-03-03,-24.5064
2010-03-04,-23.8482
2010-03-05,-10.7493
2010-03-08,-7.7028
2010-03-09,-14.977
2010-03-10,-17.5396
2010-03-11,-5.0579
2010-03-12,10.9605
2010-03-15,3.6589
2010-03-16,9.3553
2010-03-17,16.98
2010-03-18,5.2256
2010-03-19,4.4514
2010-03-22,2.6312
2010-03-23,1.0616
2010-03-24,24.9376
2010-03-25,44.401
2010-03-26,34.8048
2010-03-29,27.1726
2010-03-30,28.4422
2010-03-31,30.9627
2010-04-01,51.0726
2010-04-05,49.3405
2010-04-06,36.4075
2010-04-07,39.8696
2010-04-08,29.8911
2010-04-09,34.0609
2010-04-12,32.6633
2010-04-13,28.2553
2010-04-14,65.7346
2010-04-15,95.7928
2010-04-16,61.57
2010-04-19,87.0923
2010-04-20,100.092
2010-04-21,99.8984
2010-04-22,161.3114
2010-04-23,167.6758
2010-04-26,181.8262
2010-04-27,160.8394
2010-04-28,106.9365
2010-04-29,118.1645
2010-04-30,125.7543
2010-05-03,118.6605
2010-05-04,73.7035
2010-05-05,80.7535
2010-05-06,47.8868
2010-05-07,31.3023
2010-05-10,116.68
2010-05-11,114.4949
2010-05-12,108.5109
2010-05-13,79.5455
2010-05-14,10.8587
2010-05-17,-8.8652
2010-05-18,-30.9146
2010-05-19,-75.1651
2010-05-20,-101.0497
2010-05-21,-46.842
2010-05-24,49.7923
2010-05-25,-55.806
2010-05-26,-55.0864
2010-05-27,-10.2669
2010-05-28,-3.0984
2010-06-01,-41.1692
2010-06-02,13.634
2010-06-03,36.1887
2010-06-04,-58.2842
2010-06-07,-155.986
2010-06-08,-220.3369
2010-06-09,-229.2382
2010-06-10,-167.235
2010-06-11,-144.1732
2010-06-14,-101.8576
2010-06-15,-69.4123
2010-06-16,-66.0589
2010-06-17,-76.8644
2010-06-18,-85.5699
2010-06-21,-76.5218
2010-06-22,-87.3807
2010-06-23,-122.5281
2010-06-24,-188.333
2010-06-25,-151.0692
2010-06-28,-130.3382
2010-06-29,-190.5172
2010-06-30,-216.4253
2010-07-01,-238.9363
2010-07-02,-235.7285
2010-07-06,-220.3303
2010-07-07,-201.7107
2010-07-08,-170.2135
2010-07-09,-169.5965
2010-07-12,-166.1965
2010-07-13,-149.0861
2010-07-14,-156.9693
2010-07-15,-149.1193
2010-07-16,-166.6409
2010-07-19,-163.2908
2010-07-20,-137.8016
2010-07-21,-123.2839
2010-07-22,-95.7952
2010-07-23,-73.549
2010-07-26,-71.6124
2010-07-27,-68.8697
2010-07-28,-64.2519
2010-07-29,-55.571
2010-07-30,-79.9026
2010-08-02,-58.0114
2010-08-03,-67.9413
2010-08-04,-76.1352
2010-08-05,-88.4176
2010-08-06,-102.4054
2010-08-09,-101.4612
2010-08-10,-119.257
2010-08-11,-163.6019
2010-08-12,-181.485
2010-08-13,-178.0998
2010-08-16,-174.2003
2010-08-17,-159.9541
2010-08-18,-161.6623
2010-08-19,-173.0452
2010-08-20,-182.3922
2010-08-23,-176.7508
2010-08-24,-171.6544
2010-08-25,-147.4903
2010-08-26,-115.8192
2010-08-27,-95.486
2010-08-30,-102.8994
2010-08-31,-115.1341
2010-09-01,-85.2924
2010-09-02,-58.8333
2010-09-03,-37.0993
2010-09-07,-53.6913
2010-09-08,-50.8681
2010-09-09,-41.2568
2010-09-10,-31.8725
2010-09-13,-3.5595
2010-09-14,-3.4325
2010-09-15,1.4085
2010-09-16,-0.1869
2010-09-17,-14.2894
2010-09-20,11.5607
2010-09-21,10.0164
2010-09-22,5.5364
2010-09-23,-24.2043
2010-09-24,10.6494
2010-09-27,7.1563
2010-09-28,-4.4101
2010-09-29,-26.4332
2010-09-30,-22.9094
2010-10-01,-33.9319
2010-10-04,-26.8013
2010-10-05,4.2555
2010-10-06,22.4511
2010-10-07,9.6853
2010-10-08,-11.9163
2010-10-11,-23.7083
2010-10-12,-14.2564
2010-10-13,-1.9959
2010-10-14,2.853
2010-10-15,23.9879
2010-10-18,104.6107
2010-10-19,117.4009
2010-10-20,131.1058
2010-10-21,141.9978
2010-10-22,145.02
