date,WILLR
2010-01-04,-1.4758
2010-01-05,-2.5003
2010-01-06,-5.1983
2010-01-07,-4.7098
2010-01-08,-0.7956
2010-01-11,-3.9889
2010-01-12,-11.462
2010-01-13,-10.3432
2010-01-14,-11.9053
2010-01-15,-16.6658
2010-01-19,-15.663
2010-01-20,-25.185
2010-01-21,-45.922
2010-01-22,-44.7086
2010-01-25,-50.3274
2010-01-26,-73.0539
2010-01-27,-64.1666
2010-01-28,-68.3425
2010-01-29,-72.3762
2010-02-01,-67.5663
2010-02-02,-65.391
2010-02-03,-66.5934
2010-02-04,-91.539
2010-02-05,-78.9569
2010-02-08,-79.5254
2010-02-09,-76.3552
2010-02-10,-83.8214
2010-02-11,-74.2892
2010-02-12,-67.7303
2010-02-16,-61.084
2010-02-17,-65.5331
2010-02-18,-67.0525
2010-02-19,-66.9323
2010-02-22,-72.1357
2010-02-23,-83.5809
2010-02-24,-68.2769
2010-02-25,-62.9532
2010-02-26,-56.1211
2010-03-01,-56.8426
2010-03-02,-49.9192
2010-03-03,-54.0439
2010-03-04,-52.142
2010-03-05,-49.1516
2010-03-08,-45.7143
2010-03-09,-51.4316
2010-03-10,-51.7066
2010-03-11,-45.5425
2010-03-12,-44.2363
2010-03-15,-44.5457
2010-03-16,-44.3394
2010-03-17,-42.426
2010-03-18,-48.2808
2010-03-19,-47.4215
2010-03-22,-47.4559
2010-03-23,-48.6245
2010-03-24,-39.1033
2010-03-25,-38.0149
2010-03-26,-42.7697
2010-03-29,-42.8385
2010-03-30,-42.2542
2010-03-31,-42.3
2010-04-01,-38.1753
2010-04-05,-41.1428
2010-04-06,-41.3948
2010-04-07,-44.3623
2010-04-08,-47.2725
2010-04-09,-46.8944
2010-04-12,-48.7391
2010-04-13,-49.0714
2010-04-14,-38.4503
2010-04-15,-36.5598
2010-04-16,-46.7913
2010-04-19,-36.6171
2010-04-20,-37.4305
2010-04-21,-34.9786
2010-04-22,-17.2539
2010-04-23,-20.8171
2010-04-26,-12.9229
2010-04-27,-22.6504
2010-04-28,-26.0303
2010-04-29,-24.6669
2010-04-30,-27.2219
2010-05-03,-27.5885
2010-05-04,-35.3796
2010-05-05,-32.4924
2010-05-06,-36.2504
2010-05-07,-43.3541
2010-05-10,-22.9482
2010-05-11,-27.3021
2010-05-12,-27.2448
2010-05-13,-33.4319
2010-05-14,-43.102
2010-05-17,-42.3687
2010-05-18,-51.317
2010-05-19,-48.51
2010-05-20,-57.3208
2010-05-21,-39.5502
2010-05-24,-34.3943
2010-05-25,-46.6653
2010-05-26,-49.6901
2010-05-27,-39.0604
2010-05-28,-41.6813
2010-06-01,-47.4329
2010-06-02,-34.4974
2010-06-03,-33.8443
2010-06-04,-48.5672
2010-06-07,-61.2622
2010-06-08,-62.9235
2010-06-09,-70.5313
2010-06-10,-56.6448
2010-06-11,-57.9509
2010-06-14,-52.4972
2010-06-15,-49.587
2010-06-16,-48.5558
2010-06-17,-49.8505
2010-06-18,-52.5774
2010-06-21,-52.394
2010-06-22,-56.0948
2010-06-23,-60.105
2010-06-24,-71.9978
2010-06-25,-63.8745
2010-06-28,-64.4244
2010-06-29,-74.6102
2010-06-30,-81.8971
2010-07-01,-85.3917
2010-07-02,-89.5622
2010-07-06,-89.7487
2010-07-07,-84.8563
2010-07-08,-80.5749
2010-07-09,-86.0061
2010-07-12,-86.2141
2010-07-13,-84.6483
2010-07-14,-88.0856
2010-07-15,-87.0336
2010-07-16,-97.9393
2010-07-19,-96.4449
2010-07-20,-87.0812
2010-07-21,-89.5999
2010-07-22,-79.2721
2010-07-23,-73.4394
2010-07-26,-76.9221
2010-07-27,-76.6932
2010-07-28,-77.115
2010-07-29,-74.3191
2010-07-30,-82.791
2010-08-02,-73.9576
2010-08-03,-81.8631
2010-08-04,-83.5623
2010-08-05,-87.5512
2010-08-06,-91.6365
2010-08-09,-91.0219
2010-08-10,-99.7732
2010-08-11,-98.6452
2010-08-12,-94.9115
2010-08-13,-99.3325
2010-08-16,-96.008
2010-08-17,-94.7343
2010-08-18,-96.641
2010-08-19,-99.293
2010-08-20,-98.9993
2010-08-23,-98.7304
2010-08-24,-96.2257
2010-08-25,-89.9204
2010-08-26,-85.469
2010-08-27,-80.3186
2010-08-30,-87.1681
2010-08-31,-87.9115
2010-09-01,-80.7257
2010-09-02,-75.2655
2010-09-03,-72.9115
2010-09-07,-78.8142
2010-09-08,-76.8142
2010-09-09,-75.354
2010-09-10,-73.0973
2010-09-13,-67.6726
2010-09-14,-69.1858
2010-09-15,-67.2655
2010-09-16,-70.3009
2010-09-17,-74.0088
2010-09-20,-66.885
2010-09-21,-69.5221
2010-09-22,-71.823
2010-09-23,-76.531
2010-09-24,-68.9115
2010-09-27,-71.9823
2010-09-28,-73.4336
2010-09-29,-77.8319
2010-09-30,-77.0354
2010-10-01,-77.4248
2010-10-04,-77.5221
2010-10-05,-70.6814
2010-10-06,-71.0265
2010-10-07,-74.0088
2010-10-08,-75.3274
2010-10-11,-77.8142
2010-10-12,-73.7434
2010-10-13,-74.0973
2010-10-14,-73.0708
2010-10-15,-70.3946
2010-10-18,-55.4135
2010-10-19,-55.5096
2010-10-20,-55.5
2010-10-21,-52.5678
2010-10-22,-50.4981
2010-10-25,-51.2126
2010-10-26,-53.6782
2010-10-27,-51.746
2010-10-28,-44.7519
2010-10-29,-44.5004
2010-11-01,-46.1538
2010-11-02,-43.5693
2010-11-03,-42.906
2010-11-04,-35.1021
2010-11-05,-37.2681
2010-11-08,-36.4494
2010-11-09,-39.175
2010-11-10,-37.6205
2010-11-11,-39.1958
2010-11-12,-39.6692
2010-11-15,-39.3054
2010-11-16,-42.5028
2010-11-17,-37.4862
2010-11-18,-33.5722
2010-11-19,-32.7784
2010-11-22,-41.2238
2010-11-23,-45.9841
2010-11-24,-30.9994
2010-11-26,-30.4463
2010-11-29,-35.3865
2010-11-30,-32.6713
2010-12-01,-17.6116
2010-12-02,-3.0333
2010-12-03,-4.8732
2010-12-06,-4.2655
2010-12-07,-4.0907
2010-12-08,-1.8338
2010-12-09,-5.2026
2010-12-10,-5.3438
2010-12-13,-5.6471
2010-12-14,-5.0802
2010-12-15,-10.2674
2010-12-16,-6.2995
2010-12-17,-9.3476
2010-12-20,-6.8128
