date,ADX
2010-01-04,42.0203
2010-01-05,38.3543
2010-01-06,35.8344
2010-01-07,33.8199
2010-01-08,30.4821
2010-01-11,27.4781
2010-01-12,26.479
2010-01-13,25.5797
2010-01-14,24.7704
2010-01-15,25.3926
2010-01-19,27.0144
2010-01-20,27.5675
2010-01-21,30.1411
2010-01-22,32.4574
2010-01-25,34.6119
2010-01-26,36.9683
2010-01-27,39.1582
2010-01-28,39.5526
2010-01-29,38.7032
2010-02-01,37.2426
2010-02-02,35.0226
2010-02-03,31.9661
2010-02-04,31.9883
2010-02-05,32.2201
2010-02-08,32.4288
2010-02-09,33.087
2010-02-10,33.6794
2010-02-11,33.6241
2010-02-12,33.8747
2010-02-16,30.9628
2010-02-17,29.5267
2010-02-18,28.5376
2010-02-19,27.6474
2010-02-22,27.5086
2010-02-23,25.8587
2010-02-24,24.3738
2010-02-25,22.7682
2010-02-26,22.4116
2010-03-01,21.0646
2010-03-02,19.8523
2010-03-03,18.7613
2010-03-04,19.0715
2010-03-05,19.8143
2010-03-08,22.3049
2010-03-09,26.8533
2010-03-10,31.8245
2010-03-11,36.6193
2010-03-12,41.0406
2010-03-15,42.5239
2010-03-16,44.5253
2010-03-17,46.7712
2010-03-18,48.7925
2010-03-19,48.5214
2010-03-22,48.645
2010-03-23,49.0772
2010-03-24,49.7321
2010-03-25,51.3411
2010-03-26,52.7893
2010-03-29,51.0584
2010-03-30,48.4817
2010-03-31,45.5014
2010-04-01,43.576
2010-04-05,42.7924
2010-04-06,42.2657
2010-04-07,42.6277
2010-04-08,43.5921
2010-04-09,44.9583
2010-04-12,46.5817
2010-04-13,48.2739
2010-04-14,50.8252
2010-04-15,53.4801
2010-04-16,50.9298
2010-04-19,49.2519
2010-04-20,48.4675
2010-04-21,46.5443
2010-04-22,44.2237
2010-04-23,42.5749
2010-04-26,38.583
2010-04-27,36.552
2010-04-28,34.7241
2010-04-29,32.3176
2010-04-30,31.1254
2010-05-03,30.0525
2010-05-04,30.1842
2010-05-05,31.4181
2010-05-06,33.2034
2010-05-07,34.8103
2010-05-10,33.4869
2010-05-11,32.6469
2010-05-12,31.8908
2010-05-13,31.6433
2010-05-14,32.5806
2010-05-17,34.2426
2010-05-18,35.9868
2010-05-19,37.5566
2010-05-20,39.4897
2010-05-21,41.6062
2010-05-24,41.2497
2010-05-25,42.1412
