date,Aroon Down,Aroon Up
2010-01-04,50.0,0.0
2010-01-05,45.0,5.0
2010-01-06,40.0,0.0
2010-01-07,35.0,0.0
2010-01-08,30.0,10.0
2010-01-11,25.0,5.0
2010-01-12,20.0,0.0
2010-01-13,15.0,0.0
2010-01-14,10.0,0.0
2010-01-15,5.0,70.0
2010-01-19,0.0,65.0
2010-01-20,0.0,60.0
2010-01-21,100.0,55.0
2010-01-22,95.0,50.0
2010-01-25,90.0,45.0
2010-01-26,100.0,40.0
2010-01-27,100.0,35.0
2010-01-28,95.0,30.0
2010-01-29,90.0,25.0
2010-02-01,85.0,20.0
2010-02-02,80.0,15.0
2010-02-03,75.0,10.0
2010-02-04,70.0,5.0
2010-02-05,65.0,0.0
2010-02-08,60.0,5.0
2010-02-09,100.0,0.0
2010-02-10,95.0,0.0
2010-02-11,90.0,20.0
2010-02-12,85.0,15.0
2010-02-16,80.0,10.0
2010-02-17,75.0,5.0
2010-02-18,70.0,0.0
2010-02-19,65.0,95.0
2010-02-22,60.0,100.0
2010-02-23,55.0,100.0
2010-02-24,50.0,95.0
2010-02-25,45.0,90.0
2010-02-26,40.0,85.0
2010-03-01,35.0,80.0
2010-03-02,30.0,75.0
2010-03-03,25.0,70.0
2010-03-04,20.0,100.0
2010-03-05,15.0,100.0
2010-03-08,10.0,100.0
2010-03-09,5.0,100.0
2010-03-10,0.0,100.0
2010-03-11,0.0,100.0
2010-03-12,5.0,100.0
2010-03-15,0.0,95.0
2010-03-16,0.0,90.0
2010-03-17,40.0,85.0
2010-03-18,35.0,80.0
2010-03-19,30.0,75.0
2010-03-22,25.0,70.0
2010-03-23,20.0,65.0
2010-03-24,15.0,60.0
2010-03-25,10.0,100.0
2010-03-26,5.0,95.0
2010-03-29,0.0,100.0
2010-03-30,10.0,95.0
2010-03-31,5.0,90.0
2010-04-01,0.0,85.0
2010-04-05,0.0,80.0
2010-04-06,5.0,75.0
2010-04-07,0.0,70.0
2010-04-08,15.0,100.0
2010-04-09,10.0,100.0
2010-04-12,5.0,100.0
2010-04-13,0.0,100.0
2010-04-14,20.0,100.0
2010-04-15,15.0,100.0
2010-04-16,10.0,95.0
2010-04-19,5.0,90.0
2010-04-20,0.0,85.0
2010-04-21,30.0,80.0
2010-04-22,25.0,75.0
2010-04-23,20.0,70.0
2010-04-26,15.0,65.0
2010-04-27,10.0,60.0
2010-04-28,5.0,55.0
2010-04-29,0.0,50.0
2010-04-30,0.0,45.0
2010-05-03,0.0,40.0
2010-05-04,100.0,35.0
2010-05-05,100.0,30.0
2010-05-06,100.0,25.0
2010-05-07,95.0,20.0
2010-05-10,90.0,15.0
2010-05-11,85.0,10.0
2010-05-12,80.0,5.0
2010-05-13,75.0,0.0
2010-05-14,70.0,10.0
2010-05-17,100.0,5.0
2010-05-18,100.0,0.0
2010-05-19,100.0,0.0
2010-05-20,100.0,5.0
2010-05-21,100.0,0.0
2010-05-24,95.0,0.0
2010-05-25,90.0,10.0
2010-05-26,85.0,5.0
2010-05-27,80.0,0.0
2010-05-28,75.0,0.0
2010-06-01,70.0,0.0
