date,CCI
2010-01-04,-97.7398
2010-01-05,-69.8988
2010-01-06,-44.5601
2010-01-07,-33.5875
2010-01-08,-43.5053
2010-01-11,-32.4196
2010-01-12,-49.4897
2010-01-13,-49.0046
2010-01-14,-47.829
2010-01-15,-61.8766
2010-01-19,-53.5609
2010-01-20,-43.0222
2010-01-21,-85.2533
2010-01-22,-88.8763
2010-01-25,-94.4394
2010-01-26,-109.6987
2010-01-27,-106.4011
2010-01-28,-89.4819
2010-01-29,-68.2572
2010-02-01,-56.744
2010-02-02,-40.6714
2010-02-03,-29.8761
2010-02-04,-93.1506
2010-02-05,-104.0296
2010-02-08,-112.5246
2010-02-09,-115.1281
2010-02-10,-112.1443
2010-02-11,-98.7949
2010-02-12,-105.5859
2010-02-16,-43.0221
2010-02-17,27.4653
2010-02-18,39.7881
2010-02-19,31.4238
2010-02-22,49.3477
2010-02-23,14.9452
2010-02-24,31.2256
2010-02-25,7.3692
2010-02-26,22.45
2010-03-01,10.7103
2010-03-02,20.5594
2010-03-03,18.1587
2010-03-04,35.2566
2010-03-05,68.6055
2010-03-08,122.8719
2010-03-09,222.0924
2010-03-10,342.0116
2010-03-11,362.059
2010-03-12,294.1752
2010-03-15,201.3878
2010-03-16,221.9203
2010-03-17,211.6523
2010-03-18,177.7952
2010-03-19,136.2292
2010-03-22,137.8978
2010-03-23,150.6892
2010-03-24,143.3009
2010-03-25,160.9348
2010-03-26,150.1661
2010-03-29,122.9968
2010-03-30,91.3761
2010-03-31,76.8838
2010-04-01,84.9911
2010-04-05,103.0664
2010-04-06,101.7814
2010-04-07,109.4374
2010-04-08,116.2907
2010-04-09,132.3426
2010-04-12,139.5156
2010-04-13,136.6069
2010-04-14,170.4482
2010-04-15,165.7783
2010-04-16,111.7599
2010-04-19,145.6223
2010-04-20,167.0034
2010-04-21,149.0435
2010-04-22,125.7482
2010-04-23,124.6092
2010-04-26,82.7893
2010-04-27,33.1371
2010-04-28,40.1744
2010-04-29,55.021
2010-04-30,24.1908
2010-05-03,18.7143
2010-05-04,-18.4068
2010-05-05,-53.4385
2010-05-06,-76.2787
2010-05-07,-88.5525
2010-05-10,-33.5229
2010-05-11,-54.5574
2010-05-12,-54.2519
2010-05-13,-73.8583
2010-05-14,-108.4089
2010-05-17,-133.5552
2010-05-18,-149.6196
2010-05-19,-145.9102
2010-05-20,-166.3538
2010-05-21,-148.8029
2010-05-24,-110.6141
2010-05-25,-128.6493
2010-05-26,-83.2188
2010-05-27,-60.5406
2010-05-28,-67.4333
2010-06-01,-83.8786
2010-06-02,-76.5261
2010-06-03,-59.3311
2010-06-04,-83.4856
2010-06-07,-103.2056
2010-06-08,-96.281
