date,WILLR
2010-01-04,-85.5615
2010-01-05,-78.6096
2010-01-06,-72.7273
2010-01-07,-72.1925
2010-01-08,-75.4011
2010-01-11,-70.5882
2010-01-12,-75.0
2010-01-13,-75.817
2010-01-14,-74.6667
2010-01-15,-80.2949
2010-01-19,-72.1411
2010-01-20,-77.577
2010-01-21,-90.0
2010-01-22,-90.1639
2010-01-25,-91.8033
2010-01-26,-98.3607
2010-01-27,-94.0678
2010-01-28,-90.678
2010-01-29,-83.8983
2010-02-01,-82.2034
2010-02-02,-76.2712
2010-02-03,-79.661
2010-02-04,-95.7627
2010-02-05,-92.3729
2010-02-08,-98.3051
2010-02-09,-94.1667
2010-02-10,-92.5
2010-02-11,-91.6667
2010-02-12,-94.1667
2010-02-16,-83.3333
2010-02-17,-74.7899
2010-02-18,-73.1092
2010-02-19,-73.9496
2010-02-22,-70.5882
2010-02-23,-78.7611
2010-02-24,-69.0909
2010-02-25,-74.5455
2010-02-26,-73.6364
2010-03-01,-74.5455
2010-03-02,-73.6364
2010-03-03,-71.2871
2010-03-04,-68.3168
2010-03-05,-58.0645
2010-03-08,-46.4286
2010-03-09,-15.4762
2010-03-10,-11.4583
2010-03-11,-0.0
2010-03-12,-22.5225
2010-03-15,-29.7297
2010-03-16,-15.3153
2010-03-17,-15.3153
2010-03-18,-18.018
2010-03-19,-28.8288
2010-03-22,-16.2162
2010-03-23,-8.1081
2010-03-24,-6.3063
2010-03-25,-8.6614
2010-03-26,-5.5118
2010-03-29,-17.6923
2010-03-30,-24.6154
2010-03-31,-27.6923
2010-04-01,-17.6923
2010-04-05,-11.5385
2010-04-06,-9.2308
2010-04-07,-3.8462
2010-04-08,-1.4493
2010-04-09,-1.3699
2010-04-12,-0.0
2010-04-13,-4.0234
2010-04-14,-0.5464
2010-04-15,-13.2653
2010-04-16,-26.0204
2010-04-19,-9.6939
2010-04-20,-5.102
2010-04-21,-7.1429
2010-04-22,-10.2041
2010-04-23,-10.7143
2010-04-26,-23.4694
2010-04-27,-37.2449
2010-04-28,-31.6327
2010-04-29,-26.0204
2010-04-30,-35.7143
2010-05-03,-33.6735
2010-05-04,-41.3265
2010-05-05,-45.4082
2010-05-06,-53.3679
2010-05-07,-55.7292
2010-05-10,-44.2708
2010-05-11,-48.3871
2010-05-12,-51.5733
2010-05-13,-56.7885
2010-05-14,-63.1628
2010-05-17,-70.1165
2010-05-18,-77.6496
2010-05-19,-73.0138
2010-05-20,-83.4444
2010-05-21,-76.4907
2010-05-24,-74.7523
2010-05-25,-76.7857
2010-05-26,-72.0238
2010-05-27,-62.5
2010-05-28,-68.5185
2010-06-01,-79.2208
2010-06-02,-74.6753
2010-06-03,-72.0779
2010-06-04,-83.1169
2010-06-07,-92.8571
2010-06-08,-87.6623
2010-06-09,-77.9221
2010-06-10,-75.974
2010-06-11,-77.2727
2010-06-14,-77.2727
2010-06-15,-70.1299
2010-06-16,-70.1299
2010-06-17,-72.0779
2010-06-18,-68.8312
2010-06-21,-68.1818
2010-06-22,-73.3766
2010-06-23,-76.6234
2010-06-24,-83.7662
2010-06-25,-73.3766
2010-06-28,-69.4805
2010-06-29,-87.013
2010-06-30,-85.0649
2010-07-01,-83.7662
2010-07-02,-83.1169
2010-07-06,-83.1169
2010-07-07,-75.974
2010-07-08,-71.4286
2010-07-09,-66.8831
2010-07-12,-62.0915
2010-07-13,-49.6732
2010-07-14,-55.5556
2010-07-15,-58.2781
2010-07-16,-73.9437
2010-07-19,-68.3099
2010-07-20,-63.7795
2010-07-21,-62.6866
2010-07-22,-49.0353
2010-07-23,-55.4059
2010-07-26,-39.2157
2010-07-27,-33.6842
2010-07-28,-32.5301
2010-07-29,-28.0488
2010-07-30,-30.4878
2010-08-02,-19.5122
2010-08-03,-26.8293
2010-08-04,-20.7792
2010-08-05,-25.974
2010-08-06,-31.1688
2010-08-09,-28.5714
2010-08-10,-38.961
2010-08-11,-58.4416
2010-08-12,-55.8442
2010-08-13,-54.5455
2010-08-16,-55.8442
2010-08-17,-60.8108
2010-08-18,-59.4595
2010-08-19,-75.0
2010-08-20,-80.8824
2010-08-23,-80.8824
2010-08-24,-86.7647
2010-08-25,-91.1765
2010-08-26,-94.1176
2010-08-27,-79.4118
2010-08-30,-92.6471
2010-08-31,-86.9118
2010-09-01,-66.5441
2010-09-02,-61.7647
2010-09-03,-57.3529
2010-09-07,-69.1176
2010-09-08,-67.6471
2010-09-09,-57.3529
2010-09-10,-57.3529
2010-09-13,-45.5882
2010-09-14,-52.9412
2010-09-15,-55.8824
2010-09-16,-48.5294
2010-09-17,-51.4706
2010-09-20,-45.5882
2010-09-21,-52.9412
2010-09-22,-61.7647
2010-09-23,-73.5294
2010-09-24,-58.2353
2010-09-27,-64.1791
2010-09-28,-62.3134
2010-09-29,-56.7164
2010-09-30,-58.209
2010-10-01,-31.3433
2010-10-04,-40.2985
2010-10-05,-25.3731
2010-10-06,-27.6923
2010-10-07,-14.0625
2010-10-08,-12.5
2010-10-11,-14.0625
2010-10-12,-4.6875
2010-10-13,-7.4627
2010-10-14,-35.8209
2010-10-15,-52.2388
2010-10-18,-19.403
2010-10-19,-35.8209
2010-10-20,-28.3582
2010-10-21,-34.3284
2010-10-22,-28.3582
2010-10-25,-13.4328
2010-10-26,-17.9104
2010-10-27,-19.403
2010-10-28,-19.403
2010-10-29,-19.403
2010-11-01,-22.3881
2010-11-02,-19.403
2010-11-03,-16.4179
2010-11-04,-0.0
2010-11-05,-2.2727
2010-11-08,-9.2135
2010-11-09,-24.7191
2010-11-10,-11.236
2010-11-11,-17.9775
2010-11-12,-25.8427
2010-11-15,-22.4719
2010-11-16,-33.7079
2010-11-17,-37.0787
2010-11-18,-24.7191
2010-11-19,-28.3146
2010-11-22,-38.2022
2010-11-23,-47.191
2010-11-24,-45.1282
2010-11-26,-56.9444
2010-11-29,-51.3889
2010-11-30,-44.4444
2010-12-01,-30.5556
2010-12-02,-13.8889
2010-12-03,-9.7222
2010-12-06,-9.7222
2010-12-07,-3.5294
2010-12-08,-1.1765
2010-12-09,-2.4725
2010-12-10,-0.0
2010-12-13,-3.8095
2010-12-14,-15.2381
2010-12-15,-24.7619
