date,ADX
2010-01-04,11.2317
2010-01-05,11.1144
2010-01-06,11.0
2010-01-07,10.9995
2010-01-08,10.9989
2010-01-11,10.8641
2010-01-12,10.6058
2010-01-13,10.3593
2010-01-14,10.1189
2010-01-15,9.9396
2010-01-19,9.7882
2010-01-20,9.6113
2010-01-21,9.6821
2010-01-22,9.8776
2010-01-25,10.0683
2010-01-26,10.3546
2010-01-27,10.6944
2010-01-28,10.9365
2010-01-29,11.2264
2010-02-01,11.4945
2010-02-02,11.6677
2010-02-03,11.7442
2010-02-04,11.9899
2010-02-05,12.2671
2010-02-08,12.532
2010-02-09,12.8185
2010-02-10,13.027
2010-02-11,13.2303
2010-02-12,13.457
2010-02-16,13.551
2010-02-17,13.6255
2010-02-18,13.7238
2010-02-19,13.8034
2010-02-22,13.8423
2010-02-23,13.7924
2010-02-24,13.7438
2010-02-25,13.7738
2010-02-26,13.781
2010-03-01,13.7356
2010-03-02,13.6333
2010-03-03,13.5336
2010-03-04,13.2673
2010-03-05,13.0165
2010-03-08,12.851
2010-03-09,12.7373
2010-03-10,12.6309
2010-03-11,12.5662
2010-03-12,12.5886
2010-03-15,12.473
2010-03-16,12.3982
2010-03-17,12.3701
2010-03-18,12.3427
2010-03-19,12.3305
2010-03-22,12.2896
2010-03-23,12.1726
2010-03-24,12.0585
2010-03-25,12.0401
2010-03-26,11.9082
2010-03-29,11.7691
2010-03-30,11.5966
2010-03-31,11.3953
2010-04-01,11.1851
2010-04-05,11.031
2010-04-06,10.9
2010-04-07,10.9138
2010-04-08,11.0218
2010-04-09,11.1334
2010-04-12,11.2423
2010-04-13,11.3154
2010-04-14,11.5735
2010-04-15,11.8252
2010-04-16,11.908
2010-04-19,12.0015
2010-04-20,11.9989
2010-04-21,12.0207
2010-04-22,12.0594
2010-04-23,12.097
2010-04-26,12.2651
2010-04-27,12.4602
2010-04-28,12.6008
2010-04-29,12.626
2010-04-30,12.9676
2010-05-03,13.3006
2010-05-04,13.5712
2010-05-05,13.8473
2010-05-06,14.2655
2010-05-07,14.6732
2010-05-10,14.9627
2010-05-11,15.2449
2010-05-12,15.4512
2010-05-13,15.6267
2010-05-14,15.8483
2010-05-17,16.1294
2010-05-18,16.4397
2010-05-19,16.7515
2010-05-20,17.0623
2010-05-21,17.2305
2010-05-24,17.3946
2010-05-25,17.602
2010-05-26,17.716
2010-05-27,17.8271
2010-05-28,17.9097
2010-06-01,18.0216
2010-06-02,18.1432
2010-06-03,18.2527
2010-06-04,18.3778
2010-06-07,18.5868
2010-06-08,18.8504
2010-06-09,19.1075
2010-06-10,19.4589
2010-06-11,19.8016
2010-06-14,20.0933
2010-06-15,20.366
2010-06-16,20.5968
2010-06-17,20.8328
2010-06-18,21.0071
2010-06-21,21.1592
2010-06-22,21.3715
2010-06-23,21.6208
2010-06-24,21.8638
2010-06-25,21.8948
2010-06-28,21.9251
2010-06-29,22.0374
2010-06-30,22.1976
2010-07-01,22.3888
2010-07-02,22.5752
2010-07-06,22.6709
2010-07-07,22.6916
2010-07-08,22.6689
2010-07-09,22.5923
2010-07-12,22.5176
2010-07-13,22.3272
2010-07-14,22.155
2010-07-15,21.7375
2010-07-16,21.2452
2010-07-19,20.7245
2010-07-20,20.2949
2010-07-21,19.8362
2010-07-22,19.4705
2010-07-23,19.1139
2010-07-26,18.7463
2010-07-27,18.3653
2010-07-28,18.001
2010-07-29,17.607
2010-07-30,17.2312
2010-08-02,16.8724
2010-08-03,16.5333
2010-08-04,16.3101
2010-08-05,16.0925
2010-08-06,15.8564
2010-08-09,15.631
2010-08-10,15.3566
2010-08-11,15.0124
2010-08-12,14.7149
2010-08-13,14.4248
2010-08-16,14.1802
2010-08-17,13.9179
2010-08-18,13.6771
2010-08-19,13.4949
2010-08-20,13.3173
2010-08-23,13.1682
2010-08-24,13.1226
2010-08-25,13.1153
