date,CCI
2010-01-04,12.8668
2010-01-05,33.7083
2010-01-06,28.3072
2010-01-07,46.6239
2010-01-08,32.5025
2010-01-11,7.4701
2010-01-12,-27.2262
2010-01-13,-29.4455
2010-01-14,-25.2759
2010-01-15,-51.4387
2010-01-19,-50.0536
2010-01-20,-44.4873
2010-01-21,-79.4292
2010-01-22,-144.651
2010-01-25,-138.3118
2010-01-26,-163.8875
2010-01-27,-176.1116
2010-01-28,-156.5096
2010-01-29,-172.2252
2010-02-01,-152.5112
2010-02-02,-122.8453
2010-02-03,-105.6491
2010-02-04,-149.9362
2010-02-05,-146.7312
2010-02-08,-147.165
2010-02-09,-148.1364
2010-02-10,-133.5687
2010-02-11,-130.2278
2010-02-12,-133.9304
2010-02-16,-106.6815
2010-02-17,-101.7437
2010-02-18,-110.6109
2010-02-19,-107.9058
2010-02-22,-99.1361
2010-02-23,-92.8826
2010-02-24,-88.0392
2010-02-25,-105.6381
2010-02-26,-100.9034
2010-03-01,-94.4813
2010-03-02,-83.2478
2010-03-03,-84.5627
2010-03-04,-57.0266
2010-03-05,-21.3289
2010-03-08,-2.9893
2010-03-09,-0.066
2010-03-10,10.1869
2010-03-11,22.8394
2010-03-12,40.769
2010-03-15,26.4465
2010-03-16,44.6134
2010-03-17,55.2674
2010-03-18,58.1544
2010-03-19,61.9069
2010-03-22,52.9119
2010-03-23,44.9046
2010-03-24,43.4817
2010-03-25,55.7856
2010-03-26,35.2742
2010-03-29,35.448
2010-03-30,27.9893
2010-03-31,16.7263
2010-04-01,17.1404
2010-04-05,31.5367
2010-04-06,40.738
2010-04-07,65.954
2010-04-08,91.9976
2010-04-09,100.2041
2010-04-12,97.3552
2010-04-13,99.3643
2010-04-14,152.4645
2010-04-15,151.4935
2010-04-16,-1.1609
2010-04-19,-63.1367
2010-04-20,-53.9095
2010-04-21,-70.2032
2010-04-22,-74.3835
2010-04-23,-79.9995
2010-04-26,-123.4412
2010-04-27,-124.4228
2010-04-28,-91.8184
2010-04-29,-59.2707
2010-04-30,-172.9783
2010-05-03,-152.1711
2010-05-04,-140.1727
2010-05-05,-145.8843
2010-05-06,-189.4861
2010-05-07,-182.2955
2010-05-10,-167.4718
2010-05-11,-179.6319
2010-05-12,-153.3424
2010-05-13,-148.6986
2010-05-14,-167.056
2010-05-17,-172.6069
2010-05-18,-187.6313
2010-05-19,-185.8551
2010-05-20,-192.8727
2010-05-21,-165.2186
2010-05-24,-170.3233
2010-05-25,-156.8938
2010-05-26,-139.5003
2010-05-27,-124.197
2010-05-28,-116.613
2010-06-01,-121.2197
2010-06-02,-116.337
2010-06-03,-111.9979
2010-06-04,-113.8938
2010-06-07,-132.8631
2010-06-08,-145.2275
2010-06-09,-142.0676
2010-06-10,-158.2359
2010-06-11,-150.6981
2010-06-14,-148.4812
2010-06-15,-137.8764
2010-06-16,-128.3676
2010-06-17,-126.0304
2010-06-18,-114.9942
2010-06-21,-113.2048
2010-06-22,-126.0216
2010-06-23,-128.9062
2010-06-24,-126.5724
2010-06-25,-102.6599
2010-06-28,-105.4509
2010-06-29,-123.4612
2010-06-30,-132.625
2010-07-01,-134.3781
2010-07-02,-134.1575
2010-07-06,-123.4269
2010-07-07,-109.8436
2010-07-08,-104.0663
2010-07-09,-93.5145
2010-07-12,-91.1964
2010-07-13,-75.5864
2010-07-14,-80.2178
2010-07-15,-55.8486
2010-07-16,-28.4626
2010-07-19,-40.0717
2010-07-20,-34.7996
2010-07-21,-26.3337
2010-07-22,-33.523
2010-07-23,-33.6929
2010-07-26,-29.7256
2010-07-27,-26.7171
2010-07-28,-28.4992
2010-07-29,-9.4021
2010-07-30,-6.4028
2010-08-02,-1.1806
2010-08-03,-0.2129
2010-08-04,14.0433
2010-08-05,13.7427
2010-08-06,10.943
2010-08-09,13.0901
2010-08-10,5.5679
2010-08-11,-14.9006
2010-08-12,-18.7595
2010-08-13,-20.5672
2010-08-16,-24.9114
2010-08-17,-19.9524
2010-08-18,-19.0417
2010-08-19,-25.5757
2010-08-20,-22.5973
2010-08-23,-26.8315
2010-08-24,-41.5796
2010-08-25,-41.8597
2010-08-26,-48.5884
2010-08-27,-63.9277
2010-08-30,-74.6812
2010-08-31,-78.8885
2010-09-01,-64.9221
2010-09-02,-63.3759
2010-09-03,-27.6131
2010-09-07,-28.7564
2010-09-08,-13.7392
2010-09-09,-0.54
2010-09-10,4.4571
2010-09-13,31.1919
2010-09-14,26.6794
2010-09-15,22.8663
2010-09-16,24.5216
2010-09-17,21.9046
2010-09-20,24.2755
2010-09-21,33.4808
2010-09-22,7.4006
2010-09-23,-19.2122
2010-09-24,-4.3037
2010-09-27,-4.0291
2010-09-28,-15.0046
2010-09-29,-24.4995
2010-09-30,-10.4516
2010-10-01,8.797
2010-10-04,7.5186
2010-10-05,33.5345
2010-10-06,62.5333
2010-10-07,70.151
2010-10-08,84.2612
2010-10-11,85.79
2010-10-12,107.5266
2010-10-13,125.1536
2010-10-14,88.7367
2010-10-15,79.4798
2010-10-18,99.4454
2010-10-19,145.5405
2010-10-20,164.21
2010-10-21,176.9561
2010-10-22,159.2414
2010-10-25,148.448
2010-10-26,147.5123
2010-10-27,159.6535
2010-10-28,190.9581
2010-10-29,178.9536
2010-11-01,170.8117
2010-11-02,176.0521
2010-11-03,166.8668
2010-11-04,192.6854
2010-11-05,228.5132
