date,WILLR
2010-01-04,-8.3274
2010-01-05,-0.9195
2010-01-06,-15.3257
2010-01-07,-6.9498
2010-01-08,-28.5714
2010-01-11,-46.2677
2010-01-12,-70.3346
2010-01-13,-64.2762
2010-01-14,-80.9184
2010-01-15,-95.554
2010-01-19,-80.0673
2010-01-20,-73.8047
2010-01-21,-81.3467
2010-01-22,-92.5735
2010-01-25,-88.0316
2010-01-26,-99.1133
2010-01-27,-85.7897
2010-01-28,-77.9147
2010-01-29,-96.0759
2010-02-01,-77.0591
2010-02-02,-60.6296
2010-02-03,-59.379
2010-02-04,-76.3397
2010-02-05,-47.6505
2010-02-08,-72.8772
2010-02-09,-61.418
2010-02-10,-52.0198
2010-02-11,-48.5573
2010-02-12,-54.2909
2010-02-16,-22.9449
2010-02-17,-24.2096
2010-02-18,-26.3948
2010-02-19,-21.5665
2010-02-22,-17.3302
2010-02-23,-33.2386
2010-02-24,-20.7277
2010-02-25,-45.4245
2010-02-26,-42.5579
2010-03-01,-62.309
2010-03-02,-24.7878
2010-03-03,-42.275
2010-03-04,-2.5184
2010-03-05,-7.6813
2010-03-08,-5.1924
2010-03-09,-18.736
2010-03-10,-2.2198
2010-03-11,-0.3277
2010-03-12,-6.8418
2010-03-15,-14.4622
2010-03-16,-1.1985
2010-03-17,-6.2721
2010-03-18,-3.3385
2010-03-19,-2.8837
2010-03-22,-20.1028
2010-03-23,-36.1884
2010-03-24,-48.5313
2010-03-25,-45.8683
2010-03-26,-70.1796
2010-03-29,-66.0085
2010-03-30,-91.5318
2010-03-31,-91.2162
2010-04-01,-92.1993
2010-04-05,-60.3467
2010-04-06,-63.1636
2010-04-07,-25.6771
2010-04-08,-11.5044
2010-04-09,-16.3478
2010-04-12,-27.4783
2010-04-13,-15.2174
2010-04-14,-6.2044
2010-04-15,-10.1582
2010-04-16,-83.3117
2010-04-19,-73.5116
2010-04-20,-84.1452
2010-04-21,-87.4881
2010-04-22,-87.106
2010-04-23,-92.3591
2010-04-26,-98.5383
2010-04-27,-92.0298
2010-04-28,-81.0811
2010-04-29,-72.1732
2010-04-30,-91.8838
2010-05-03,-73.5156
2010-05-04,-69.002
2010-05-05,-73.8503
2010-05-06,-85.1751
2010-05-07,-82.1282
2010-05-10,-78.3083
2010-05-11,-86.7667
2010-05-12,-62.9832
2010-05-13,-58.4077
2010-05-14,-68.623
2010-05-17,-70.2605
2010-05-18,-94.8016
2010-05-19,-71.0145
2010-05-20,-97.5265
2010-05-21,-65.583
2010-05-24,-92.5984
2010-05-25,-41.3333
2010-05-26,-57.193
2010-05-27,-7.3276
2010-05-28,-13.2759
2010-06-01,-37.2131
2010-06-02,-12.8689
2010-06-03,-19.3443
2010-06-04,-34.0164
2010-06-07,-63.2787
2010-06-08,-70.6557
2010-06-09,-84.5815
2010-06-10,-83.6429
2010-06-11,-71.2588
2010-06-14,-85.8284
2010-06-15,-61.5653
2010-06-16,-60.4671
2010-06-17,-58.6826
2010-06-18,-42.5233
2010-06-21,-27.2319
2010-06-22,-60.5657
2010-06-23,-57.4018
2010-06-24,-69.6765
2010-06-25,-15.1775
2010-06-28,-51.8972
2010-06-29,-87.3929
2010-06-30,-97.4874
2010-07-01,-85.614
2010-07-02,-86.1404
2010-07-06,-75.7895
2010-07-07,-44.4737
2010-07-08,-47.7193
2010-07-09,-24.9123
2010-07-12,-28.7684
2010-07-13,-8.1197
2010-07-14,-18.2906
2010-07-15,-6.1493
2010-07-16,-26.1318
2010-07-19,-30.1959
2010-07-20,-15.5043
2010-07-21,-27.1692
2010-07-22,-31.3038
2010-07-23,-28.9292
2010-07-26,-26.4901
2010-07-27,-33.252
2010-07-28,-33.8505
2010-07-29,-4.9138
2010-07-30,-21.8381
2010-08-02,-7.4442
2010-08-03,-7.8571
2010-08-04,-6.4171
2010-08-05,-10.489
2010-08-06,-17.1927
2010-08-09,-17.6695
2010-08-10,-31.9962
2010-08-11,-83.1601
2010-08-12,-82.9449
2010-08-13,-97.1398
2010-08-16,-92.5854
2010-08-17,-84.4878
2010-08-18,-76.1388
2010-08-19,-92.2379
2010-08-20,-80.2419
2010-08-23,-94.5819
2010-08-24,-98.4108
2010-08-25,-75.3827
2010-08-26,-98.2935
2010-08-27,-87.1685
2010-08-30,-99.9248
2010-08-31,-91.9435
2010-09-01,-71.5213
2010-09-02,-69.7269
2010-09-03,-9.5201
2010-09-07,-22.7869
2010-09-08,-15.2848
2010-09-09,-10.3425
2010-09-10,-2.4064
2010-09-13,-1.7451
2010-09-14,-11.4754
2010-09-15,-12.6627
2010-09-16,-15.2
2010-09-17,-27.8235
2010-09-20,-26.5403
2010-09-21,-35.3319
2010-09-22,-94.5792
2010-09-23,-91.3246
2010-09-24,-69.2164
2010-09-27,-80.9254
2010-09-28,-90.2738
2010-09-29,-84.3724
2010-09-30,-83.0424
2010-10-01,-57.1072
2010-10-04,-66.5004
2010-10-05,-12.2347
2010-10-06,-15.2196
2010-10-07,-12.7291
2010-10-08,-6.814
2010-10-11,-11.0497
2010-10-12,-1.859
2010-10-13,-15.8192
2010-10-14,-42.5354
2010-10-15,-50.0417
2010-10-18,-28.1544
2010-10-19,-28.1997
2010-10-20,-6.3601
2010-10-21,-20.0913
2010-10-22,-34.1553
2010-10-25,-37.5342
2010-10-26,-29.3151
2010-10-27,-12.3288
2010-10-28,-4.1889
2010-10-29,-20.5564
2010-11-01,-22.3116
2010-11-02,-10.8623
2010-11-03,-15.4255
2010-11-04,-0.0987
2010-11-05,-0.7378
2010-11-08,-15.9814
2010-11-09,-34.6338
2010-11-10,-38.3741
2010-11-11,-34.0909
2010-11-12,-50.5245
2010-11-15,-39.7645
2010-11-16,-58.9674
2010-11-17,-75.3363
2010-11-18,-55.979
2010-11-19,-64.9146
2010-11-22,-79.0386
2010-11-23,-98.9735
2010-11-24,-77.7588
2010-11-26,-95.2096
2010-11-29,-95.2096
2010-11-30,-100.0
2010-12-01,-81.939
2010-12-02,-50.2737
2010-12-03,-46.8562
2010-12-06,-20.9951
2010-12-07,-36.8482
2010-12-08,-0.0
2010-12-09,-11.1972
2010-12-10,-0.0
2010-12-13,-9.7429
2010-12-14,-25.7902
2010-12-15,-47.2682
2010-12-16,-64.7944
2010-12-17,-72.5738
2010-12-20,-51.3713
2010-12-21,-29.7896
2010-12-22,-16.9231
2010-12-23,-42.5641
2010-12-27,-13.9744
2010-12-28,-25.1541
2010-12-29,-44.3896
2010-12-30,-44.2663
2010-12-31,-37.8545
2011-01-03,-2.0833
2011-01-04,-12.1212
2011-01-05,-6.0644
2011-01-06,-29.0954
2011-01-07,-47.6773
2011-01-10,-60.2244
2011-01-11,-65.212
2011-01-12,-38.4216
2011-01-13,-39.8417
2011-01-14,-0.0
2011-01-18,-9.4017
2011-01-19,-93.3544
2011-01-20,-85.1721
2011-01-21,-80.6708
2011-01-24,-79.7882
2011-01-25,-87.7792
2011-01-26,-92.1813
2011-01-27,-74.3101
2011-01-28,-89.159
2011-01-31,-77.0039
2011-02-01,-54.1777
2011-02-02,-45.7048
2011-02-03,-50.2203
2011-02-04,-32.2127
2011-02-07,-12.1554
2011-02-08,-2.2135
2011-02-09,-35.611
2011-02-10,-45.1268
2011-02-11,-27.5033
2011-02-14,-17.4419
2011-02-15,-11.7733
2011-02-16,-13.5236
2011-02-17,-38.3754
2011-02-18,-35.0943
2011-02-22,-92.1854
2011-02-23,-83.7638
2011-02-24,-75.2738
2011-02-25,-55.698
2011-02-28,-71.312
2011-03-01,-99.8837
2011-03-02,-93.4016
2011-03-03,-55.409
2011-03-04,-91.9395
2011-03-07,-91.6129
2011-03-08,-63.871
2011-03-09,-50.3226
2011-03-10,-77.1613
2011-03-11,-71.871
2011-03-14,-94.2737
2011-03-15,-76.7665
2011-03-16,-90.6039
2011-03-17,-76.195
2011-03-18,-35.9465
2011-03-21,-33.5564
2011-03-22,-28.0115
2011-03-23,-29.9441
2011-03-24,-25.6983
2011-03-25,-47.3743
2011-03-28,-64.1341
2011-03-29,-41.7877
2011-03-30,-38.0145
2011-03-31,-51.7934
2011-04-01,-29.6465
2011-04-04,-49.5605
2011-04-05,-47.7685
2011-04-06,-1.7005
2011-04-07,-22.5512
2011-04-08,-38.7881
2011-04-11,-33.0375
2011-04-12,-56.2147
2011-04-13,-59.7458
2011-04-14,-94.0984
2011-04-15,-94.8823
2011-04-18,-82.4534
2011-04-19,-84.4444
2011-04-20,-78.7879
2011-04-21,-72.5572
2011-04-25,-81.7048
2011-04-26,-74.2204
2011-04-27,-77.0617
2011-04-28,-86.9565
2011-04-29,-80.2703
2011-05-02,-73.2824
2011-05-03,-64.5802
2011-05-04,-59.9377
2011-05-05,-83.6142
2011-05-06,-87.1041
2011-05-09,-93.7864
2011-05-10,-64.728
2011-05-11,-95.7565
2011-05-12,-83.1587
2011-05-13,-84.0087
2011-05-16,-90.0369
2011-05-17,-87.0703
2011-05-18,-86.346
2011-05-19,-93.2957
2011-05-20,-98.7461
2011-05-23,-87.1345
2011-05-24,-83.4963
2011-05-25,-80.2131
2011-05-26,-73.1282
2011-05-27,-48.5128
2011-05-31,-18.1293
2011-06-01,-70.7852
2011-06-02,-73.3333
2011-06-03,-64.537
2011-06-06,-77.7778
2011-06-07,-86.2037
2011-06-08,-99.1667
2011-06-09,-81.2037
2011-06-10,-59.0741
2011-06-13,-44.1667
2011-06-14,-34.1176
2011-06-15,-55.0336
2011-06-16,-38.3893
2011-06-17,-23.0872
2011-06-20,-51.1409
2011-06-21,-40.1342
2011-06-22,-62.2191
2011-06-23,-90.1505
2011-06-24,-98.893
2011-06-27,-90.0546
2011-06-28,-90.8484
2011-06-29,-59.6759
2011-06-30,-54.3375
2011-07-01,-11.9198
2011-07-05,-34.5992
2011-07-06,-41.0338
2011-07-07,-20.3088
2011-07-08,-31.3539
2011-07-11,-55.8195
2011-07-12,-76.1283
2011-07-13,-94.1828
2011-07-14,-97.2934
2011-07-15,-87.0027
2011-07-18,-78.9655
2011-07-19,-72.0561
2011-07-20,-32.243
2011-07-21,-3.8168
2011-07-22,-8.9335
2011-07-25,-2.4076
2011-07-26,-12.0
2011-07-27,-32.9455
2011-07-28,-24.8
2011-07-29,-31.1273
2011-08-01,-37.0909
2011-08-02,-68.7262
2011-08-03,-83.9578
2011-08-04,-99.8466
2011-08-05,-83.2544
2011-08-08,-79.5505
2011-08-09,-58.0475
2011-08-10,-98.932
2011-08-11,-70.4762
2011-08-12,-76.4469
2011-08-15,-63.2282
2011-08-16,-70.5984
2011-08-17,-67.0023
2011-08-18,-83.8458
2011-08-19,-88.8312
2011-08-22,-92.1884
2011-08-23,-79.1196
2011-08-24,-59.6501
2011-08-25,-62.3025
2011-08-26,-48.3153
2011-08-29,-22.3225
2011-08-30,-22.8993
2011-08-31,-12.5837
2011-09-01,-39.759
2011-09-02,-73.8956
2011-09-06,-90.6292
2011-09-07,-66.5303
2011-09-08,-90.7294
2011-09-09,-99.8074
2011-09-12,-82.5749
2011-09-13,-76.0821
2011-09-14,-73.5849
2011-09-15,-48.0659
2011-09-16,-21.9636
2011-09-19,-49.0891
2011-09-20,-71.3563
2011-09-21,-98.8275
2011-09-22,-85.8708
2011-09-23,-79.299
2011-09-26,-57.6123
2011-09-27,-55.3669
2011-09-28,-73.0559
2011-09-29,-53.6145
2011-09-30,-77.8169
2011-10-03,-98.7005
2011-10-04,-47.9556
2011-10-05,-49.4195
2011-10-06,-31.0449
2011-10-07,-57.4962
2011-10-10,-40.0808
2011-10-11,-24.8489
2011-10-12,-11.981
2011-10-13,-29.5374
2011-10-14,-26.0973
2011-10-17,-25.089
2011-10-18,-11.5243
2011-10-19,-31.4871
2011-10-20,-32.1452
2011-10-21,-25.9327
2011-10-24,-8.7751
2011-10-25,-43.1862
2011-10-26,-3.3552
2011-10-27,-11.451
2011-10-28,-9.6507
2011-10-31,-39.5911
2011-11-01,-73.4209
2011-11-02,-60.3335
2011-11-03,-57.7543
2011-11-04,-72.4291
2011-11-07,-69.483
2011-11-08,-56.7923
2011-11-09,-95.6341
2011-11-10,-93.1761
2011-11-11,-77.6508
2011-11-14,-89.6559
2011-11-15,-84.9072
2011-11-16,-97.5013
2011-11-17,-96.9606
2011-11-18,-96.6569
2011-11-21,-88.2107
2011-11-22,-95.18
2011-11-23,-98.0137
2011-11-25,-92.1233
2011-11-28,-76.304
2011-11-29,-90.9836
2011-11-30,-27.4802
2011-12-01,-22.7376
2011-12-02,-34.8853
2011-12-05,-17.5439
2011-12-06,-8.502
2011-12-07,-5.2432
