date,ADX
2010-01-04,6.5106
2010-01-05,6.6649
2010-01-06,6.8449
2010-01-07,7.137
2010-01-08,7.4217
2010-01-11,7.753
2010-01-12,7.864
2010-01-13,8.0152
2010-01-14,8.1919
2010-01-15,8.2517
2010-01-19,8.2472
2010-01-20,8.216
2010-01-21,8.1399
2010-01-22,8.2275
2010-01-25,8.3129
2010-01-26,8.4539
2010-01-27,8.6127
2010-01-28,8.6929
2010-01-29,8.7711
2010-02-01,8.8362
2010-02-02,8.7976
2010-02-03,8.7045
2010-02-04,8.8133
2010-02-05,9.0476
2010-02-08,9.2761
2010-02-09,9.4431
2010-02-10,9.5006
2010-02-11,9.5729
2010-02-12,9.6435
2010-02-16,9.5868
2010-02-17,9.4924
2010-02-18,9.3928
2010-02-19,9.2712
2010-02-22,9.0763
2010-02-23,8.9451
2010-02-24,8.8172
2010-02-25,8.7288
2010-02-26,8.5815
2010-03-01,8.4379
2010-03-02,8.3244
2010-03-03,8.2109
2010-03-04,8.1027
2010-03-05,8.0947
2010-03-08,8.1061
2010-03-09,8.0576
2010-03-10,8.0917
2010-03-11,8.1235
2010-03-12,8.1958
2010-03-15,8.2287
2010-03-16,8.2819
2010-03-17,8.4225
2010-03-18,8.5414
2010-03-19,8.6696
2010-03-22,8.7799
2010-03-23,9.0026
2010-03-24,9.2466
2010-03-25,9.604
2010-03-26,9.9362
2010-03-29,10.2024
2010-03-30,10.4444
2010-03-31,10.6615
2010-04-01,10.91
2010-04-05,11.1164
2010-04-06,11.382
2010-04-07,11.6172
2010-04-08,11.8081
2010-04-09,12.0251
2010-04-12,12.2675
2010-04-13,12.4942
2010-04-14,12.8951
2010-04-15,13.3148
2010-04-16,13.3169
2010-04-19,13.2361
2010-04-20,13.2111
2010-04-21,13.1035
2010-04-22,12.8622
2010-04-23,12.6269
2010-04-26,12.3265
2010-04-27,12.1839
2010-04-28,12.0449
2010-04-29,11.8247
2010-04-30,11.7719
2010-05-03,11.7204
2010-05-04,11.7423
2010-05-05,11.8318
2010-05-06,12.1435
2010-05-07,12.4473
2010-05-10,12.5407
2010-05-11,12.6574
2010-05-12,12.8034
2010-05-13,12.9486
2010-05-14,13.2328
2010-05-17,13.5474
2010-05-18,13.7722
2010-05-19,13.9941
2010-05-20,14.3147
2010-05-21,14.5007
2010-05-24,14.6698
2010-05-25,14.9335
2010-05-26,15.1233
2010-05-27,15.1779
2010-05-28,15.2347
2010-06-01,15.3674
2010-06-02,15.4967
2010-06-03,15.5793
2010-06-04,15.7598
2010-06-07,16.0063
2010-06-08,16.2558
2010-06-09,16.4482
2010-06-10,16.6062
2010-06-11,16.7603
2010-06-14,16.9369
2010-06-15,17.1084
2010-06-16,17.1854
2010-06-17,17.2673
2010-06-18,17.2919
2010-06-21,17.2412
2010-06-22,17.238
2010-06-23,17.2559
2010-06-24,17.3352
2010-06-25,17.2791
2010-06-28,17.2185
2010-06-29,17.3212
2010-06-30,17.4562
2010-07-01,17.7086
2010-07-02,17.9546
2010-07-06,18.1645
2010-07-07,18.1709
2010-07-08,18.0976
2010-07-09,18.0167
2010-07-12,17.8764
2010-07-13,17.5664
2010-07-14,17.2641
2010-07-15,17.0281
2010-07-16,16.8467
2010-07-19,16.7477
2010-07-20,16.6138
2010-07-21,16.4035
2010-07-22,16.1985
2010-07-23,15.9513
2010-07-26,15.6584
2010-07-27,15.271
2010-07-28,14.9406
2010-07-29,14.647
2010-07-30,14.3836
2010-08-02,14.0483
2010-08-03,13.7214
2010-08-04,13.4013
2010-08-05,13.0925
2010-08-06,12.8634
2010-08-09,12.678
2010-08-10,12.5579
2010-08-11,12.5995
2010-08-12,12.6955
2010-08-13,12.782
2010-08-16,12.8898
2010-08-17,12.9573
2010-08-18,13.0049
2010-08-19,13.095
2010-08-20,13.204
2010-08-23,13.3022
2010-08-24,13.4994
2010-08-25,13.7182
2010-08-26,13.9015
2010-08-27,14.0801
2010-08-30,14.2543
2010-08-31,14.4358
2010-09-01,14.4145
2010-09-02,14.3297
2010-09-03,14.0996
2010-09-07,13.9082
2010-09-08,13.6352
2010-09-09,13.3426
2010-09-10,13.0573
2010-09-13,12.9371
2010-09-14,12.7938
2010-09-15,12.6365
2010-09-16,12.4831
2010-09-17,12.2505
2010-09-20,12.0551
2010-09-21,11.8906
2010-09-22,11.6233
2010-09-23,11.4091
2010-09-24,11.1858
2010-09-27,11.0082
2010-09-28,10.8899
2010-09-29,10.8475
2010-09-30,10.8193
2010-10-01,10.7693
2010-10-04,10.6486
2010-10-05,10.487
2010-10-06,10.2905
2010-10-07,10.0602
2010-10-08,9.8463
2010-10-11,9.6171
2010-10-12,9.4503
2010-10-13,9.3228
2010-10-14,9.2079
2010-10-15,9.3005
2010-10-18,9.3907
2010-10-19,9.4164
2010-10-20,9.4466
2010-10-21,9.6306
2010-10-22,9.8101
2010-10-25,10.0231
2010-10-26,10.2568
2010-10-27,10.4205
2010-10-28,10.5238
2010-10-29,10.6258
2010-11-01,10.6802
2010-11-02,10.7691
2010-11-03,10.8101
2010-11-04,10.5475
2010-11-05,10.4879
2010-11-08,10.4297
2010-11-09,10.3027
2010-11-10,10.1585
2010-11-11,10.0179
2010-11-12,9.8115
2010-11-15,9.6631
2010-11-16,9.422
2010-11-17,9.1955
2010-11-18,9.0028
2010-11-19,8.8
2010-11-22,8.7077
2010-11-23,8.6989
2010-11-24,8.6872
2010-11-26,8.6879
2010-11-29,8.7409
2010-11-30,8.7926
2010-12-01,8.7761
