date,WILLR
2010-01-04,-32.1853
2010-01-05,-26.4268
2010-01-06,-23.6478
2010-01-07,-18.0892
2010-01-08,-17.8295
2010-01-11,-16.4083
2010-01-12,-16.8643
2010-01-13,-13.154
2010-01-14,-4.0689
2010-01-15,-15.8238
2010-01-19,-17.9445
2010-01-20,-9.4617
2010-01-21,-10.1351
2010-01-22,-32.6807
2010-01-25,-32.2222
2010-01-26,-40.2866
2010-01-27,-27.5641
2010-01-28,-29.6474
2010-01-29,-28.2051
2010-02-01,-26.6026
2010-02-02,-31.5705
2010-02-03,-38.141
2010-02-04,-51.1218
2010-02-05,-45.9936
2010-02-08,-53.6859
2010-02-09,-53.6859
2010-02-10,-51.7628
2010-02-11,-53.6859
2010-02-12,-57.3718
2010-02-16,-47.7564
2010-02-17,-49.8397
2010-02-18,-46.9551
2010-02-19,-43.2692
2010-02-22,-36.6987
2010-02-23,-41.1859
2010-02-24,-33.0128
2010-02-25,-40.7051
2010-02-26,-36.6776
2010-03-01,-38.3224
2010-03-02,-34.5395
2010-03-03,-36.0197
2010-03-04,-34.5395
2010-03-05,-26.9737
2010-03-08,-30.4276
2010-03-09,-35.6908
2010-03-10,-30.9211
2010-03-11,-22.5329
2010-03-12,-19.2434
2010-03-15,-15.4605
2010-03-16,-11.8421
2010-03-17,-10.3618
2010-03-18,-13.9803
2010-03-19,-11.5132
2010-03-22,-10.1974
2010-03-23,-9.7039
2010-03-24,-10.6908
2010-03-25,-11.0197
2010-03-26,-11.0197
2010-03-29,-16.1172
2010-03-30,-18.9189
2010-03-31,-18.9349
2010-04-01,-11.8343
2010-04-05,-7.2978
2010-04-06,-1.8484
2010-04-07,-9.5413
2010-04-08,-2.8986
2010-04-09,-2.3551
2010-04-12,-1.6281
2010-04-13,-1.8739
2010-04-14,-0.9174
2010-04-15,-2.5526
2010-04-16,-14.7147
2010-04-19,-12.3123
2010-04-20,-3.3033
2010-04-21,-7.3574
2010-04-22,-15.9159
2010-04-23,-16.967
2010-04-26,-23.4234
2010-04-27,-33.033
2010-04-28,-27.9279
2010-04-29,-17.1171
2010-04-30,-24.9249
2010-05-03,-18.1682
2010-05-04,-28.979
2010-05-05,-30.1802
2010-05-06,-44.2943
2010-05-07,-49.2492
2010-05-10,-28.3784
2010-05-11,-26.2763
2010-05-12,-23.2733
2010-05-13,-30.7808
2010-05-14,-43.8438
2010-05-17,-42.3423
2010-05-18,-61.1111
2010-05-19,-64.2643
2010-05-20,-78.3784
2010-05-21,-66.8168
2010-05-24,-72.6727
2010-05-25,-68.1682
2010-05-26,-72.0721
2010-05-27,-60.0601
2010-05-28,-67.1171
2010-06-01,-77.1772
2010-06-02,-66.6667
2010-06-03,-72.973
2010-06-04,-83.7838
2010-06-07,-89.6396
2010-06-08,-85.4354
2010-06-09,-87.988
2010-06-10,-71.3213
2010-06-11,-76.8769
2010-06-14,-84.8714
2010-06-15,-82.1036
2010-06-16,-83.3595
2010-06-17,-84.3014
2010-06-18,-76.2951
2010-06-21,-74.7253
2010-06-22,-76.6091
2010-06-23,-83.2025
2010-06-24,-91.3658
2010-06-25,-79.5918
2010-06-28,-83.5165
2010-06-29,-91.2088
2010-06-30,-95.4474
2010-07-01,-92.7052
2010-07-02,-97.7612
2010-07-06,-95.3731
2010-07-07,-82.0896
2010-07-08,-77.4627
2010-07-09,-67.4627
2010-07-12,-69.5522
2010-07-13,-59.7015
2010-07-14,-64.0299
2010-07-15,-60.1493
2010-07-16,-80.4104
2010-07-19,-81.194
2010-07-20,-78.806
2010-07-21,-80.0
2010-07-22,-71.194
2010-07-23,-70.597
2010-07-26,-64.3284
2010-07-27,-61.4925
2010-07-28,-66.5672
2010-07-29,-67.0149
2010-07-30,-67.6119
2010-08-02,-58.5075
2010-08-03,-62.8358
2010-08-04,-67.1642
2010-08-05,-70.8955
2010-08-06,-77.7612
2010-08-09,-71.4925
2010-08-10,-74.4776
2010-08-11,-88.806
2010-08-12,-89.403
2010-08-13,-92.6866
2010-08-16,-94.0299
2010-08-17,-91.3433
2010-08-18,-90.0
2010-08-19,-99.7028
2010-08-20,-97.3799
2010-08-23,-98.9811
2010-08-24,-98.3425
2010-08-25,-95.6233
2010-08-26,-98.939
2010-08-27,-89.7878
2010-08-30,-99.7416
2010-08-31,-95.4944
2010-09-01,-82.8536
2010-09-02,-78.9737
2010-09-03,-72.0901
2010-09-07,-77.597
2010-09-08,-76.4706
2010-09-09,-72.3404
2010-09-10,-72.5907
2010-09-13,-63.3292
2010-09-14,-64.7059
2010-09-15,-72.0901
2010-09-16,-71.7146
2010-09-17,-70.3379
2010-09-20,-64.4556
2010-09-21,-69.587
2010-09-22,-73.9675
2010-09-23,-82.7284
2010-09-24,-75.3442
2010-09-27,-82.2278
2010-09-28,-82.6033
2010-09-29,-84.6058
2010-09-30,-85.2315
2010-10-01,-84.1051
2010-10-04,-85.2315
2010-10-05,-76.2203
2010-10-06,-75.3133
2010-10-07,-75.9398
2010-10-08,-76.5664
2010-10-11,-77.3183
2010-10-12,-66.4835
2010-10-13,-66.5515
2010-10-14,-70.5598
2010-10-15,-70.9744
2010-10-18,-62.405
2010-10-19,-67.2426
2010-10-20,-65.9544
2010-10-21,-57.6197
2010-10-22,-52.7027
2010-10-25,-54.5045
2010-10-26,-47.4474
2010-10-27,-41.4414
2010-10-28,-43.8438
2010-10-29,-43.5435
2010-11-01,-46.7988
2010-11-02,-47.5819
2010-11-03,-36.6667
2010-11-04,-10.6061
2010-11-05,-4.8739
2010-11-08,-11.5966
2010-11-09,-19.8319
2010-11-10,-14.7899
2010-11-11,-20.3361
2010-11-12,-29.7479
2010-11-15,-24.3697
2010-11-16,-28.0672
2010-11-17,-27.8992
2010-11-18,-23.1933
2010-11-19,-25.5462
2010-11-22,-29.2437
2010-11-23,-38.8235
2010-11-24,-37.3109
2010-11-26,-40.6723
2010-11-29,-38.4874
2010-11-30,-43.8655
2010-12-01,-36.6387
2010-12-02,-27.395
2010-12-03,-27.395
2010-12-06,-29.2437
2010-12-07,-33.9496
2010-12-08,-20.5042
2010-12-09,-9.2437
2010-12-10,-0.3317
2010-12-13,-4.8093
2010-12-14,-8.7894
2010-12-15,-11.1111
2010-12-16,-6.136
2010-12-17,-4.4776
2010-12-20,-5.4726
2010-12-21,-3.9246
2010-12-22,-4.4053
2010-12-23,-3.3774
2010-12-27,-1.909
2010-12-28,-1.7493
2010-12-29,-3.9359
2010-12-30,-5.2478
2010-12-31,-4.8105
2011-01-03,-6.6092
2011-01-04,-9.1954
2011-01-05,-8.3333
2011-01-06,-15.9483
2011-01-07,-18.8218
2011-01-10,-16.523
2011-01-11,-19.3966
2011-01-12,-10.2011
2011-01-13,-9.3391
2011-01-14,-1.9802
2011-01-18,-5.1105
2011-01-19,-16.0221
2011-01-20,-13.5359
2011-01-21,-9.9448
2011-01-24,-11.6022
2011-01-25,-12.7072
2011-01-26,-14.9171
2011-01-27,-9.9448
2011-01-28,-12.1547
2011-01-31,-9.3923
2011-02-01,-0.9602
2011-02-02,-4.6639
2011-02-03,-3.5665
2011-02-04,-4.2524
2011-02-07,-1.4436
2011-02-08,-0.7653
2011-02-09,-3.0612
2011-02-10,-5.3571
2011-02-11,-2.0988
2011-02-14,-0.7229
2011-02-15,-2.3781
2011-02-16,-2.8235
2011-02-17,-6.8235
2011-02-18,-4.4706
2011-02-22,-14.7059
2011-02-23,-17.9975
2011-02-24,-19.3809
2011-02-25,-19.1117
2011-02-28,-16.2853
2011-03-01,-24.4953
2011-03-02,-28.1292
2011-03-03,-18.8425
2011-03-04,-25.572
2011-03-07,-27.4563
2011-03-08,-16.0162
2011-03-09,-15.3432
2011-03-10,-23.6878
2011-03-11,-23.9569
2011-03-14,-27.86
