date,ADX
2010-01-04,13.7054
2010-01-05,13.5747
2010-01-06,13.5134
2010-01-07,14.1301
2010-01-08,14.7159
2010-01-11,15.253
2010-01-12,14.8253
2010-01-13,14.5575
2010-01-14,14.5873
2010-01-15,14.1351
2010-01-19,13.5111
2010-01-20,13.0423
2010-01-21,12.5541
2010-01-22,12.0973
2010-01-25,11.6633
2010-01-26,11.1453
2010-01-27,10.6209
2010-01-28,10.5278
2010-01-29,10.717
2010-02-01,10.8966
2010-02-02,11.0673
2010-02-03,10.6228
2010-02-04,10.8628
2010-02-05,11.3123
2010-02-08,11.8632
2010-02-09,12.4038
2010-02-10,12.5422
2010-02-11,12.6737
2010-02-12,12.9568
2010-02-16,12.9054
2010-02-17,12.6378
2010-02-18,12.3835
2010-02-19,12.2129
2010-02-22,11.739
2010-02-23,11.1831
2010-02-24,10.6549
2010-02-25,10.2759
2010-02-26,10.0129
2010-03-01,9.674
2010-03-02,9.5936
2010-03-03,9.7134
2010-03-04,9.924
2010-03-05,10.6358
2010-03-08,11.3655
2010-03-09,11.6768
2010-03-10,12.3872
2010-03-11,13.062
2010-03-12,13.8212
2010-03-15,14.279
2010-03-16,15.0019
2010-03-17,15.9034
2010-03-18,16.2999
2010-03-19,16.6765
2010-03-22,17.0731
2010-03-23,17.8024
2010-03-24,18.5939
2010-03-25,19.74
2010-03-26,20.8288
2010-03-29,21.7344
2010-03-30,22.4641
2010-03-31,22.8729
2010-04-01,23.5413
2010-04-05,24.266
2010-04-06,25.3024
2010-04-07,26.3367
2010-04-08,27.0381
2010-04-09,27.8365
2010-04-12,28.6225
2010-04-13,28.6613
2010-04-14,29.3509
2010-04-15,30.2129
2010-04-16,29.6361
2010-04-19,29.0909
2010-04-20,28.9144
2010-04-21,28.3456
2010-04-22,27.8053
2010-04-23,27.3332
2010-04-26,26.3852
2010-04-27,25.296
2010-04-28,24.2613
2010-04-29,23.3199
2010-04-30,22.6788
2010-05-03,22.2233
2010-05-04,21.4349
2010-05-05,20.6716
2010-05-06,21.0316
2010-05-07,21.3735
2010-05-10,20.9062
2010-05-11,20.1559
2010-05-12,19.3718
2010-05-13,18.6163
2010-05-14,18.4883
2010-05-17,18.6077
2010-05-18,19.004
2010-05-19,19.7741
2010-05-20,20.6301
2010-05-21,21.6061
2010-05-24,22.5333
2010-05-25,23.6957
2010-05-26,24.5259
2010-05-27,25.2253
2010-05-28,25.8765
2010-06-01,26.6001
2010-06-02,27.2875
2010-06-03,27.7353
2010-06-04,28.439
2010-06-07,29.2227
2010-06-08,30.1354
2010-06-09,30.8874
2010-06-10,31.3897
2010-06-11,31.8834
2010-06-14,32.366
2010-06-15,32.8246
2010-06-16,32.9793
2010-06-17,33.1839
2010-06-18,33.3414
2010-06-21,33.2406
2010-06-22,33.3132
2010-06-23,33.5083
2010-06-24,34.0454
2010-06-25,34.0891
2010-06-28,34.1436
2010-06-29,34.6038
2010-06-30,35.1362
2010-07-01,35.9365
2010-07-02,36.6967
2010-07-06,37.4189
2010-07-07,37.1232
2010-07-08,36.5819
2010-07-09,36.0677
2010-07-12,35.5046
2010-07-13,34.2452
2010-07-14,33.0888
2010-07-15,31.7206
2010-07-16,30.9086
2010-07-19,30.4063
2010-07-20,30.083
2010-07-21,28.6899
2010-07-22,27.3664
2010-07-23,26.0739
2010-07-26,24.9116
2010-07-27,24.263
2010-07-28,23.4463
2010-07-29,22.4044
2010-07-30,21.2893
2010-08-02,20.5529
