date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-01-02,146.42,147.07,141.4,142.3,138.4602,1748813.0,0.0,1.0
2018-01-03,141.91,144.14,141.76,143.42,139.55,2675367.0,0.0,1.0
2018-01-04,143.61,145.33,143.34,144.0,140.1144,1690154.0,0.0,1.0
2018-01-05,144.36,144.96,142.78,144.26,140.3674,1538219.0,0.0,1.0
2018-01-08,143.56,143.74,142.011,143.53,139.6571,1435282.0,0.0,1.0
2018-01-09,143.74,146.22,142.86,145.85,141.9145,2180334.0,0.0,1.0
2018-01-10,145.53,145.83,144.95,145.29,141.3696,1500799.0,0.0,1.0
2018-01-11,145.23,145.88,143.85,144.5,140.6009,1426875.0,0.0,1.0
2018-01-12,144.7,145.82,143.67,145.64,141.7101,1351780.0,0.0,1.0
2018-01-16,145.96,146.17,144.68,145.67,141.7393,1729174.0,0.0,1.0
2018-01-17,146.52,147.82,145.78,147.54,143.5588,1724394.0,0.0,1.0
2018-01-18,147.55,148.31,146.43,147.69,143.7048,1215637.0,0.0,1.0
2018-01-19,148.01,148.3,146.95,148.2,144.201,1468463.0,0.0,1.0
2018-01-22,148.54,149.82,148.39,149.79,145.7481,1418863.0,0.0,1.0
2018-01-23,149.8,154.19,149.75,153.29,149.1537,3016189.0,0.0,1.0
2018-01-24,153.16,155.38,152.57,154.98,150.7981,2100552.0,0.0,1.0
2018-01-25,154.91,155.29,153.285,154.81,150.6327,1492045.0,0.0,1.0
2018-01-26,154.96,155.91,154.25,155.8,151.596,1122241.0,0.0,1.0
2018-01-29,155.5,155.81,153.93,154.12,149.9613,1241148.0,0.0,1.0
2018-01-30,153.94,155.55,152.93,153.06,148.9299,2173206.0,0.0,1.0
2018-01-31,154.35,157.5,153.845,156.15,151.9365,3336862.0,0.0,1.0
2018-02-01,155.84,156.9,154.58,155.48,151.2846,2087090.0,0.0,1.0
2018-02-02,155.05,156.4405,153.1,153.25,149.1148,1444631.0,0.0,1.0
2018-02-05,152.99,153.66,146.57,147.35,143.374,2267036.0,0.0,1.0
2018-02-06,145.0,147.09,141.45,145.88,141.9436,3331891.0,0.0,1.0
2018-02-07,145.6,149.64,144.8931,147.52,143.5394,3097694.0,0.0,1.0
2018-02-08,147.65,148.02,140.31,140.39,136.6018,2239538.0,0.0,1.0
2018-02-09,141.66,145.59,140.09,144.52,140.6203,3501373.0,0.0,1.0
2018-02-12,144.98,146.28,142.48,144.61,140.7079,2172263.0,0.0,1.0
