date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-01-02,107.63,108.02,106.8056,107.95,103.9071,13560772.0,0.0,1.0
2018-01-03,107.86,108.49,107.48,108.06,104.013,11799489.0,0.0,1.0
2018-01-04,108.36,110.03,108.2,109.04,105.4953,12921332.0,0.56,1.0
2018-01-05,109.26,109.55,107.775,108.34,104.8181,13300254.0,0.0,1.0
2018-01-08,108.15,108.68,107.7,108.5,104.9729,11869809.0,0.0,1.0
2018-01-09,108.72,109.63,108.49,109.05,105.505,13175074.0,0.0,1.0
2018-01-10,109.47,110.7,109.39,110.25,106.666,13253418.0,0.0,1.0
2018-01-11,110.67,110.929,110.051,110.84,107.2368,13377611.0,0.0,1.0
2018-01-12,111.65,112.85,110.84,112.67,109.0073,18847148.0,0.0,1.0
2018-01-16,111.51,113.43,111.07,112.27,108.6203,22714181.0,0.0,1.0
2018-01-17,111.89,113.2958,111.31,112.99,109.3169,14906568.0,0.0,1.0
2018-01-18,112.76,113.7226,112.27,113.26,109.5781,14541044.0,0.0,1.0
2018-01-19,113.94,114.34,112.804,113.01,109.3363,18696398.0,0.0,1.0
2018-01-22,112.66,114.39,112.5,114.33,110.6134,11904339.0,0.0,1.0
2018-01-23,113.67,114.64,113.35,114.21,110.4973,11848690.0,0.0,1.0
2018-01-24,114.86,116.0,114.66,115.67,111.9098,14736484.0,0.0,1.0
2018-01-25,116.04,116.17,115.075,115.7,111.9388,12406626.0,0.0,1.0
2018-01-26,115.7,116.32,114.96,116.32,112.5387,12008030.0,0.0,1.0
2018-01-29,116.02,117.3529,116.02,116.2,112.4226,11012943.0,0.0,1.0
2018-01-30,115.53,116.6,114.98,115.11,111.368,13876672.0,0.0,1.0
2018-01-31,115.65,116.66,115.16,115.67,111.9098,13079792.0,0.0,1.0
2018-02-01,115.77,116.985,115.48,116.87,113.0708,13683672.0,0.0,1.0
2018-02-02,116.49,116.92,114.09,114.28,110.565,16301339.0,0.0,1.0
2018-02-05,113.0,114.59,103.98,108.8,105.2631,28870140.0,0.0,1.0
2018-02-06,106.85,112.48,106.61,112.11,108.4655,32475810.0,0.0,1.0
2018-02-07,111.55,114.45,111.146,112.87,109.2008,21667080.0,0.0,1.0
2018-02-08,113.11,113.11,107.84,107.88,104.373,26991043.0,0.0,1.0
2018-02-09,109.1,111.05,106.2299,110.04,106.4628,28113646.0,0.0,1.0
2018-02-12,111.17,112.725,110.07,111.74,108.1076,17798897.0,0.0,1.0
2018-02-13,111.32,113.05,110.8,112.43,108.7751,16058124.0,0.0,1.0
2018-02-14,112.63,115.27,112.53,115.03,111.2906,15120013.0,0.0,1.0
2018-02-15,115.74,115.985,114.22,115.51,111.755,11861147.0,0.0,1.0
2018-02-16,114.55,116.07,114.5,114.68,110.952,13134927.0,0.0,1.0
2018-02-20,114.65,115.39,113.97,114.71,110.981,13081905.0,0.0,1.0
2018-02-21,115.0,117.45,114.67,115.19,111.4454,14178550.0,0.0,1.0
2018-02-22,115.5,116.425,114.76,114.98,111.2422,16948646.0,0.0,1.0
2018-02-23,115.31,117.39,115.31,117.31,113.4965,11530334.0,0.0,1.0
2018-02-26,118.14,118.9,117.32,118.77,114.909,16288996.0,0.0,1.0
2018-02-27,118.91,119.33,117.35,117.36,113.5449,17209324.0,0.0,1.0
2018-02-28,117.82,118.49,115.34,115.5,111.7453,17420742.0,0.0,1.0
2018-03-01,115.48,116.6427,112.65,113.43,109.7426,18690017.0,0.0,1.0
2018-03-02,112.39,113.56,111.12,113.32,109.6362,18353697.0,0.0,1.0
2018-03-05,112.05,115.925,111.89,115.06,111.3196,13933039.0,0.0,1.0
2018-03-06,115.64,115.82,114.32,115.16,111.4164,10674360.0,0.0,1.0
2018-03-07,113.75,115.1,113.11,114.73,111.0004,13006514.0,0.0,1.0
2018-03-08,115.11,115.23,113.21,114.74,111.01,11006186.0,0.0,1.0
2018-03-09,116.55,118.08,115.67,118.04,114.2028,14348484.0,0.0,1.0
2018-03-12,118.0,118.75,117.25,117.66,113.8351,12031063.0,0.0,1.0
2018-03-13,118.2,118.47,115.83,116.25,112.4709,13242100.0,0.0,1.0
2018-03-14,116.56,116.59,114.6,114.95,111.2132,12889657.0,0.0,1.0
2018-03-15,115.87,116.0,114.83,115.24,111.4938,8735890.0,0.0,1.0
2018-03-16,115.34,116.6015,115.34,115.44,111.6873,19466307.0,0.0,1.0
2018-03-19,115.1,115.45,113.3,114.53,110.8069,11616894.0,0.0,1.0
2018-03-20,114.87,115.445,114.445,114.64,110.9133,9795545.0,0.0,1.0
2018-03-21,114.81,116.63,114.21,114.74,111.01,13357632.0,0.0,1.0
2018-03-22,113.2,113.6,109.54,109.95,106.3757,21841249.0,0.0,1.0
2018-03-23,110.27,110.92,106.76,107.01,103.5313,22802836.0,0.0,1.0
2018-03-26,109.19,111.16,108.645,110.31,106.724,19970585.0,0.0,1.0
2018-03-27,111.07,111.69,107.3,108.17,104.6536,17889027.0,0.0,1.0
2018-03-28,108.28,109.1699,106.65,108.0,104.4891,19189269.0,0.0,1.0
2018-03-29,108.5,110.78,107.78,109.97,106.3951,13274639.0,0.0,1.0
2018-04-02,109.96,110.73,106.08,107.85,104.344,18822525.0,0.0,1.0
2018-04-03,108.36,109.5025,107.26,109.33,105.7759,14050737.0,0.0,1.0
2018-04-04,107.1,111.21,107.02,110.99,107.3819,15302608.0,0.0,1.0
2018-04-05,111.63,112.83,111.39,111.88,108.7848,16627035.0,0.56,1.0
2018-04-06,110.55,111.55,107.82,109.09,106.072,18906018.0,0.0,1.0
2018-04-09,110.01,112.98,109.89,110.4,107.3457,15974349.0,0.0,1.0
2018-04-10,112.13,112.87,111.42,112.51,109.3974,14003640.0,0.0,1.0
2018-04-11,111.66,111.81,110.515,110.62,107.5597,14503294.0,0.0,1.0
2018-04-12,111.56,114.39,111.5,113.37,110.2336,16435523.0,0.0,1.0
2018-04-13,115.02,115.15,109.05,110.3,107.2485,39152760.0,0.0,1.0
2018-04-16,110.94,111.47,109.79,110.21,107.161,16580538.0,0.0,1.0
2018-04-17,111.37,111.92,109.99,110.21,107.161,15501350.0,0.0,1.0
2018-04-18,110.53,111.07,108.89,109.32,106.2956,16081436.0,0.0,1.0
2018-04-19,109.53,111.87,109.5,111.72,108.6292,17910955.0,0.0,1.0
2018-04-20,112.3,112.74,110.88,111.47,108.3861,15584384.0,0.0,1.0
2018-04-23,111.57,111.95,110.63,110.93,107.8611,11285831.0,0.0,1.0
2018-04-24,111.75,112.9,109.59,110.41,107.3555,16453112.0,0.0,1.0
2018-04-25,110.27,110.53,108.6,109.99,106.9471,13546110.0,0.0,1.0
2018-04-26,109.97,110.82,109.34,110.1,107.054,10299488.0,0.0,1.0
2018-04-27,109.55,110.1599,109.13,109.4,106.3734,9383967.0,0.0,1.0
2018-04-30,109.75,110.3,108.75,108.78,105.7706,13744860.0,0.0,1.0
2018-05-01,108.45,108.97,107.54,108.78,105.7706,10503353.0,0.0,1.0
2018-05-02,108.11,109.49,107.73,107.92,104.9344,12162086.0,0.0,1.0
2018-05-03,107.59,107.77,105.181,107.24,104.2732,15379091.0,0.0,1.0
2018-05-04,106.43,108.74,105.98,108.43,105.4302,11967906.0,0.0,1.0
