date,open,low,high,close
2018-01-02,12.3393,12.3393,12.3393,12.3393
2018-01-03,12.3567,12.3567,12.3567,12.3567
2018-01-04,12.3958,12.3958,12.3958,12.3958
2018-01-05,12.4346,12.4346,12.4346,12.4346
2018-01-08,12.4706,12.4706,12.4706,12.4706
2018-01-09,12.5064,12.5064,12.5064,12.5064
2018-01-10,12.5509,12.5509,12.5509,12.5509
2018-01-11,12.5929,12.5929,12.5929,12.5929
2018-01-12,12.6302,12.6302,12.6302,12.6302
2018-01-16,12.6825,12.6825,12.6825,12.6825
2018-01-17,12.7197,12.7197,12.7197,12.7197
2018-01-18,12.7566,12.7566,12.7566,12.7566
2018-01-19,12.7435,12.7435,12.7435,12.7435
2018-01-22,12.7305,12.7305,12.7305,12.7305
2018-01-23,12.7183,12.7183,12.7183,12.7183
2018-01-24,12.7192,12.7192,12.7192,12.7192
2018-01-25,12.727,12.727,12.727,12.727
2018-01-26,12.731,12.731,12.731,12.731
2018-01-29,12.7376,12.7376,12.7376,12.7376
2018-01-30,12.736,12.736,12.736,12.736
2018-01-31,12.7316,12.7316,12.7316,12.7316
2018-02-01,12.7311,12.7311,12.7311,12.7311
2018-02-02,12.7045,12.7045,12.7045,12.7045
2018-02-05,12.6241,12.6241,12.6241,12.6241
2018-02-06,12.5454,12.5454,12.5454,12.5454
2018-02-07,12.4597,12.4597,12.4597,12.4597
2018-02-08,12.4304,12.4304,12.4304,12.4304
2018-02-09,12.4088,12.4088,12.4088,12.4088
2018-02-12,12.3502,12.3502,12.3502,12.3502
2018-02-13,12.2922,12.2922,12.2922,12.2922
2018-02-14,12.215,12.215,12.215,12.215
2018-02-15,12.1313,12.1313,12.1313,12.1313
2018-02-16,12.0453,12.0453,12.0453,12.0453
2018-02-20,11.9576,11.9576,11.9576,11.9576
2018-02-21,11.8621,11.8621,11.8621,11.8621
2018-02-22,11.7674,11.7674,11.7674,11.7674
2018-02-23,11.6751,11.6751,11.6751,11.6751
2018-02-26,11.6132,11.6132,11.6132,11.6132
2018-02-27,11.5563,11.5563,11.5563,11.5563
2018-02-28,11.4765,11.4765,11.4765,11.4765
2018-03-01,11.3956,11.3956,11.3956,11.3956
2018-03-02,11.3283,11.3283,11.3283,11.3283
2018-03-05,11.2459,11.2459,11.2459,11.2459
2018-03-06,11.1642,11.1642,11.1642,11.1642
2018-03-07,11.0916,11.0916,11.0916,11.0916
2018-03-08,11.01,11.01,11.01,11.01
2018-03-09,10.9328,10.9328,10.9328,10.9328
2018-03-12,10.8619,10.8619,10.8619,10.8619
2018-03-13,10.7761,10.7761,10.7761,10.7761
2018-03-14,10.7003,10.7003,10.7003,10.7003
2018-03-15,10.6264,10.6264,10.6264,10.6264
2018-03-16,10.5436,10.5436,10.5436,10.5436
2018-03-19,10.4659,10.4659,10.4659,10.4659
2018-03-20,10.3872,10.3872,10.3872,10.3872
2018-03-21,10.3032,10.3032,10.3032,10.3032
2018-03-22,10.2504,10.2504,10.2504,10.2504
2018-03-23,10.2044,10.2044,10.2044,10.2044
2018-03-26,10.1527,10.1527,10.1527,10.1527
2018-03-27,10.094,10.094,10.094,10.094
2018-03-28,10.0359,10.0359,10.0359,10.0359
2018-03-29,9.9702,9.9702,9.9702,9.9702
2018-04-02,9.9261,9.9261,9.9261,9.9261
2018-04-03,9.8824,9.8824,9.8824,9.8824
2018-04-04,9.8295,9.8295,9.8295,9.8295
2018-04-05,9.7661,9.7661,9.7661,9.7661
2018-04-06,9.7297,9.7297,9.7297,9.7297
2018-04-09,9.6895,9.6895,9.6895,9.6895
2018-04-10,9.6496,9.6496,9.6496,9.6496
2018-04-11,9.6202,9.6202,9.6202,9.6202
2018-04-12,9.5801,9.5801,9.5801,9.5801
2018-04-13,9.537,9.537,9.537,9.537
2018-04-16,9.4942,9.4942,9.4942,9.4942
2018-04-17,9.4479,9.4479,9.4479,9.4479
2018-04-18,9.3959,9.3959,9.3959,9.3959
2018-04-19,9.3602,9.3602,9.3602,9.3602
2018-04-20,9.3249,9.3249,9.3249,9.3249
2018-04-23,9.2857,9.2857,9.2857,9.2857
2018-04-24,9.2514,9.2514,9.2514,9.2514
2018-04-25,9.2021,9.2021,9.2021,9.2021
2018-04-26,9.1551,9.1551,9.1551,9.1551
2018-04-27,9.1084,9.1084,9.1084,9.1084
2018-04-30,9.0603,9.0603,9.0603,9.0603
2018-05-01,8.9996,8.9996,8.9996,8.9996
2018-05-02,8.9442,8.9442,8.9442,8.9442
2018-05-03,8.8712,8.8712,8.8712,8.8712
2018-05-04,8.8127,8.8127,8.8127,8.8127
2018-05-07,8.7551,8.7551,8.7551,8.7551
2018-05-08,8.7095,8.7095,8.7095,8.7095
2018-05-09,8.6693,8.6693,8.6693,8.6693
2018-05-10,8.6369,8.6369,8.6369,8.6369
2018-05-11,8.6113,8.6113,8.6113,8.6113
2018-05-14,8.5844,8.5844,8.5844,8.5844
2018-05-15,8.5475,8.5475,8.5475,8.5475
2018-05-16,8.511,8.511,8.511,8.511
2018-05-17,8.4781,8.4781,8.4781,8.4781
2018-05-18,8.4455,8.4455,8.4455,8.4455
2018-05-21,8.4219,8.4219,8.4219,8.4219
2018-05-22,8.4056,8.4056,8.4056,8.4056
2018-05-23,8.3787,8.3787,8.3787,8.3787
2018-05-24,8.3502,8.3502,8.3502,8.3502
2018-05-25,8.3196,8.3196,8.3196,8.3196
2018-05-29,8.258,8.258,8.258,8.258
2018-05-30,8.1969,8.1969,8.1969,8.1969
2018-05-31,8.1349,8.1349,8.1349,8.1349
2018-06-01,8.0756,8.0756,8.0756,8.0756
2018-06-04,8.0168,8.0168,8.0168,8.0168
2018-06-05,7.9566,7.9566,7.9566,7.9566
2018-06-06,7.9108,7.9108,7.9108,7.9108
