date,Aroon Down,Aroon Up,Aroon Down,Aroon Up,Aroon Down,Aroon Up,Aroon Up,Aroon Down
2018-01-02,9.9174,92.562,9.9174,92.562,9.9174,92.562,92.562,9.9174
2018-01-03,9.0909,91.7355,9.0909,91.7355,9.0909,91.7355,91.7355,9.0909
2018-01-04,8.2645,100.0,8.2645,100.0,8.2645,100.0,100.0,8.2645
2018-01-05,7.438,99.1736,7.438,99.1736,7.438,99.1736,99.1736,7.438
2018-01-08,6.6116,98.3471,6.6116,98.3471,6.6116,98.3471,98.3471,6.6116
2018-01-09,5.7851,97.5207,5.7851,97.5207,5.7851,97.5207,97.5207,5.7851
2018-01-10,4.9587,96.6942,4.9587,96.6942,4.9587,96.6942,96.6942,4.9587
2018-01-11,4.1322,95.8678,4.1322,95.8678,4.1322,95.8678,95.8678,4.1322
2018-01-12,3.3058,95.0413,3.3058,95.0413,3.3058,95.0413,95.0413,3.3058
2018-01-16,2.4793,100.0,2.4793,100.0,2.4793,100.0,100.0,2.4793
2018-01-17,1.6529,99.1736,1.6529,99.1736,1.6529,99.1736,99.1736,1.6529
2018-01-18,0.8264,98.3471,0.8264,98.3471,0.8264,98.3471,98.3471,0.8264
2018-01-19,0.0,97.5207,0.0,97.5207,0.0,97.5207,97.5207,0.0
2018-01-22,0.0,96.6942,0.0,96.6942,0.0,96.6942,96.6942,0.0
2018-01-23,7.438,95.8678,7.438,95.8678,7.438,95.8678,95.8678,7.438
2018-01-24,6.6116,95.0413,6.6116,95.0413,6.6116,95.0413,95.0413,6.6116
2018-01-25,5.7851,94.2149,5.7851,94.2149,5.7851,94.2149,94.2149,5.7851
2018-01-26,4.9587,93.3884,4.9587,93.3884,4.9587,93.3884,93.3884,4.9587
2018-01-29,4.1322,92.562,4.1322,92.562,4.1322,92.562,92.562,4.1322
2018-01-30,3.3058,91.7355,3.3058,91.7355,3.3058,91.7355,91.7355,3.3058
2018-01-31,2.4793,90.9091,2.4793,90.9091,2.4793,90.9091,90.9091,2.4793
2018-02-01,1.6529,90.0826,1.6529,90.0826,1.6529,90.0826,90.0826,1.6529
2018-02-02,0.8264,89.2562,0.8264,89.2562,0.8264,89.2562,89.2562,0.8264
2018-02-05,0.0,88.4298,0.0,88.4298,0.0,88.4298,88.4298,0.0
2018-02-06,14.876,87.6033,14.876,87.6033,14.876,87.6033,87.6033,14.876
2018-02-07,14.0496,86.7769,14.0496,86.7769,14.0496,86.7769,86.7769,14.0496
2018-02-08,13.2231,85.9504,13.2231,85.9504,13.2231,85.9504,85.9504,13.2231
2018-02-09,12.3967,85.124,12.3967,85.124,12.3967,85.124,85.124,12.3967
2018-02-12,11.5702,84.2975,11.5702,84.2975,11.5702,84.2975,84.2975,11.5702
2018-02-13,10.7438,83.4711,10.7438,83.4711,10.7438,83.4711,83.4711,10.7438
2018-02-14,9.9174,82.6446,9.9174,82.6446,9.9174,82.6446,82.6446,9.9174
2018-02-15,9.0909,81.8182,9.0909,81.8182,9.0909,81.8182,81.8182,9.0909
2018-02-16,8.2645,80.9917,8.2645,80.9917,8.2645,80.9917,80.9917,8.2645
2018-02-20,7.438,80.1653,7.438,80.1653,7.438,80.1653,80.1653,7.438
2018-02-21,6.6116,79.3388,6.6116,79.3388,6.6116,79.3388,79.3388,6.6116
2018-02-22,5.7851,78.5124,5.7851,78.5124,5.7851,78.5124,78.5124,5.7851
2018-02-23,4.9587,77.686,4.9587,77.686,4.9587,77.686,77.686,4.9587
2018-02-26,4.1322,76.8595,4.1322,76.8595,4.1322,76.8595,76.8595,4.1322
2018-02-27,3.3058,76.0331,3.3058,76.0331,3.3058,76.0331,76.0331,3.3058
2018-02-28,2.4793,75.2066,2.4793,75.2066,2.4793,75.2066,75.2066,2.4793
2018-03-01,1.6529,74.3802,1.6529,74.3802,1.6529,74.3802,74.3802,1.6529
2018-03-02,0.8264,73.5537,0.8264,73.5537,0.8264,73.5537,73.5537,0.8264
2018-03-05,0.0,72.7273,0.0,72.7273,0.0,72.7273,72.7273,0.0
2018-03-06,0.0,71.9008,0.0,71.9008,0.0,71.9008,71.9008,0.0
2018-03-07,0.0,71.0744,0.0,71.0744,0.0,71.0744,71.0744,0.0
2018-03-08,1.6529,70.2479,1.6529,70.2479,1.6529,70.2479,70.2479,1.6529
2018-03-09,0.8264,69.4215,0.8264,69.4215,0.8264,69.4215,69.4215,0.8264
2018-03-12,0.0,68.595,0.0,68.595,0.0,68.595,68.595,0.0
2018-03-13,0.0,67.7686,0.0,67.7686,0.0,67.7686,67.7686,0.0
2018-03-14,81.8182,66.9421,81.8182,66.9421,81.8182,66.9421,66.9421,81.8182
2018-03-15,80.9917,66.1157,80.9917,66.1157,80.9917,66.1157,66.1157,80.9917
2018-03-16,80.1653,65.2893,80.1653,65.2893,80.1653,65.2893,65.2893,80.1653
2018-03-19,79.3388,64.4628,79.3388,64.4628,79.3388,64.4628,64.4628,79.3388
2018-03-20,78.5124,63.6364,78.5124,63.6364,78.5124,63.6364,63.6364,78.5124
2018-03-21,77.686,62.8099,77.686,62.8099,77.686,62.8099,62.8099,77.686
2018-03-22,76.8595,61.9835,76.8595,61.9835,76.8595,61.9835,61.9835,76.8595
2018-03-23,76.0331,61.157,76.0331,61.157,76.0331,61.157,61.157,76.0331
2018-03-26,75.2066,60.3306,75.2066,60.3306,75.2066,60.3306,60.3306,75.2066
2018-03-27,74.3802,59.5041,74.3802,59.5041,74.3802,59.5041,59.5041,74.3802
2018-03-28,73.5537,58.6777,73.5537,58.6777,73.5537,58.6777,58.6777,73.5537
2018-03-29,72.7273,57.8512,72.7273,57.8512,72.7273,57.8512,57.8512,72.7273
2018-04-02,71.9008,57.0248,71.9008,57.0248,71.9008,57.0248,57.0248,71.9008
2018-04-03,71.0744,56.1983,71.0744,56.1983,71.0744,56.1983,56.1983,71.0744
2018-04-04,70.2479,55.3719,70.2479,55.3719,70.2479,55.3719,55.3719,70.2479
2018-04-05,69.4215,54.5455,69.4215,54.5455,69.4215,54.5455,54.5455,69.4215
2018-04-06,68.595,53.719,68.595,53.719,68.595,53.719,53.719,68.595
2018-04-09,67.7686,52.8926,67.7686,52.8926,67.7686,52.8926,52.8926,67.7686
2018-04-10,66.9421,52.0661,66.9421,52.0661,66.9421,52.0661,52.0661,66.9421
2018-04-11,66.1157,51.2397,66.1157,51.2397,66.1157,51.2397,51.2397,66.1157
2018-04-12,65.2893,50.4132,65.2893,50.4132,65.2893,50.4132,50.4132,65.2893
2018-04-13,64.4628,49.5868,64.4628,49.5868,64.4628,49.5868,49.5868,64.4628
2018-04-16,63.6364,48.7603,63.6364,48.7603,63.6364,48.7603,48.7603,63.6364
2018-04-17,62.8099,47.9339,62.8099,47.9339,62.8099,47.9339,47.9339,62.8099
2018-04-18,61.9835,47.1074,61.9835,47.1074,61.9835,47.1074,47.1074,61.9835
2018-04-19,61.157,100.0,61.157,100.0,61.157,100.0,100.0,61.157
2018-04-20,60.3306,99.1736,60.3306,99.1736,60.3306,99.1736,99.1736,60.3306
2018-04-23,59.5041,98.3471,59.5041,98.3471,59.5041,98.3471,98.3471,59.5041
2018-04-24,58.6777,97.5207,58.6777,97.5207,58.6777,97.5207,97.5207,58.6777
2018-04-25,57.8512,96.6942,57.8512,96.6942,57.8512,96.6942,96.6942,57.8512
2018-04-26,57.0248,95.8678,57.0248,95.8678,57.0248,95.8678,95.8678,57.0248
2018-04-27,56.1983,95.0413,56.1983,95.0413,56.1983,95.0413,95.0413,56.1983
