date,Aroon Up,Aroon Down,Aroon Down,Aroon Up,Aroon Up,Aroon Down,Aroon Up,Aroon Down
2018-01-02,55.0,0.0,0.0,55.0,55.0,0.0,55.0,0.0
2018-01-03,50.0,40.0,40.0,50.0,50.0,40.0,50.0,40.0
2018-01-04,100.0,35.0,35.0,100.0,100.0,35.0,100.0,35.0
2018-01-05,95.0,30.0,30.0,95.0,95.0,30.0,95.0,30.0
2018-01-08,90.0,25.0,25.0,90.0,90.0,25.0,90.0,25.0
2018-01-09,85.0,20.0,20.0,85.0,85.0,20.0,85.0,20.0
2018-01-10,80.0,15.0,15.0,80.0,80.0,15.0,80.0,15.0
2018-01-11,75.0,10.0,10.0,75.0,75.0,10.0,75.0,10.0
2018-01-12,70.0,5.0,5.0,70.0,70.0,5.0,70.0,5.0
2018-01-16,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0
2018-01-17,95.0,0.0,0.0,95.0,95.0,0.0,95.0,0.0
2018-01-18,90.0,25.0,25.0,90.0,90.0,25.0,90.0,25.0
2018-01-19,85.0,100.0,100.0,85.0,85.0,100.0,85.0,100.0
2018-01-22,80.0,95.0,95.0,80.0,80.0,95.0,80.0,95.0
2018-01-23,75.0,90.0,90.0,75.0,75.0,90.0,75.0,90.0
2018-01-24,70.0,85.0,85.0,70.0,70.0,85.0,70.0,85.0
2018-01-25,65.0,80.0,80.0,65.0,65.0,80.0,65.0,80.0
2018-01-26,60.0,75.0,75.0,60.0,60.0,75.0,60.0,75.0
2018-01-29,55.0,70.0,70.0,55.0,55.0,70.0,55.0,70.0
2018-01-30,50.0,65.0,65.0,50.0,50.0,65.0,50.0,65.0
2018-01-31,45.0,60.0,60.0,45.0,45.0,60.0,45.0,60.0
2018-02-01,40.0,55.0,55.0,40.0,40.0,55.0,40.0,55.0
2018-02-02,35.0,50.0,50.0,35.0,35.0,50.0,35.0,50.0
2018-02-05,30.0,100.0,100.0,30.0,30.0,100.0,30.0,100.0
2018-02-06,25.0,100.0,100.0,25.0,25.0,100.0,25.0,100.0
2018-02-07,20.0,95.0,95.0,20.0,20.0,95.0,20.0,95.0
