date,open,low,high,close
2018-01-02,116.186,116.186,116.186,116.186
2018-01-03,121.0969,121.0969,121.0969,121.0969
2018-01-04,138.2341,138.2341,138.2341,138.2341
2018-01-05,135.7687,135.7687,135.7687,135.7687
2018-01-08,128.8576,128.8576,128.8576,128.8576
2018-01-09,127.1805,127.1805,127.1805,127.1805
2018-01-10,132.1158,132.1158,132.1158,132.1158
2018-01-11,126.2296,126.2296,126.2296,126.2296
2018-01-12,121.9754,121.9754,121.9754,121.9754
2018-01-16,124.2177,124.2177,124.2177,124.2177
2018-01-17,113.4413,113.4413,113.4413,113.4413
2018-01-18,108.2547,108.2547,108.2547,108.2547
2018-01-19,74.6306,74.6306,74.6306,74.6306
2018-01-22,74.3126,74.3126,74.3126,74.3126
2018-01-23,74.6349,74.6349,74.6349,74.6349
2018-01-24,88.145,88.145,88.145,88.145
2018-01-25,96.3196,96.3196,96.3196,96.3196
2018-01-26,92.7395,92.7395,92.7395,92.7395
2018-01-29,92.7695,92.7695,92.7695,92.7695
2018-01-30,85.3093,85.3093,85.3093,85.3093
2018-01-31,84.7062,84.7062,84.7062,84.7062
2018-02-01,87.5173,87.5173,87.5173,87.5173
2018-02-02,60.2385,60.2385,60.2385,60.2385
2018-02-05,-17.7691,-17.7691,-17.7691,-17.7691
2018-02-06,-21.0798,-21.0798,-21.0798,-21.0798
2018-02-07,3.0566,3.0566,3.0566,3.0566
2018-02-08,-55.264,-55.264,-55.264,-55.264
2018-02-09,-50.0437,-50.0437,-50.0437,-50.0437
2018-02-12,5.9894,5.9894,5.9894,5.9894
2018-02-13,1.692,1.692,1.692,1.692
2018-02-14,23.5296,23.5296,23.5296,23.5296
2018-02-15,37.4359,37.4359,37.4359,37.4359
2018-02-16,43.6794,43.6794,43.6794,43.6794
2018-02-20,47.5145,47.5145,47.5145,47.5145
2018-02-21,54.0401,54.0401,54.0401,54.0401
2018-02-22,51.4706,51.4706,51.4706,51.4706
2018-02-23,66.1744,66.1744,66.1744,66.1744
2018-02-26,106.3825,106.3825,106.3825,106.3825
2018-02-27,99.1697,99.1697,99.1697,99.1697
2018-02-28,62.596,62.596,62.596,62.596
2018-03-01,17.0506,17.0506,17.0506,17.0506
2018-03-02,-5.7744,-5.7744,-5.7744,-5.7744
2018-03-05,18.8091,18.8091,18.8091,18.8091
2018-03-06,14.5379,14.5379,14.5379,14.5379
2018-03-07,-3.9771,-3.9771,-3.9771,-3.9771
2018-03-08,13.1242,13.1242,13.1242,13.1242
2018-03-09,59.9503,59.9503,59.9503,59.9503
2018-03-12,56.3404,56.3404,56.3404,56.3404
2018-03-13,10.4226,10.4226,10.4226,10.4226
2018-03-14,-19.8583,-19.8583,-19.8583,-19.8583
2018-03-15,-29.2422,-29.2422,-29.2422,-29.2422
2018-03-16,-11.5611,-11.5611,-11.5611,-11.5611
2018-03-19,-30.2214,-30.2214,-30.2214,-30.2214
2018-03-20,-22.467,-22.467,-22.467,-22.467
2018-03-21,-23.5456,-23.5456,-23.5456,-23.5456
2018-03-22,-99.3134,-99.3134,-99.3134,-99.3134
2018-03-23,-127.5253,-127.5253,-127.5253,-127.5253
2018-03-26,-101.5301,-101.5301,-101.5301,-101.5301
2018-03-27,-105.515,-105.515,-105.515,-105.515
2018-03-28,-94.8917,-94.8917,-94.8917,-94.8917
2018-03-29,-73.6829,-73.6829,-73.6829,-73.6829
2018-04-02,-120.6639,-120.6639,-120.6639,-120.6639
2018-04-03,-100.9391,-100.9391,-100.9391,-100.9391
2018-04-04,-86.5407,-86.5407,-86.5407,-86.5407
2018-04-05,-48.6182,-48.6182,-48.6182,-48.6182
2018-04-06,-105.6504,-105.6504,-105.6504,-105.6504
2018-04-09,-90.3434,-90.3434,-90.3434,-90.3434
2018-04-10,-82.9719,-82.9719,-82.9719,-82.9719
2018-04-11,-113.2462,-113.2462,-113.2462,-113.2462
2018-04-12,-82.4042,-82.4042,-82.4042,-82.4042
2018-04-13,-78.4043,-78.4043,-78.4043,-78.4043
2018-04-16,-70.065,-70.065,-70.065,-70.065
2018-04-17,-60.5413,-60.5413,-60.5413,-60.5413
2018-04-18,-40.3481,-40.3481,-40.3481,-40.3481
2018-04-19,137.0427,137.0427,137.0427,137.0427
2018-04-20,129.3216,129.3216,129.3216,129.3216
2018-04-23,107.9612,107.9612,107.9612,107.9612
2018-04-24,106.1448,106.1448,106.1448,106.1448
2018-04-25,63.8201,63.8201,63.8201,63.8201
2018-04-26,82.3814,82.3814,82.3814,82.3814
2018-04-27,76.9775,76.9775,76.9775,76.9775
2018-04-30,67.5011,67.5011,67.5011,67.5011
2018-05-01,40.1555,40.1555,40.1555,40.1555
2018-05-02,38.4491,38.4491,38.4491,38.4491
2018-05-03,-0.2763,-0.2763,-0.2763,-0.2763
2018-05-04,27.6467,27.6467,27.6467,27.6467
2018-05-07,48.176,48.176,48.176,48.176
2018-05-08,69.5799,69.5799,69.5799,69.5799
2018-05-09,89.2592,89.2592,89.2592,89.2592
2018-05-10,109.055,109.055,109.055,109.055
2018-05-11,123.4377,123.4377,123.4377,123.4377
2018-05-14,114.7821,114.7821,114.7821,114.7821
2018-05-15,91.341,91.341,91.341,91.341
2018-05-16,91.1651,91.1651,91.1651,91.1651
2018-05-17,99.2614,99.2614,99.2614,99.2614
2018-05-18,94.7636,94.7636,94.7636,94.7636
2018-05-21,119.0319,119.0319,119.0319,119.0319
2018-05-22,136.6912,136.6912,136.6912,136.6912
2018-05-23,109.8895,109.8895,109.8895,109.8895
2018-05-24,107.6674,107.6674,107.6674,107.6674
2018-05-25,90.4715,90.4715,90.4715,90.4715
2018-05-29,16.3909,16.3909,16.3909,16.3909
2018-05-30,31.916,31.916,31.916,31.916
2018-05-31,24.3107,24.3107,24.3107,24.3107
2018-06-01,29.5125,29.5125,29.5125,29.5125
2018-06-04,42.1661,42.1661,42.1661,42.1661
2018-06-05,38.2364,38.2364,38.2364,38.2364
2018-06-06,74.7935,74.7935,74.7935,74.7935
2018-06-07,101.0408,101.0408,101.0408,101.0408
2018-06-08,75.9875,75.9875,75.9875,75.9875
2018-06-11,89.2982,89.2982,89.2982,89.2982
2018-06-12,78.4318,78.4318,78.4318,78.4318
2018-06-13,64.9605,64.9605,64.9605,64.9605
2018-06-14,60.7287,60.7287,60.7287,60.7287
2018-06-15,17.5391,17.5391,17.5391,17.5391
2018-06-18,11.3311,11.3311,11.3311,11.3311
2018-06-19,-10.1537,-10.1537,-10.1537,-10.1537
2018-06-20,-18.2435,-18.2435,-18.2435,-18.2435
2018-06-21,-28.566,-28.566,-28.566,-28.566
2018-06-22,-4.1488,-4.1488,-4.1488,-4.1488
2018-06-25,12.9965,12.9965,12.9965,12.9965
2018-06-26,28.1689,28.1689,28.1689,28.1689
2018-06-27,5.2131,5.2131,5.2131,5.2131
2018-06-28,-13.3712,-13.3712,-13.3712,-13.3712
2018-06-29,22.0617,22.0617,22.0617,22.0617
2018-07-02,23.2178,23.2178,23.2178,23.2178
2018-07-03,21.0048,21.0048,21.0048,21.0048
2018-07-05,21.0618,21.0618,21.0618,21.0618
2018-07-06,29.9729,29.9729,29.9729,29.9729
2018-07-09,58.4845,58.4845,58.4845,58.4845
2018-07-10,67.0943,67.0943,67.0943,67.0943
2018-07-11,74.1982,74.1982,74.1982,74.1982
