date,open,low,high,close
2018-01-02,99.7415,99.7415,99.7415,99.7415
2018-01-03,99.8554,99.8554,99.8554,99.8554
2018-01-04,100.0815,100.0815,100.0815,100.0815
2018-01-05,100.3098,100.3098,100.3098,100.3098
2018-01-08,100.4297,100.4297,100.4297,100.4297
2018-01-09,100.5727,100.5727,100.5727,100.5727
2018-01-10,100.7686,100.7686,100.7686,100.7686
2018-01-11,100.9003,100.9003,100.9003,100.9003
2018-01-12,101.0419,101.0419,101.0419,101.0419
2018-01-16,101.1099,101.1099,101.1099,101.1099
2018-01-17,101.2095,101.2095,101.2095,101.2095
2018-01-18,101.213,101.213,101.213,101.213
2018-01-19,101.0387,101.0387,101.0387,101.0387
2018-01-22,100.9014,100.9014,100.9014,100.9014
2018-01-23,100.7387,100.7387,100.7387,100.7387
2018-01-24,100.7106,100.7106,100.7106,100.7106
2018-01-25,100.7189,100.7189,100.7189,100.7189
2018-01-26,100.7182,100.7182,100.7182,100.7182
2018-01-29,100.6941,100.6941,100.6941,100.6941
2018-01-30,100.6026,100.6026,100.6026,100.6026
2018-01-31,100.581,100.581,100.581,100.581
2018-02-01,100.6157,100.6157,100.6157,100.6157
2018-02-02,100.3297,100.3297,100.3297,100.3297
2018-02-05,99.6177,99.6177,99.6177,99.6177
2018-02-06,99.1619,99.1619,99.1619,99.1619
2018-02-07,98.6834,98.6834,98.6834,98.6834
2018-02-08,97.7368,97.7368,97.7368,97.7368
2018-02-09,97.1796,97.1796,97.1796,97.1796
2018-02-12,96.9461,96.9461,96.9461,96.9461
2018-02-13,96.7161,96.7161,96.7161,96.7161
2018-02-14,96.6619,96.6619,96.6619,96.6619
2018-02-15,96.6432,96.6432,96.6432,96.6432
2018-02-16,96.648,96.648,96.648,96.648
2018-02-20,96.6907,96.6907,96.6907,96.6907
2018-02-21,96.7601,96.7601,96.7601,96.7601
2018-02-22,96.8103,96.8103,96.8103,96.8103
2018-02-23,96.9951,96.9951,96.9951,96.9951
2018-02-26,97.4369,97.4369,97.4369,97.4369
2018-02-27,97.6505,97.6505,97.6505,97.6505
2018-02-28,97.6514,97.6514,97.6514,97.6514
2018-03-01,97.4263,97.4263,97.4263,97.4263
2018-03-02,97.261,97.261,97.261,97.261
2018-03-05,97.2083,97.2083,97.2083,97.2083
2018-03-06,97.1032,97.1032,97.1032,97.1032
2018-03-07,96.9647,96.9647,96.9647,96.9647
2018-03-08,96.9266,96.9266,96.9266,96.9266
2018-03-09,97.1256,97.1256,97.1256,97.1256
2018-03-12,97.1788,97.1788,97.1788,97.1788
2018-03-13,97.0092,97.0092,97.0092,97.0092
2018-03-14,96.7719,96.7719,96.7719,96.7719
2018-03-15,96.5385,96.5385,96.5385,96.5385
2018-03-16,96.4384,96.4384,96.4384,96.4384
2018-03-19,96.2725,96.2725,96.2725,96.2725
2018-03-20,96.1294,96.1294,96.1294,96.1294
2018-03-21,95.9772,95.9772,95.9772,95.9772
2018-03-22,95.5196,95.5196,95.5196,95.5196
2018-03-23,95.0044,95.0044,95.0044,95.0044
2018-03-26,94.7339,94.7339,94.7339,94.7339
2018-03-27,94.3699,94.3699,94.3699,94.3699
2018-03-28,94.1088,94.1088,94.1088,94.1088
2018-03-29,93.9698,93.9698,93.9698,93.9698
2018-04-02,93.6254,93.6254,93.6254,93.6254
2018-04-03,93.4731,93.4731,93.4731,93.4731
2018-04-04,93.4136,93.4136,93.4136,93.4136
2018-04-05,93.4191,93.4191,93.4191,93.4191
2018-04-06,93.208,93.208,93.208,93.208
2018-04-09,93.0358,93.0358,93.0358,93.0358
2018-04-10,92.9597,92.9597,92.9597,92.9597
2018-04-11,92.7577,92.7577,92.7577,92.7577
2018-04-12,92.7387,92.7387,92.7387,92.7387
2018-04-13,92.6925,92.6925,92.6925,92.6925
2018-04-16,92.7058,92.7058,92.7058,92.7058
2018-04-17,92.7447,92.7447,92.7447,92.7447
2018-04-18,92.9053,92.9053,92.9053,92.9053
2018-04-19,93.7432,93.7432,93.7432,93.7432
2018-04-20,94.3715,94.3715,94.3715,94.3715
2018-04-23,94.9381,94.9381,94.9381,94.9381
2018-04-24,95.4481,95.4481,95.4481,95.4481
2018-04-25,95.7635,95.7635,95.7635,95.7635
2018-04-26,96.194,96.194,96.194,96.194
2018-04-27,96.5341,96.5341,96.5341,96.5341
2018-04-30,96.7673,96.7673,96.7673,96.7673
2018-05-01,96.9669,96.9669,96.9669,96.9669
2018-05-02,97.0609,97.0609,97.0609,97.0609
2018-05-03,97.1006,97.1006,97.1006,97.1006
2018-05-04,97.2518,97.2518,97.2518,97.2518
2018-05-07,97.4132,97.4132,97.4132,97.4132
2018-05-08,97.6723,97.6723,97.6723,97.6723
2018-05-09,97.9841,97.9841,97.9841,97.9841
2018-05-10,98.3559,98.3559,98.3559,98.3559
2018-05-11,98.7034,98.7034,98.7034,98.7034
2018-05-14,99.0118,99.0118,99.0118,99.0118
2018-05-15,99.244,99.244,99.244,99.244
2018-05-16,99.4434,99.4434,99.4434,99.4434
2018-05-17,99.6865,99.6865,99.6865,99.6865
2018-05-18,99.8882,99.8882,99.8882,99.8882
2018-05-21,100.1732,100.1732,100.1732,100.1732
2018-05-22,100.4984,100.4984,100.4984,100.4984
2018-05-23,100.7246,100.7246,100.7246,100.7246
2018-05-24,100.9397,100.9397,100.9397,100.9397
2018-05-25,101.0503,101.0503,101.0503,101.0503
2018-05-29,100.8288,100.8288,100.8288,100.8288
2018-05-30,100.7419,100.7419,100.7419,100.7419
2018-05-31,100.5933,100.5933,100.5933,100.5933
2018-06-01,100.4487,100.4487,100.4487,100.4487
2018-06-04,100.4269,100.4269,100.4269,100.4269
2018-06-05,100.3914,100.3914,100.3914,100.3914
2018-06-06,100.5148,100.5148,100.5148,100.5148
