date,open,low,high,close
2018-01-02,98.9181,98.9181,98.9181,98.9181
2018-01-03,99.033,99.033,99.033,99.033
2018-01-04,99.3633,99.3633,99.3633,99.3633
2018-01-05,99.6755,99.6755,99.6755,99.6755
2018-01-08,99.7617,99.7617,99.7617,99.7617
2018-01-09,99.8996,99.8996,99.8996,99.8996
2018-01-10,100.1397,100.1397,100.1397,100.1397
2018-01-11,100.247,100.247,100.247,100.247
2018-01-12,100.3785,100.3785,100.3785,100.3785
2018-01-16,100.3715,100.3715,100.3715,100.3715
2018-01-17,100.4421,100.4421,100.4421,100.4421
2018-01-18,100.3363,100.3363,100.3363,100.3363
2018-01-19,99.9169,99.9169,99.9169,99.9169
2018-01-22,99.6266,99.6266,99.6266,99.6266
2018-01-23,99.3272,99.3272,99.3272,99.3272
2018-01-24,99.3223,99.3223,99.3223,99.3223
2018-01-25,99.3891,99.3891,99.3891,99.3891
2018-01-26,99.4329,99.4329,99.4329,99.4329
2018-01-29,99.4288,99.4288,99.4288,99.4288
2018-01-30,99.2981,99.2981,99.2981,99.2981
2018-01-31,99.3166,99.3166,99.3166,99.3166
2018-02-01,99.4409,99.4409,99.4409,99.4409
2018-02-02,98.9389,98.9389,98.9389,98.9389
2018-02-05,97.6791,97.6791,97.6791,97.6791
2018-02-06,97.0429,97.0429,97.0429,97.0429
2018-02-07,96.4187,96.4187,96.4187,96.4187
2018-02-08,94.9499,94.9499,94.9499,94.9499
2018-02-09,94.3626,94.3626,94.3626,94.3626
2018-02-12,94.424,94.424,94.424,94.424
2018-02-13,94.4487,94.4487,94.4487,94.4487
2018-02-14,94.7726,94.7726,94.7726,94.7726
2018-02-15,95.0976,95.0976,95.0976,95.0976
2018-02-16,95.4053,95.4053,95.4053,95.4053
2018-02-20,95.7298,95.7298,95.7298,95.7298
2018-02-21,96.0516,96.0516,96.0516,96.0516
2018-02-22,96.2877,96.2877,96.2877,96.2877
2018-02-23,96.7445,96.7445,96.7445,96.7445
2018-02-26,97.6346,97.6346,97.6346,97.6346
2018-02-27,97.9883,97.9883,97.9883,97.9883
2018-02-28,97.9013,97.9013,97.9013,97.9013
2018-03-01,97.3993,97.3993,97.3993,97.3993
2018-03-02,97.0721,97.0721,97.0721,97.0721
2018-03-05,96.9972,96.9972,96.9972,96.9972
2018-03-06,96.8286,96.8286,96.8286,96.8286
2018-03-07,96.6125,96.6125,96.6125,96.6125
2018-03-08,96.6084,96.6084,96.6084,96.6084
2018-03-09,97.0523,97.0523,97.0523,97.0523
2018-03-12,97.1646,97.1646,97.1646,97.1646
2018-03-13,96.8383,96.8383,96.8383,96.8383
2018-03-14,96.4186,96.4186,96.4186,96.4186
2018-03-15,96.0498,96.0498,96.0498,96.0498
2018-03-16,95.9698,95.9698,95.9698,95.9698
2018-03-19,95.7644,95.7644,95.7644,95.7644
2018-03-20,95.6163,95.6163,95.6163,95.6163
2018-03-21,95.457,95.457,95.457,95.457
2018-03-22,94.7212,94.7212,94.7212,94.7212
2018-03-23,93.9446,93.9446,93.9446,93.9446
2018-03-26,93.7038,93.7038,93.7038,93.7038
2018-03-27,93.2885,93.2885,93.2885,93.2885
2018-03-28,93.0924,93.0924,93.0924,93.0924
2018-03-29,93.1265,93.1265,93.1265,93.1265
2018-04-02,92.7399,92.7399,92.7399,92.7399
2018-04-03,92.7399,92.7399,92.7399,92.7399
2018-04-04,92.8927,92.8927,92.8927,92.8927
2018-04-05,93.1304,93.1304,93.1304,93.1304
2018-04-06,92.9085,92.9085,92.9085,92.9085
2018-04-09,92.7688,92.7688,92.7688,92.7688
2018-04-10,92.8108,92.8108,92.8108,92.8108
2018-04-11,92.5907,92.5907,92.5907,92.5907
2018-04-12,92.7287,92.7287,92.7287,92.7287
2018-04-13,92.7835,92.7835,92.7835,92.7835
2018-04-16,92.9319,92.9319,92.9319,92.9319
2018-04-17,93.1007,93.1007,93.1007,93.1007
2018-04-18,93.4733,93.4733,93.4733,93.4733
2018-04-19,95.0909,95.0909,95.0909,95.0909
2018-04-20,96.1271,96.1271,96.1271,96.1271
2018-04-23,96.9422,96.9422,96.9422,96.9422
2018-04-24,97.5781,97.5781,97.5781,97.5781
2018-04-25,97.7966,97.7966,97.7966,97.7966
2018-04-26,98.2391,98.2391,98.2391,98.2391
2018-04-27,98.4883,98.4883,98.4883,98.4883
2018-04-30,98.5359,98.5359,98.5359,98.5359
2018-05-01,98.5439,98.5439,98.5439,98.5439
2018-05-02,98.3778,98.3778,98.3778,98.3778
2018-05-03,98.1527,98.1527,98.1527,98.1527
2018-05-04,98.1886,98.1886,98.1886,98.1886
2018-05-07,98.2597,98.2597,98.2597,98.2597
