date,open,low,high,close
2018-01-02,97.0058,97.0058,97.0058,97.0058
2018-01-03,97.118,97.118,97.118,97.118
2018-01-04,97.2915,97.2915,97.2915,97.2915
2018-01-05,97.4721,97.4721,97.4721,97.4721
2018-01-08,97.5879,97.5879,97.5879,97.5879
2018-01-09,97.7152,97.7152,97.7152,97.7152
2018-01-10,97.8705,97.8705,97.8705,97.8705
2018-01-11,97.9985,97.9985,97.9985,97.9985
2018-01-12,98.1315,98.1315,98.1315,98.1315
2018-01-16,98.2299,98.2299,98.2299,98.2299
2018-01-17,98.3427,98.3427,98.3427,98.3427
2018-01-18,98.4045,98.4045,98.4045,98.4045
2018-01-19,98.3899,98.3899,98.3899,98.3899
2018-01-22,98.3873,98.3873,98.3873,98.3873
2018-01-23,98.3733,98.3733,98.3733,98.3733
2018-01-24,98.4067,98.4067,98.4067,98.4067
2018-01-25,98.4583,98.4583,98.4583,98.4583
2018-01-26,98.5042,98.5042,98.5042,98.5042
2018-01-29,98.5377,98.5377,98.5377,98.5377
2018-01-30,98.5436,98.5436,98.5436,98.5436
2018-01-31,98.5746,98.5746,98.5746,98.5746
2018-02-01,98.6301,98.6301,98.6301,98.6301
2018-02-02,98.5715,98.5715,98.5715,98.5715
2018-02-05,98.4614,98.4614,98.4614,98.4614
2018-02-06,98.3811,98.3811,98.3811,98.3811
2018-02-07,98.3104,98.3104,98.3104,98.3104
2018-02-08,98.2587,98.2587,98.2587,98.2587
2018-02-09,98.1828,98.1828,98.1828,98.1828
2018-02-12,98.1203,98.1203,98.1203,98.1203
2018-02-13,98.0568,98.0568,98.0568,98.0568
2018-02-14,98.0187,98.0187,98.0187,98.0187
2018-02-15,97.9874,97.9874,97.9874,97.9874
2018-02-16,97.9613,97.9613,97.9613,97.9613
2018-02-20,97.9441,97.9441,97.9441,97.9441
2018-02-21,97.9339,97.9339,97.9339,97.9339
2018-02-22,97.9207,97.9207,97.9207,97.9207
2018-02-23,97.9426,97.9426,97.9426,97.9426
2018-02-26,98.0517,98.0517,98.0517,98.0517
2018-02-27,98.0885,98.0885,98.0885,98.0885
2018-02-28,98.0762,98.0762,98.0762,98.0762
2018-03-01,98.0275,98.0275,98.0275,98.0275
2018-03-02,97.9816,97.9816,97.9816,97.9816
2018-03-05,97.954,97.954,97.954,97.954
2018-03-06,97.9211,97.9211,97.9211,97.9211
2018-03-07,97.886,97.886,97.886,97.886
2018-03-08,97.8645,97.8645,97.8645,97.8645
2018-03-09,97.8898,97.8898,97.8898,97.8898
2018-03-12,97.886,97.886,97.886,97.886
2018-03-13,97.8549,97.8549,97.8549,97.8549
2018-03-14,97.8223,97.8223,97.8223,97.8223
2018-03-15,97.7867,97.7867,97.7867,97.7867
2018-03-16,97.7609,97.7609,97.7609,97.7609
2018-03-19,97.7293,97.7293,97.7293,97.7293
2018-03-20,97.6981,97.6981,97.6981,97.6981
2018-03-21,97.6675,97.6675,97.6675,97.6675
2018-03-22,97.6313,97.6313,97.6313,97.6313
2018-03-23,97.5996,97.5996,97.5996,97.5996
2018-03-26,97.57,97.57,97.57,97.57
2018-03-27,97.5401,97.5401,97.5401,97.5401
2018-03-28,97.5147,97.5147,97.5147,97.5147
2018-03-29,97.4892,97.4892,97.4892,97.4892
2018-04-02,97.4614,97.4614,97.4614,97.4614
2018-04-03,97.4375,97.4375,97.4375,97.4375
2018-04-04,97.4158,97.4158,97.4158,97.4158
2018-04-05,97.3966,97.3966,97.3966,97.3966
2018-04-06,97.3735,97.3735,97.3735,97.3735
2018-04-09,97.3498,97.3498,97.3498,97.3498
2018-04-10,97.3312,97.3312,97.3312,97.3312
2018-04-11,97.3059,97.3059,97.3059,97.3059
2018-04-12,97.2846,97.2846,97.2846,97.2846
2018-04-13,97.264,97.264,97.264,97.264
2018-04-16,97.2441,97.2441,97.2441,97.2441
2018-04-17,97.2256,97.2256,97.2256,97.2256
2018-04-18,97.2126,97.2126,97.2126,97.2126
2018-04-19,97.2721,97.2721,97.2721,97.2721
2018-04-20,97.3076,97.3076,97.3076,97.3076
2018-04-23,97.334,97.334,97.334,97.334
2018-04-24,97.3581,97.3581,97.3581,97.3581
2018-04-25,97.368,97.368,97.368,97.368
2018-04-26,97.3901,97.3901,97.3901,97.3901
2018-04-27,97.4056,97.4056,97.4056,97.4056
2018-04-30,97.4138,97.4138,97.4138,97.4138
2018-05-01,97.4204,97.4204,97.4204,97.4204
2018-05-02,97.4214,97.4214,97.4214,97.4214
2018-05-03,97.4199,97.4199,97.4199,97.4199
2018-05-04,97.4259,97.4259,97.4259,97.4259
2018-05-07,97.4349,97.4349,97.4349,97.4349
2018-05-08,97.4558,97.4558,97.4558,97.4558
2018-05-09,97.4843,97.4843,97.4843,97.4843
2018-05-10,97.5244,97.5244,97.5244,97.5244
2018-05-11,97.5668,97.5668,97.5668,97.5668
2018-05-14,97.6058,97.6058,97.6058,97.6058
2018-05-15,97.6364,97.6364,97.6364,97.6364
2018-05-16,97.6641,97.6641,97.6641,97.6641
2018-05-17,97.698,97.698,97.698,97.698
2018-05-18,97.7306,97.7306,97.7306,97.7306
2018-05-21,97.7791,97.7791,97.7791,97.7791
2018-05-22,97.8376,97.8376,97.8376,97.8376
2018-05-23,97.876,97.876,97.876,97.876
