date,open,low,high,close
2018-01-02,99.023,99.023,99.023,99.023
2018-01-03,99.01,99.01,99.01,99.01
2018-01-04,99.18,99.18,99.18,99.18
2018-01-05,99.437,99.437,99.437,99.437
2018-01-08,99.602,99.602,99.602,99.602
2018-01-09,99.78,99.78,99.78,99.78
2018-01-10,100.045,100.045,100.045,100.045
2018-01-11,100.205,100.205,100.205,100.205
2018-01-12,100.332,100.332,100.332,100.332
2018-01-16,100.435,100.435,100.435,100.435
2018-01-17,100.617,100.617,100.617,100.617
2018-01-18,100.648,100.648,100.648,100.648
2018-01-19,100.366,100.366,100.366,100.366
2018-01-22,100.09,100.09,100.09,100.09
2018-01-23,99.873,99.873,99.873,99.873
2018-01-24,99.751,99.751,99.751,99.751
2018-01-25,99.598,99.598,99.598,99.598
2018-01-26,99.488,99.488,99.488,99.488
2018-01-29,99.332,99.332,99.332,99.332
2018-01-30,99.169,99.169,99.169,99.169
2018-01-31,99.033,99.033,99.033,99.033
2018-02-01,99.047,99.047,99.047,99.047
2018-02-02,98.912,98.912,98.912,98.912
2018-02-05,98.281,98.281,98.281,98.281
2018-02-06,97.901,97.901,97.901,97.901
2018-02-07,97.332,97.332,97.332,97.332
2018-02-08,96.197,96.197,96.197,96.197
2018-02-09,95.406,95.406,95.406,95.406
2018-02-12,94.935,94.935,94.935,94.935
2018-02-13,94.52,94.52,94.52,94.52
2018-02-14,94.203,94.203,94.203,94.203
2018-02-15,93.859,93.859,93.859,93.859
2018-02-16,93.87,93.87,93.87,93.87
2018-02-20,94.388,94.388,94.388,94.388
2018-02-21,94.72,94.72,94.72,94.72
2018-02-22,95.094,95.094,95.094,95.094
2018-02-23,96.14,96.14,96.14,96.14
2018-02-26,97.132,97.132,97.132,97.132
2018-02-27,97.62,97.62,97.62,97.62
2018-02-28,97.915,97.915,97.915,97.915
2018-03-01,97.806,97.806,97.806,97.806
2018-03-02,97.71,97.71,97.71,97.71
2018-03-05,97.697,97.697,97.697,97.697
2018-03-06,97.585,97.585,97.585,97.585
2018-03-07,97.399,97.399,97.399,97.399
2018-03-08,97.323,97.323,97.323,97.323
2018-03-09,97.348,97.348,97.348,97.348
2018-03-12,96.951,96.951,96.951,96.951
2018-03-13,96.53,96.53,96.53,96.53
2018-03-14,96.232,96.232,96.232,96.232
2018-03-15,96.157,96.157,96.157,96.157
2018-03-16,96.158,96.158,96.158,96.158
2018-03-19,95.976,95.976,95.976,95.976
2018-03-20,95.864,95.864,95.864,95.864
2018-03-21,95.774,95.774,95.774,95.774
2018-03-22,95.256,95.256,95.256,95.256
2018-03-23,94.396,94.396,94.396,94.396
2018-03-26,93.891,93.891,93.891,93.891
2018-03-27,93.496,93.496,93.496,93.496
2018-03-28,93.264,93.264,93.264,93.264
2018-03-29,93.153,93.153,93.153,93.153
2018-04-02,92.692,92.692,92.692,92.692
2018-04-03,92.482,92.482,92.482,92.482
2018-04-04,92.345,92.345,92.345,92.345
2018-04-05,92.291,92.291,92.291,92.291
2018-04-06,92.341,92.341,92.341,92.341
2018-04-09,92.51,92.51,92.51,92.51
2018-04-10,92.548,92.548,92.548,92.548
2018-04-11,92.566,92.566,92.566,92.566
