date,open,low,high,close
2018-01-02,99.2767,99.2767,99.2767,99.2767
2018-01-03,99.3211,99.3211,99.3211,99.3211
2018-01-04,99.4544,99.4544,99.4544,99.4544
2018-01-05,99.8467,99.8467,99.8467,99.8467
2018-01-08,100.3222,100.3222,100.3222,100.3222
2018-01-09,100.59,100.59,100.59,100.59
2018-01-10,100.6356,100.6356,100.6356,100.6356
2018-01-11,100.6789,100.6789,100.6789,100.6789
2018-01-12,100.8089,100.8089,100.8089,100.8089
2018-01-16,100.8256,100.8256,100.8256,100.8256
2018-01-17,100.7811,100.7811,100.7811,100.7811
2018-01-18,100.5633,100.5633,100.5633,100.5633
2018-01-19,100.1867,100.1867,100.1867,100.1867
2018-01-22,99.5356,99.5356,99.5356,99.5356
2018-01-23,98.7989,98.7989,98.7989,98.7989
2018-01-24,98.46,98.46,98.46,98.46
2018-01-25,98.5444,98.5444,98.5444,98.5444
2018-01-26,99.0211,99.0211,99.0211,99.0211
2018-01-29,99.3689,99.3689,99.3689,99.3689
2018-01-30,99.4556,99.4556,99.4556,99.4556
2018-01-31,99.3333,99.3333,99.3333,99.3333
2018-02-01,99.2644,99.2644,99.2644,99.2644
2018-02-02,99.0789,99.0789,99.0789,99.0789
2018-02-05,98.0978,98.0978,98.0978,98.0978
2018-02-06,96.4044,96.4044,96.4044,96.4044
2018-02-07,94.5956,94.5956,94.5956,94.5956
2018-02-08,93.2,93.2,93.2,93.2
2018-02-09,92.1778,92.1778,92.1778,92.1778
2018-02-12,91.6178,91.6178,91.6178,91.6178
2018-02-13,92.1567,92.1567,92.1567,92.1567
2018-02-14,93.47,93.47,93.47,93.47
2018-02-15,94.8689,94.8689,94.8689,94.8689
2018-02-16,95.8244,95.8244,95.8244,95.8244
2018-02-20,96.3856,96.3856,96.3856,96.3856
2018-02-21,96.8444,96.8444,96.8444,96.8444
2018-02-22,97.1178,97.1178,97.1178,97.1178
2018-02-23,97.4633,97.4633,97.4633,97.4633
2018-02-26,98.1644,98.1644,98.1644,98.1644
2018-02-27,99.0511,99.0511,99.0511,99.0511
2018-02-28,99.6156,99.6156,99.6156,99.6156
2018-03-01,98.9978,98.9978,98.9978,98.9978
2018-03-02,97.69,97.69,97.69,97.69
2018-03-05,96.4311,96.4311,96.4311,96.4311
2018-03-06,95.9978,95.9978,95.9978,95.9978
2018-03-07,96.0111,96.0111,96.0111,96.0111
2018-03-08,96.1111,96.1111,96.1111,96.1111
2018-03-09,96.4389,96.4389,96.4389,96.4389
2018-03-12,96.9878,96.9878,96.9878,96.9878
2018-03-13,97.4089,97.4089,97.4089,97.4089
2018-03-14,96.9967,96.9967,96.9967,96.9967
2018-03-15,95.9944,95.9944,95.9944,95.9944
2018-03-16,95.1544,95.1544,95.1544,95.1544
2018-03-19,94.8511,94.8511,94.8511,94.8511
2018-03-20,94.9744,94.9744,94.9744,94.9744
2018-03-21,94.9744,94.9744,94.9744,94.9744
2018-03-22,94.5589,94.5589,94.5589,94.5589
2018-03-23,93.5811,93.5811,93.5811,93.5811
2018-03-26,92.4644,92.4644,92.4644,92.4644
2018-03-27,91.73,91.73,91.73,91.73
2018-03-28,91.6911,91.6911,91.6911,91.6911
2018-03-29,91.9611,91.9611,91.9611,91.9611
2018-04-02,92.1833,92.1833,92.1833,92.1833
2018-04-03,92.2689,92.2689,92.2689,92.2689
2018-04-04,92.3144,92.3144,92.3144,92.3144
2018-04-05,92.7622,92.7622,92.7622,92.7622
2018-04-06,93.0589,93.0589,93.0589,93.0589
2018-04-09,93.1622,93.1622,93.1622,93.1622
2018-04-10,92.7767,92.7767,92.7767,92.7767
2018-04-11,92.4489,92.4489,92.4489,92.4489
2018-04-12,92.4156,92.4156,92.4156,92.4156
2018-04-13,92.5189,92.5189,92.5189,92.5189
2018-04-16,92.8789,92.8789,92.8789,92.8789
2018-04-17,93.1611,93.1611,93.1611,93.1611
2018-04-18,93.6756,93.6756,93.6756,93.6756
2018-04-19,94.9422,94.9422,94.9422,94.9422
2018-04-20,96.9222,96.9222,96.9222,96.9222
2018-04-23,99.2733,99.2733,99.2733,99.2733
2018-04-24,100.4356,100.4356,100.4356,100.4356
2018-04-25,100.6044,100.6044,100.6044,100.6044
2018-04-26,100.1244,100.1244,100.1244,100.1244
2018-04-27,99.7667,99.7667,99.7667,99.7667
2018-04-30,99.6289,99.6289,99.6289,99.6289
2018-05-01,99.35,99.35,99.35,99.35
2018-05-02,98.9433,98.9433,98.9433,98.9433
2018-05-03,98.3611,98.3611,98.3611,98.3611
2018-05-04,97.9367,97.9367,97.9367,97.9367
2018-05-07,97.8378,97.8378,97.8378,97.8378
2018-05-08,98.2067,98.2067,98.2067,98.2067
2018-05-09,98.84,98.84,98.84,98.84
2018-05-10,99.6789,99.6789,99.6789,99.6789
2018-05-11,100.4156,100.4156,100.4156,100.4156
2018-05-14,101.0011,101.0011,101.0011,101.0011
2018-05-15,101.2044,101.2044,101.2044,101.2044
2018-05-16,101.1289,101.1289,101.1289,101.1289
2018-05-17,100.9578,100.9578,100.9578,100.9578
2018-05-18,100.8856,100.8856,100.8856,100.8856
2018-05-21,101.0667,101.0667,101.0667,101.0667
2018-05-22,101.42,101.42,101.42,101.42
2018-05-23,101.85,101.85,101.85,101.85
2018-05-24,102.1156,102.1156,102.1156,102.1156
2018-05-25,102.0389,102.0389,102.0389,102.0389
2018-05-29,101.39,101.39,101.39,101.39
2018-05-30,100.4089,100.4089,100.4089,100.4089
2018-05-31,99.2944,99.2944,99.2944,99.2944
2018-06-01,98.7067,98.7067,98.7067,98.7067
2018-06-04,98.5056,98.5056,98.5056,98.5056
2018-06-05,98.7278,98.7278,98.7278,98.7278
2018-06-06,99.1933,99.1933,99.1933,99.1933
2018-06-07,99.8333,99.8333,99.8333,99.8333
2018-06-08,100.5489,100.5489,100.5489,100.5489
2018-06-11,100.9878,100.9878,100.9878,100.9878
2018-06-12,101.1178,101.1178,101.1178,101.1178
2018-06-13,100.9511,100.9511,100.9511,100.9511
2018-06-14,100.5989,100.5989,100.5989,100.5989
2018-06-15,100.0844,100.0844,100.0844,100.0844
2018-06-18,99.5067,99.5067,99.5067,99.5067
2018-06-19,98.7978,98.7978,98.7978,98.7978
2018-06-20,98.1011,98.1011,98.1011,98.1011
2018-06-21,97.3722,97.3722,97.3722,97.3722
2018-06-22,96.9444,96.9444,96.9444,96.9444
2018-06-25,96.9856,96.9856,96.9856,96.9856
2018-06-26,97.4067,97.4067,97.4067,97.4067
2018-06-27,97.7878,97.7878,97.7878,97.7878
2018-06-28,97.7589,97.7589,97.7589,97.7589
2018-06-29,97.5311,97.5311,97.5311,97.5311
2018-07-02,97.56,97.56,97.56,97.56
2018-07-03,97.86,97.86,97.86,97.86
2018-07-05,98.2422,98.2422,98.2422,98.2422
2018-07-06,98.3444,98.3444,98.3444,98.3444
2018-07-09,98.58,98.58,98.58,98.58
2018-07-10,98.91,98.91,98.91,98.91
2018-07-11,99.4911,99.4911,99.4911,99.4911
2018-07-12,99.98,99.98,99.98,99.98
2018-07-13,100.3811,100.3811,100.3811,100.3811
2018-07-16,100.6278,100.6278,100.6278,100.6278
2018-07-17,100.7367,100.7367,100.7367,100.7367
2018-07-18,101.0556,101.0556,101.0556,101.0556
2018-07-19,101.2733,101.2733,101.2733,101.2733
2018-07-20,101.38,101.38,101.38,101.38
2018-07-23,101.0156,101.0156,101.0156,101.0156
2018-07-24,100.88,100.88,100.88,100.88
2018-07-25,101.1311,101.1311,101.1311,101.1311
2018-07-26,101.72,101.72,101.72,101.72
2018-07-27,102.3756,102.3756,102.3756,102.3756
2018-07-30,102.5578,102.5578,102.5578,102.5578
2018-07-31,102.2667,102.2667,102.2667,102.2667
2018-08-01,101.2489,101.2489,101.2489,101.2489
2018-08-02,100.3044,100.3044,100.3044,100.3044
2018-08-03,99.8322,99.8322,99.8322,99.8322
2018-08-06,100.0122,100.0122,100.0122,100.0122
2018-08-07,100.5656,100.5656,100.5656,100.5656
2018-08-08,101.1989,101.1989,101.1989,101.1989
2018-08-09,101.8989,101.8989,101.8989,101.8989
2018-08-10,102.3067,102.3067,102.3067,102.3067
2018-08-13,102.3856,102.3856,102.3856,102.3856
2018-08-14,102.1444,102.1444,102.1444,102.1444
2018-08-15,101.9389,101.9389,101.9389,101.9389
2018-08-16,101.9344,101.9344,101.9344,101.9344
2018-08-17,102.1144,102.1144,102.1144,102.1144
2018-08-20,102.56,102.56,102.56,102.56
2018-08-21,103.1522,103.1522,103.1522,103.1522
2018-08-22,103.9611,103.9611,103.9611,103.9611
2018-08-23,104.6833,104.6833,104.6833,104.6833
2018-08-24,105.2711,105.2711,105.2711,105.2711
2018-08-27,105.6833,105.6833,105.6833,105.6833
2018-08-28,106.1367,106.1367,106.1367,106.1367
2018-08-29,106.59,106.59,106.59,106.59
2018-08-30,106.8167,106.8167,106.8167,106.8167
2018-08-31,106.6867,106.6867,106.6867,106.6867
2018-09-04,106.4844,106.4844,106.4844,106.4844
2018-09-05,106.3122,106.3122,106.3122,106.3122
2018-09-06,106.22,106.22,106.22,106.22
2018-09-07,105.9911,105.9911,105.9911,105.9911
2018-09-10,106.0022,106.0022,106.0022,106.0022
2018-09-11,106.4011,106.4011,106.4011,106.4011
2018-09-12,107.1033,107.1033,107.1033,107.1033
2018-09-13,107.7789,107.7789,107.7789,107.7789
2018-09-14,108.27,108.27,108.27,108.27
2018-09-17,108.7078,108.7078,108.7078,108.7078
2018-09-18,109.1022,109.1022,109.1022,109.1022
2018-09-19,109.4178,109.4178,109.4178,109.4178
