date,Aroon Up,Aroon Down,Aroon Up,Aroon Down,Aroon Down,Aroon Up,Aroon Up,Aroon Down
2018-01-02,91.6667,10.0,91.6667,10.0,10.0,91.6667,91.6667,10.0
2018-01-03,90.0,8.3333,90.0,8.3333,8.3333,90.0,90.0,8.3333
2018-01-04,100.0,6.6667,100.0,6.6667,6.6667,100.0,100.0,6.6667
2018-01-05,98.3333,5.0,98.3333,5.0,5.0,98.3333,98.3333,5.0
2018-01-08,96.6667,3.3333,96.6667,3.3333,3.3333,96.6667,96.6667,3.3333
2018-01-09,100.0,1.6667,100.0,1.6667,1.6667,100.0,100.0,1.6667
2018-01-10,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0
2018-01-11,98.3333,36.6667,98.3333,36.6667,36.6667,98.3333,98.3333,36.6667
2018-01-12,100.0,35.0,100.0,35.0,35.0,100.0,100.0,35.0
2018-01-16,100.0,33.3333,100.0,33.3333,33.3333,100.0,100.0,33.3333
2018-01-17,98.3333,31.6667,98.3333,31.6667,31.6667,98.3333,98.3333,31.6667
2018-01-18,96.6667,30.0,96.6667,30.0,30.0,96.6667,96.6667,30.0
2018-01-19,95.0,28.3333,95.0,28.3333,28.3333,95.0,95.0,28.3333
2018-01-22,100.0,26.6667,100.0,26.6667,26.6667,100.0,100.0,26.6667
2018-01-23,100.0,25.0,100.0,25.0,25.0,100.0,100.0,25.0
2018-01-24,100.0,23.3333,100.0,23.3333,23.3333,100.0,100.0,23.3333
2018-01-25,100.0,21.6667,100.0,21.6667,21.6667,100.0,100.0,21.6667
2018-01-26,98.3333,20.0,98.3333,20.0,20.0,98.3333,98.3333,20.0
2018-01-29,100.0,18.3333,100.0,18.3333,18.3333,100.0,100.0,18.3333
2018-01-30,98.3333,16.6667,98.3333,16.6667,16.6667,98.3333,98.3333,16.6667
2018-01-31,96.6667,15.0,96.6667,15.0,15.0,96.6667,96.6667,15.0
2018-02-01,100.0,13.3333,100.0,13.3333,13.3333,100.0,100.0,13.3333
2018-02-02,100.0,11.6667,100.0,11.6667,11.6667,100.0,100.0,11.6667
2018-02-05,98.3333,10.0,98.3333,10.0,10.0,98.3333,98.3333,10.0
2018-02-06,96.6667,8.3333,96.6667,8.3333,8.3333,96.6667,96.6667,8.3333
2018-02-07,95.0,6.6667,95.0,6.6667,6.6667,95.0,95.0,6.6667
2018-02-08,93.3333,5.0,93.3333,5.0,5.0,93.3333,93.3333,5.0
2018-02-09,91.6667,3.3333,91.6667,3.3333,3.3333,91.6667,91.6667,3.3333
2018-02-12,90.0,1.6667,90.0,1.6667,1.6667,90.0,90.0,1.6667
2018-02-13,88.3333,0.0,88.3333,0.0,0.0,88.3333,88.3333,0.0
2018-02-14,86.6667,1.6667,86.6667,1.6667,1.6667,86.6667,86.6667,1.6667
2018-02-15,85.0,0.0,85.0,0.0,0.0,85.0,85.0,0.0
2018-02-16,83.3333,6.6667,83.3333,6.6667,6.6667,83.3333,83.3333,6.6667
2018-02-20,81.6667,5.0,81.6667,5.0,5.0,81.6667,81.6667,5.0
2018-02-21,80.0,3.3333,80.0,3.3333,3.3333,80.0,80.0,3.3333
2018-02-22,78.3333,1.6667,78.3333,1.6667,1.6667,78.3333,78.3333,1.6667
2018-02-23,76.6667,0.0,76.6667,0.0,0.0,76.6667,76.6667,0.0
2018-02-26,75.0,0.0,75.0,0.0,0.0,75.0,75.0,0.0
2018-02-27,100.0,3.3333,100.0,3.3333,3.3333,100.0,100.0,3.3333
2018-02-28,98.3333,1.6667,98.3333,1.6667,1.6667,98.3333,98.3333,1.6667
2018-03-01,96.6667,0.0,96.6667,0.0,0.0,96.6667,96.6667,0.0
2018-03-02,95.0,5.0,95.0,5.0,5.0,95.0,95.0,5.0
2018-03-05,93.3333,3.3333,93.3333,3.3333,3.3333,93.3333,93.3333,3.3333
2018-03-06,91.6667,1.6667,91.6667,1.6667,1.6667,91.6667,91.6667,1.6667
2018-03-07,90.0,0.0,90.0,0.0,0.0,90.0,90.0,0.0
2018-03-08,88.3333,6.6667,88.3333,6.6667,6.6667,88.3333,88.3333,6.6667
2018-03-09,86.6667,5.0,86.6667,5.0,5.0,86.6667,86.6667,5.0
2018-03-12,100.0,3.3333,100.0,3.3333,3.3333,100.0,100.0,3.3333
2018-03-13,98.3333,1.6667,98.3333,1.6667,1.6667,98.3333,98.3333,1.6667
2018-03-14,96.6667,0.0,96.6667,0.0,0.0,96.6667,96.6667,0.0
2018-03-15,95.0,0.0,95.0,0.0,0.0,95.0,95.0,0.0
2018-03-16,93.3333,60.0,93.3333,60.0,60.0,93.3333,93.3333,60.0
2018-03-19,91.6667,58.3333,91.6667,58.3333,58.3333,91.6667,91.6667,58.3333
2018-03-20,90.0,56.6667,90.0,56.6667,56.6667,90.0,90.0,56.6667
2018-03-21,88.3333,55.0,88.3333,55.0,55.0,88.3333,88.3333,55.0
2018-03-22,86.6667,53.3333,86.6667,53.3333,53.3333,86.6667,86.6667,53.3333
2018-03-23,85.0,100.0,85.0,100.0,100.0,85.0,85.0,100.0
2018-03-26,83.3333,98.3333,83.3333,98.3333,98.3333,83.3333,83.3333,98.3333
2018-03-27,81.6667,96.6667,81.6667,96.6667,96.6667,81.6667,81.6667,96.6667
2018-03-28,80.0,100.0,80.0,100.0,100.0,80.0,80.0,100.0
2018-03-29,78.3333,98.3333,78.3333,98.3333,98.3333,78.3333,78.3333,98.3333
2018-04-02,76.6667,100.0,76.6667,100.0,100.0,76.6667,76.6667,100.0
2018-04-03,75.0,98.3333,75.0,98.3333,98.3333,75.0,75.0,98.3333
2018-04-04,73.3333,96.6667,73.3333,96.6667,96.6667,73.3333,73.3333,96.6667
2018-04-05,71.6667,95.0,71.6667,95.0,95.0,71.6667,71.6667,95.0
2018-04-06,70.0,93.3333,70.0,93.3333,93.3333,70.0,70.0,93.3333
2018-04-09,68.3333,91.6667,68.3333,91.6667,91.6667,68.3333,68.3333,91.6667
2018-04-10,66.6667,90.0,66.6667,90.0,90.0,66.6667,66.6667,90.0
2018-04-11,65.0,88.3333,65.0,88.3333,88.3333,65.0,65.0,88.3333
2018-04-12,63.3333,86.6667,63.3333,86.6667,86.6667,63.3333,63.3333,86.6667
2018-04-13,61.6667,85.0,61.6667,85.0,85.0,61.6667,61.6667,85.0
2018-04-16,60.0,83.3333,60.0,83.3333,83.3333,60.0,60.0,83.3333
2018-04-17,58.3333,81.6667,58.3333,81.6667,81.6667,58.3333,58.3333,81.6667
2018-04-18,56.6667,80.0,56.6667,80.0,80.0,56.6667,56.6667,80.0
2018-04-19,55.0,78.3333,55.0,78.3333,78.3333,55.0,55.0,78.3333
2018-04-20,53.3333,76.6667,53.3333,76.6667,76.6667,53.3333,53.3333,76.6667
2018-04-23,51.6667,75.0,51.6667,75.0,75.0,51.6667,51.6667,75.0
2018-04-24,50.0,73.3333,50.0,73.3333,73.3333,50.0,50.0,73.3333
2018-04-25,48.3333,71.6667,48.3333,71.6667,71.6667,48.3333,48.3333,71.6667
2018-04-26,46.6667,70.0,46.6667,70.0,70.0,46.6667,46.6667,70.0
2018-04-27,45.0,68.3333,45.0,68.3333,68.3333,45.0,45.0,68.3333
2018-04-30,43.3333,66.6667,43.3333,66.6667,66.6667,43.3333,43.3333,66.6667
2018-05-01,41.6667,65.0,41.6667,65.0,65.0,41.6667,41.6667,65.0
2018-05-02,40.0,63.3333,40.0,63.3333,63.3333,40.0,40.0,63.3333
2018-05-03,38.3333,100.0,38.3333,100.0,100.0,38.3333,38.3333,100.0
2018-05-04,36.6667,98.3333,36.6667,98.3333,98.3333,36.6667,36.6667,98.3333
2018-05-07,35.0,96.6667,35.0,96.6667,96.6667,35.0,35.0,96.6667
2018-05-08,33.3333,95.0,33.3333,95.0,95.0,33.3333,33.3333,95.0
2018-05-09,31.6667,93.3333,31.6667,93.3333,93.3333,31.6667,31.6667,93.3333
2018-05-10,30.0,91.6667,30.0,91.6667,91.6667,30.0,30.0,91.6667
2018-05-11,28.3333,90.0,28.3333,90.0,90.0,28.3333,28.3333,90.0
2018-05-14,26.6667,88.3333,26.6667,88.3333,88.3333,26.6667,26.6667,88.3333
2018-05-15,25.0,86.6667,25.0,86.6667,86.6667,25.0,25.0,86.6667
2018-05-16,23.3333,85.0,23.3333,85.0,85.0,23.3333,23.3333,85.0
2018-05-17,21.6667,83.3333,21.6667,83.3333,83.3333,21.6667,21.6667,83.3333
2018-05-18,20.0,81.6667,20.0,81.6667,81.6667,20.0,20.0,81.6667
2018-05-21,18.3333,80.0,18.3333,80.0,80.0,18.3333,18.3333,80.0
2018-05-22,16.6667,78.3333,16.6667,78.3333,78.3333,16.6667,16.6667,78.3333
2018-05-23,15.0,76.6667,15.0,76.6667,76.6667,15.0,15.0,76.6667
2018-05-24,13.3333,75.0,13.3333,75.0,75.0,13.3333,13.3333,75.0
2018-05-25,11.6667,73.3333,11.6667,73.3333,73.3333,11.6667,11.6667,73.3333
2018-05-29,10.0,71.6667,10.0,71.6667,71.6667,10.0,10.0,71.6667
2018-05-30,8.3333,70.0,8.3333,70.0,70.0,8.3333,8.3333,70.0
2018-05-31,6.6667,68.3333,6.6667,68.3333,68.3333,6.6667,6.6667,68.3333
2018-06-01,5.0,66.6667,5.0,66.6667,66.6667,5.0,5.0,66.6667
2018-06-04,3.3333,65.0,3.3333,65.0,65.0,3.3333,3.3333,65.0
2018-06-05,1.6667,63.3333,1.6667,63.3333,63.3333,1.6667,1.6667,63.3333
2018-06-06,0.0,61.6667,0.0,61.6667,61.6667,0.0,0.0,61.6667
2018-06-07,0.0,60.0,0.0,60.0,60.0,0.0,0.0,60.0
2018-06-08,3.3333,58.3333,3.3333,58.3333,58.3333,3.3333,3.3333,58.3333
2018-06-11,1.6667,56.6667,1.6667,56.6667,56.6667,1.6667,1.6667,56.6667
2018-06-12,0.0,55.0,0.0,55.0,55.0,0.0,0.0,55.0
2018-06-13,3.3333,53.3333,3.3333,53.3333,53.3333,3.3333,3.3333,53.3333
2018-06-14,1.6667,51.6667,1.6667,51.6667,51.6667,1.6667,1.6667,51.6667
2018-06-15,0.0,50.0,0.0,50.0,50.0,0.0,0.0,50.0
2018-06-18,0.0,48.3333,0.0,48.3333,48.3333,0.0,0.0,48.3333
2018-06-19,60.0,46.6667,60.0,46.6667,46.6667,60.0,60.0,46.6667
2018-06-20,58.3333,45.0,58.3333,45.0,45.0,58.3333,58.3333,45.0
2018-06-21,56.6667,43.3333,56.6667,43.3333,43.3333,56.6667,56.6667,43.3333
2018-06-22,55.0,41.6667,55.0,41.6667,41.6667,55.0,55.0,41.6667
2018-06-25,53.3333,100.0,53.3333,100.0,100.0,53.3333,53.3333,100.0
