date,open,low,high,close
2018-01-02,28.6569,28.6569,28.6569,28.6569
2018-01-03,28.7288,28.7288,28.7288,28.7288
2018-01-04,28.8113,28.8113,28.8113,28.8113
2018-01-05,28.8961,28.8961,28.8961,28.8961
2018-01-08,28.9716,28.9716,28.9716,28.9716
2018-01-09,29.0499,29.0499,29.0499,29.0499
2018-01-10,29.1351,29.1351,29.1351,29.1351
2018-01-11,29.2214,29.2214,29.2214,29.2214
2018-01-12,29.3226,29.3226,29.3226,29.3226
2018-01-16,29.4226,29.4226,29.4226,29.4226
2018-01-17,29.5179,29.5179,29.5179,29.5179
2018-01-18,29.6203,29.6203,29.6203,29.6203
2018-01-19,29.7277,29.7277,29.7277,29.7277
2018-01-22,29.8392,29.8392,29.8392,29.8392
2018-01-23,29.9471,29.9471,29.9471,29.9471
2018-01-24,30.0575,30.0575,30.0575,30.0575
2018-01-25,30.1649,30.1649,30.1649,30.1649
2018-01-26,30.2728,30.2728,30.2728,30.2728
2018-01-29,30.3804,30.3804,30.3804,30.3804
2018-01-30,30.472,30.472,30.472,30.472
2018-01-31,30.5649,30.5649,30.5649,30.5649
2018-02-01,30.6714,30.6714,30.6714,30.6714
2018-02-02,30.757,30.757,30.757,30.757
2018-02-05,30.7852,30.7852,30.7852,30.7852
2018-02-06,30.843,30.843,30.843,30.843
2018-02-07,30.9006,30.9006,30.9006,30.9006
2018-02-08,30.9073,30.9073,30.9073,30.9073
2018-02-09,30.9326,30.9326,30.9326,30.9326
2018-02-12,30.9827,30.9827,30.9827,30.9827
2018-02-13,31.0331,31.0331,31.0331,31.0331
2018-02-14,31.1086,31.1086,31.1086,31.1086
2018-02-15,31.1887,31.1887,31.1887,31.1887
2018-02-16,31.2586,31.2586,31.2586,31.2586
2018-02-20,31.3252,31.3252,31.3252,31.3252
2018-02-21,31.3878,31.3878,31.3878,31.3878
2018-02-22,31.4427,31.4427,31.4427,31.4427
2018-02-23,31.5069,31.5069,31.5069,31.5069
2018-02-26,31.5818,31.5818,31.5818,31.5818
2018-02-27,31.6516,31.6516,31.6516,31.6516
2018-02-28,31.7119,31.7119,31.7119,31.7119
2018-03-01,31.7501,31.7501,31.7501,31.7501
2018-03-02,31.7919,31.7919,31.7919,31.7919
2018-03-05,31.8485,31.8485,31.8485,31.8485
2018-03-06,31.9027,31.9027,31.9027,31.9027
2018-03-07,31.9575,31.9575,31.9575,31.9575
2018-03-08,32.0112,32.0112,32.0112,32.0112
2018-03-09,32.0801,32.0801,32.0801,32.0801
2018-03-12,32.1509,32.1509,32.1509,32.1509
2018-03-13,32.2039,32.2039,32.2039,32.2039
2018-03-14,32.2482,32.2482,32.2482,32.2482
2018-03-15,32.2896,32.2896,32.2896,32.2896
2018-03-16,32.3319,32.3319,32.3319,32.3319
2018-03-19,32.3666,32.3666,32.3666,32.3666
2018-03-20,32.4001,32.4001,32.4001,32.4001
2018-03-21,32.4288,32.4288,32.4288,32.4288
2018-03-22,32.4135,32.4135,32.4135,32.4135
2018-03-23,32.3533,32.3533,32.3533,32.3533
2018-03-26,32.3355,32.3355,32.3355,32.3355
2018-03-27,32.2879,32.2879,32.2879,32.2879
2018-03-28,32.2368,32.2368,32.2368,32.2368
2018-03-29,32.2062,32.2062,32.2062,32.2062
2018-04-02,32.1538,32.1538,32.1538,32.1538
2018-04-03,32.1115,32.1115,32.1115,32.1115
2018-04-04,32.0793,32.0793,32.0793,32.0793
2018-04-05,32.0619,32.0619,32.0619,32.0619
2018-04-06,32.0222,32.0222,32.0222,32.0222
2018-04-09,31.9908,31.9908,31.9908,31.9908
2018-04-10,31.9798,31.9798,31.9798,31.9798
2018-04-11,31.9499,31.9499,31.9499,31.9499
2018-04-12,31.9448,31.9448,31.9448,31.9448
2018-04-13,31.9118,31.9118,31.9118,31.9118
2018-04-16,31.8836,31.8836,31.8836,31.8836
2018-04-17,31.8594,31.8594,31.8594,31.8594
2018-04-18,31.8189,31.8189,31.8189,31.8189
2018-04-19,31.8002,31.8002,31.8002,31.8002
2018-04-20,31.7843,31.7843,31.7843,31.7843
2018-04-23,31.7704,31.7704,31.7704,31.7704
2018-04-24,31.7524,31.7524,31.7524,31.7524
2018-04-25,31.7329,31.7329,31.7329,31.7329
2018-04-26,31.7114,31.7114,31.7114,31.7114
2018-04-27,31.6927,31.6927,31.6927,31.6927
2018-04-30,31.6667,31.6667,31.6667,31.6667
2018-05-01,31.6421,31.6421,31.6421,31.6421
2018-05-02,31.6058,31.6058,31.6058,31.6058
2018-05-03,31.5577,31.5577,31.5577,31.5577
2018-05-04,31.5139,31.5139,31.5139,31.5139
2018-05-07,31.4819,31.4819,31.4819,31.4819
2018-05-08,31.4599,31.4599,31.4599,31.4599
2018-05-09,31.4639,31.4639,31.4639,31.4639
2018-05-10,31.4731,31.4731,31.4731,31.4731
2018-05-11,31.4829,31.4829,31.4829,31.4829
2018-05-14,31.4986,31.4986,31.4986,31.4986
2018-05-15,31.517,31.517,31.517,31.517
2018-05-16,31.5295,31.5295,31.5295,31.5295
2018-05-17,31.5334,31.5334,31.5334,31.5334
2018-05-18,31.519,31.519,31.519,31.519
2018-05-21,31.5142,31.5142,31.5142,31.5142
2018-05-22,31.5204,31.5204,31.5204,31.5204
2018-05-23,31.5116,31.5116,31.5116,31.5116
2018-05-24,31.4952,31.4952,31.4952,31.4952
2018-05-25,31.4775,31.4775,31.4775,31.4775
2018-05-29,31.4209,31.4209,31.4209,31.4209
2018-05-30,31.3828,31.3828,31.3828,31.3828
2018-05-31,31.3307,31.3307,31.3307,31.3307
2018-06-01,31.2914,31.2914,31.2914,31.2914
2018-06-04,31.2529,31.2529,31.2529,31.2529
2018-06-05,31.2061,31.2061,31.2061,31.2061
2018-06-06,31.1901,31.1901,31.1901,31.1901
2018-06-07,31.176,31.176,31.176,31.176
2018-06-08,31.1594,31.1594,31.1594,31.1594
2018-06-11,31.1447,31.1447,31.1447,31.1447
2018-06-12,31.125,31.125,31.125,31.125
2018-06-13,31.1036,31.1036,31.1036,31.1036
2018-06-14,31.0715,31.0715,31.0715,31.0715
2018-06-15,31.0329,31.0329,31.0329,31.0329
2018-06-18,30.999,30.999,30.999,30.999
2018-06-19,30.9612,30.9612,30.9612,30.9612
2018-06-20,30.9236,30.9236,30.9236,30.9236
2018-06-21,30.8883,30.8883,30.8883,30.8883
2018-06-22,30.844,30.844,30.844,30.844
2018-06-25,30.784,30.784,30.784,30.784
2018-06-26,30.7273,30.7273,30.7273,30.7273
2018-06-27,30.6622,30.6622,30.6622,30.6622
2018-06-28,30.6125,30.6125,30.6125,30.6125
