date,open,low,high,close
2018-01-02,29.7382,29.7382,29.7382,29.7382
2018-01-03,29.7588,29.7588,29.7588,29.7588
2018-01-04,29.9025,29.9025,29.9025,29.9025
2018-01-05,30.045,30.045,30.045,30.045
2018-01-08,30.07,30.07,30.07,30.07
2018-01-09,30.1367,30.1367,30.1367,30.1367
2018-01-10,30.2745,30.2745,30.2745,30.2745
2018-01-11,30.403,30.403,30.403,30.403
2018-01-12,30.6653,30.6653,30.6653,30.6653
2018-01-16,30.8569,30.8569,30.8569,30.8569
2018-01-17,30.9646,30.9646,30.9646,30.9646
2018-01-18,31.1364,31.1364,31.1364,31.1364
2018-01-19,31.3309,31.3309,31.3309,31.3309
2018-01-22,31.534,31.534,31.534,31.534
2018-01-23,31.6626,31.6626,31.6626,31.6626
2018-01-24,31.8051,31.8051,31.8051,31.8051
2018-01-25,31.9001,31.9001,31.9001,31.9001
2018-01-26,32.0,32.0,32.0,32.0
2018-01-29,32.0934,32.0934,32.0934,32.0934
2018-01-30,32.0222,32.0222,32.0222,32.0222
2018-01-31,32.0148,32.0148,32.0148,32.0148
2018-02-01,32.1766,32.1766,32.1766,32.1766
2018-02-02,32.101,32.101,32.101,32.101
2018-02-05,31.4874,31.4874,31.4874,31.4874
2018-02-06,31.3916,31.3916,31.3916,31.3916
2018-02-07,31.3444,31.3444,31.3444,31.3444
2018-02-08,30.8096,30.8096,30.8096,30.8096
2018-02-09,30.6497,30.6497,30.6497,30.6497
2018-02-12,30.8065,30.8065,30.8065,30.8065
2018-02-13,30.931,30.931,30.931,30.931
2018-02-14,31.2873,31.2873,31.2873,31.2873
2018-02-15,31.5949,31.5949,31.5949,31.5949
2018-02-16,31.7199,31.7199,31.7199,31.7199
2018-02-20,31.7899,31.7899,31.7899,31.7899
2018-02-21,31.8166,31.8166,31.8166,31.8166
2018-02-22,31.7744,31.7744,31.7744,31.7744
2018-02-23,31.8596,31.8596,31.8596,31.8596
2018-02-26,32.0464,32.0464,32.0464,32.0464
2018-02-27,32.1409,32.1409,32.1409,32.1409
2018-02-28,32.1273,32.1273,32.1273,32.1273
2018-03-01,31.9115,31.9115,31.9115,31.9115
2018-03-02,31.8177,31.8177,31.8177,31.8177
2018-03-05,31.9218,31.9218,31.9218,31.9218
2018-03-06,31.9845,31.9845,31.9845,31.9845
2018-03-07,32.0497,32.0497,32.0497,32.0497
2018-03-08,32.0998,32.0998,32.0998,32.0998
2018-03-09,32.3065,32.3065,32.3065,32.3065
2018-03-12,32.4844,32.4844,32.4844,32.4844
2018-03-13,32.4429,32.4429,32.4429,32.4429
2018-03-14,32.3419,32.3419,32.3419,32.3419
2018-03-15,32.2613,32.2613,32.2613,32.2613
2018-03-16,32.2309,32.2309,32.2309,32.2309
2018-03-19,32.1472,32.1472,32.1472,32.1472
2018-03-20,32.0915,32.0915,32.0915,32.0915
2018-03-21,32.0177,32.0177,32.0177,32.0177
2018-03-22,31.5284,31.5284,31.5284,31.5284
2018-03-23,30.7423,30.7423,30.7423,30.7423
2018-03-26,30.6415,30.6415,30.6415,30.6415
2018-03-27,30.2677,30.2677,30.2677,30.2677
2018-03-28,29.9751,29.9751,29.9751,29.9751
2018-03-29,29.9801,29.9801,29.9801,29.9801
2018-04-02,29.7567,29.7567,29.7567,29.7567
2018-04-03,29.7011,29.7011,29.7011,29.7011
2018-04-04,29.7608,29.7608,29.7608,29.7608
2018-04-05,29.9472,29.9472,29.9472,29.9472
