date,open,low,high,close
2018-01-02,0.86,0.86,0.86,0.86
2018-01-03,0.32,0.32,0.32,0.32
2018-01-04,0.74,0.74,0.74,0.74
2018-01-05,0.85,0.85,0.85,0.85
2018-01-08,0.3,0.3,0.3,0.3
2018-01-09,0.39,0.39,0.39,0.39
2018-01-10,0.77,0.77,0.77,0.77
2018-01-11,0.93,0.93,0.93,0.93
2018-01-12,1.39,1.39,1.39,1.39
2018-01-16,1.72,1.72,1.72,1.72
2018-01-17,1.28,1.28,1.28,1.28
2018-01-18,1.68,1.68,1.68,1.68
2018-01-19,1.53,1.53,1.53,1.53
2018-01-22,1.61,1.61,1.61,1.61
2018-01-23,1.8,1.8,1.8,1.8
2018-01-24,1.82,1.82,1.82,1.82
2018-01-25,1.54,1.54,1.54,1.54
2018-01-26,1.54,1.54,1.54,1.54
2018-01-29,1.09,1.09,1.09,1.09
2018-01-30,0.64,0.64,0.64,0.64
2018-01-31,0.82,0.82,0.82,0.82
2018-02-01,1.02,1.02,1.02,1.02
2018-02-02,0.23,0.23,0.23,0.23
2018-02-05,-1.68,-1.68,-1.68,-1.68
2018-02-06,-0.72,-0.72,-0.72,-0.72
2018-02-07,-0.84,-0.84,-0.84,-0.84
2018-02-08,-2.35,-2.35,-2.35,-2.35
2018-02-09,-1.87,-1.87,-1.87,-1.87
2018-02-12,-1.16,-1.16,-1.16,-1.16
2018-02-13,-0.7,-0.7,-0.7,-0.7
2018-02-14,0.0,0.0,0.0,0.0
2018-02-15,-0.29,-0.29,-0.29,-0.29
2018-02-16,0.02,0.02,0.02,0.02
2018-02-20,1.67,1.67,1.67,1.67
2018-02-21,0.67,0.67,0.67,0.67
2018-02-22,0.44,0.44,0.44,0.44
2018-02-23,2.29,2.29,2.29,2.29
2018-02-26,2.09,2.09,2.09,2.09
2018-02-27,1.21,1.21,1.21,1.21
2018-02-28,0.92,0.92,0.92,0.92
2018-03-01,-0.52,-0.52,-0.52,-0.52
2018-03-02,-0.58,-0.58,-0.58,-0.58
2018-03-05,0.16,0.16,0.16,0.16
2018-03-06,0.18,0.18,0.18,0.18
2018-03-07,0.31,0.31,0.31,0.31
2018-03-08,0.51,0.51,0.51,0.51
2018-03-09,0.69,0.69,0.69,0.69
2018-03-12,0.42,0.42,0.42,0.42
2018-03-13,0.03,0.03,0.03,0.03
2018-03-14,0.04,0.04,0.04,0.04
2018-03-15,0.62,0.62,0.62,0.62
2018-03-16,0.54,0.54,0.54,0.54
2018-03-19,-0.15,-0.15,-0.15,-0.15
2018-03-20,-0.13,-0.13,-0.13,-0.13
2018-03-21,-0.31,-0.31,-0.31,-0.31
2018-03-22,-1.65,-1.65,-1.65,-1.65
2018-03-23,-3.55,-3.55,-3.55,-3.55
2018-03-26,-2.4,-2.4,-2.4,-2.4
2018-03-27,-2.84,-2.84,-2.84,-2.84
2018-03-28,-2.75,-2.75,-2.75,-2.75
2018-03-29,-2.11,-2.11,-2.11,-2.11
2018-04-02,-2.86,-2.86,-2.86,-2.86
2018-04-03,-2.39,-2.39,-2.39,-2.39
2018-04-04,-2.1,-2.1,-2.1,-2.1
2018-04-05,-1.55,-1.55,-1.55,-1.55
2018-04-06,-0.92,-0.92,-0.92,-0.92
2018-04-09,0.7,0.7,0.7,0.7
2018-04-10,0.04,0.04,0.04,0.04
2018-04-11,0.38,0.38,0.38,0.38
2018-04-12,1.26,1.26,1.26,1.26
2018-04-13,-0.19,-0.19,-0.19,-0.19
2018-04-16,0.62,0.62,0.62,0.62
2018-04-17,0.45,0.45,0.45,0.45
2018-04-18,-0.35,-0.35,-0.35,-0.35
2018-04-19,-0.14,-0.14,-0.14,-0.14
2018-04-20,0.63,0.63,0.63,0.63
2018-04-23,0.45,0.45,0.45,0.45
2018-04-24,-0.29,-0.29,-0.29,-0.29
2018-04-25,0.24,0.24,0.24,0.24
2018-04-26,-0.58,-0.58,-0.58,-0.58
2018-04-27,0.35,0.35,0.35,0.35
2018-04-30,-0.01,-0.01,-0.01,-0.01
2018-05-01,-0.09,-0.09,-0.09,-0.09
2018-05-02,0.05,0.05,0.05,0.05
2018-05-03,-0.98,-0.98,-0.98,-0.98
2018-05-04,-0.96,-0.96,-0.96,-0.96
2018-05-07,-0.68,-0.68,-0.68,-0.68
2018-05-08,-0.26,-0.26,-0.26,-0.26
2018-05-09,0.58,0.58,0.58,0.58
2018-05-10,0.82,0.82,0.82,0.82
2018-05-11,0.77,0.77,0.77,0.77
2018-05-14,1.2,1.2,1.2,1.2
2018-05-15,1.27,1.27,1.27,1.27
2018-05-16,1.48,1.48,1.48,1.48
2018-05-17,1.61,1.61,1.61,1.61
2018-05-18,0.96,0.96,0.96,0.96
2018-05-21,0.91,0.91,0.91,0.91
2018-05-22,0.96,0.96,0.96,0.96
2018-05-23,-0.28,-0.28,-0.28,-0.28
2018-05-24,-0.68,-0.68,-0.68,-0.68
2018-05-25,-0.76,-0.76,-0.76,-0.76
2018-05-29,-2.16,-2.16,-2.16,-2.16
2018-05-30,-1.73,-1.73,-1.73,-1.73
2018-05-31,-2.02,-2.02,-2.02,-2.02
2018-06-01,-1.41,-1.41,-1.41,-1.41
2018-06-04,-0.86,-0.86,-0.86,-0.86
2018-06-05,-1.43,-1.43,-1.43,-1.43
2018-06-06,-0.85,-0.85,-0.85,-0.85
2018-06-07,-0.35,-0.35,-0.35,-0.35
2018-06-08,-0.2,-0.2,-0.2,-0.2
2018-06-11,-0.1,-0.1,-0.1,-0.1
2018-06-12,0.94,0.94,0.94,0.94
2018-06-13,0.35,0.35,0.35,0.35
2018-06-14,0.46,0.46,0.46,0.46
2018-06-15,-0.12,-0.12,-0.12,-0.12
2018-06-18,0.0,0.0,0.0,0.0
2018-06-19,0.14,0.14,0.14,0.14
2018-06-20,-0.8,-0.8,-0.8,-0.8
2018-06-21,-0.8,-0.8,-0.8,-0.8
2018-06-22,-1.02,-1.02,-1.02,-1.02
2018-06-25,-1.58,-1.58,-1.58,-1.58
2018-06-26,-1.36,-1.36,-1.36,-1.36
2018-06-27,-1.6,-1.6,-1.6,-1.6
2018-06-28,-0.83,-0.83,-0.83,-0.83
2018-06-29,-1.09,-1.09,-1.09,-1.09
2018-07-02,-1.12,-1.12,-1.12,-1.12
2018-07-03,-1.48,-1.48,-1.48,-1.48
2018-07-05,-1.32,-1.32,-1.32,-1.32
2018-07-06,-1.26,-1.26,-1.26,-1.26
2018-07-09,0.06,0.06,0.06,0.06
2018-07-10,0.35,0.35,0.35,0.35
2018-07-11,0.14,0.14,0.14,0.14
2018-07-12,0.53,0.53,0.53,0.53
2018-07-13,-0.12,-0.12,-0.12,-0.12
2018-07-16,1.59,1.59,1.59,1.59
2018-07-17,1.73,1.73,1.73,1.73
2018-07-18,2.35,2.35,2.35,2.35
2018-07-19,1.75,1.75,1.75,1.75
2018-07-20,2.1,2.1,2.1,2.1
2018-07-23,1.7,1.7,1.7,1.7
2018-07-24,2.0,2.0,2.0,2.0
2018-07-25,2.39,2.39,2.39,2.39
2018-07-26,2.17,2.17,2.17,2.17
2018-07-27,2.51,2.51,2.51,2.51
2018-07-30,1.53,1.53,1.53,1.53
2018-07-31,0.87,0.87,0.87,0.87
2018-08-01,1.12,1.12,1.12,1.12
2018-08-02,1.61,1.61,1.61,1.61
2018-08-03,1.38,1.38,1.38,1.38
2018-08-06,0.77,0.77,0.77,0.77
2018-08-07,0.68,0.68,0.68,0.68
2018-08-08,0.73,0.73,0.73,0.73
2018-08-09,0.66,0.66,0.66,0.66
2018-08-10,0.13,0.13,0.13,0.13
2018-08-13,-0.83,-0.83,-0.83,-0.83
2018-08-14,-0.09,-0.09,-0.09,-0.09
2018-08-15,-0.89,-0.89,-0.89,-0.89
2018-08-16,-0.56,-0.56,-0.56,-0.56
2018-08-17,-0.77,-0.77,-0.77,-0.77
2018-08-20,-0.65,-0.65,-0.65,-0.65
2018-08-21,-0.49,-0.49,-0.49,-0.49
2018-08-22,-0.82,-0.82,-0.82,-0.82
2018-08-23,-0.76,-0.76,-0.76,-0.76
2018-08-24,-0.3,-0.3,-0.3,-0.3
2018-08-27,0.83,0.83,0.83,0.83
2018-08-28,0.48,0.48,0.48,0.48
2018-08-29,0.78,0.78,0.78,0.78
2018-08-30,0.29,0.29,0.29,0.29
2018-08-31,0.19,0.19,0.19,0.19
2018-09-04,0.27,0.27,0.27,0.27
2018-09-05,0.16,0.16,0.16,0.16
2018-09-06,-0.13,-0.13,-0.13,-0.13
2018-09-07,0.02,0.02,0.02,0.02
2018-09-10,-0.07,-0.07,-0.07,-0.07
2018-09-11,-0.46,-0.46,-0.46,-0.46
2018-09-12,-0.84,-0.84,-0.84,-0.84
2018-09-13,-1.0,-1.0,-1.0,-1.0
2018-09-14,-0.64,-0.64,-0.64,-0.64
2018-09-17,-0.65,-0.65,-0.65,-0.65
2018-09-18,-0.93,-0.93,-0.93,-0.93
2018-09-19,-0.18,-0.18,-0.18,-0.18
2018-09-20,0.34,0.34,0.34,0.34
2018-09-21,0.17,0.17,0.17,0.17
2018-09-24,-0.08,-0.08,-0.08,-0.08
2018-09-25,-0.18,-0.18,-0.18,-0.18
2018-09-26,-0.3,-0.3,-0.3,-0.3
2018-09-27,-0.2,-0.2,-0.2,-0.2
2018-09-28,-0.91,-0.91,-0.91,-0.91
2018-10-01,-0.63,-0.63,-0.63,-0.63
2018-10-02,-0.63,-0.63,-0.63,-0.63
2018-10-03,-1.0,-1.0,-1.0,-1.0
2018-10-04,-0.76,-0.76,-0.76,-0.76
2018-10-05,-0.8,-0.8,-0.8,-0.8
2018-10-08,-0.47,-0.47,-0.47,-0.47
2018-10-09,-0.69,-0.69,-0.69,-0.69
2018-10-10,-0.89,-0.89,-0.89,-0.89
2018-10-11,-1.58,-1.58,-1.58,-1.58
2018-10-12,-1.0,-1.0,-1.0,-1.0
2018-10-15,-1.73,-1.73,-1.73,-1.73
2018-10-16,-1.05,-1.05,-1.05,-1.05
2018-10-17,-1.1,-1.1,-1.1,-1.1
2018-10-18,-2.18,-2.18,-2.18,-2.18
2018-10-19,-1.91,-1.91,-1.91,-1.91
2018-10-22,-2.89,-2.89,-2.89,-2.89
2018-10-23,-2.96,-2.96,-2.96,-2.96
2018-10-24,-3.05,-3.05,-3.05,-3.05
2018-10-25,-1.77,-1.77,-1.77,-1.77
2018-10-26,-2.07,-2.07,-2.07,-2.07
2018-10-29,-1.31,-1.31,-1.31,-1.31
2018-10-30,-1.75,-1.75,-1.75,-1.75
2018-10-31,-1.4,-1.4,-1.4,-1.4
2018-11-01,-0.44,-0.44,-0.44,-0.44
2018-11-02,-0.43,-0.43,-0.43,-0.43
2018-11-05,0.68,0.68,0.68,0.68
2018-11-06,1.19,1.19,1.19,1.19
2018-11-07,2.35,2.35,2.35,2.35
2018-11-08,2.28,2.28,2.28,2.28
2018-11-09,2.13,2.13,2.13,2.13
2018-11-12,1.14,1.14,1.14,1.14
2018-11-13,0.98,0.98,0.98,0.98
2018-11-14,-0.29,-0.29,-0.29,-0.29
2018-11-15,0.09,0.09,0.09,0.09
2018-11-16,-0.14,-0.14,-0.14,-0.14
2018-11-19,-0.31,-0.31,-0.31,-0.31
2018-11-20,-0.83,-0.83,-0.83,-0.83
