date,open,low,high,close
2018-01-02,63.9281,63.9281,63.9281,63.9281
2018-01-03,63.2385,63.2385,63.2385,63.2385
2018-01-04,64.7592,64.7592,64.7592,64.7592
2018-01-05,65.2879,65.2879,65.2879,65.2879
2018-01-08,63.815,63.815,63.815,63.815
2018-01-09,64.4033,64.4033,64.4033,64.4033
2018-01-10,65.4779,65.4779,65.4779,65.4779
2018-01-11,65.8927,65.8927,65.8927,65.8927
2018-01-12,67.8046,67.8046,67.8046,67.8046
2018-01-16,67.9783,67.9783,67.9783,67.9783
2018-01-17,67.53,67.53,67.53,67.53
2018-01-18,68.5923,68.5923,68.5923,68.5923
2018-01-19,69.4134,69.4134,69.4134,69.4134
2018-01-22,70.1472,70.1472,70.1472,70.1472
2018-01-23,69.9906,69.9906,69.9906,69.9906
2018-01-24,70.5634,70.5634,70.5634,70.5634
2018-01-25,70.5634,70.5634,70.5634,70.5634
2018-01-26,70.9409,70.9409,70.9409,70.9409
2018-01-29,71.2162,71.2162,71.2162,71.2162
2018-01-30,67.9161,67.9161,67.9161,67.9161
2018-01-31,68.3671,68.3671,68.3671,68.3671
2018-02-01,70.1598,70.1598,70.1598,70.1598
2018-02-02,65.9436,65.9436,65.9436,65.9436
2018-02-05,55.4432,55.4432,55.4432,55.4432
2018-02-06,59.1536,59.1536,59.1536,59.1536
2018-02-07,59.3384,59.3384,59.3384,59.3384
2018-02-08,52.0475,52.0475,52.0475,52.0475
2018-02-09,54.2978,54.2978,54.2978,54.2978
2018-02-12,57.0649,57.0649,57.0649,57.0649
2018-02-13,57.2665,57.2665,57.2665,57.2665
2018-02-14,59.9047,59.9047,59.9047,59.9047
2018-02-15,60.5445,60.5445,60.5445,60.5445
2018-02-16,59.4328,59.4328,59.4328,59.4328
2018-02-20,59.2469,59.2469,59.2469,59.2469
2018-02-21,58.9631,58.9631,58.9631,58.9631
2018-02-22,58.1066,58.1066,58.1066,58.1066
2018-02-23,59.2532,59.2532,59.2532,59.2532
2018-02-26,60.5244,60.5244,60.5244,60.5244
2018-02-27,60.0808,60.0808,60.0808,60.0808
2018-02-28,58.9483,58.9483,58.9483,58.9483
2018-03-01,56.0284,56.0284,56.0284,56.0284
2018-03-02,56.5623,56.5623,56.5623,56.5623
2018-03-05,58.2935,58.2935,58.2935,58.2935
2018-03-06,58.1984,58.1984,58.1984,58.1984
2018-03-07,58.4419,58.4419,58.4419,58.4419
2018-03-08,58.5127,58.5127,58.5127,58.5127
2018-03-09,60.3163,60.3163,60.3163,60.3163
2018-03-12,60.7205,60.7205,60.7205,60.7205
2018-03-13,58.2851,58.2851,58.2851,58.2851
2018-03-14,57.2066,57.2066,57.2066,57.2066
2018-03-15,57.0098,57.0098,57.0098,57.0098
2018-03-16,57.2736,57.2736,57.2736,57.2736
2018-03-19,56.3119,56.3119,56.3119,56.3119
2018-03-20,56.3119,56.3119,56.3119,56.3119
2018-03-21,55.7418,55.7418,55.7418,55.7418
2018-03-22,49.5664,49.5664,49.5664,49.5664
2018-03-23,44.3036,44.3036,44.3036,44.3036
2018-03-26,49.377,49.377,49.377,49.377
2018-03-27,46.2471,46.2471,46.2471,46.2471
2018-03-28,45.8261,45.8261,45.8261,45.8261
2018-03-29,48.0641,48.0641,48.0641,48.0641
2018-04-02,45.8618,45.8618,45.8618,45.8618
2018-04-03,46.8895,46.8895,46.8895,46.8895
2018-04-04,47.9394,47.9394,47.9394,47.9394
2018-04-05,49.493,49.493,49.493,49.493
2018-04-06,47.2262,47.2262,47.2262,47.2262
2018-04-09,48.0746,48.0746,48.0746,48.0746
2018-04-10,50.1632,50.1632,50.1632,50.1632
2018-04-11,48.2698,48.2698,48.2698,48.2698
2018-04-12,50.7359,50.7359,50.7359,50.7359
2018-04-13,48.072,48.072,48.072,48.072
2018-04-16,48.4962,48.4962,48.4962,48.4962
2018-04-17,48.8588,48.8588,48.8588,48.8588
2018-04-18,47.2762,47.2762,47.2762,47.2762
2018-04-19,49.4179,49.4179,49.4179,49.4179
2018-04-20,49.6759,49.6759,49.6759,49.6759
2018-04-23,49.8726,49.8726,49.8726,49.8726
2018-04-24,49.4431,49.4431,49.4431,49.4431
2018-04-25,49.2757,49.2757,49.2757,49.2757
2018-04-26,49.0374,49.0374,49.0374,49.0374
2018-04-27,49.3247,49.3247,49.3247,49.3247
2018-04-30,48.518,48.518,48.518,48.518
