date,open,low,high,close
2018-01-02,28.1755,28.1755,28.1755,28.1755
2018-01-03,28.225,28.225,28.225,28.225
2018-01-04,28.286,28.286,28.286,28.286
2018-01-05,28.3648,28.3648,28.3648,28.3648
2018-01-08,28.448,28.448,28.448,28.448
2018-01-09,28.5425,28.5425,28.5425,28.5425
2018-01-10,28.6435,28.6435,28.6435,28.6435
2018-01-11,28.75,28.75,28.75,28.75
2018-01-12,28.8738,28.8738,28.8738,28.8738
2018-01-16,28.985,28.985,28.985,28.985
2018-01-17,29.0955,29.0955,29.0955,29.0955
2018-01-18,29.217,29.217,29.217,29.217
2018-01-19,29.3415,29.3415,29.3415,29.3415
2018-01-22,29.4718,29.4718,29.4718,29.4718
2018-01-23,29.6033,29.6033,29.6033,29.6033
2018-01-24,29.7408,29.7408,29.7408,29.7408
2018-01-25,29.8783,29.8783,29.8783,29.8783
2018-01-26,29.9923,29.9923,29.9923,29.9923
2018-01-29,30.0923,30.0923,30.0923,30.0923
2018-01-30,30.185,30.185,30.185,30.185
2018-01-31,30.2825,30.2825,30.2825,30.2825
2018-02-01,30.3685,30.3685,30.3685,30.3685
2018-02-02,30.444,30.444,30.444,30.444
2018-02-05,30.4845,30.4845,30.4845,30.4845
2018-02-06,30.545,30.545,30.545,30.545
2018-02-07,30.6,30.6,30.6,30.6
2018-02-08,30.62,30.62,30.62,30.62
2018-02-09,30.6453,30.6453,30.6453,30.6453
2018-02-12,30.7023,30.7023,30.7023,30.7023
2018-02-13,30.7635,30.7635,30.7635,30.7635
2018-02-14,30.8375,30.8375,30.8375,30.8375
2018-02-15,30.9058,30.9058,30.9058,30.9058
2018-02-16,30.9688,30.9688,30.9688,30.9688
2018-02-20,31.03,31.03,31.03,31.03
2018-02-21,31.0813,31.0813,31.0813,31.0813
2018-02-22,31.1265,31.1265,31.1265,31.1265
2018-02-23,31.1828,31.1828,31.1828,31.1828
2018-02-26,31.25,31.25,31.25,31.25
2018-02-27,31.3133,31.3133,31.3133,31.3133
2018-02-28,31.3778,31.3778,31.3778,31.3778
2018-03-01,31.4173,31.4173,31.4173,31.4173
2018-03-02,31.463,31.463,31.463,31.463
2018-03-05,31.5115,31.5115,31.5115,31.5115
2018-03-06,31.556,31.556,31.556,31.556
2018-03-07,31.6075,31.6075,31.6075,31.6075
2018-03-08,31.6558,31.6558,31.6558,31.6558
2018-03-09,31.71,31.71,31.71,31.71
2018-03-12,31.7645,31.7645,31.7645,31.7645
2018-03-13,31.7938,31.7938,31.7938,31.7938
2018-03-14,31.8163,31.8163,31.8163,31.8163
2018-03-15,31.8393,31.8393,31.8393,31.8393
2018-03-16,31.8565,31.8565,31.8565,31.8565
2018-03-19,31.863,31.863,31.863,31.863
2018-03-20,31.864,31.864,31.864,31.864
2018-03-21,31.8628,31.8628,31.8628,31.8628
2018-03-22,31.8243,31.8243,31.8243,31.8243
2018-03-23,31.7513,31.7513,31.7513,31.7513
2018-03-26,31.7073,31.7073,31.7073,31.7073
2018-03-27,31.6383,31.6383,31.6383,31.6383
2018-03-28,31.576,31.576,31.576,31.576
2018-03-29,31.5258,31.5258,31.5258,31.5258
2018-04-02,31.446,31.446,31.446,31.446
2018-04-03,31.387,31.387,31.387,31.387
2018-04-04,31.3775,31.3775,31.3775,31.3775
2018-04-05,31.3555,31.3555,31.3555,31.3555
2018-04-06,31.315,31.315,31.315,31.315
2018-04-09,31.3183,31.3183,31.3183,31.3183
2018-04-10,31.322,31.322,31.322,31.322
2018-04-11,31.2915,31.2915,31.2915,31.2915
2018-04-12,31.2783,31.2783,31.2783,31.2783
2018-04-13,31.2233,31.2233,31.2233,31.2233
2018-04-16,31.1663,31.1663,31.1663,31.1663
2018-04-17,31.118,31.118,31.118,31.118
2018-04-18,31.058,31.058,31.058,31.058
2018-04-19,31.0158,31.0158,31.0158,31.0158
2018-04-20,30.98,30.98,30.98,30.98
