date,open,low,high,close
2018-01-02,25.7665,25.7665,25.7665,25.7665
2018-01-03,25.8227,25.8227,25.8227,25.8227
2018-01-04,25.8794,25.8794,25.8794,25.8794
2018-01-05,25.937,25.937,25.937,25.937
2018-01-08,25.9953,25.9953,25.9953,25.9953
2018-01-09,26.0542,26.0542,26.0542,26.0542
2018-01-10,26.1142,26.1142,26.1142,26.1142
2018-01-11,26.1749,26.1749,26.1749,26.1749
2018-01-12,26.2364,26.2364,26.2364,26.2364
2018-01-16,26.2985,26.2985,26.2985,26.2985
2018-01-17,26.3613,26.3613,26.3613,26.3613
2018-01-18,26.4248,26.4248,26.4248,26.4248
2018-01-19,26.4887,26.4887,26.4887,26.4887
2018-01-22,26.5531,26.5531,26.5531,26.5531
2018-01-23,26.6176,26.6176,26.6176,26.6176
2018-01-24,26.6824,26.6824,26.6824,26.6824
2018-01-25,26.7477,26.7477,26.7477,26.7477
2018-01-26,26.8132,26.8132,26.8132,26.8132
2018-01-29,26.8791,26.8791,26.8791,26.8791
2018-01-30,26.9456,26.9456,26.9456,26.9456
2018-01-31,27.0126,27.0126,27.0126,27.0126
2018-02-01,27.0801,27.0801,27.0801,27.0801
2018-02-02,27.1478,27.1478,27.1478,27.1478
2018-02-05,27.2152,27.2152,27.2152,27.2152
2018-02-06,27.2828,27.2828,27.2828,27.2828
2018-02-07,27.351,27.351,27.351,27.351
2018-02-08,27.4195,27.4195,27.4195,27.4195
2018-02-09,27.4884,27.4884,27.4884,27.4884
2018-02-12,27.5578,27.5578,27.5578,27.5578
2018-02-13,27.6279,27.6279,27.6279,27.6279
2018-02-14,27.6984,27.6984,27.6984,27.6984
2018-02-15,27.7697,27.7697,27.7697,27.7697
2018-02-16,27.8415,27.8415,27.8415,27.8415
2018-02-20,27.914,27.914,27.914,27.914
2018-02-21,27.9871,27.9871,27.9871,27.9871
2018-02-22,28.0608,28.0608,28.0608,28.0608
2018-02-23,28.1351,28.1351,28.1351,28.1351
2018-02-26,28.2102,28.2102,28.2102,28.2102
2018-02-27,28.2856,28.2856,28.2856,28.2856
2018-02-28,28.3609,28.3609,28.3609,28.3609
2018-03-01,28.4358,28.4358,28.4358,28.4358
2018-03-02,28.5104,28.5104,28.5104,28.5104
2018-03-05,28.5841,28.5841,28.5841,28.5841
2018-03-06,28.6571,28.6571,28.6571,28.6571
2018-03-07,28.7296,28.7296,28.7296,28.7296
2018-03-08,28.8017,28.8017,28.8017,28.8017
2018-03-09,28.8736,28.8736,28.8736,28.8736
2018-03-12,28.9452,28.9452,28.9452,28.9452
2018-03-13,29.0164,29.0164,29.0164,29.0164
2018-03-14,29.0873,29.0873,29.0873,29.0873
2018-03-15,29.158,29.158,29.158,29.158
2018-03-16,29.2286,29.2286,29.2286,29.2286
2018-03-19,29.2986,29.2986,29.2986,29.2986
2018-03-20,29.3682,29.3682,29.3682,29.3682
2018-03-21,29.4371,29.4371,29.4371,29.4371
2018-03-22,29.5049,29.5049,29.5049,29.5049
2018-03-23,29.5712,29.5712,29.5712,29.5712
2018-03-26,29.6366,29.6366,29.6366,29.6366
2018-03-27,29.7008,29.7008,29.7008,29.7008
2018-03-28,29.7637,29.7637,29.7637,29.7637
2018-03-29,29.8257,29.8257,29.8257,29.8257
2018-04-02,29.8865,29.8865,29.8865,29.8865
2018-04-03,29.9463,29.9463,29.9463,29.9463
2018-04-04,30.0048,30.0048,30.0048,30.0048
2018-04-05,30.0622,30.0622,30.0622,30.0622
2018-04-06,30.1183,30.1183,30.1183,30.1183
2018-04-09,30.1731,30.1731,30.1731,30.1731
2018-04-10,30.2266,30.2266,30.2266,30.2266
2018-04-11,30.2785,30.2785,30.2785,30.2785
2018-04-12,30.3289,30.3289,30.3289,30.3289
2018-04-13,30.3776,30.3776,30.3776,30.3776
2018-04-16,30.4247,30.4247,30.4247,30.4247
2018-04-17,30.4702,30.4702,30.4702,30.4702
2018-04-18,30.5137,30.5137,30.5137,30.5137
2018-04-19,30.5556,30.5556,30.5556,30.5556
2018-04-20,30.5958,30.5958,30.5958,30.5958
2018-04-23,30.6344,30.6344,30.6344,30.6344
2018-04-24,30.6713,30.6713,30.6713,30.6713
2018-04-25,30.7065,30.7065,30.7065,30.7065
2018-04-26,30.7398,30.7398,30.7398,30.7398
2018-04-27,30.7714,30.7714,30.7714,30.7714
2018-04-30,30.8013,30.8013,30.8013,30.8013
2018-05-01,30.8292,30.8292,30.8292,30.8292
2018-05-02,30.8554,30.8554,30.8554,30.8554
2018-05-03,30.8807,30.8807,30.8807,30.8807
2018-05-04,30.9043,30.9043,30.9043,30.9043
2018-05-07,30.9263,30.9263,30.9263,30.9263
2018-05-08,30.9475,30.9475,30.9475,30.9475
2018-05-09,30.9678,30.9678,30.9678,30.9678
2018-05-10,30.9867,30.9867,30.9867,30.9867
2018-05-11,31.0043,31.0043,31.0043,31.0043
2018-05-14,31.0202,31.0202,31.0202,31.0202
2018-05-15,31.0344,31.0344,31.0344,31.0344
2018-05-16,31.0469,31.0469,31.0469,31.0469
2018-05-17,31.0577,31.0577,31.0577,31.0577
2018-05-18,31.0667,31.0667,31.0667,31.0667
2018-05-21,31.074,31.074,31.074,31.074
2018-05-22,31.0796,31.0796,31.0796,31.0796
2018-05-23,31.083,31.083,31.083,31.083
2018-05-24,31.0846,31.0846,31.0846,31.0846
2018-05-25,31.0847,31.0847,31.0847,31.0847
2018-05-29,31.0832,31.0832,31.0832,31.0832
2018-05-30,31.0802,31.0802,31.0802,31.0802
2018-05-31,31.0756,31.0756,31.0756,31.0756
2018-06-01,31.0693,31.0693,31.0693,31.0693
2018-06-04,31.0614,31.0614,31.0614,31.0614
2018-06-05,31.0517,31.0517,31.0517,31.0517
2018-06-06,31.0403,31.0403,31.0403,31.0403
2018-06-07,31.0271,31.0271,31.0271,31.0271
2018-06-08,31.0125,31.0125,31.0125,31.0125
2018-06-11,30.9964,30.9964,30.9964,30.9964
2018-06-12,30.9788,30.9788,30.9788,30.9788
2018-06-13,30.9598,30.9598,30.9598,30.9598
2018-06-14,30.9394,30.9394,30.9394,30.9394
2018-06-15,30.9176,30.9176,30.9176,30.9176
2018-06-18,30.8945,30.8945,30.8945,30.8945
2018-06-19,30.8709,30.8709,30.8709,30.8709
2018-06-20,30.8475,30.8475,30.8475,30.8475
2018-06-21,30.8235,30.8235,30.8235,30.8235
2018-06-22,30.7995,30.7995,30.7995,30.7995
2018-06-25,30.7754,30.7754,30.7754,30.7754
2018-06-26,30.7508,30.7508,30.7508,30.7508
2018-06-27,30.726,30.726,30.726,30.726
2018-06-28,30.701,30.701,30.701,30.701
2018-06-29,30.6757,30.6757,30.6757,30.6757
2018-07-02,30.6498,30.6498,30.6498,30.6498
2018-07-03,30.6235,30.6235,30.6235,30.6235
2018-07-05,30.5969,30.5969,30.5969,30.5969
2018-07-06,30.5696,30.5696,30.5696,30.5696
2018-07-09,30.5422,30.5422,30.5422,30.5422
2018-07-10,30.5146,30.5146,30.5146,30.5146
2018-07-11,30.487,30.487,30.487,30.487
2018-07-12,30.4594,30.4594,30.4594,30.4594
2018-07-13,30.4318,30.4318,30.4318,30.4318
2018-07-16,30.4049,30.4049,30.4049,30.4049
2018-07-17,30.3784,30.3784,30.3784,30.3784
2018-07-18,30.3523,30.3523,30.3523,30.3523
2018-07-19,30.3265,30.3265,30.3265,30.3265
2018-07-20,30.3013,30.3013,30.3013,30.3013
2018-07-23,30.2767,30.2767,30.2767,30.2767
2018-07-24,30.2529,30.2529,30.2529,30.2529
2018-07-25,30.2298,30.2298,30.2298,30.2298
2018-07-26,30.2076,30.2076,30.2076,30.2076
2018-07-27,30.1864,30.1864,30.1864,30.1864
2018-07-30,30.1662,30.1662,30.1662,30.1662
2018-07-31,30.1468,30.1468,30.1468,30.1468
2018-08-01,30.1285,30.1285,30.1285,30.1285
2018-08-02,30.111,30.111,30.111,30.111
2018-08-03,30.0938,30.0938,30.0938,30.0938
2018-08-06,30.0768,30.0768,30.0768,30.0768
2018-08-07,30.06,30.06,30.06,30.06
2018-08-08,30.0436,30.0436,30.0436,30.0436
2018-08-09,30.0274,30.0274,30.0274,30.0274
2018-08-10,30.0116,30.0116,30.0116,30.0116
2018-08-13,29.9958,29.9958,29.9958,29.9958
2018-08-14,29.9803,29.9803,29.9803,29.9803
2018-08-15,29.9653,29.9653,29.9653,29.9653
2018-08-16,29.9507,29.9507,29.9507,29.9507
2018-08-17,29.9363,29.9363,29.9363,29.9363
2018-08-20,29.9225,29.9225,29.9225,29.9225
2018-08-21,29.9096,29.9096,29.9096,29.9096
2018-08-22,29.8974,29.8974,29.8974,29.8974
2018-08-23,29.8863,29.8863,29.8863,29.8863
2018-08-24,29.8762,29.8762,29.8762,29.8762
2018-08-27,29.8676,29.8676,29.8676,29.8676
2018-08-28,29.8602,29.8602,29.8602,29.8602
2018-08-29,29.854,29.854,29.854,29.854
2018-08-30,29.8491,29.8491,29.8491,29.8491
2018-08-31,29.8452,29.8452,29.8452,29.8452
2018-09-04,29.8423,29.8423,29.8423,29.8423
2018-09-05,29.8404,29.8404,29.8404,29.8404
2018-09-06,29.8392,29.8392,29.8392,29.8392
2018-09-07,29.8389,29.8389,29.8389,29.8389
2018-09-10,29.8395,29.8395,29.8395,29.8395
2018-09-11,29.8411,29.8411,29.8411,29.8411
2018-09-12,29.8437,29.8437,29.8437,29.8437
2018-09-13,29.8472,29.8472,29.8472,29.8472
2018-09-14,29.8514,29.8514,29.8514,29.8514
2018-09-17,29.8558,29.8558,29.8558,29.8558
2018-09-18,29.8608,29.8608,29.8608,29.8608
2018-09-19,29.8664,29.8664,29.8664,29.8664
2018-09-20,29.873,29.873,29.873,29.873
2018-09-21,29.8807,29.8807,29.8807,29.8807
2018-09-24,29.8893,29.8893,29.8893,29.8893
2018-09-25,29.8988,29.8988,29.8988,29.8988
2018-09-26,29.9092,29.9092,29.9092,29.9092
2018-09-27,29.9206,29.9206,29.9206,29.9206
2018-09-28,29.9329,29.9329,29.9329,29.9329
2018-10-01,29.9462,29.9462,29.9462,29.9462
2018-10-02,29.9606,29.9606,29.9606,29.9606
2018-10-03,29.9755,29.9755,29.9755,29.9755
2018-10-04,29.9913,29.9913,29.9913,29.9913
2018-10-05,30.0079,30.0079,30.0079,30.0079
2018-10-08,30.0251,30.0251,30.0251,30.0251
2018-10-09,30.0431,30.0431,30.0431,30.0431
2018-10-10,30.0609,30.0609,30.0609,30.0609
2018-10-11,30.0783,30.0783,30.0783,30.0783
2018-10-12,30.0953,30.0953,30.0953,30.0953
2018-10-15,30.1121,30.1121,30.1121,30.1121
2018-10-16,30.1283,30.1283,30.1283,30.1283
2018-10-17,30.144,30.144,30.144,30.144
2018-10-18,30.1587,30.1587,30.1587,30.1587
2018-10-19,30.1725,30.1725,30.1725,30.1725
2018-10-22,30.185,30.185,30.185,30.185
2018-10-23,30.1961,30.1961,30.1961,30.1961
2018-10-24,30.2054,30.2054,30.2054,30.2054
2018-10-25,30.2131,30.2131,30.2131,30.2131
2018-10-26,30.2189,30.2189,30.2189,30.2189
2018-10-29,30.2231,30.2231,30.2231,30.2231
2018-10-30,30.2256,30.2256,30.2256,30.2256
2018-10-31,30.2267,30.2267,30.2267,30.2267
2018-11-01,30.2267,30.2267,30.2267,30.2267
2018-11-02,30.2255,30.2255,30.2255,30.2255
2018-11-05,30.2231,30.2231,30.2231,30.2231
2018-11-06,30.2199,30.2199,30.2199,30.2199
2018-11-07,30.2164,30.2164,30.2164,30.2164
2018-11-08,30.2124,30.2124,30.2124,30.2124
2018-11-09,30.2078,30.2078,30.2078,30.2078
2018-11-12,30.2025,30.2025,30.2025,30.2025
2018-11-13,30.1963,30.1963,30.1963,30.1963
2018-11-14,30.189,30.189,30.189,30.189
2018-11-15,30.1807,30.1807,30.1807,30.1807
2018-11-16,30.1713,30.1713,30.1713,30.1713
2018-11-19,30.1606,30.1606,30.1606,30.1606
2018-11-20,30.1486,30.1486,30.1486,30.1486
2018-11-21,30.1348,30.1348,30.1348,30.1348
2018-11-23,30.1194,30.1194,30.1194,30.1194
2018-11-26,30.1026,30.1026,30.1026,30.1026
2018-11-27,30.0843,30.0843,30.0843,30.0843
2018-11-28,30.0652,30.0652,30.0652,30.0652
2018-11-29,30.045,30.045,30.045,30.045
2018-11-30,30.0236,30.0236,30.0236,30.0236
2018-12-03,30.0015,30.0015,30.0015,30.0015
2018-12-04,29.9781,29.9781,29.9781,29.9781
2018-12-06,29.9531,29.9531,29.9531,29.9531
2018-12-07,29.9264,29.9264,29.9264,29.9264
2018-12-10,29.8978,29.8978,29.8978,29.8978
2018-12-11,29.8675,29.8675,29.8675,29.8675
2018-12-12,29.8354,29.8354,29.8354,29.8354
2018-12-13,29.8014,29.8014,29.8014,29.8014
2018-12-14,29.7656,29.7656,29.7656,29.7656
2018-12-17,29.7275,29.7275,29.7275,29.7275
2018-12-18,29.6869,29.6869,29.6869,29.6869
2018-12-19,29.6438,29.6438,29.6438,29.6438
2018-12-20,29.5982,29.5982,29.5982,29.5982
2018-12-21,29.5501,29.5501,29.5501,29.5501
2018-12-24,29.4995,29.4995,29.4995,29.4995
2018-12-26,29.4469,29.4469,29.4469,29.4469
2018-12-27,29.3925,29.3925,29.3925,29.3925
2018-12-28,29.3362,29.3362,29.3362,29.3362
2018-12-31,29.2781,29.2781,29.2781,29.2781
2019-01-02,29.2185,29.2185,29.2185,29.2185
2019-01-03,29.1568,29.1568,29.1568,29.1568
2019-01-04,29.0935,29.0935,29.0935,29.0935
2019-01-07,29.0285,29.0285,29.0285,29.0285
2019-01-08,28.9619,28.9619,28.9619,28.9619
2019-01-09,28.8945,28.8945,28.8945,28.8945
2019-01-10,28.8269,28.8269,28.8269,28.8269
2019-01-11,28.7591,28.7591,28.7591,28.7591
2019-01-14,28.6913,28.6913,28.6913,28.6913
2019-01-15,28.6234,28.6234,28.6234,28.6234
2019-01-16,28.5559,28.5559,28.5559,28.5559
2019-01-17,28.4892,28.4892,28.4892,28.4892
2019-01-18,28.4236,28.4236,28.4236,28.4236
2019-01-22,28.3594,28.3594,28.3594,28.3594
2019-01-23,28.2968,28.2968,28.2968,28.2968
2019-01-24,28.2364,28.2364,28.2364,28.2364
2019-01-25,28.1779,28.1779,28.1779,28.1779
2019-01-28,28.1215,28.1215,28.1215,28.1215
2019-01-29,28.0672,28.0672,28.0672,28.0672
2019-01-30,28.0148,28.0148,28.0148,28.0148
2019-01-31,27.9637,27.9637,27.9637,27.9637
2019-02-01,27.9137,27.9137,27.9137,27.9137
2019-02-04,27.8651,27.8651,27.8651,27.8651
2019-02-05,27.8176,27.8176,27.8176,27.8176
2019-02-06,27.7711,27.7711,27.7711,27.7711
2019-02-07,27.725,27.725,27.725,27.725
2019-02-08,27.6793,27.6793,27.6793,27.6793
2019-02-11,27.634,27.634,27.634,27.634
2019-02-12,27.5898,27.5898,27.5898,27.5898
2019-02-13,27.5466,27.5466,27.5466,27.5466
2019-02-14,27.5047,27.5047,27.5047,27.5047
2019-02-15,27.464,27.464,27.464,27.464
2019-02-19,27.4245,27.4245,27.4245,27.4245
2019-02-20,27.3864,27.3864,27.3864,27.3864
2019-02-21,27.3496,27.3496,27.3496,27.3496
2019-02-22,27.3145,27.3145,27.3145,27.3145
2019-02-25,27.2811,27.2811,27.2811,27.2811
2019-02-26,27.2491,27.2491,27.2491,27.2491
2019-02-27,27.2185,27.2185,27.2185,27.2185
2019-02-28,27.1887,27.1887,27.1887,27.1887
2019-03-01,27.1602,27.1602,27.1602,27.1602
2019-03-04,27.1325,27.1325,27.1325,27.1325
2019-03-05,27.1056,27.1056,27.1056,27.1056
2019-03-06,27.0802,27.0802,27.0802,27.0802
2019-03-07,27.0567,27.0567,27.0567,27.0567
2019-03-08,27.0355,27.0355,27.0355,27.0355
2019-03-11,27.0169,27.0169,27.0169,27.0169
2019-03-12,27.001,27.001,27.001,27.001
2019-03-13,26.988,26.988,26.988,26.988
2019-03-14,26.9779,26.9779,26.9779,26.9779
2019-03-15,26.9706,26.9706,26.9706,26.9706
2019-03-18,26.9666,26.9666,26.9666,26.9666
2019-03-19,26.9657,26.9657,26.9657,26.9657
2019-03-20,26.9678,26.9678,26.9678,26.9678
2019-03-21,26.9729,26.9729,26.9729,26.9729
2019-03-22,26.9809,26.9809,26.9809,26.9809
2019-03-25,26.9919,26.9919,26.9919,26.9919
2019-03-26,27.0054,27.0054,27.0054,27.0054
2019-03-27,27.021,27.021,27.021,27.021
2019-03-28,27.0387,27.0387,27.0387,27.0387
2019-03-29,27.0586,27.0586,27.0586,27.0586
