date,open,low,high,close
2018-01-02,28.8058,28.8058,28.8058,28.8058
2018-01-03,28.8851,28.8851,28.8851,28.8851
2018-01-04,28.9809,28.9809,28.9809,28.9809
2018-01-05,29.0806,29.0806,29.0806,29.0806
2018-01-08,29.1663,29.1663,29.1663,29.1663
2018-01-09,29.2551,29.2551,29.2551,29.2551
2018-01-10,29.3531,29.3531,29.3531,29.3531
2018-01-11,29.4514,29.4514,29.4514,29.4514
2018-01-12,29.5705,29.5705,29.5705,29.5705
2018-01-16,29.6859,29.6859,29.6859,29.6859
2018-01-17,29.793,29.793,29.793,29.793
2018-01-18,29.9093,29.9093,29.9093,29.9093
2018-01-19,30.0314,30.0314,30.0314,30.0314
2018-01-22,30.1581,30.1581,30.1581,30.1581
2018-01-23,30.2775,30.2775,30.2775,30.2775
2018-01-24,30.3989,30.3989,30.3989,30.3989
2018-01-25,30.5135,30.5135,30.5135,30.5135
2018-01-26,30.6267,30.6267,30.6267,30.6267
2018-01-29,30.7383,30.7383,30.7383,30.7383
2018-01-30,30.8255,30.8255,30.8255,30.8255
2018-01-31,30.914,30.914,30.914,30.914
2018-02-01,31.0222,31.0222,31.0222,31.0222
2018-02-02,31.0994,31.0994,31.0994,31.0994
2018-02-05,31.0904,31.0904,31.0904,31.0904
2018-02-06,31.1253,31.1253,31.1253,31.1253
2018-02-07,31.1597,31.1597,31.1597,31.1597
2018-02-08,31.1177,31.1177,31.1177,31.1177
2018-02-09,31.1036,31.1036,31.1036,31.1036
2018-02-12,31.1267,31.1267,31.1267,31.1267
2018-02-13,31.15,31.15,31.15,31.15
2018-02-14,31.2104,31.2104,31.2104,31.2104
2018-02-15,31.2773,31.2773,31.2773,31.2773
2018-02-16,31.3292,31.3292,31.3292,31.3292
2018-02-20,31.3761,31.3761,31.3761,31.3761
2018-02-21,31.4171,31.4171,31.4171,31.4171
2018-02-22,31.4468,31.4468,31.4468,31.4468
2018-02-23,31.4909,31.4909,31.4909,31.4909
2018-02-26,31.5512,31.5512,31.5512,31.5512
2018-02-27,31.6039,31.6039,31.6039,31.6039
2018-02-28,31.6423,31.6423,31.6423,31.6423
2018-03-01,31.6473,31.6473,31.6473,31.6473
2018-03-02,31.6576,31.6576,31.6576,31.6576
2018-03-05,31.6902,31.6902,31.6902,31.6902
2018-03-06,31.7194,31.7194,31.7194,31.7194
2018-03-07,31.7498,31.7498,31.7498,31.7498
2018-03-08,31.7787,31.7787,31.7787,31.7787
2018-03-09,31.8306,31.8306,31.8306,31.8306
2018-03-12,31.8858,31.8858,31.8858,31.8858
2018-03-13,31.9148,31.9148,31.9148,31.9148
2018-03-14,31.9317,31.9317,31.9317,31.9317
2018-03-15,31.9455,31.9455,31.9455,31.9455
2018-03-16,31.9617,31.9617,31.9617,31.9617
2018-03-19,31.9677,31.9677,31.9677,31.9677
2018-03-20,31.9734,31.9734,31.9734,31.9734
2018-03-21,31.9737,31.9737,31.9737,31.9737
2018-03-22,31.9097,31.9097,31.9097,31.9097
2018-03-23,31.7802,31.7802,31.7802,31.7802
2018-03-26,31.7162,31.7162,31.7162,31.7162
2018-03-27,31.6095,31.6095,31.6095,31.6095
2018-03-28,31.4999,31.4999,31.4999,31.4999
2018-03-29,31.4225,31.4225,31.4225,31.4225
2018-04-02,31.3144,31.3144,31.3144,31.3144
2018-04-03,31.2239,31.2239,31.2239,31.2239
2018-04-04,31.1504,31.1504,31.1504,31.1504
2018-04-05,31.0988,31.0988,31.0988,31.0988
2018-04-06,31.0146,31.0146,31.0146,31.0146
2018-04-09,30.9441,30.9441,30.9441,30.9441
2018-04-10,30.9032,30.9032,30.9032,30.9032
2018-04-11,30.8339,30.8339,30.8339,30.8339
2018-04-12,30.8026,30.8026,30.8026,30.8026
2018-04-13,30.7305,30.7305,30.7305,30.7305
2018-04-16,30.6674,30.6674,30.6674,30.6674
2018-04-17,30.6124,30.6124,30.6124,30.6124
2018-04-18,30.535,30.535,30.535,30.535
2018-04-19,30.4921,30.4921,30.4921,30.4921
2018-04-20,30.4553,30.4553,30.4553,30.4553
2018-04-23,30.4231,30.4231,30.4231,30.4231
2018-04-24,30.3866,30.3866,30.3866,30.3866
2018-04-25,30.3505,30.3505,30.3505,30.3505
2018-04-26,30.3135,30.3135,30.3135,30.3135
2018-04-27,30.283,30.283,30.283,30.283
2018-04-30,30.2429,30.2429,30.2429,30.2429
2018-05-01,30.2063,30.2063,30.2063,30.2063
2018-05-02,30.1543,30.1543,30.1543,30.1543
2018-05-03,30.0869,30.0869,30.0869,30.0869
2018-05-04,30.028,30.028,30.028,30.028
2018-05-07,29.9892,29.9892,29.9892,29.9892
2018-05-08,29.9683,29.9683,29.9683,29.9683
2018-05-09,29.9895,29.9895,29.9895,29.9895
2018-05-10,30.021,30.021,30.021,30.021
2018-05-11,30.0554,30.0554,30.0554,30.0554
2018-05-14,30.1011,30.1011,30.1011,30.1011
2018-05-15,30.1529,30.1529,30.1529,30.1529
2018-05-16,30.1979,30.1979,30.1979,30.1979
2018-05-17,30.2318,30.2318,30.2318,30.2318
2018-05-18,30.2401,30.2401,30.2401,30.2401
2018-05-21,30.263,30.263,30.263,30.263
2018-05-22,30.3007,30.3007,30.3007,30.3007
2018-05-23,30.3159,30.3159,30.3159,30.3159
2018-05-24,30.3188,30.3188,30.3188,30.3188
2018-05-25,30.3183,30.3183,30.3183,30.3183
2018-05-29,30.259,30.259,30.259,30.259
2018-05-30,30.226,30.226,30.226,30.226
2018-05-31,30.1712,30.1712,30.1712,30.1712
2018-06-01,30.135,30.135,30.135,30.135
2018-06-04,30.0998,30.0998,30.0998,30.0998
2018-06-05,30.0513,30.0513,30.0513,30.0513
2018-06-06,30.0486,30.0486,30.0486,30.0486
2018-06-07,30.0489,30.0489,30.0489,30.0489
2018-06-08,30.045,30.045,30.045,30.045
2018-06-11,30.0444,30.0444,30.0444,30.0444
2018-06-12,30.0356,30.0356,30.0356,30.0356
2018-06-13,30.024,30.024,30.024,30.024
2018-06-14,29.996,29.996,29.996,29.996
2018-06-15,29.9573,29.9573,29.9573,29.9573
2018-06-18,29.9255,29.9255,29.9255,29.9255
2018-06-19,29.888,29.888,29.888,29.888
2018-06-20,29.8508,29.8508,29.8508,29.8508
2018-06-21,29.8172,29.8172,29.8172,29.8172
2018-06-22,29.77,29.77,29.77,29.77
2018-06-25,29.6992,29.6992,29.6992,29.6992
2018-06-26,29.6334,29.6334,29.6334,29.6334
2018-06-27,29.5546,29.5546,29.5546,29.5546
2018-06-28,29.4989,29.4989,29.4989,29.4989
2018-06-29,29.4209,29.4209,29.4209,29.4209
2018-07-02,29.3486,29.3486,29.3486,29.3486
2018-07-03,29.253,29.253,29.253,29.253
2018-07-05,29.1666,29.1666,29.1666,29.1666
2018-07-06,29.088,29.088,29.088,29.088
2018-07-09,29.0624,29.0624,29.0624,29.0624
2018-07-10,29.0284,29.0284,29.0284,29.0284
2018-07-11,28.9895,28.9895,28.9895,28.9895
2018-07-12,28.9581,28.9581,28.9581,28.9581
2018-07-13,28.9189,28.9189,28.9189,28.9189
2018-07-16,28.9427,28.9427,28.9427,28.9427
2018-07-17,28.979,28.979,28.979,28.979
2018-07-18,29.0215,29.0215,29.0215,29.0215
2018-07-19,29.0421,29.0421,29.0421,29.0421
2018-07-20,29.0866,29.0866,29.0866,29.0866
2018-07-23,29.1617,29.1617,29.1617,29.1617
2018-07-24,29.24,29.24,29.24,29.24
2018-07-25,29.3293,29.3293,29.3293,29.3293
2018-07-26,29.4096,29.4096,29.4096,29.4096
2018-07-27,29.494,29.494,29.494,29.494
2018-07-30,29.5882,29.5882,29.5882,29.5882
2018-07-31,29.659,29.659,29.659,29.659
2018-08-01,29.7461,29.7461,29.7461,29.7461
2018-08-02,29.8321,29.8321,29.8321,29.8321
2018-08-03,29.9277,29.9277,29.9277,29.9277
2018-08-06,30.0221,30.0221,30.0221,30.0221
2018-08-07,30.1142,30.1142,30.1142,30.1142
2018-08-08,30.2187,30.2187,30.2187,30.2187
2018-08-09,30.3111,30.3111,30.3111,30.3111
2018-08-10,30.3813,30.3813,30.3813,30.3813
2018-08-13,30.4149,30.4149,30.4149,30.4149
2018-08-14,30.4621,30.4621,30.4621,30.4621
2018-08-15,30.4866,30.4866,30.4866,30.4866
2018-08-16,30.5274,30.5274,30.5274,30.5274
2018-08-17,30.5673,30.5673,30.5673,30.5673
2018-08-20,30.6118,30.6118,30.6118,30.6118
2018-08-21,30.6613,30.6613,30.6613,30.6613
2018-08-22,30.7058,30.7058,30.7058,30.7058
2018-08-23,30.7405,30.7405,30.7405,30.7405
2018-08-24,30.7744,30.7744,30.7744,30.7744
2018-08-27,30.8261,30.8261,30.8261,30.8261
2018-08-28,30.8721,30.8721,30.8721,30.8721
2018-08-29,30.9081,30.9081,30.9081,30.9081
2018-08-30,30.9336,30.9336,30.9336,30.9336
2018-08-31,30.9515,30.9515,30.9515,30.9515
2018-09-04,30.976,30.976,30.976,30.976
2018-09-05,31.0,31.0,31.0,31.0
2018-09-06,31.005,31.005,31.005,31.005
2018-09-07,31.0079,31.0079,31.0079,31.0079
2018-09-10,31.0062,31.0062,31.0062,31.0062
2018-09-11,31.0033,31.0033,31.0033,31.0033
2018-09-12,30.9785,30.9785,30.9785,30.9785
2018-09-13,30.9391,30.9391,30.9391,30.9391
2018-09-14,30.9109,30.9109,30.9109,30.9109
2018-09-17,30.8775,30.8775,30.8775,30.8775
2018-09-18,30.8405,30.8405,30.8405,30.8405
2018-09-19,30.8426,30.8426,30.8426,30.8426
2018-09-20,30.8538,30.8538,30.8538,30.8538
2018-09-21,30.8571,30.8571,30.8571,30.8571
2018-09-24,30.8461,30.8461,30.8461,30.8461
2018-09-25,30.8321,30.8321,30.8321,30.8321
2018-09-26,30.7925,30.7925,30.7925,30.7925
2018-09-27,30.7446,30.7446,30.7446,30.7446
2018-09-28,30.6749,30.6749,30.6749,30.6749
2018-10-01,30.6166,30.6166,30.6166,30.6166
2018-10-02,30.5572,30.5572,30.5572,30.5572
2018-10-03,30.5207,30.5207,30.5207,30.5207
2018-10-04,30.5069,30.5069,30.5069,30.5069
2018-10-05,30.4851,30.4851,30.4851,30.4851
2018-10-08,30.4669,30.4669,30.4669,30.4669
2018-10-09,30.4357,30.4357,30.4357,30.4357
2018-10-10,30.369,30.369,30.369,30.369
2018-10-11,30.2612,30.2612,30.2612,30.2612
2018-10-12,30.1608,30.1608,30.1608,30.1608
2018-10-15,30.0368,30.0368,30.0368,30.0368
2018-10-16,29.946,29.946,29.946,29.946
2018-10-17,29.8761,29.8761,29.8761,29.8761
2018-10-18,29.777,29.777,29.777,29.777
2018-10-19,29.6847,29.6847,29.6847,29.6847
2018-10-22,29.5497,29.5497,29.5497,29.5497
2018-10-23,29.4013,29.4013,29.4013,29.4013
2018-10-24,29.2177,29.2177,29.2177,29.2177
2018-10-25,29.0598,29.0598,29.0598,29.0598
2018-10-26,28.8977,28.8977,28.8977,28.8977
2018-10-29,28.752,28.752,28.752,28.752
2018-10-30,28.6198,28.6198,28.6198,28.6198
2018-10-31,28.528,28.528,28.528,28.528
2018-11-01,28.4559,28.4559,28.4559,28.4559
2018-11-02,28.3914,28.3914,28.3914,28.3914
2018-11-05,28.3388,28.3388,28.3388,28.3388
2018-11-06,28.2968,28.2968,28.2968,28.2968
