date,WILLR,WILLR,WILLR,WILLR
2018-01-02,-9.5238,-9.5238,-9.5238,-9.5238
2018-01-03,-33.3333,-33.3333,-33.3333,-33.3333
2018-01-04,-27.1739,-27.1739,-27.1739,-27.1739
2018-01-05,-11.9565,-11.9565,-11.9565,-11.9565
2018-01-08,-38.5542,-38.5542,-38.5542,-38.5542
2018-01-09,-31.7647,-31.7647,-31.7647,-31.7647
2018-01-10,-21.1765,-21.1765,-21.1765,-21.1765
2018-01-11,-10.2941,-10.2941,-10.2941,-10.2941
2018-01-12,-0.8696,-0.8696,-0.8696,-0.8696
2018-01-16,-33.1325,-33.1325,-33.1325,-33.1325
2018-01-17,-41.2162,-41.2162,-41.2162,-41.2162
2018-01-18,-21.3793,-21.3793,-21.3793,-21.3793
2018-01-19,-4.8276,-4.8276,-4.8276,-4.8276
2018-01-22,-0.0,-0.0,-0.0,-0.0
2018-01-23,-11.7318,-11.7318,-11.7318,-11.7318
2018-01-24,-12.0,-12.0,-12.0,-12.0
2018-01-25,-20.2532,-20.2532,-20.2532,-20.2532
2018-01-26,-7.4627,-7.4627,-7.4627,-7.4627
2018-01-29,-25.5639,-25.5639,-25.5639,-25.5639
2018-01-30,-90.4762,-90.4762,-90.4762,-90.4762
2018-01-31,-75.0,-75.0,-75.0,-75.0
2018-02-01,-0.0,-0.0,-0.0,-0.0
2018-02-02,-87.8049,-87.8049,-87.8049,-87.8049
2018-02-05,-68.4659,-68.4659,-68.4659,-68.4659
2018-02-06,-41.7614,-41.7614,-41.7614,-41.7614
2018-02-07,-40.3409,-40.3409,-40.3409,-40.3409
2018-02-08,-83.2386,-83.2386,-83.2386,-83.2386
2018-02-09,-57.8947,-57.8947,-57.8947,-57.8947
2018-02-12,-23.7548,-23.7548,-23.7548,-23.7548
2018-02-13,-21.4559,-21.4559,-21.4559,-21.4559
2018-02-14,-1.0345,-1.0345,-1.0345,-1.0345
2018-02-15,-7.7844,-7.7844,-7.7844,-7.7844
2018-02-16,-25.9067,-25.9067,-25.9067,-25.9067
2018-02-20,-31.5789,-31.5789,-31.5789,-31.5789
2018-02-21,-42.4028,-42.4028,-42.4028,-42.4028
2018-02-22,-88.6364,-88.6364,-88.6364,-88.6364
2018-02-23,-43.2258,-43.2258,-43.2258,-43.2258
2018-02-26,-2.3529,-2.3529,-2.3529,-2.3529
2018-02-27,-41.2698,-41.2698,-41.2698,-41.2698
2018-02-28,-59.5238,-59.5238,-59.5238,-59.5238
2018-03-01,-91.9463,-91.9463,-91.9463,-91.9463
2018-03-02,-54.955,-54.955,-54.955,-54.955
2018-03-05,-32.4324,-32.4324,-32.4324,-32.4324
2018-03-06,-30.8411,-30.8411,-30.8411,-30.8411
2018-03-07,-10.1449,-10.1449,-10.1449,-10.1449
2018-03-08,-8.9855,-8.9855,-8.9855,-8.9855
2018-03-09,-0.639,-0.639,-0.639,-0.639
2018-03-12,-14.2857,-14.2857,-14.2857,-14.2857
2018-03-13,-46.9388,-46.9388,-46.9388,-46.9388
2018-03-14,-73.3871,-73.3871,-73.3871,-73.3871
2018-03-15,-84.8214,-84.8214,-84.8214,-84.8214
2018-03-16,-78.5714,-78.5714,-78.5714,-78.5714
2018-03-19,-77.0992,-77.0992,-77.0992,-77.0992
2018-03-20,-66.2921,-66.2921,-66.2921,-66.2921
2018-03-21,-78.6517,-78.6517,-78.6517,-78.6517
2018-03-22,-93.9535,-93.9535,-93.9535,-93.9535
2018-03-23,-96.4706,-96.4706,-96.4706,-96.4706
2018-03-26,-59.1176,-59.1176,-59.1176,-59.1176
2018-03-27,-86.1765,-86.1765,-86.1765,-86.1765
2018-03-28,-84.6774,-84.6774,-84.6774,-84.6774
2018-03-29,-45.8564,-45.8564,-45.8564,-45.8564
2018-04-02,-70.8333,-70.8333,-70.8333,-70.8333
2018-04-03,-56.25,-56.25,-56.25,-56.25
2018-04-04,-18.705,-18.705,-18.705,-18.705
2018-04-05,-12.7778,-12.7778,-12.7778,-12.7778
2018-04-06,-51.1111,-51.1111,-51.1111,-51.1111
2018-04-09,-45.0746,-45.0746,-45.0746,-45.0746
2018-04-10,-8.6567,-8.6567,-8.6567,-8.6567
2018-04-11,-57.7689,-57.7689,-57.7689,-57.7689
2018-04-12,-10.4895,-10.4895,-10.4895,-10.4895
2018-04-13,-85.0932,-85.0932,-85.0932,-85.0932
2018-04-16,-72.9412,-72.9412,-72.9412,-72.9412
2018-04-17,-66.4706,-66.4706,-66.4706,-66.4706
2018-04-18,-96.4706,-96.4706,-96.4706,-96.4706
2018-04-19,-58.2353,-58.2353,-58.2353,-58.2353
2018-04-20,-25.4717,-25.4717,-25.4717,-25.4717
2018-04-23,-20.3883,-20.3883,-20.3883,-20.3883
2018-04-24,-49.2647,-49.2647,-49.2647,-49.2647
2018-04-25,-54.5455,-54.5455,-54.5455,-54.5455
2018-04-26,-74.5283,-74.5283,-74.5283,-74.5283
2018-04-27,-66.9811,-66.9811,-66.9811,-66.9811
2018-04-30,-88.6792,-88.6792,-88.6792,-88.6792
2018-05-01,-59.2593,-59.2593,-59.2593,-59.2593
2018-05-02,-97.7011,-97.7011,-97.7011,-97.7011
2018-05-03,-61.5,-61.5,-61.5,-61.5
2018-05-04,-56.5,-56.5,-56.5,-56.5
2018-05-07,-26.2195,-26.2195,-26.2195,-26.2195
2018-05-08,-11.5044,-11.5044,-11.5044,-11.5044
