date,open,low,high,close
2018-01-02,91.2551,91.2551,91.2551,91.2551
2018-01-03,106.1197,106.1197,106.1197,106.1197
2018-01-04,124.4459,124.4459,124.4459,124.4459
2018-01-05,116.7547,116.7547,116.7547,116.7547
2018-01-08,123.0775,123.0775,123.0775,123.0775
2018-01-09,133.0213,133.0213,133.0213,133.0213
2018-01-10,140.0299,140.0299,140.0299,140.0299
2018-01-11,152.8798,152.8798,152.8798,152.8798
2018-01-12,170.2164,170.2164,170.2164,170.2164
2018-01-16,181.1345,181.1345,181.1345,181.1345
2018-01-17,190.2523,190.2523,190.2523,190.2523
2018-01-18,186.4745,186.4745,186.4745,186.4745
2018-01-19,170.3025,170.3025,170.3025,170.3025
2018-01-22,177.5137,177.5137,177.5137,177.5137
2018-01-23,167.9018,167.9018,167.9018,167.9018
2018-01-24,167.2664,167.2664,167.2664,167.2664
2018-01-25,157.8639,157.8639,157.8639,157.8639
2018-01-26,161.8244,161.8244,161.8244,161.8244
2018-01-29,152.1421,152.1421,152.1421,152.1421
2018-01-30,138.7319,138.7319,138.7319,138.7319
2018-01-31,128.0734,128.0734,128.0734,128.0734
2018-02-01,138.0352,138.0352,138.0352,138.0352
2018-02-02,96.027,96.027,96.027,96.027
2018-02-05,9.5785,9.5785,9.5785,9.5785
2018-02-06,-9.0811,-9.0811,-9.0811,-9.0811
2018-02-07,19.1444,19.1444,19.1444,19.1444
2018-02-08,-40.3591,-40.3591,-40.3591,-40.3591
2018-02-09,-43.9951,-43.9951,-43.9951,-43.9951
2018-02-12,-10.8908,-10.8908,-10.8908,-10.8908
2018-02-13,-22.0004,-22.0004,-22.0004,-22.0004
2018-02-14,-11.5365,-11.5365,-11.5365,-11.5365
2018-02-15,18.1274,18.1274,18.1274,18.1274
2018-02-16,31.1803,31.1803,31.1803,31.1803
2018-02-20,18.4371,18.4371,18.4371,18.4371
2018-02-21,5.449,5.449,5.449,5.449
2018-02-22,-7.4799,-7.4799,-7.4799,-7.4799
2018-02-23,-2.6521,-2.6521,-2.6521,-2.6521
2018-02-26,67.9107,67.9107,67.9107,67.9107
2018-02-27,83.2598,83.2598,83.2598,83.2598
2018-02-28,33.1421,33.1421,33.1421,33.1421
2018-03-01,-1.1106,-1.1106,-1.1106,-1.1106
2018-03-02,-32.1426,-32.1426,-32.1426,-32.1426
2018-03-05,-17.6319,-17.6319,-17.6319,-17.6319
2018-03-06,0.9944,0.9944,0.9944,0.9944
2018-03-07,-4.0167,-4.0167,-4.0167,-4.0167
2018-03-08,5.9335,5.9335,5.9335,5.9335
2018-03-09,76.7049,76.7049,76.7049,76.7049
2018-03-12,88.485,88.485,88.485,88.485
2018-03-13,64.4135,64.4135,64.4135,64.4135
2018-03-14,34.0691,34.0691,34.0691,34.0691
2018-03-15,36.6546,36.6546,36.6546,36.6546
2018-03-16,26.0149,26.0149,26.0149,26.0149
2018-03-19,-9.5115,-9.5115,-9.5115,-9.5115
2018-03-20,-9.0775,-9.0775,-9.0775,-9.0775
2018-03-21,-2.523,-2.523,-2.523,-2.523
2018-03-22,-78.4096,-78.4096,-78.4096,-78.4096
2018-03-23,-139.1974,-139.1974,-139.1974,-139.1974
2018-03-26,-92.4851,-92.4851,-92.4851,-92.4851
2018-03-27,-99.5455,-99.5455,-99.5455,-99.5455
2018-03-28,-110.0115,-110.0115,-110.0115,-110.0115
2018-03-29,-75.7538,-75.7538,-75.7538,-75.7538
2018-04-02,-119.5547,-119.5547,-119.5547,-119.5547
2018-04-03,-103.5497,-103.5497,-103.5497,-103.5497
2018-04-04,-84.392,-84.392,-84.392,-84.392
2018-04-05,-47.5451,-47.5451,-47.5451,-47.5451
2018-04-06,-102.9326,-102.9326,-102.9326,-102.9326
2018-04-09,-99.8814,-99.8814,-99.8814,-99.8814
2018-04-10,-75.9518,-75.9518,-75.9518,-75.9518
2018-04-11,-100.5133,-100.5133,-100.5133,-100.5133
2018-04-12,-72.8698,-72.8698,-72.8698,-72.8698
2018-04-13,-75.2025,-75.2025,-75.2025,-75.2025
