date,open,low,high,close
2018-01-02,198.0755,198.0755,198.0755,198.0755
2018-01-03,198.647,198.647,198.647,198.647
2018-01-04,199.328,199.328,199.328,199.328
2018-01-05,200.0253,200.0253,200.0253,200.0253
2018-01-08,200.9302,200.9302,200.9302,200.9302
2018-01-09,201.6268,201.6268,201.6268,201.6268
2018-01-10,202.9545,202.9545,202.9545,202.9545
2018-01-11,204.1997,204.1997,204.1997,204.1997
2018-01-12,206.1865,206.1865,206.1865,206.1865
2018-01-16,207.5543,207.5543,207.5543,207.5543
2018-01-17,209.7562,209.7562,209.7562,209.7562
2018-01-18,210.9008,210.9008,210.9008,210.9008
2018-01-19,211.6839,211.6839,211.6839,211.6839
2018-01-22,213.1126,213.1126,213.1126,213.1126
2018-01-23,213.9284,213.9284,213.9284,213.9284
2018-01-24,214.4889,214.4889,214.4889,214.4889
2018-01-25,214.6926,214.6926,214.6926,214.6926
2018-01-26,215.5251,215.5251,215.5251,215.5251
2018-01-29,215.5034,215.5034,215.5034,215.5034
2018-01-30,215.1389,215.1389,215.1389,215.1389
2018-01-31,214.8859,214.8859,214.8859,214.8859
2018-02-01,215.674,215.674,215.674,215.674
2018-02-02,213.4893,213.4893,213.4893,213.4893
2018-02-05,207.9262,207.9262,207.9262,207.9262
2018-02-06,205.6975,205.6975,205.6975,205.6975
2018-02-07,203.9216,203.9216,203.9216,203.9216
2018-02-08,199.7544,199.7544,199.7544,199.7544
2018-02-09,198.5096,198.5096,198.5096,198.5096
2018-02-12,198.6364,198.6364,198.6364,198.6364
2018-02-13,198.4209,198.4209,198.4209,198.4209
2018-02-14,199.1273,199.1273,199.1273,199.1273
2018-02-15,200.7182,200.7182,200.7182,200.7182
2018-02-16,201.7421,201.7421,201.7421,201.7421
2018-02-20,202.1781,202.1781,202.1781,202.1781
2018-02-21,201.7921,201.7921,201.7921,201.7921
2018-02-22,201.438,201.438,201.438,201.438
2018-02-23,201.8787,201.8787,201.8787,201.8787
2018-02-26,204.7925,204.7925,204.7925,204.7925
2018-02-27,206.415,206.415,206.415,206.415
2018-02-28,206.6766,206.6766,206.6766,206.6766
2018-03-01,204.9611,204.9611,204.9611,204.9611
2018-03-02,203.7541,203.7541,203.7541,203.7541
2018-03-05,203.5827,203.5827,203.5827,203.5827
2018-03-06,203.9051,203.9051,203.9051,203.9051
2018-03-07,204.0368,204.0368,204.0368,204.0368
2018-03-08,204.4545,204.4545,204.4545,204.4545
