date,open,low,high,close
2018-01-02,193.9715,193.9715,193.9715,193.9715
2018-01-03,194.1799,194.1799,194.1799,194.1799
2018-01-04,194.4295,194.4295,194.4295,194.4295
2018-01-05,194.7025,194.7025,194.7025,194.7025
2018-01-08,195.071,195.071,195.071,195.071
2018-01-09,195.4937,195.4937,195.4937,195.4937
2018-01-10,196.0826,196.0826,196.0826,196.0826
2018-01-11,196.7172,196.7172,196.7172,196.7172
2018-01-12,197.7245,197.7245,197.7245,197.7245
2018-01-16,198.6525,198.6525,198.6525,198.6525
2018-01-17,200.0637,200.0637,200.0637,200.0637
2018-01-18,201.0908,201.0908,201.0908,201.0908
2018-01-19,202.031,202.031,202.031,202.031
2018-01-22,203.2119,203.2119,203.2119,203.2119
2018-01-23,204.3078,204.3078,204.3078,204.3078
2018-01-24,205.3283,205.3283,205.3283,205.3283
2018-01-25,206.1761,206.1761,206.1761,206.1761
2018-01-26,207.2639,207.2639,207.2639,207.2639
2018-01-29,208.0238,208.0238,208.0238,208.0238
2018-01-30,208.5651,208.5651,208.5651,208.5651
2018-01-31,209.0314,209.0314,209.0314,209.0314
2018-02-01,209.8392,209.8392,209.8392,209.8392
2018-02-02,209.8,209.8,209.8,209.8
2018-02-05,209.5692,209.5692,209.5692,209.5692
2018-02-06,209.3276,209.3276,209.3276,209.3276
2018-02-07,209.0848,209.0848,209.0848,209.0848
2018-02-08,208.873,208.873,208.873,208.873
2018-02-09,208.6571,208.6571,208.6571,208.6571
2018-02-12,208.4368,208.4368,208.4368,208.4368
2018-02-13,208.1885,208.1885,208.1885,208.1885
2018-02-14,207.9807,207.9807,207.9807,207.9807
2018-02-15,207.8398,207.8398,207.8398,207.8398
2018-02-16,207.7046,207.7046,207.7046,207.7046
2018-02-20,207.5681,207.5681,207.5681,207.5681
2018-02-21,207.3953,207.3953,207.3953,207.3953
2018-02-22,207.2206,207.2206,207.2206,207.2206
2018-02-23,207.0979,207.0979,207.0979,207.0979
2018-02-26,207.2145,207.2145,207.2145,207.2145
2018-02-27,207.2823,207.2823,207.2823,207.2823
2018-02-28,207.2808,207.2808,207.2808,207.2808
2018-03-01,207.224,207.224,207.224,207.224
