date,open,low,high,close
2018-01-02,27.98,27.98,27.98,27.98
2018-01-03,29.87,29.87,29.87,29.87
2018-01-04,31.0,31.0,31.0,31.0
2018-01-05,31.95,31.95,31.95,31.95
2018-01-08,32.58,32.58,32.58,32.58
2018-01-09,32.71,32.71,32.71,32.71
2018-01-10,34.41,34.41,34.41,34.41
2018-01-11,35.36,35.36,35.36,35.36
2018-01-12,38.82,38.82,38.82,38.82
2018-01-16,38.92,38.92,38.92,38.92
2018-01-17,41.22,41.22,41.22,41.22
2018-01-18,40.17,40.17,40.17,40.17
2018-01-19,40.2,40.2,40.2,40.2
2018-01-22,41.97,41.97,41.97,41.97
2018-01-23,40.59,40.59,40.59,40.59
2018-01-24,39.32,39.32,39.32,39.32
2018-01-25,37.25,37.25,37.25,37.25
2018-01-26,38.2,38.2,38.2,38.2
2018-01-29,35.54,35.54,35.54,35.54
2018-01-30,36.37,36.37,36.37,36.37
2018-01-31,37.95,37.95,37.95,37.95
2018-02-01,39.19,39.19,39.19,39.19
2018-02-02,32.76,32.76,32.76,32.76
2018-02-05,21.46,21.46,21.46,21.46
2018-02-06,23.95,23.95,23.95,23.95
2018-02-07,22.9,22.9,22.9,22.9
2018-02-08,12.88,12.88,12.88,12.88
2018-02-09,18.86,18.86,18.86,18.86
2018-02-12,21.33,21.33,21.33,21.33
2018-02-13,19.65,19.65,19.65,19.65
2018-02-14,20.09,20.09,20.09,20.09
2018-02-15,23.92,23.92,23.92,23.92
2018-02-16,25.36,25.36,25.36,25.36
2018-02-20,23.45,23.45,23.45,23.45
2018-02-21,22.32,22.32,22.32,22.32
2018-02-22,22.11,22.11,22.11,22.11
2018-02-23,22.41,22.41,22.41,22.41
2018-02-26,29.46,29.46,29.46,29.46
2018-02-27,28.93,28.93,28.93,28.93
2018-02-28,30.22,30.22,30.22,30.22
2018-03-01,24.74,24.74,24.74,24.74
2018-03-02,27.35,27.35,27.35,27.35
2018-03-05,27.74,27.74,27.74,27.74
2018-03-06,26.68,26.68,26.68,26.68
2018-03-07,25.67,25.67,25.67,25.67
2018-03-08,26.37,26.37,26.37,26.37
2018-03-09,34.37,34.37,34.37,34.37
2018-03-12,31.93,31.93,31.93,31.93
2018-03-13,27.66,27.66,27.66,27.66
2018-03-14,23.98,23.98,23.98,23.98
