date,open,low,high,close
2018-01-02,60.2617,60.2617,60.2617,60.2617
2018-01-03,61.9365,61.9365,61.9365,61.9365
2018-01-04,62.4993,62.4993,62.4993,62.4993
2018-01-05,62.9512,62.9512,62.9512,62.9512
2018-01-08,63.7543,63.7543,63.7543,63.7543
2018-01-09,63.923,63.923,63.923,63.923
2018-01-10,65.4364,65.4364,65.4364,65.4364
2018-01-11,66.0405,66.0405,66.0405,66.0405
2018-01-12,67.875,67.875,67.875,67.875
2018-01-16,67.941,67.941,67.941,67.941
2018-01-17,69.8177,69.8177,69.8177,69.8177
2018-01-18,68.7913,68.7913,68.7913,68.7913
2018-01-19,68.8201,68.8201,68.8201,68.8201
2018-01-22,70.094,70.094,70.094,70.094
2018-01-23,69.6577,69.6577,69.6577,69.6577
2018-01-24,69.6811,69.6811,69.6811,69.6811
2018-01-25,69.1281,69.1281,69.1281,69.1281
2018-01-26,70.1165,70.1165,70.1165,70.1165
2018-01-29,68.2763,68.2763,68.2763,68.2763
2018-01-30,67.188,67.188,67.188,67.188
2018-01-31,67.1569,67.1569,67.1569,67.1569
2018-02-01,68.5724,68.5724,68.5724,68.5724
2018-02-02,60.9989,60.9989,60.9989,60.9989
2018-02-05,52.1269,52.1269,52.1269,52.1269
2018-02-06,54.5497,54.5497,54.5497,54.5497
2018-02-07,54.005,54.005,54.005,54.005
2018-02-08,48.8978,48.8978,48.8978,48.8978
2018-02-09,51.3048,51.3048,51.3048,51.3048
2018-02-12,52.7178,52.7178,52.7178,52.7178
2018-02-13,52.2344,52.2344,52.2344,52.2344
2018-02-14,53.4639,53.4639,53.4639,53.4639
2018-02-15,55.0154,55.0154,55.0154,55.0154
2018-02-16,54.9544,54.9544,54.9544,54.9544
2018-02-20,54.5407,54.5407,54.5407,54.5407
2018-02-21,53.4188,53.4188,53.4188,53.4188
2018-02-22,53.2596,53.2596,53.2596,53.2596
2018-02-23,54.2304,54.2304,54.2304,54.2304
2018-02-26,57.6905,57.6905,57.6905,57.6905
2018-02-27,57.1538,57.1538,57.1538,57.1538
2018-02-28,55.8011,55.8011,55.8011,55.8011
2018-03-01,52.8682,52.8682,52.8682,52.8682
2018-03-02,52.7737,52.7737,52.7737,52.7737
2018-03-05,53.617,53.617,53.617,53.617
2018-03-06,54.1906,54.1906,54.1906,54.1906
2018-03-07,54.0609,54.0609,54.0609,54.0609
2018-03-08,54.4996,54.4996,54.4996,54.4996
2018-03-09,57.6758,57.6758,57.6758,57.6758
2018-03-12,57.0825,57.0825,57.0825,57.0825
2018-03-13,55.6835,55.6835,55.6835,55.6835
2018-03-14,54.6009,54.6009,54.6009,54.6009
2018-03-15,54.9464,54.9464,54.9464,54.9464
2018-03-16,54.5093,54.5093,54.5093,54.5093
2018-03-19,53.0278,53.0278,53.0278,53.0278
2018-03-20,53.3577,53.3577,53.3577,53.3577
2018-03-21,53.3927,53.3927,53.3927,53.3927
2018-03-22,49.9577,49.9577,49.9577,49.9577
2018-03-23,47.7161,47.7161,47.7161,47.7161
2018-03-26,50.7092,50.7092,50.7092,50.7092
2018-03-27,49.3764,49.3764,49.3764,49.3764
2018-03-28,49.596,49.596,49.596,49.596
2018-03-29,50.7697,50.7697,50.7697,50.7697
2018-04-02,48.9227,48.9227,48.9227,48.9227
2018-04-03,50.1414,50.1414,50.1414,50.1414
2018-04-04,51.005,51.005,51.005,51.005
2018-04-05,51.3002,51.3002,51.3002,51.3002
2018-04-06,49.12,49.12,49.12,49.12
2018-04-09,49.0567,49.0567,49.0567,49.0567
