date,open,low,high,close
2018-01-02,194.7196,194.7196,194.7196,194.7196
2018-01-03,195.1284,195.1284,195.1284,195.1284
2018-01-04,195.5658,195.5658,195.5658,195.5658
2018-01-05,196.0218,196.0218,196.0218,196.0218
2018-01-08,196.5237,196.5237,196.5237,196.5237
2018-01-09,197.0171,197.0171,197.0171,197.0171
2018-01-10,197.6143,197.6143,197.6143,197.6143
2018-01-11,198.2374,198.2374,198.2374,198.2374
2018-01-12,199.0026,199.0026,199.0026,199.0026
2018-01-16,199.7414,199.7414,199.7414,199.7414
2018-01-17,200.6343,200.6343,200.6343,200.6343
2018-01-18,201.4407,201.4407,201.4407,201.4407
2018-01-19,202.2108,202.2108,202.2108,202.2108
2018-01-22,203.0751,203.0751,203.0751,203.0751
2018-01-23,203.8794,203.8794,203.8794,203.8794
2018-01-24,204.6458,204.6458,204.6458,204.6458
2018-01-25,205.3469,205.3469,205.3469,205.3469
2018-01-26,206.1113,206.1113,206.1113,206.1113
2018-01-29,206.7552,206.7552,206.7552,206.7552
2018-01-30,207.3167,207.3167,207.3167,207.3167
2018-01-31,207.8506,207.8506,207.8506,207.8506
2018-02-01,208.5003,208.5003,208.5003,208.5003
2018-02-02,208.7287,208.7287,208.7287,208.7287
2018-02-05,208.3402,208.3402,208.3402,208.3402
2018-02-06,208.1673,208.1673,208.1673,208.1673
2018-02-07,207.946,207.946,207.946,207.946
2018-02-08,207.2834,207.2834,207.2834,207.2834
2018-02-09,206.8515,206.8515,206.8515,206.8515
2018-02-12,206.5634,206.5634,206.5634,206.5634
2018-02-13,206.2295,206.2295,206.2295,206.2295
2018-02-14,206.0185,206.0185,206.0185,206.0185
2018-02-15,205.9679,205.9679,205.9679,205.9679
2018-02-16,205.9065,205.9065,205.9065,205.9065
2018-02-20,205.8017,205.8017,205.8017,205.8017
2018-02-21,205.5916,205.5916,205.5916,205.5916
2018-02-22,205.3647,205.3647,205.3647,205.3647
2018-02-23,205.2333,205.2333,205.2333,205.2333
2018-02-26,205.4791,205.4791,205.4791,205.4791
2018-02-27,205.6635,205.6635,205.6635,205.6635
2018-02-28,205.7156,205.7156,205.7156,205.7156
2018-03-01,205.4801,205.4801,205.4801,205.4801
2018-03-02,205.2301,205.2301,205.2301,205.2301
2018-03-05,205.0709,205.0709,205.0709,205.0709
2018-03-06,204.9725,204.9725,204.9725,204.9725
2018-03-07,204.8581,204.8581,204.8581,204.8581
2018-03-08,204.7901,204.7901,204.7901,204.7901
2018-03-09,205.0925,205.0925,205.0925,205.0925
2018-03-12,205.3313,205.3313,205.3313,205.3313
2018-03-13,205.4326,205.4326,205.4326,205.4326
2018-03-14,205.4308,205.4308,205.4308,205.4308
2018-03-15,205.4735,205.4735,205.4735,205.4735
2018-03-16,205.482,205.482,205.482,205.482
2018-03-19,205.3532,205.3532,205.3532,205.3532
2018-03-20,205.2728,205.2728,205.2728,205.2728
2018-03-21,205.2099,205.2099,205.2099,205.2099
2018-03-22,204.809,204.809,204.809,204.809
2018-03-23,204.1777,204.1777,204.1777,204.1777
2018-03-26,203.9097,203.9097,203.9097,203.9097
2018-03-27,203.5078,203.5078,203.5078,203.5078
2018-03-28,203.1549,203.1549,203.1549,203.1549
2018-03-29,202.9606,202.9606,202.9606,202.9606
2018-04-02,202.566,202.566,202.566,202.566
2018-04-03,202.3429,202.3429,202.3429,202.3429
2018-04-04,202.2383,202.2383,202.2383,202.2383
2018-04-05,202.1658,202.1658,202.1658,202.1658
2018-04-06,201.8323,201.8323,201.8323,201.8323
2018-04-09,201.4969,201.4969,201.4969,201.4969
2018-04-10,201.2772,201.2772,201.2772,201.2772
2018-04-11,200.9295,200.9295,200.9295,200.9295
2018-04-12,200.7283,200.7283,200.7283,200.7283
2018-04-13,200.4717,200.4717,200.4717,200.4717
2018-04-16,200.279,200.279,200.279,200.279
2018-04-17,200.1445,200.1445,200.1445,200.1445
2018-04-18,200.0271,200.0271,200.0271,200.0271
2018-04-19,199.9565,199.9565,199.9565,199.9565
2018-04-20,199.8745,199.8745,199.8745,199.8745
2018-04-23,199.7586,199.7586,199.7586,199.7586
2018-04-24,199.5189,199.5189,199.5189,199.5189
2018-04-25,199.2961,199.2961,199.2961,199.2961
