date,WILLR,WILLR,WILLR,WILLR
2018-01-02,-16.3509,-16.3509,-16.3509,-16.3509
2018-01-03,-3.5394,-3.5394,-3.5394,-3.5394
2018-01-04,-6.6386,-6.6386,-6.6386,-6.6386
2018-01-05,-3.273,-3.273,-3.273,-3.273
2018-01-08,-1.4582,-1.4582,-1.4582,-1.4582
2018-01-09,-5.7596,-5.7596,-5.7596,-5.7596
2018-01-10,-0.4509,-0.4509,-0.4509,-0.4509
2018-01-11,-2.1982,-2.1982,-2.1982,-2.1982
2018-01-12,-0.7679,-0.7679,-0.7679,-0.7679
2018-01-16,-11.1343,-11.1343,-11.1343,-11.1343
2018-01-17,-0.9982,-0.9982,-0.9982,-0.9982
2018-01-18,-7.3288,-7.3288,-7.3288,-7.3288
2018-01-19,-7.159,-7.159,-7.159,-7.159
2018-01-22,-0.3086,-0.3086,-0.3086,-0.3086
2018-01-23,-2.1999,-2.1999,-2.1999,-2.1999
2018-01-24,-3.5117,-3.5117,-3.5117,-3.5117
2018-01-25,-4.9108,-4.9108,-4.9108,-4.9108
2018-01-26,-0.4065,-0.4065,-0.4065,-0.4065
2018-01-29,-5.8096,-5.8096,-5.8096,-5.8096
2018-01-30,-8.6337,-8.6337,-8.6337,-8.6337
2018-01-31,-8.7144,-8.7144,-8.7144,-8.7144
2018-02-01,-0.9952,-0.9952,-0.9952,-0.9952
2018-02-02,-22.8618,-22.8618,-22.8618,-22.8618
2018-02-05,-55.9978,-55.9978,-55.9978,-55.9978
2018-02-06,-44.0559,-44.0559,-44.0559,-44.0559
2018-02-07,-46.3959,-46.3959,-46.3959,-46.3959
2018-02-08,-70.468,-70.468,-70.468,-70.468
2018-02-09,-58.0958,-58.0958,-58.0958,-58.0958
2018-02-12,-50.3765,-50.3765,-50.3765,-50.3765
2018-02-13,-52.7972,-52.7972,-52.7972,-52.7972
2018-02-14,-45.9387,-45.9387,-45.9387,-45.9387
2018-02-15,-36.9016,-36.9016,-36.9016,-36.9016
2018-02-16,-38.2996,-38.2996,-38.2996,-38.2996
2018-02-20,-40.8352,-40.8352,-40.8352,-40.8352
2018-02-21,-46.9266,-46.9266,-46.9266,-46.9266
2018-02-22,-47.9693,-47.9693,-47.9693,-47.9693
2018-02-23,-44.2262,-44.2262,-44.2262,-44.2262
2018-02-26,-23.2945,-23.2945,-23.2945,-23.2945
2018-02-27,-28.1073,-28.1073,-28.1073,-28.1073
2018-02-28,-36.7938,-36.7938,-36.7938,-36.7938
2018-03-01,-56.815,-56.815,-56.815,-56.815
2018-03-02,-57.4859,-57.4859,-57.4859,-57.4859
2018-03-05,-50.7768,-50.7768,-50.7768,-50.7768
2018-03-06,-46.1511,-46.1511,-46.1511,-46.1511
2018-03-07,-47.0339,-47.0339,-47.0339,-47.0339
2018-03-08,-43.5381,-43.5381,-43.5381,-43.5381
2018-03-09,-16.5254,-16.5254,-16.5254,-16.5254
2018-03-12,-20.4802,-20.4802,-20.4802,-20.4802
2018-03-13,-29.9788,-29.9788,-29.9788,-29.9788
2018-03-14,-37.5353,-37.5353,-37.5353,-37.5353
2018-03-15,-34.6045,-34.6045,-34.6045,-34.6045
