date,open,low,high,close
2018-01-02,34.3562,34.3562,34.3562,34.3562
2018-01-03,36.4273,36.4273,36.4273,36.4273
2018-01-04,36.468,36.468,36.468,36.468
2018-01-05,36.8705,36.8705,36.8705,36.8705
2018-01-08,37.7159,37.7159,37.7159,37.7159
2018-01-09,35.2015,35.2015,35.2015,35.2015
2018-01-10,32.9385,32.9385,32.9385,32.9385
2018-01-11,31.8623,31.8623,31.8623,31.8623
2018-01-12,31.0461,31.0461,31.0461,31.0461
2018-01-16,29.8094,29.8094,29.8094,29.8094
2018-01-17,27.0414,27.0414,27.0414,27.0414
2018-01-18,25.0856,25.0856,25.0856,25.0856
2018-01-19,23.3253,23.3253,23.3253,23.3253
2018-01-22,23.3432,23.3432,23.3432,23.3432
2018-01-23,26.0839,26.0839,26.0839,26.0839
2018-01-24,29.0297,29.0297,29.0297,29.0297
2018-01-25,31.6809,31.6809,31.6809,31.6809
2018-01-26,34.3287,34.3287,34.3287,34.3287
2018-01-29,36.1952,36.1952,36.1952,36.1952
2018-01-30,36.3163,36.3163,36.3163,36.3163
2018-01-31,37.5571,37.5571,37.5571,37.5571
2018-02-01,38.6739,38.6739,38.6739,38.6739
2018-02-02,37.5242,37.5242,37.5242,37.5242
2018-02-05,36.3357,36.3357,36.3357,36.3357
2018-02-06,37.2416,37.2416,37.2416,37.2416
2018-02-07,36.1933,36.1933,36.1933,36.1933
2018-02-08,36.7425,36.7425,36.7425,36.7425
2018-02-09,37.2995,37.2995,37.2995,37.2995
2018-02-12,37.2868,37.2868,37.2868,37.2868
2018-02-13,37.2754,37.2754,37.2754,37.2754
2018-02-14,35.8073,35.8073,35.8073,35.8073
2018-02-15,33.5958,33.5958,33.5958,33.5958
2018-02-16,31.7348,31.7348,31.7348,31.7348
2018-02-20,30.8975,30.8975,30.8975,30.8975
2018-02-21,30.5986,30.5986,30.5986,30.5986
2018-02-22,30.8136,30.8136,30.8136,30.8136
2018-02-23,31.2759,31.2759,31.2759,31.2759
2018-02-26,29.242,29.242,29.242,29.242
2018-02-27,27.4114,27.4114,27.4114,27.4114
2018-02-28,27.2479,27.2479,27.2479,27.2479
2018-03-01,28.3781,28.3781,28.3781,28.3781
2018-03-02,30.0633,30.0633,30.0633,30.0633
2018-03-05,29.4085,29.4085,29.4085,29.4085
2018-03-06,28.8192,28.8192,28.8192,28.8192
2018-03-07,28.7373,28.7373,28.7373,28.7373
2018-03-08,27.5721,27.5721,27.5721,27.5721
2018-03-09,25.1453,25.1453,25.1453,25.1453
2018-03-12,23.1049,23.1049,23.1049,23.1049
2018-03-13,20.9432,20.9432,20.9432,20.9432
2018-03-14,19.9174,19.9174,19.9174,19.9174
2018-03-15,18.9941,18.9941,18.9941,18.9941
2018-03-16,18.5246,18.5246,18.5246,18.5246
2018-03-19,18.707,18.707,18.707,18.707
2018-03-20,18.2495,18.2495,18.2495,18.2495
2018-03-21,17.8378,17.8378,17.8378,17.8378
2018-03-22,19.6608,19.6608,19.6608,19.6608
2018-03-23,22.7762,22.7762,22.7762,22.7762
2018-03-26,25.5801,25.5801,25.5801,25.5801
2018-03-27,26.6918,26.6918,26.6918,26.6918
2018-03-28,27.9921,27.9921,27.9921,27.9921
2018-03-29,29.1624,29.1624,29.1624,29.1624
2018-04-02,32.5456,32.5456,32.5456,32.5456
2018-04-03,35.5905,35.5905,35.5905,35.5905
2018-04-04,36.8653,36.8653,36.8653,36.8653
2018-04-05,37.1463,37.1463,37.1463,37.1463
2018-04-06,38.3166,38.3166,38.3166,38.3166
2018-04-09,39.3698,39.3698,39.3698,39.3698
2018-04-10,40.3177,40.3177,40.3177,40.3177
2018-04-11,41.6429,41.6429,41.6429,41.6429
2018-04-12,41.6381,41.6381,41.6381,41.6381
2018-04-13,42.0725,42.0725,42.0725,42.0725
2018-04-16,41.1612,41.1612,41.1612,41.1612
