date,Aroon Down,Aroon Up,Aroon Up,Aroon Down,Aroon Down,Aroon Up,Aroon Up,Aroon Down
2018-01-02,33.8843,61.157,61.157,33.8843,33.8843,61.157,61.157,33.8843
2018-01-03,33.0579,60.3306,60.3306,33.0579,33.0579,60.3306,60.3306,33.0579
2018-01-04,32.2314,59.5041,59.5041,32.2314,32.2314,59.5041,59.5041,32.2314
2018-01-05,31.405,58.6777,58.6777,31.405,31.405,58.6777,58.6777,31.405
2018-01-08,30.5785,57.8512,57.8512,30.5785,30.5785,57.8512,57.8512,30.5785
2018-01-09,29.7521,57.0248,57.0248,29.7521,29.7521,57.0248,57.0248,29.7521
2018-01-10,28.9256,56.1983,56.1983,28.9256,28.9256,56.1983,56.1983,28.9256
2018-01-11,28.0992,55.3719,55.3719,28.0992,28.0992,55.3719,55.3719,28.0992
2018-01-12,27.2727,54.5455,54.5455,27.2727,27.2727,54.5455,54.5455,27.2727
2018-01-16,26.4463,53.719,53.719,26.4463,26.4463,53.719,53.719,26.4463
2018-01-17,25.6198,52.8926,52.8926,25.6198,25.6198,52.8926,52.8926,25.6198
2018-01-18,24.7934,52.0661,52.0661,24.7934,24.7934,52.0661,52.0661,24.7934
2018-01-19,23.9669,51.2397,51.2397,23.9669,23.9669,51.2397,51.2397,23.9669
2018-01-22,23.1405,50.4132,50.4132,23.1405,23.1405,50.4132,50.4132,23.1405
2018-01-23,22.314,49.5868,49.5868,22.314,22.314,49.5868,49.5868,22.314
2018-01-24,21.4876,48.7603,48.7603,21.4876,21.4876,48.7603,48.7603,21.4876
2018-01-25,20.6612,47.9339,47.9339,20.6612,20.6612,47.9339,47.9339,20.6612
2018-01-26,19.8347,47.1074,47.1074,19.8347,19.8347,47.1074,47.1074,19.8347
2018-01-29,19.0083,46.281,46.281,19.0083,19.0083,46.281,46.281,19.0083
2018-01-30,18.1818,45.4545,45.4545,18.1818,18.1818,45.4545,45.4545,18.1818
2018-01-31,17.3554,100.0,100.0,17.3554,17.3554,100.0,100.0,17.3554
2018-02-01,16.5289,99.1736,99.1736,16.5289,16.5289,99.1736,99.1736,16.5289
2018-02-02,15.7025,98.3471,98.3471,15.7025,15.7025,98.3471,98.3471,15.7025
2018-02-05,14.876,97.5207,97.5207,14.876,14.876,97.5207,97.5207,14.876
2018-02-06,14.0496,96.6942,96.6942,14.0496,14.0496,96.6942,96.6942,14.0496
2018-02-07,13.2231,95.8678,95.8678,13.2231,13.2231,95.8678,95.8678,13.2231
2018-02-08,12.3967,95.0413,95.0413,12.3967,12.3967,95.0413,95.0413,12.3967
2018-02-09,11.5702,94.2149,94.2149,11.5702,11.5702,94.2149,94.2149,11.5702
2018-02-12,10.7438,93.3884,93.3884,10.7438,10.7438,93.3884,93.3884,10.7438
2018-02-13,9.9174,92.562,92.562,9.9174,9.9174,92.562,92.562,9.9174
