date,open,low,high,close
2018-01-02,144.2799,144.2799,144.2799,144.2799
2018-01-03,143.7745,143.7745,143.7745,143.7745
2018-01-04,143.6163,143.6163,143.6163,143.6163
2018-01-05,143.609,143.609,143.609,143.609
2018-01-08,143.3843,143.3843,143.3843,143.3843
2018-01-09,144.0056,144.0056,144.0056,144.0056
2018-01-10,144.2974,144.2974,144.2974,144.2974
2018-01-11,144.2644,144.2644,144.2644,144.2644
2018-01-12,144.6269,144.6269,144.6269,144.6269
2018-01-16,144.913,144.913,144.913,144.913
2018-01-17,145.7478,145.7478,145.7478,145.7478
2018-01-18,146.4154,146.4154,146.4154,146.4154
2018-01-19,147.073,147.073,147.073,147.073
2018-01-22,148.0762,148.0762,148.0762,148.0762
2018-01-23,149.9613,149.9613,149.9613,149.9613
2018-01-24,151.892,151.892,151.892,151.892
2018-01-25,153.2304,153.2304,153.2304,153.2304
2018-01-26,154.5058,154.5058,154.5058,154.5058
2018-01-29,154.847,154.847,154.847,154.847
2018-01-30,154.7009,154.7009,154.7009,154.7009
2018-01-31,155.5704,155.5704,155.5704,155.5704
2018-02-01,155.9501,155.9501,155.9501,155.9501
2018-02-02,155.4516,155.4516,155.4516,155.4516
2018-02-05,153.0947,153.0947,153.0947,153.0947
2018-02-06,150.841,150.841,150.841,150.841
2018-02-07,149.7106,149.7106,149.7106,149.7106
2018-02-08,146.5243,146.5243,146.5243,146.5243
2018-02-09,145.5539,145.5539,145.5539,145.5539
2018-02-12,144.8999,144.8999,144.8999,144.8999
2018-02-13,144.6211,144.6211,144.6211,144.6211
2018-02-14,145.1683,145.1683,145.1683,145.1683
2018-02-15,145.532,145.532,145.532,145.532
2018-02-16,145.8032,145.8032,145.8032,145.8032
2018-02-20,145.5086,145.5086,145.5086,145.5086
2018-02-21,144.7405,144.7405,144.7405,144.7405
2018-02-22,143.9777,143.9777,143.9777,143.9777
2018-02-23,143.7478,143.7478,143.7478,143.7478
2018-02-26,144.3067,144.3067,144.3067,144.3067
2018-02-27,144.0969,144.0969,144.0969,144.0969
2018-02-28,143.209,143.209,143.209,143.209
2018-03-01,141.8746,141.8746,141.8746,141.8746
2018-03-02,140.9295,140.9295,140.9295,140.9295
2018-03-05,140.8235,140.8235,140.8235,140.8235
2018-03-06,140.8992,140.8992,140.8992,140.8992
2018-03-07,140.5575,140.5575,140.5575,140.5575
2018-03-08,140.7513,140.7513,140.7513,140.7513
2018-03-09,141.6103,141.6103,141.6103,141.6103
2018-03-12,141.9635,141.9635,141.9635,141.9635
2018-03-13,141.857,141.857,141.857,141.857
2018-03-14,141.3984,141.3984,141.3984,141.3984
2018-03-15,141.1694,141.1694,141.1694,141.1694
2018-03-16,140.9861,140.9861,140.9861,140.9861
2018-03-19,140.6384,140.6384,140.6384,140.6384
2018-03-20,140.7316,140.7316,140.7316,140.7316
2018-03-21,140.4631,140.4631,140.4631,140.4631
2018-03-22,139.4105,139.4105,139.4105,139.4105
2018-03-23,137.6324,137.6324,137.6324,137.6324
2018-03-26,137.1508,137.1508,137.1508,137.1508
2018-03-27,136.7184,136.7184,136.7184,136.7184
2018-03-28,136.9439,136.9439,136.9439,136.9439
2018-03-29,136.6459,136.6459,136.6459,136.6459
2018-04-02,135.3034,135.3034,135.3034,135.3034
2018-04-03,134.9268,134.9268,134.9268,134.9268
