date,open,low,high,close
2018-01-02,145.7661,145.7661,145.7661,145.7661
2018-01-03,145.3395,145.3395,145.3395,145.3395
2018-01-04,145.096,145.096,145.096,145.096
2018-01-05,144.944,144.944,144.944,144.944
2018-01-08,144.6869,144.6869,144.6869,144.6869
2018-01-09,144.8984,144.8984,144.8984,144.8984
2018-01-10,144.9696,144.9696,144.9696,144.9696
2018-01-11,144.8842,144.8842,144.8842,144.8842
2018-01-12,145.0216,145.0216,145.0216,145.0216
2018-01-16,145.1395,145.1395,145.1395,145.1395
2018-01-17,145.576,145.576,145.576,145.576
2018-01-18,145.9603,145.9603,145.9603,145.9603
2018-01-19,146.3675,146.3675,146.3675,146.3675
2018-01-22,146.9898,146.9898,146.9898,146.9898
2018-01-23,148.1353,148.1353,148.1353,148.1353
2018-01-24,149.3798,149.3798,149.3798,149.3798
2018-01-25,150.3671,150.3671,150.3671,150.3671
2018-01-26,151.3549,151.3549,151.3549,151.3549
2018-01-29,151.8576,151.8576,151.8576,151.8576
2018-01-30,152.0763,152.0763,152.0763,152.0763
2018-01-31,152.8169,152.8169,152.8169,152.8169
2018-02-01,153.3011,153.3011,153.3011,153.3011
2018-02-02,153.2918,153.2918,153.2918,153.2918
2018-02-05,152.2115,152.2115,152.2115,152.2115
2018-02-06,151.0603,151.0603,151.0603,151.0603
2018-02-07,150.4166,150.4166,150.4166,150.4166
2018-02-08,148.5936,148.5936,148.5936,148.5936
2018-02-09,147.8529,147.8529,147.8529,147.8529
2018-02-12,147.2633,147.2633,147.2633,147.2633
2018-02-13,146.8736,146.8736,146.8736,146.8736
2018-02-14,146.9493,146.9493,146.9493,146.9493
2018-02-15,146.9713,146.9713,146.9713,146.9713
2018-02-16,146.9765,146.9765,146.9765,146.9765
2018-02-20,146.6971,146.6971,146.6971,146.6971
2018-02-21,146.1558,146.1558,146.1558,146.1558
2018-02-22,145.5948,145.5948,145.5948,145.5948
2018-02-23,145.3066,145.3066,145.3066,145.3066
2018-02-26,145.4582,145.4582,145.4582,145.4582
2018-02-27,145.2276,145.2276,145.2276,145.2276
2018-02-28,144.6262,144.6262,144.6262,144.6262
2018-03-01,143.7505,143.7505,143.7505,143.7505
2018-03-02,143.0432,143.0432,143.0432,143.0432
2018-03-05,142.7735,142.7735,142.7735,142.7735
2018-03-06,142.6201,142.6201,142.6201,142.6201
2018-03-07,142.2601,142.2601,142.2601,142.2601
2018-03-08,142.1965,142.1965,142.1965,142.1965
