date,open,low,high,close
2018-01-02,147.6396,147.6396,147.6396,147.6396
2018-01-03,147.6025,147.6025,147.6025,147.6025
2018-01-04,147.5757,147.5757,147.5757,147.5757
2018-01-05,147.5444,147.5444,147.5444,147.5444
2018-01-08,147.4997,147.4997,147.4997,147.4997
2018-01-09,147.4911,147.4911,147.4911,147.4911
2018-01-10,147.468,147.468,147.468,147.468
2018-01-11,147.4196,147.4196,147.4196,147.4196
2018-01-12,147.3974,147.3974,147.3974,147.3974
2018-01-16,147.371,147.371,147.371,147.371
2018-01-17,147.3741,147.3741,147.3741,147.3741
2018-01-18,147.3798,147.3798,147.3798,147.3798
2018-01-19,147.3965,147.3965,147.3965,147.3965
2018-01-22,147.4283,147.4283,147.4283,147.4283
2018-01-23,147.4603,147.4603,147.4603,147.4603
2018-01-24,147.4939,147.4939,147.4939,147.4939
2018-01-25,147.5483,147.5483,147.5483,147.5483
2018-01-26,147.6222,147.6222,147.6222,147.6222
2018-01-29,147.6858,147.6858,147.6858,147.6858
2018-01-30,147.7224,147.7224,147.7224,147.7224
2018-01-31,147.8746,147.8746,147.8746,147.8746
2018-02-01,148.0196,148.0196,148.0196,148.0196
2018-02-02,148.0771,148.0771,148.0771,148.0771
2018-02-05,148.0716,148.0716,148.0716,148.0716
2018-02-06,148.0486,148.0486,148.0486,148.0486
2018-02-07,148.0431,148.0431,148.0431,148.0431
2018-02-08,147.8617,147.8617,147.8617,147.8617
2018-02-09,147.8157,147.8157,147.8157,147.8157
2018-02-12,147.7756,147.7756,147.7756,147.7756
2018-02-13,147.7426,147.7426,147.7426,147.7426
2018-02-14,147.7399,147.7399,147.7399,147.7399
2018-02-15,147.736,147.736,147.736,147.736
2018-02-16,147.7312,147.7312,147.7312,147.7312
2018-02-20,147.7113,147.7113,147.7113,147.7113
2018-02-21,147.6722,147.6722,147.6722,147.6722
2018-02-22,147.6173,147.6173,147.6173,147.6173
2018-02-23,147.5782,147.5782,147.5782,147.5782
2018-02-26,147.5621,147.5621,147.5621,147.5621
2018-02-27,147.507,147.507,147.507,147.507
2018-02-28,147.3987,147.3987,147.3987,147.3987
2018-03-01,147.2289,147.2289,147.2289,147.2289
2018-03-02,147.076,147.076,147.076,147.076
2018-03-05,146.9881,146.9881,146.9881,146.9881
2018-03-06,146.9041,146.9041,146.9041,146.9041
2018-03-07,146.8016,146.8016,146.8016,146.8016
2018-03-08,146.728,146.728,146.728,146.728
2018-03-09,146.6961,146.6961,146.6961,146.6961
2018-03-12,146.6476,146.6476,146.6476,146.6476
2018-03-13,146.5906,146.5906,146.5906,146.5906
2018-03-14,146.5292,146.5292,146.5292,146.5292
2018-03-15,146.4498,146.4498,146.4498,146.4498
2018-03-16,146.3772,146.3772,146.3772,146.3772
2018-03-19,146.2923,146.2923,146.2923,146.2923
2018-03-20,146.2436,146.2436,146.2436,146.2436
2018-03-21,146.1843,146.1843,146.1843,146.1843
2018-03-22,146.0639,146.0639,146.0639,146.0639
2018-03-23,145.8422,145.8422,145.8422,145.8422
2018-03-26,145.7005,145.7005,145.7005,145.7005
2018-03-27,145.5516,145.5516,145.5516,145.5516
2018-03-28,145.4519,145.4519,145.4519,145.4519
2018-03-29,145.361,145.361,145.361,145.361
2018-04-02,145.151,145.151,145.151,145.151
2018-04-03,144.9983,144.9983,144.9983,144.9983
2018-04-04,144.8773,144.8773,144.8773,144.8773
2018-04-05,144.7563,144.7563,144.7563,144.7563
2018-04-06,144.543,144.543,144.543,144.543
2018-04-09,144.3446,144.3446,144.3446,144.3446
2018-04-10,144.1989,144.1989,144.1989,144.1989
2018-04-11,143.9972,143.9972,143.9972,143.9972
2018-04-12,143.8268,143.8268,143.8268,143.8268
2018-04-13,143.5926,143.5926,143.5926,143.5926
2018-04-16,143.4351,143.4351,143.4351,143.4351
2018-04-17,143.2927,143.2927,143.2927,143.2927
2018-04-18,143.1352,143.1352,143.1352,143.1352
2018-04-19,142.9739,142.9739,142.9739,142.9739
2018-04-20,142.794,142.794,142.794,142.794
2018-04-23,142.6508,142.6508,142.6508,142.6508
2018-04-24,142.3929,142.3929,142.3929,142.3929
2018-04-25,142.227,142.227,142.227,142.227
2018-04-26,142.041,142.041,142.041,142.041
2018-04-27,141.8576,141.8576,141.8576,141.8576
2018-04-30,141.6048,141.6048,141.6048,141.6048
2018-05-01,141.4049,141.4049,141.4049,141.4049
2018-05-02,141.1482,141.1482,141.1482,141.1482
