date,open,low,high,close
2018-01-02,-9.34,-9.34,-9.34,-9.34
2018-01-03,-7.4,-7.4,-7.4,-7.4
2018-01-04,-6.18,-6.18,-6.18,-6.18
2018-01-05,-6.61,-6.61,-6.61,-6.61
2018-01-08,-5.91,-5.91,-5.91,-5.91
2018-01-09,-4.2,-4.2,-4.2,-4.2
2018-01-10,-4.95,-4.95,-4.95,-4.95
2018-01-11,-6.0,-6.0,-6.0,-6.0
2018-01-12,-2.8,-2.8,-2.8,-2.8
2018-01-16,-0.45,-0.45,-0.45,-0.45
2018-01-17,-1.18,-1.18,-1.18,-1.18
2018-01-18,-0.17,-0.17,-0.17,-0.17
2018-01-19,0.58,0.58,0.58,0.58
2018-01-22,3.82,3.82,3.82,3.82
2018-01-23,8.28,8.28,8.28,8.28
2018-01-24,9.78,9.78,9.78,9.78
2018-01-25,9.5,9.5,9.5,9.5
2018-01-26,9.63,9.63,9.63,9.63
2018-01-29,7.96,7.96,7.96,7.96
2018-01-30,6.93,6.93,6.93,6.93
2018-01-31,13.85,13.85,13.85,13.85
2018-02-01,12.06,12.06,12.06,12.06
2018-02-02,9.25,9.25,9.25,9.25
2018-02-05,3.09,3.09,3.09,3.09
2018-02-06,2.35,2.35,2.35,2.35
2018-02-07,1.67,1.67,1.67,1.67
2018-02-08,-4.9,-4.9,-4.9,-4.9
2018-02-09,0.02,0.02,0.02,0.02
2018-02-12,-1.03,-1.03,-1.03,-1.03
2018-02-13,-0.55,-0.55,-0.55,-0.55
2018-02-14,-0.25,-0.25,-0.25,-0.25
2018-02-15,-0.62,-0.62,-0.62,-0.62
2018-02-16,-1.2,-1.2,-1.2,-1.2
2018-02-20,-4.35,-4.35,-4.35,-4.35
2018-02-21,-9.57,-9.57,-9.57,-9.57
2018-02-22,-11.91,-11.91,-11.91,-11.91
2018-02-23,-10.8,-10.8,-10.8,-10.8
2018-02-26,-9.66,-9.66,-9.66,-9.66
2018-02-27,-9.93,-9.93,-9.93,-9.93
2018-02-28,-11.14,-11.14,-11.14,-11.14
2018-03-01,-16.34,-16.34,-16.34,-16.34
2018-03-02,-15.62,-15.62,-15.62,-15.62
2018-03-05,-11.69,-11.69,-11.69,-11.69
2018-03-06,-5.42,-5.42,-5.42,-5.42
2018-03-07,-5.24,-5.24,-5.24,-5.24
2018-03-08,-5.61,-5.61,-5.61,-5.61
2018-03-09,3.61,3.61,3.61,3.61
2018-03-12,-1.43,-1.43,-1.43,-1.43
2018-03-13,-2.67,-2.67,-2.67,-2.67
2018-03-14,-4.36,-4.36,-4.36,-4.36
2018-03-15,-6.23,-6.23,-6.23,-6.23
2018-03-16,-6.09,-6.09,-6.09,-6.09
2018-03-19,-6.7,-6.7,-6.7,-6.7
2018-03-20,-4.12,-4.12,-4.12,-4.12
2018-03-21,-3.46,-3.46,-3.46,-3.46
2018-03-22,-5.43,-5.43,-5.43,-5.43
2018-03-23,-9.44,-9.44,-9.44,-9.44
2018-03-26,-9.12,-9.12,-9.12,-9.12
2018-03-27,-7.49,-7.49,-7.49,-7.49
2018-03-28,-3.66,-3.66,-3.66,-3.66
2018-03-29,-3.04,-3.04,-3.04,-3.04
2018-04-02,-6.56,-6.56,-6.56,-6.56
2018-04-03,-6.48,-6.48,-6.48,-6.48
2018-04-04,-5.75,-5.75,-5.75,-5.75
2018-04-05,-4.87,-4.87,-4.87,-4.87
2018-04-06,-7.78,-7.78,-7.78,-7.78
2018-04-09,-9.84,-9.84,-9.84,-9.84
2018-04-10,-7.91,-7.91,-7.91,-7.91
2018-04-11,-7.88,-7.88,-7.88,-7.88
2018-04-12,-5.98,-5.98,-5.98,-5.98
2018-04-13,-7.06,-7.06,-7.06,-7.06
2018-04-16,-5.19,-5.19,-5.19,-5.19
2018-04-17,-3.95,-3.95,-3.95,-3.95
2018-04-18,-4.81,-4.81,-4.81,-4.81
2018-04-19,-2.64,-2.64,-2.64,-2.64
2018-04-20,0.04,0.04,0.04,0.04
2018-04-23,3.72,3.72,3.72,3.72
2018-04-24,-0.92,-0.92,-0.92,-0.92
2018-04-25,0.56,0.56,0.56,0.56
2018-04-26,-1.86,-1.86,-1.86,-1.86
2018-04-27,0.54,0.54,0.54,0.54
2018-04-30,2.37,2.37,2.37,2.37
2018-05-01,0.85,0.85,0.85,0.85
2018-05-02,-3.46,-3.46,-3.46,-3.46
2018-05-03,-5.58,-5.58,-5.58,-5.58
2018-05-04,-1.38,-1.38,-1.38,-1.38
2018-05-07,-1.45,-1.45,-1.45,-1.45
2018-05-08,-2.34,-2.34,-2.34,-2.34
2018-05-09,0.63,0.63,0.63,0.63
2018-05-10,0.76,0.76,0.76,0.76
2018-05-11,2.17,2.17,2.17,2.17
2018-05-14,-0.74,-0.74,-0.74,-0.74
2018-05-15,-1.87,-1.87,-1.87,-1.87
2018-05-16,-1.94,-1.94,-1.94,-1.94
2018-05-17,-3.17,-3.17,-3.17,-3.17
2018-05-18,-4.14,-4.14,-4.14,-4.14
2018-05-21,-4.4,-4.4,-4.4,-4.4
2018-05-22,-0.88,-0.88,-0.88,-0.88
2018-05-23,-3.45,-3.45,-3.45,-3.45
2018-05-24,-2.96,-2.96,-2.96,-2.96
2018-05-25,-3.83,-3.83,-3.83,-3.83
2018-05-29,-5.75,-5.75,-5.75,-5.75
2018-05-30,-3.62,-3.62,-3.62,-3.62
2018-05-31,-2.03,-2.03,-2.03,-2.03
2018-06-01,0.59,0.59,0.59,0.59
2018-06-04,-0.97,-0.97,-0.97,-0.97
2018-06-05,-1.76,-1.76,-1.76,-1.76
2018-06-06,-1.49,-1.49,-1.49,-1.49
2018-06-07,-2.46,-2.46,-2.46,-2.46
2018-06-08,-2.02,-2.02,-2.02,-2.02
2018-06-11,-3.17,-3.17,-3.17,-3.17
2018-06-12,-2.73,-2.73,-2.73,-2.73
2018-06-13,-1.76,-1.76,-1.76,-1.76
2018-06-14,-4.47,-4.47,-4.47,-4.47
2018-06-15,-3.57,-3.57,-3.57,-3.57
2018-06-18,-4.1,-4.1,-4.1,-4.1
2018-06-19,-4.24,-4.24,-4.24,-4.24
2018-06-20,-8.51,-8.51,-8.51,-8.51
2018-06-21,-8.87,-8.87,-8.87,-8.87
2018-06-22,-8.06,-8.06,-8.06,-8.06
2018-06-25,-8.37,-8.37,-8.37,-8.37
2018-06-26,-5.35,-5.35,-5.35,-5.35
2018-06-27,-7.11,-7.11,-7.11,-7.11
2018-06-28,-4.03,-4.03,-4.03,-4.03
2018-06-29,-3.76,-3.76,-3.76,-3.76
2018-07-02,-4.97,-4.97,-4.97,-4.97
2018-07-03,-3.37,-3.37,-3.37,-3.37
2018-07-05,-3.1,-3.1,-3.1,-3.1
2018-07-06,-3.04,-3.04,-3.04,-3.04
2018-07-09,-1.43,-1.43,-1.43,-1.43
2018-07-10,0.51,0.51,0.51,0.51
2018-07-11,-0.47,-0.47,-0.47,-0.47
2018-07-12,-0.2,-0.2,-0.2,-0.2
2018-07-13,2.04,2.04,2.04,2.04
2018-07-16,2.49,2.49,2.49,2.49
2018-07-17,3.94,3.94,3.94,3.94
2018-07-18,5.35,5.35,5.35,5.35
2018-07-19,6.4,6.4,6.4,6.4
2018-07-20,8.29,8.29,8.29,8.29
2018-07-23,8.56,8.56,8.56,8.56
2018-07-24,9.45,9.45,9.45,9.45
2018-07-25,11.05,11.05,11.05,11.05
2018-07-26,12.06,12.06,12.06,12.06
2018-07-27,11.23,11.23,11.23,11.23
2018-07-30,12.83,12.83,12.83,12.83
2018-07-31,12.91,12.91,12.91,12.91
2018-08-01,10.87,10.87,10.87,10.87
2018-08-02,9.39,9.39,9.39,9.39
2018-08-03,9.62,9.62,9.62,9.62
2018-08-06,6.61,6.61,6.61,6.61
2018-08-07,5.14,5.14,5.14,5.14
2018-08-08,5.63,5.63,5.63,5.63
2018-08-09,4.56,4.56,4.56,4.56
2018-08-10,3.75,3.75,3.75,3.75
2018-08-13,1.61,1.61,1.61,1.61
2018-08-14,-0.27,-0.27,-0.27,-0.27
2018-08-15,-2.32,-2.32,-2.32,-2.32
2018-08-16,1.3,1.3,1.3,1.3
2018-08-17,0.81,0.81,0.81,0.81
2018-08-20,0.91,0.91,0.91,0.91
2018-08-21,0.47,0.47,0.47,0.47
2018-08-22,-2.49,-2.49,-2.49,-2.49
2018-08-23,-3.93,-3.93,-3.93,-3.93
2018-08-24,-2.77,-2.77,-2.77,-2.77
2018-08-27,-3.34,-3.34,-3.34,-3.34
2018-08-28,-3.36,-3.36,-3.36,-3.36
2018-08-29,-2.06,-2.06,-2.06,-2.06
2018-08-30,-2.49,-2.49,-2.49,-2.49
