date,open,low,high,close
2018-01-02,42.8404,42.8404,42.8404,42.8404
2018-01-03,44.4769,44.4769,44.4769,44.4769
2018-01-04,45.3086,45.3086,45.3086,45.3086
2018-01-05,45.6827,45.6827,45.6827,45.6827
2018-01-08,44.8003,44.8003,44.8003,44.8003
2018-01-09,48.0699,48.0699,48.0699,48.0699
2018-01-10,47.3752,47.3752,47.3752,47.3752
2018-01-11,46.4049,46.4049,46.4049,46.4049
2018-01-12,47.9818,47.9818,47.9818,47.9818
2018-01-16,48.0231,48.0231,48.0231,48.0231
2018-01-17,50.5326,50.5326,50.5326,50.5326
2018-01-18,50.7283,50.7283,50.7283,50.7283
2018-01-19,51.3988,51.3988,51.3988,51.3988
2018-01-22,53.4256,53.4256,53.4256,53.4256
2018-01-23,57.4332,57.4332,57.4332,57.4332
2018-01-24,59.173,59.173,59.173,59.173
2018-01-25,58.9245,58.9245,58.9245,58.9245
2018-01-26,59.9295,59.9295,59.9295,59.9295
2018-01-29,57.4817,57.4817,57.4817,57.4817
2018-01-30,56.0014,56.0014,56.0014,56.0014
2018-01-31,59.1468,59.1468,59.1468,59.1468
2018-02-01,58.2212,58.2212,58.2212,58.2212
2018-02-02,55.2686,55.2686,55.2686,55.2686
2018-02-05,48.5829,48.5829,48.5829,48.5829
2018-02-06,47.1261,47.1261,47.1261,47.1261
2018-02-07,48.8801,48.8801,48.8801,48.8801
2018-02-08,42.5815,42.5815,42.5815,42.5815
2018-02-09,46.6645,46.6645,46.6645,46.6645
2018-02-12,46.7492,46.7492,46.7492,46.7492
2018-02-13,47.2358,47.2358,47.2358,47.2358
2018-02-14,49.2593,49.2593,49.2593,49.2593
2018-02-15,49.0637,49.0637,49.0637,49.0637
2018-02-16,49.0001,49.0001,49.0001,49.0001
2018-02-20,47.592,47.592,47.592,47.592
2018-02-21,46.094,46.094,46.094,46.094
2018-02-22,45.5384,45.5384,45.5384,45.5384
2018-02-23,46.4949,46.4949,46.4949,46.4949
2018-02-26,48.5932,48.5932,48.5932,48.5932
2018-02-27,46.8674,46.8674,46.8674,46.8674
2018-02-28,44.9609,44.9609,44.9609,44.9609
2018-03-01,43.2824,43.2824,43.2824,43.2824
