date,open,low,high,close
2018-01-02,147.6555,147.6555,147.6555,147.6555
2018-01-03,147.2855,147.2855,147.2855,147.2855
2018-01-04,146.9765,146.9765,146.9765,146.9765
2018-01-05,146.646,146.646,146.646,146.646
2018-01-08,146.3505,146.3505,146.3505,146.3505
2018-01-09,146.1405,146.1405,146.1405,146.1405
2018-01-10,145.893,145.893,145.893,145.893
2018-01-11,145.593,145.593,145.593,145.593
2018-01-12,145.453,145.453,145.453,145.453
2018-01-16,145.4305,145.4305,145.4305,145.4305
2018-01-17,145.3715,145.3715,145.3715,145.3715
2018-01-18,145.363,145.363,145.363,145.363
2018-01-19,145.392,145.392,145.392,145.392
2018-01-22,145.583,145.583,145.583,145.583
2018-01-23,145.997,145.997,145.997,145.997
2018-01-24,146.486,146.486,146.486,146.486
2018-01-25,146.961,146.961,146.961,146.961
2018-01-26,147.4425,147.4425,147.4425,147.4425
2018-01-29,147.8405,147.8405,147.8405,147.8405
2018-01-30,148.187,148.187,148.187,148.187
2018-01-31,148.8795,148.8795,148.8795,148.8795
2018-02-01,149.4825,149.4825,149.4825,149.4825
2018-02-02,149.945,149.945,149.945,149.945
2018-02-05,150.0995,150.0995,150.0995,150.0995
2018-02-06,150.217,150.217,150.217,150.217
2018-02-07,150.3005,150.3005,150.3005,150.3005
2018-02-08,150.0555,150.0555,150.0555,150.0555
2018-02-09,150.0565,150.0565,150.0565,150.0565
2018-02-12,150.005,150.005,150.005,150.005
2018-02-13,149.9775,149.9775,149.9775,149.9775
2018-02-14,149.965,149.965,149.965,149.965
2018-02-15,149.934,149.934,149.934,149.934
2018-02-16,149.874,149.874,149.874,149.874
2018-02-20,149.6565,149.6565,149.6565,149.6565
2018-02-21,149.178,149.178,149.178,149.178
2018-02-22,148.5825,148.5825,148.5825,148.5825
2018-02-23,148.0425,148.0425,148.0425,148.0425
2018-02-26,147.5595,147.5595,147.5595,147.5595
2018-02-27,147.063,147.063,147.063,147.063
2018-02-28,146.506,146.506,146.506,146.506
2018-03-01,145.689,145.689,145.689,145.689
2018-03-02,144.908,144.908,144.908,144.908
2018-03-05,144.3235,144.3235,144.3235,144.3235
2018-03-06,144.0525,144.0525,144.0525,144.0525
2018-03-07,143.7905,143.7905,143.7905,143.7905
2018-03-08,143.51,143.51,143.51,143.51
2018-03-09,143.6905,143.6905,143.6905,143.6905
2018-03-12,143.619,143.619,143.619,143.619
2018-03-13,143.4855,143.4855,143.4855,143.4855
2018-03-14,143.2675,143.2675,143.2675,143.2675
2018-03-15,142.956,142.956,142.956,142.956
