date,open,low,high,close
2018-01-02,147.6547,147.6547,147.6547,147.6547
2018-01-03,147.2721,147.2721,147.2721,147.2721
2018-01-04,146.8835,146.8835,146.8835,146.8835
2018-01-05,146.5025,146.5025,146.5025,146.5025
2018-01-08,146.1527,146.1527,146.1527,146.1527
2018-01-09,145.8491,145.8491,145.8491,145.8491
2018-01-10,145.5894,145.5894,145.5894,145.5894
2018-01-11,145.3593,145.3593,145.3593,145.3593
2018-01-12,145.1638,145.1638,145.1638,145.1638
2018-01-16,144.9849,144.9849,144.9849,144.9849
2018-01-17,144.8535,144.8535,144.8535,144.8535
2018-01-18,144.8194,144.8194,144.8194,144.8194
2018-01-19,144.8637,144.8637,144.8637,144.8637
2018-01-22,144.9913,144.9913,144.9913,144.9913
2018-01-23,145.2231,145.2231,145.2231,145.2231
2018-01-24,145.5514,145.5514,145.5514,145.5514
2018-01-25,145.9603,145.9603,145.9603,145.9603
2018-01-26,146.4721,146.4721,146.4721,146.4721
2018-01-29,147.0762,147.0762,147.0762,147.0762
2018-01-30,147.7522,147.7522,147.7522,147.7522
2018-01-31,148.5106,148.5106,148.5106,148.5106
2018-02-01,149.2923,149.2923,149.2923,149.2923
2018-02-02,150.081,150.081,150.081,150.081
2018-02-05,150.8094,150.8094,150.8094,150.8094
2018-02-06,151.4201,151.4201,151.4201,151.4201
2018-02-07,151.8743,151.8743,151.8743,151.8743
2018-02-08,152.1144,152.1144,152.1144,152.1144
2018-02-09,152.1654,152.1654,152.1654,152.1654
2018-02-12,152.0272,152.0272,152.0272,152.0272
2018-02-13,151.7397,151.7397,151.7397,151.7397
2018-02-14,151.3045,151.3045,151.3045,151.3045
2018-02-15,150.7146,150.7146,150.7146,150.7146
2018-02-16,149.9971,149.9971,149.9971,149.9971
2018-02-20,149.2163,149.2163,149.2163,149.2163
2018-02-21,148.438,148.438,148.438,148.438
2018-02-22,147.6866,147.6866,147.6866,147.6866
2018-02-23,147.036,147.036,147.036,147.036
2018-02-26,146.5312,146.5312,146.5312,146.5312
2018-02-27,146.1251,146.1251,146.1251,146.1251
2018-02-28,145.7764,145.7764,145.7764,145.7764
2018-03-01,145.4318,145.4318,145.4318,145.4318
2018-03-02,145.1023,145.1023,145.1023,145.1023
2018-03-05,144.7997,144.7997,144.7997,144.7997
2018-03-06,144.5221,144.5221,144.5221,144.5221
2018-03-07,144.2338,144.2338,144.2338,144.2338
2018-03-08,143.9546,143.9546,143.9546,143.9546
2018-03-09,143.7158,143.7158,143.7158,143.7158
2018-03-12,143.4164,143.4164,143.4164,143.4164
2018-03-13,143.0817,143.0817,143.0817,143.0817
2018-03-14,142.7404,142.7404,142.7404,142.7404
2018-03-15,142.4395,142.4395,142.4395,142.4395
2018-03-16,142.2167,142.2167,142.2167,142.2167
2018-03-19,142.0481,142.0481,142.0481,142.0481
2018-03-20,141.9234,141.9234,141.9234,141.9234
2018-03-21,141.8271,141.8271,141.8271,141.8271
2018-03-22,141.72,141.72,141.72,141.72
2018-03-23,141.5377,141.5377,141.5377,141.5377
2018-03-26,141.3004,141.3004,141.3004,141.3004
2018-03-27,141.0431,141.0431,141.0431,141.0431
2018-03-28,140.7835,140.7835,140.7835,140.7835
2018-03-29,140.4955,140.4955,140.4955,140.4955
2018-04-02,140.1264,140.1264,140.1264,140.1264
2018-04-03,139.6995,139.6995,139.6995,139.6995
2018-04-04,139.2375,139.2375,139.2375,139.2375
2018-04-05,138.7401,138.7401,138.7401,138.7401
2018-04-06,138.2143,138.2143,138.2143,138.2143
2018-04-09,137.7235,137.7235,137.7235,137.7235
2018-04-10,137.3018,137.3018,137.3018,137.3018
2018-04-11,136.9113,136.9113,136.9113,136.9113
2018-04-12,136.5367,136.5367,136.5367,136.5367
2018-04-13,136.1597,136.1597,136.1597,136.1597
2018-04-16,135.8444,135.8444,135.8444,135.8444
2018-04-17,135.6104,135.6104,135.6104,135.6104
2018-04-18,135.4268,135.4268,135.4268,135.4268
2018-04-19,135.3068,135.3068,135.3068,135.3068
2018-04-20,135.2599,135.2599,135.2599,135.2599
2018-04-23,135.2825,135.2825,135.2825,135.2825
2018-04-24,135.3171,135.3171,135.3171,135.3171
2018-04-25,135.3975,135.3975,135.3975,135.3975
2018-04-26,135.5167,135.5167,135.5167,135.5167
2018-04-27,135.6976,135.6976,135.6976,135.6976
2018-04-30,135.9026,135.9026,135.9026,135.9026
2018-05-01,136.0812,136.0812,136.0812,136.0812
2018-05-02,136.2137,136.2137,136.2137,136.2137
2018-05-03,136.2757,136.2757,136.2757,136.2757
2018-05-04,136.2761,136.2761,136.2761,136.2761
2018-05-07,136.1935,136.1935,136.1935,136.1935
2018-05-08,136.0436,136.0436,136.0436,136.0436
2018-05-09,135.8621,135.8621,135.8621,135.8621
2018-05-10,135.6436,135.6436,135.6436,135.6436
2018-05-11,135.4001,135.4001,135.4001,135.4001
2018-05-14,135.1208,135.1208,135.1208,135.1208
2018-05-15,134.8295,134.8295,134.8295,134.8295
2018-05-16,134.5587,134.5587,134.5587,134.5587
2018-05-17,134.3612,134.3612,134.3612,134.3612
2018-05-18,134.2384,134.2384,134.2384,134.2384
2018-05-21,134.1711,134.1711,134.1711,134.1711
2018-05-22,134.1762,134.1762,134.1762,134.1762
2018-05-23,134.2029,134.2029,134.2029,134.2029
2018-05-24,134.2339,134.2339,134.2339,134.2339
2018-05-25,134.2483,134.2483,134.2483,134.2483
2018-05-29,134.2264,134.2264,134.2264,134.2264
2018-05-30,134.1904,134.1904,134.1904,134.1904
2018-05-31,134.1323,134.1323,134.1323,134.1323
2018-06-01,134.024,134.024,134.024,134.024
2018-06-04,133.861,133.861,133.861,133.861
2018-06-05,133.6641,133.6641,133.6641,133.6641
2018-06-06,133.4213,133.4213,133.4213,133.4213
2018-06-07,133.1425,133.1425,133.1425,133.1425
2018-06-08,132.8724,132.8724,132.8724,132.8724
2018-06-11,132.617,132.617,132.617,132.617
2018-06-12,132.4079,132.4079,132.4079,132.4079
2018-06-13,132.2492,132.2492,132.2492,132.2492
2018-06-14,132.1048,132.1048,132.1048,132.1048
2018-06-15,131.9966,131.9966,131.9966,131.9966
2018-06-18,131.9005,131.9005,131.9005,131.9005
2018-06-19,131.8086,131.8086,131.8086,131.8086
2018-06-20,131.7013,131.7013,131.7013,131.7013
2018-06-21,131.5628,131.5628,131.5628,131.5628
2018-06-22,131.3647,131.3647,131.3647,131.3647
2018-06-25,131.0942,131.0942,131.0942,131.0942
2018-06-26,130.7575,130.7575,130.7575,130.7575
2018-06-27,130.3307,130.3307,130.3307,130.3307
2018-06-28,129.8689,129.8689,129.8689,129.8689
2018-06-29,129.3774,129.3774,129.3774,129.3774
2018-07-02,128.861,128.861,128.861,128.861
2018-07-03,128.3471,128.3471,128.3471,128.3471
2018-07-05,127.859,127.859,127.859,127.859
2018-07-06,127.4517,127.4517,127.4517,127.4517
2018-07-09,127.1717,127.1717,127.1717,127.1717
2018-07-10,127.0421,127.0421,127.0421,127.0421
2018-07-11,127.0504,127.0504,127.0504,127.0504
2018-07-12,127.1956,127.1956,127.1956,127.1956
2018-07-13,127.4591,127.4591,127.4591,127.4591
2018-07-16,127.8115,127.8115,127.8115,127.8115
2018-07-17,128.2588,128.2588,128.2588,128.2588
2018-07-18,128.7975,128.7975,128.7975,128.7975
2018-07-19,129.3991,129.3991,129.3991,129.3991
2018-07-20,130.0235,130.0235,130.0235,130.0235
2018-07-23,130.626,130.626,130.626,130.626
2018-07-24,131.1771,131.1771,131.1771,131.1771
2018-07-25,131.6861,131.6861,131.6861,131.6861
2018-07-26,132.172,132.172,132.172,132.172
2018-07-27,132.6436,132.6436,132.6436,132.6436
2018-07-30,133.1244,133.1244,133.1244,133.1244
2018-07-31,133.605,133.605,133.605,133.605
2018-08-01,134.0573,134.0573,134.0573,134.0573
2018-08-02,134.4833,134.4833,134.4833,134.4833
2018-08-03,134.9158,134.9158,134.9158,134.9158
2018-08-06,135.3549,135.3549,135.3549,135.3549
2018-08-07,135.8144,135.8144,135.8144,135.8144
2018-08-08,136.2812,136.2812,136.2812,136.2812
2018-08-09,136.7121,136.7121,136.7121,136.7121
2018-08-10,137.0817,137.0817,137.0817,137.0817
2018-08-13,137.3548,137.3548,137.3548,137.3548
2018-08-14,137.5089,137.5089,137.5089,137.5089
2018-08-15,137.5529,137.5529,137.5529,137.5529
2018-08-16,137.5362,137.5362,137.5362,137.5362
2018-08-17,137.4349,137.4349,137.4349,137.4349
2018-08-20,137.2479,137.2479,137.2479,137.2479
2018-08-21,136.9847,136.9847,136.9847,136.9847
2018-08-22,136.6448,136.6448,136.6448,136.6448
2018-08-23,136.2539,136.2539,136.2539,136.2539
2018-08-24,135.8576,135.8576,135.8576,135.8576
2018-08-27,135.4935,135.4935,135.4935,135.4935
2018-08-28,135.2031,135.2031,135.2031,135.2031
2018-08-29,135.0065,135.0065,135.0065,135.0065
2018-08-30,134.8692,134.8692,134.8692,134.8692
2018-08-31,134.7721,134.7721,134.7721,134.7721
2018-09-04,134.7306,134.7306,134.7306,134.7306
2018-09-05,134.7446,134.7446,134.7446,134.7446
2018-09-06,134.8298,134.8298,134.8298,134.8298
2018-09-07,134.9844,134.9844,134.9844,134.9844
2018-09-10,135.1761,135.1761,135.1761,135.1761
2018-09-11,135.3662,135.3662,135.3662,135.3662
2018-09-12,135.5269,135.5269,135.5269,135.5269
2018-09-13,135.657,135.657,135.657,135.657
2018-09-14,135.7803,135.7803,135.7803,135.7803
2018-09-17,135.925,135.925,135.925,135.925
2018-09-18,136.081,136.081,136.081,136.081
2018-09-19,136.2505,136.2505,136.2505,136.2505
2018-09-20,136.4238,136.4238,136.4238,136.4238
2018-09-21,136.5884,136.5884,136.5884,136.5884
2018-09-24,136.7378,136.7378,136.7378,136.7378
2018-09-25,136.8829,136.8829,136.8829,136.8829
2018-09-26,137.0288,137.0288,137.0288,137.0288
2018-09-27,137.1638,137.1638,137.1638,137.1638
2018-09-28,137.2593,137.2593,137.2593,137.2593
2018-10-01,137.2808,137.2808,137.2808,137.2808
2018-10-02,137.2281,137.2281,137.2281,137.2281
2018-10-03,137.0924,137.0924,137.0924,137.0924
2018-10-04,136.8805,136.8805,136.8805,136.8805
2018-10-05,136.5955,136.5955,136.5955,136.5955
2018-10-08,136.2725,136.2725,136.2725,136.2725
2018-10-09,135.9454,135.9454,135.9454,135.9454
2018-10-10,135.6072,135.6072,135.6072,135.6072
2018-10-11,135.2173,135.2173,135.2173,135.2173
2018-10-12,134.7865,134.7865,134.7865,134.7865
2018-10-15,134.3189,134.3189,134.3189,134.3189
2018-10-16,133.8194,133.8194,133.8194,133.8194
2018-10-17,133.3086,133.3086,133.3086,133.3086
2018-10-18,132.7953,132.7953,132.7953,132.7953
2018-10-19,132.276,132.276,132.276,132.276
2018-10-22,131.7237,131.7237,131.7237,131.7237
2018-10-23,131.0904,131.0904,131.0904,131.0904
2018-10-24,130.3787,130.3787,130.3787,130.3787
2018-10-25,129.6509,129.6509,129.6509,129.6509
2018-10-26,128.9571,128.9571,128.9571,128.9571
2018-10-29,128.3157,128.3157,128.3157,128.3157
2018-10-30,127.7563,127.7563,127.7563,127.7563
2018-10-31,127.2555,127.2555,127.2555,127.2555
2018-11-01,126.7942,126.7942,126.7942,126.7942
2018-11-02,126.3776,126.3776,126.3776,126.3776
2018-11-05,126.0305,126.0305,126.0305,126.0305
2018-11-06,125.7986,125.7986,125.7986,125.7986
2018-11-07,125.717,125.717,125.717,125.717
