date,open,low,high,close
2018-01-02,146.4923,146.4923,146.4923,146.4923
2018-01-03,146.089,146.089,146.089,146.089
2018-01-04,145.776,145.776,145.776,145.776
2018-01-05,145.5173,145.5173,145.5173,145.5173
2018-01-08,145.2206,145.2206,145.2206,145.2206
2018-01-09,145.1729,145.1729,145.1729,145.1729
2018-01-10,145.0919,145.0919,145.0919,145.0919
2018-01-11,144.9592,144.9592,144.9592,144.9592
2018-01-12,144.9637,144.9637,144.9637,144.9637
2018-01-16,144.9844,144.9844,144.9844,144.9844
2018-01-17,145.1853,145.1853,145.1853,145.1853
2018-01-18,145.4061,145.4061,145.4061,145.4061
2018-01-19,145.6763,145.6763,145.6763,145.6763
2018-01-22,146.0951,146.0951,146.0951,146.0951
2018-01-23,146.8291,146.8291,146.8291,146.8291
2018-01-24,147.6847,147.6847,147.6847,147.6847
2018-01-25,148.4774,148.4774,148.4774,148.4774
2018-01-26,149.3192,149.3192,149.3192,149.3192
2018-01-29,149.9552,149.9552,149.9552,149.9552
2018-01-30,150.4523,150.4523,150.4523,150.4523
2018-01-31,151.2107,151.2107,151.2107,151.2107
2018-02-01,151.8393,151.8393,151.8393,151.8393
2018-02-02,152.1981,152.1981,152.1981,152.1981
2018-02-05,151.951,151.951,151.951,151.951
2018-02-06,151.5491,151.5491,151.5491,151.5491
2018-02-07,151.2922,151.2922,151.2922,151.2922
2018-02-08,150.3484,150.3484,150.3484,150.3484
2018-02-09,149.8212,149.8212,149.8212,149.8212
2018-02-12,149.3025,149.3025,149.3025,149.3025
2018-02-13,148.8372,148.8372,148.8372,148.8372
2018-02-14,148.5813,148.5813,148.5813,148.5813
2018-02-15,148.3056,148.3056,148.3056,148.3056
2018-02-16,148.0261,148.0261,148.0261,148.0261
2018-02-20,147.6039,147.6039,147.6039,147.6039
2018-02-21,147.0385,147.0385,147.0385,147.0385
2018-02-22,146.4568,146.4568,146.4568,146.4568
2018-02-23,146.0213,146.0213,146.0213,146.0213
2018-02-26,145.8401,145.8401,145.8401,145.8401
2018-02-27,145.5192,145.5192,145.5192,145.5192
2018-02-28,145.0294,145.0294,145.0294,145.0294
2018-03-01,144.3917,144.3917,144.3917,144.3917
2018-03-02,143.8365,143.8365,143.8365,143.8365
2018-03-05,143.5177,143.5177,143.5177,143.5177
2018-03-06,143.2897,143.2897,143.2897,143.2897
2018-03-07,142.9647,142.9647,142.9647,142.9647
2018-03-08,142.7856,142.7856,142.7856,142.7856
2018-03-09,142.8323,142.8323,142.8323,142.8323
2018-03-12,142.7751,142.7751,142.7751,142.7751
2018-03-13,142.6152,142.6152,142.6152,142.6152
2018-03-14,142.3556,142.3556,142.3556,142.3556
2018-03-15,142.1454,142.1454,142.1454,142.1454
2018-03-16,141.9572,141.9572,141.9572,141.9572
2018-03-19,141.7332,141.7332,141.7332,141.7332
2018-03-20,141.6383,141.6383,141.6383,141.6383
2018-03-21,141.4621,141.4621,141.4621,141.4621
2018-03-22,141.0528,141.0528,141.0528,141.0528
2018-03-23,140.377,140.377,140.377,140.377
2018-03-26,139.9795,139.9795,139.9795,139.9795
2018-03-27,139.5949,139.5949,139.5949,139.5949
2018-03-28,139.3946,139.3946,139.3946,139.3946
2018-03-29,139.0698,139.0698,139.0698,139.0698
2018-04-02,138.429,138.429,138.429,138.429
2018-04-03,137.9889,137.9889,137.9889,137.9889
2018-04-04,137.6845,137.6845,137.6845,137.6845
2018-04-05,137.3684,137.3684,137.3684,137.3684
2018-04-06,136.9193,136.9193,136.9193,136.9193
2018-04-09,136.5101,136.5101,136.5101,136.5101
2018-04-10,136.2449,136.2449,136.2449,136.2449
2018-04-11,135.9107,135.9107,135.9107,135.9107
2018-04-12,135.6826,135.6826,135.6826,135.6826
2018-04-13,135.4087,135.4087,135.4087,135.4087
2018-04-16,135.3389,135.3389,135.3389,135.3389
2018-04-17,135.3471,135.3471,135.3471,135.3471
2018-04-18,135.3894,135.3894,135.3894,135.3894
2018-04-19,135.5603,135.5603,135.5603,135.5603
2018-04-20,135.7495,135.7495,135.7495,135.7495
2018-04-23,135.9966,135.9966,135.9966,135.9966
2018-04-24,136.0174,136.0174,136.0174,136.0174
2018-04-25,136.1531,136.1531,136.1531,136.1531
2018-04-26,136.2042,136.2042,136.2042,136.2042
2018-04-27,136.3508,136.3508,136.3508,136.3508
2018-04-30,136.3387,136.3387,136.3387,136.3387
2018-05-01,136.34,136.34,136.34,136.34
2018-05-02,136.0316,136.0316,136.0316,136.0316
2018-05-03,135.4987,135.4987,135.4987,135.4987
2018-05-04,135.2361,135.2361,135.2361,135.2361
2018-05-07,134.9764,134.9764,134.9764,134.9764
2018-05-08,134.7359,134.7359,134.7359,134.7359
2018-05-09,134.6828,134.6828,134.6828,134.6828
2018-05-10,134.7076,134.7076,134.7076,134.7076
2018-05-11,134.7888,134.7888,134.7888,134.7888
2018-05-14,134.753,134.753,134.753,134.753
2018-05-15,134.6664,134.6664,134.6664,134.6664
2018-05-16,134.5973,134.5973,134.5973,134.5973
2018-05-17,134.526,134.526,134.526,134.526
2018-05-18,134.3831,134.3831,134.3831,134.3831
2018-05-21,134.2933,134.2933,134.2933,134.2933
2018-05-22,134.3511,134.3511,134.3511,134.3511
2018-05-23,134.2789,134.2789,134.2789,134.2789
2018-05-24,134.1878,134.1878,134.1878,134.1878
2018-05-25,134.1146,134.1146,134.1146,134.1146
2018-05-29,133.7206,133.7206,133.7206,133.7206
2018-05-30,133.5816,133.5816,133.5816,133.5816
2018-05-31,133.3055,133.3055,133.3055,133.3055
2018-06-01,133.0477,133.0477,133.0477,133.0477
2018-06-04,132.8823,132.8823,132.8823,132.8823
2018-06-05,132.6425,132.6425,132.6425,132.6425
2018-06-06,132.4492,132.4492,132.4492,132.4492
2018-06-07,132.3468,132.3468,132.3468,132.3468
