date,WILLR,WILLR,WILLR,WILLR
2018-01-02,-84.6154,-84.6154,-84.6154,-84.6154
2018-01-03,-65.4701,-65.4701,-65.4701,-65.4701
2018-01-04,-55.5556,-55.5556,-55.5556,-55.5556
2018-01-05,-51.1111,-51.1111,-51.1111,-51.1111
2018-01-08,-62.4339,-62.4339,-62.4339,-62.4339
2018-01-09,-8.296,-8.296,-8.296,-8.296
2018-01-10,-22.0955,-22.0955,-22.0955,-22.0955
2018-01-11,-40.8648,-40.8648,-40.8648,-40.8648
2018-01-12,-13.78,-13.78,-13.78,-13.78
2018-01-16,-16.369,-16.369,-16.369,-16.369
2018-01-17,-6.747,-6.747,-6.747,-6.747
2018-01-18,-13.3621,-13.3621,-13.3621,-13.3621
2018-01-19,-2.3707,-2.3707,-2.3707,-2.3707
2018-01-22,-0.5837,-0.5837,-0.5837,-0.5837
2018-01-23,-10.7015,-10.7015,-10.7015,-10.7015
2018-01-24,-4.4693,-4.4693,-4.4693,-4.4693
2018-01-25,-6.7616,-6.7616,-6.7616,-6.7616
2018-01-26,-1.4628,-1.4628,-1.4628,-1.4628
2018-01-29,-29.0584,-29.0584,-29.0584,-29.0584
2018-01-30,-85.3293,-85.3293,-85.3293,-85.3293
2018-01-31,-29.5405,-29.5405,-29.5405,-29.5405
2018-02-01,-44.2013,-44.2013,-44.2013,-44.2013
2018-02-02,-92.9978,-92.9978,-92.9978,-92.9978
2018-02-05,-92.8637,-92.8637,-92.8637,-92.8637
2018-02-06,-72.3988,-72.3988,-72.3988,-72.3988
2018-02-07,-60.712,-60.712,-60.712,-60.712
2018-02-08,-99.504,-99.504,-99.504,-99.504
2018-02-09,-67.3545,-67.3545,-67.3545,-67.3545
2018-02-12,-52.6702,-52.6702,-52.6702,-52.6702
2018-02-13,-47.3298,-47.3298,-47.3298,-47.3298
2018-02-14,-9.2055,-9.2055,-9.2055,-9.2055
2018-02-15,-17.7856,-17.7856,-17.7856,-17.7856
