date,Aroon Up,Aroon Down,Aroon Down,Aroon Up,Aroon Up,Aroon Down,Aroon Down,Aroon Up
2018-01-02,85.124,5.7851,5.7851,85.124,85.124,5.7851,5.7851,85.124
2018-01-03,84.2975,4.9587,4.9587,84.2975,84.2975,4.9587,4.9587,84.2975
2018-01-04,83.4711,4.1322,4.1322,83.4711,83.4711,4.1322,4.1322,83.4711
2018-01-05,82.6446,3.3058,3.3058,82.6446,82.6446,3.3058,3.3058,82.6446
2018-01-08,81.8182,2.4793,2.4793,81.8182,81.8182,2.4793,2.4793,81.8182
2018-01-09,80.9917,1.6529,1.6529,80.9917,80.9917,1.6529,1.6529,80.9917
2018-01-10,80.1653,0.8264,0.8264,80.1653,80.1653,0.8264,0.8264,80.1653
2018-01-11,79.3388,0.0,0.0,79.3388,79.3388,0.0,0.0,79.3388
2018-01-12,78.5124,0.8264,0.8264,78.5124,78.5124,0.8264,0.8264,78.5124
2018-01-16,77.686,0.0,0.0,77.686,77.686,0.0,0.0,77.686
2018-01-17,76.8595,4.1322,4.1322,76.8595,76.8595,4.1322,4.1322,76.8595
2018-01-18,76.0331,3.3058,3.3058,76.0331,76.0331,3.3058,3.3058,76.0331
2018-01-19,75.2066,2.4793,2.4793,75.2066,75.2066,2.4793,2.4793,75.2066
2018-01-22,100.0,1.6529,1.6529,100.0,100.0,1.6529,1.6529,100.0
2018-01-23,100.0,0.8264,0.8264,100.0,100.0,0.8264,0.8264,100.0
2018-01-24,99.1736,0.0,0.0,99.1736,99.1736,0.0,0.0,99.1736
2018-01-25,98.3471,5.7851,5.7851,98.3471,98.3471,5.7851,5.7851,98.3471
2018-01-26,97.5207,4.9587,4.9587,97.5207,97.5207,4.9587,4.9587,97.5207
2018-01-29,100.0,4.1322,4.1322,100.0,100.0,4.1322,4.1322,100.0
2018-01-30,99.1736,3.3058,3.3058,99.1736,99.1736,3.3058,3.3058,99.1736
2018-01-31,98.3471,2.4793,2.4793,98.3471,98.3471,2.4793,2.4793,98.3471
2018-02-01,100.0,1.6529,1.6529,100.0,100.0,1.6529,1.6529,100.0
2018-02-02,100.0,0.8264,0.8264,100.0,100.0,0.8264,0.8264,100.0
2018-02-05,99.1736,0.0,0.0,99.1736,99.1736,0.0,0.0,99.1736
2018-02-06,98.3471,0.0,0.0,98.3471,98.3471,0.0,0.0,98.3471
2018-02-07,97.5207,3.3058,3.3058,97.5207,97.5207,3.3058,3.3058,97.5207
2018-02-08,96.6942,2.4793,2.4793,96.6942,96.6942,2.4793,2.4793,96.6942
2018-02-09,95.8678,1.6529,1.6529,95.8678,95.8678,1.6529,1.6529,95.8678
2018-02-12,95.0413,0.8264,0.8264,95.0413,95.0413,0.8264,0.8264,95.0413
2018-02-13,94.2149,0.0,0.0,94.2149,94.2149,0.0,0.0,94.2149
2018-02-14,93.3884,7.438,7.438,93.3884,93.3884,7.438,7.438,93.3884
2018-02-15,100.0,6.6116,6.6116,100.0,100.0,6.6116,6.6116,100.0
2018-02-16,100.0,5.7851,5.7851,100.0,100.0,5.7851,5.7851,100.0
2018-02-20,99.1736,4.9587,4.9587,99.1736,99.1736,4.9587,4.9587,99.1736
2018-02-21,98.3471,4.1322,4.1322,98.3471,98.3471,4.1322,4.1322,98.3471
2018-02-22,97.5207,3.3058,3.3058,97.5207,97.5207,3.3058,3.3058,97.5207
2018-02-23,96.6942,2.4793,2.4793,96.6942,96.6942,2.4793,2.4793,96.6942
2018-02-26,100.0,1.6529,1.6529,100.0,100.0,1.6529,1.6529,100.0
2018-02-27,100.0,0.8264,0.8264,100.0,100.0,0.8264,0.8264,100.0
2018-02-28,99.1736,0.0,0.0,99.1736,99.1736,0.0,0.0,99.1736
2018-03-01,98.3471,0.8264,0.8264,98.3471,98.3471,0.8264,0.8264,98.3471
2018-03-02,97.5207,0.0,0.0,97.5207,97.5207,0.0,0.0,97.5207
2018-03-05,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0
2018-03-06,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0
2018-03-07,99.1736,0.0,0.0,99.1736,99.1736,0.0,0.0,99.1736
2018-03-08,98.3471,0.0,0.0,98.3471,98.3471,0.0,0.0,98.3471
2018-03-09,100.0,1.6529,1.6529,100.0,100.0,1.6529,1.6529,100.0
2018-03-12,99.1736,0.8264,0.8264,99.1736,99.1736,0.8264,0.8264,99.1736
2018-03-13,98.3471,0.0,0.0,98.3471,98.3471,0.0,0.0,98.3471
2018-03-14,97.5207,0.0,0.0,97.5207,97.5207,0.0,0.0,97.5207
2018-03-15,96.6942,0.0,0.0,96.6942,96.6942,0.0,0.0,96.6942
2018-03-16,95.8678,19.8347,19.8347,95.8678,95.8678,19.8347,19.8347,95.8678
2018-03-19,95.0413,19.0083,19.0083,95.0413,95.0413,19.0083,19.0083,95.0413
2018-03-20,94.2149,18.1818,18.1818,94.2149,94.2149,18.1818,18.1818,94.2149
2018-03-21,93.3884,17.3554,17.3554,93.3884,93.3884,17.3554,17.3554,93.3884
2018-03-22,92.562,16.5289,16.5289,92.562,92.562,16.5289,16.5289,92.562
2018-03-23,91.7355,15.7025,15.7025,91.7355,91.7355,15.7025,15.7025,91.7355
2018-03-26,90.9091,14.876,14.876,90.9091,90.9091,14.876,14.876,90.9091
2018-03-27,90.0826,14.0496,14.0496,90.0826,90.0826,14.0496,14.0496,90.0826
2018-03-28,89.2562,13.2231,13.2231,89.2562,89.2562,13.2231,13.2231,89.2562
2018-03-29,88.4298,12.3967,12.3967,88.4298,88.4298,12.3967,12.3967,88.4298
2018-04-02,87.6033,11.5702,11.5702,87.6033,87.6033,11.5702,11.5702,87.6033
2018-04-03,86.7769,10.7438,10.7438,86.7769,86.7769,10.7438,10.7438,86.7769
2018-04-04,85.9504,9.9174,9.9174,85.9504,85.9504,9.9174,9.9174,85.9504
2018-04-05,85.124,9.0909,9.0909,85.124,85.124,9.0909,9.0909,85.124
2018-04-06,84.2975,8.2645,8.2645,84.2975,84.2975,8.2645,8.2645,84.2975
2018-04-09,83.4711,7.438,7.438,83.4711,83.4711,7.438,7.438,83.4711
2018-04-10,82.6446,6.6116,6.6116,82.6446,82.6446,6.6116,6.6116,82.6446
2018-04-11,81.8182,5.7851,5.7851,81.8182,81.8182,5.7851,5.7851,81.8182
2018-04-12,80.9917,4.9587,4.9587,80.9917,80.9917,4.9587,4.9587,80.9917
2018-04-13,80.1653,4.1322,4.1322,80.1653,80.1653,4.1322,4.1322,80.1653
2018-04-16,79.3388,3.3058,3.3058,79.3388,79.3388,3.3058,3.3058,79.3388
2018-04-17,78.5124,2.4793,2.4793,78.5124,78.5124,2.4793,2.4793,78.5124
2018-04-18,77.686,1.6529,1.6529,77.686,77.686,1.6529,1.6529,77.686
2018-04-19,76.8595,0.8264,0.8264,76.8595,76.8595,0.8264,0.8264,76.8595
2018-04-20,76.0331,0.0,0.0,76.0331,76.0331,0.0,0.0,76.0331
2018-04-23,75.2066,0.0,0.0,75.2066,75.2066,0.0,0.0,75.2066
2018-04-24,74.3802,0.0,0.0,74.3802,74.3802,0.0,0.0,74.3802
2018-04-25,73.5537,1.6529,1.6529,73.5537,73.5537,1.6529,1.6529,73.5537
2018-04-26,72.7273,0.8264,0.8264,72.7273,72.7273,0.8264,0.8264,72.7273
2018-04-27,71.9008,0.0,0.0,71.9008,71.9008,0.0,0.0,71.9008
2018-04-30,71.0744,0.0,0.0,71.0744,71.0744,0.0,0.0,71.0744
2018-05-01,70.2479,3.3058,3.3058,70.2479,70.2479,3.3058,3.3058,70.2479
2018-05-02,69.4215,2.4793,2.4793,69.4215,69.4215,2.4793,2.4793,69.4215
2018-05-03,68.595,1.6529,1.6529,68.595,68.595,1.6529,1.6529,68.595
2018-05-04,67.7686,0.8264,0.8264,67.7686,67.7686,0.8264,0.8264,67.7686
2018-05-07,66.9421,0.0,0.0,66.9421,66.9421,0.0,0.0,66.9421
2018-05-08,66.1157,0.8264,0.8264,66.1157,66.1157,0.8264,0.8264,66.1157
2018-05-09,65.2893,0.0,0.0,65.2893,65.2893,0.0,0.0,65.2893
2018-05-10,64.4628,0.0,0.0,64.4628,64.4628,0.0,0.0,64.4628
2018-05-11,63.6364,1.6529,1.6529,63.6364,63.6364,1.6529,1.6529,63.6364
2018-05-14,62.8099,0.8264,0.8264,62.8099,62.8099,0.8264,0.8264,62.8099
2018-05-15,61.9835,0.0,0.0,61.9835,61.9835,0.0,0.0,61.9835
2018-05-16,61.157,0.0,0.0,61.157,61.157,0.0,0.0,61.157
2018-05-17,60.3306,0.8264,0.8264,60.3306,60.3306,0.8264,0.8264,60.3306
2018-05-18,59.5041,0.0,0.0,59.5041,59.5041,0.0,0.0,59.5041
2018-05-21,58.6777,0.0,0.0,58.6777,58.6777,0.0,0.0,58.6777
2018-05-22,57.8512,0.8264,0.8264,57.8512,57.8512,0.8264,0.8264,57.8512
2018-05-23,57.0248,0.0,0.0,57.0248,57.0248,0.0,0.0,57.0248
2018-05-24,56.1983,19.0083,19.0083,56.1983,56.1983,19.0083,19.0083,56.1983
2018-05-25,55.3719,18.1818,18.1818,55.3719,55.3719,18.1818,18.1818,55.3719
2018-05-29,54.5455,17.3554,17.3554,54.5455,54.5455,17.3554,17.3554,54.5455
2018-05-30,53.719,16.5289,16.5289,53.719,53.719,16.5289,16.5289,53.719
2018-05-31,52.8926,15.7025,15.7025,52.8926,52.8926,15.7025,15.7025,52.8926
2018-06-01,52.0661,14.876,14.876,52.0661,52.0661,14.876,14.876,52.0661
2018-06-04,51.2397,14.0496,14.0496,51.2397,51.2397,14.0496,14.0496,51.2397
2018-06-05,50.4132,13.2231,13.2231,50.4132,50.4132,13.2231,13.2231,50.4132
2018-06-06,100.0,12.3967,12.3967,100.0,100.0,12.3967,12.3967,100.0
2018-06-07,99.1736,11.5702,11.5702,99.1736,99.1736,11.5702,11.5702,99.1736
2018-06-08,98.3471,10.7438,10.7438,98.3471,98.3471,10.7438,10.7438,98.3471
2018-06-11,97.5207,9.9174,9.9174,97.5207,97.5207,9.9174,9.9174,97.5207
2018-06-12,96.6942,9.0909,9.0909,96.6942,96.6942,9.0909,9.0909,96.6942
2018-06-13,95.8678,8.2645,8.2645,95.8678,95.8678,8.2645,8.2645,95.8678
2018-06-14,95.0413,7.438,7.438,95.0413,95.0413,7.438,7.438,95.0413
2018-06-15,94.2149,6.6116,6.6116,94.2149,94.2149,6.6116,6.6116,94.2149
2018-06-18,93.3884,5.7851,5.7851,93.3884,93.3884,5.7851,5.7851,93.3884
2018-06-19,92.562,4.9587,4.9587,92.562,92.562,4.9587,4.9587,92.562
2018-06-20,91.7355,4.1322,4.1322,91.7355,91.7355,4.1322,4.1322,91.7355
2018-06-21,90.9091,3.3058,3.3058,90.9091,90.9091,3.3058,3.3058,90.9091
2018-06-22,90.0826,2.4793,2.4793,90.0826,90.0826,2.4793,2.4793,90.0826
2018-06-25,89.2562,1.6529,1.6529,89.2562,89.2562,1.6529,1.6529,89.2562
2018-06-26,88.4298,0.8264,0.8264,88.4298,88.4298,0.8264,0.8264,88.4298
2018-06-27,87.6033,0.0,0.0,87.6033,87.6033,0.0,0.0,87.6033
2018-06-28,86.7769,0.0,0.0,86.7769,86.7769,0.0,0.0,86.7769
2018-06-29,85.9504,0.0,0.0,85.9504,85.9504,0.0,0.0,85.9504
2018-07-02,85.124,16.5289,16.5289,85.124,85.124,16.5289,16.5289,85.124
2018-07-03,84.2975,15.7025,15.7025,84.2975,84.2975,15.7025,15.7025,84.2975
2018-07-05,83.4711,14.876,14.876,83.4711,83.4711,14.876,14.876,83.4711
2018-07-06,82.6446,14.0496,14.0496,82.6446,82.6446,14.0496,14.0496,82.6446
2018-07-09,81.8182,13.2231,13.2231,81.8182,81.8182,13.2231,13.2231,81.8182
2018-07-10,80.9917,12.3967,12.3967,80.9917,80.9917,12.3967,12.3967,80.9917
2018-07-11,80.1653,11.5702,11.5702,80.1653,80.1653,11.5702,11.5702,80.1653
2018-07-12,79.3388,10.7438,10.7438,79.3388,79.3388,10.7438,10.7438,79.3388
2018-07-13,78.5124,9.9174,9.9174,78.5124,78.5124,9.9174,9.9174,78.5124
2018-07-16,77.686,9.0909,9.0909,77.686,77.686,9.0909,9.0909,77.686
2018-07-17,76.8595,8.2645,8.2645,76.8595,76.8595,8.2645,8.2645,76.8595
2018-07-18,76.0331,7.438,7.438,76.0331,76.0331,7.438,7.438,76.0331
2018-07-19,75.2066,6.6116,6.6116,75.2066,75.2066,6.6116,6.6116,75.2066
2018-07-20,74.3802,5.7851,5.7851,74.3802,74.3802,5.7851,5.7851,74.3802
2018-07-23,73.5537,4.9587,4.9587,73.5537,73.5537,4.9587,4.9587,73.5537
2018-07-24,72.7273,4.1322,4.1322,72.7273,72.7273,4.1322,4.1322,72.7273
2018-07-25,71.9008,3.3058,3.3058,71.9008,71.9008,3.3058,3.3058,71.9008
2018-07-26,71.0744,2.4793,2.4793,71.0744,71.0744,2.4793,2.4793,71.0744
2018-07-27,70.2479,1.6529,1.6529,70.2479,70.2479,1.6529,1.6529,70.2479
2018-07-30,69.4215,0.8264,0.8264,69.4215,69.4215,0.8264,0.8264,69.4215
2018-07-31,68.595,0.0,0.0,68.595,68.595,0.0,0.0,68.595
2018-08-01,67.7686,1.6529,1.6529,67.7686,67.7686,1.6529,1.6529,67.7686
2018-08-02,66.9421,0.8264,0.8264,66.9421,66.9421,0.8264,0.8264,66.9421
2018-08-03,66.1157,0.0,0.0,66.1157,66.1157,0.0,0.0,66.1157
2018-08-06,65.2893,46.281,46.281,65.2893,65.2893,46.281,46.281,65.2893
2018-08-07,64.4628,45.4545,45.4545,64.4628,64.4628,45.4545,45.4545,64.4628
2018-08-08,63.6364,44.6281,44.6281,63.6364,63.6364,44.6281,44.6281,63.6364
2018-08-09,62.8099,43.8017,43.8017,62.8099,62.8099,43.8017,43.8017,62.8099
2018-08-10,61.9835,42.9752,42.9752,61.9835,61.9835,42.9752,42.9752,61.9835
2018-08-13,61.157,42.1488,42.1488,61.157,61.157,42.1488,42.1488,61.157
2018-08-14,60.3306,41.3223,41.3223,60.3306,60.3306,41.3223,41.3223,60.3306
2018-08-15,59.5041,40.4959,40.4959,59.5041,59.5041,40.4959,40.4959,59.5041
2018-08-16,58.6777,39.6694,39.6694,58.6777,58.6777,39.6694,39.6694,58.6777
2018-08-17,57.8512,38.843,38.843,57.8512,57.8512,38.843,38.843,57.8512
2018-08-20,57.0248,38.0165,38.0165,57.0248,57.0248,38.0165,38.0165,57.0248
2018-08-21,56.1983,37.1901,37.1901,56.1983,56.1983,37.1901,37.1901,56.1983
2018-08-22,55.3719,36.3636,36.3636,55.3719,55.3719,36.3636,36.3636,55.3719
2018-08-23,54.5455,35.5372,35.5372,54.5455,54.5455,35.5372,35.5372,54.5455
2018-08-24,53.719,34.7107,34.7107,53.719,53.719,34.7107,34.7107,53.719
2018-08-27,52.8926,33.8843,33.8843,52.8926,52.8926,33.8843,33.8843,52.8926
2018-08-28,52.0661,33.0579,33.0579,52.0661,52.0661,33.0579,33.0579,52.0661
2018-08-29,51.2397,32.2314,32.2314,51.2397,51.2397,32.2314,32.2314,51.2397
2018-08-30,50.4132,31.405,31.405,50.4132,50.4132,31.405,31.405,50.4132
2018-08-31,100.0,30.5785,30.5785,100.0,100.0,30.5785,30.5785,100.0
