date,open,low,high,close
2018-01-02,-107.0859,-107.0859,-107.0859,-107.0859
2018-01-03,-65.6881,-65.6881,-65.6881,-65.6881
2018-01-04,44.3666,44.3666,44.3666,44.3666
2018-01-05,59.5265,59.5265,59.5265,59.5265
2018-01-08,139.1537,139.1537,139.1537,139.1537
2018-01-09,138.2153,138.2153,138.2153,138.2153
2018-01-10,120.644,120.644,120.644,120.644
2018-01-11,87.4997,87.4997,87.4997,87.4997
2018-01-12,72.2934,72.2934,72.2934,72.2934
2018-01-16,66.2033,66.2033,66.2033,66.2033
2018-01-17,38.7447,38.7447,38.7447,38.7447
2018-01-18,27.6086,27.6086,27.6086,27.6086
2018-01-19,131.6102,131.6102,131.6102,131.6102
2018-01-22,207.4441,207.4441,207.4441,207.4441
2018-01-23,133.6314,133.6314,133.6314,133.6314
2018-01-24,96.3532,96.3532,96.3532,96.3532
2018-01-25,50.8717,50.8717,50.8717,50.8717
2018-01-26,76.7226,76.7226,76.7226,76.7226
2018-01-29,42.193,42.193,42.193,42.193
2018-01-30,-45.6019,-45.6019,-45.6019,-45.6019
2018-01-31,-20.2444,-20.2444,-20.2444,-20.2444
2018-02-01,268.2383,268.2383,268.2383,268.2383
2018-02-02,238.4592,238.4592,238.4592,238.4592
2018-02-05,35.4614,35.4614,35.4614,35.4614
2018-02-06,-21.3855,-21.3855,-21.3855,-21.3855
2018-02-07,125.2265,125.2265,125.2265,125.2265
2018-02-08,-15.7171,-15.7171,-15.7171,-15.7171
2018-02-09,-14.5772,-14.5772,-14.5772,-14.5772
2018-02-12,95.1116,95.1116,95.1116,95.1116
2018-02-13,83.2235,83.2235,83.2235,83.2235
2018-02-14,100.7652,100.7652,100.7652,100.7652
2018-02-15,143.29,143.29,143.29,143.29
2018-02-16,104.1903,104.1903,104.1903,104.1903
2018-02-20,90.2664,90.2664,90.2664,90.2664
2018-02-21,64.5067,64.5067,64.5067,64.5067
2018-02-22,19.2711,19.2711,19.2711,19.2711
2018-02-23,61.1788,61.1788,61.1788,61.1788
2018-02-26,148.8232,148.8232,148.8232,148.8232
2018-02-27,187.2426,187.2426,187.2426,187.2426
2018-02-28,114.4936,114.4936,114.4936,114.4936
2018-03-01,-26.0618,-26.0618,-26.0618,-26.0618
2018-03-02,21.7225,21.7225,21.7225,21.7225
2018-03-05,111.4323,111.4323,111.4323,111.4323
2018-03-06,110.3889,110.3889,110.3889,110.3889
2018-03-07,67.4564,67.4564,67.4564,67.4564
2018-03-08,69.3505,69.3505,69.3505,69.3505
2018-03-09,148.3984,148.3984,148.3984,148.3984
2018-03-12,88.6857,88.6857,88.6857,88.6857
2018-03-13,-45.2662,-45.2662,-45.2662,-45.2662
2018-03-14,-109.7444,-109.7444,-109.7444,-109.7444
2018-03-15,-94.013,-94.013,-94.013,-94.013
2018-03-16,-74.1112,-74.1112,-74.1112,-74.1112
2018-03-19,-97.0163,-97.0163,-97.0163,-97.0163
2018-03-20,-56.9254,-56.9254,-56.9254,-56.9254
2018-03-21,-37.5634,-37.5634,-37.5634,-37.5634
2018-03-22,-125.0204,-125.0204,-125.0204,-125.0204
2018-03-23,-190.6731,-190.6731,-190.6731,-190.6731
2018-03-26,-90.7692,-90.7692,-90.7692,-90.7692
2018-03-27,-100.2339,-100.2339,-100.2339,-100.2339
2018-03-28,-59.777,-59.777,-59.777,-59.777
2018-03-29,-70.665,-70.665,-70.665,-70.665
2018-04-02,-119.2487,-119.2487,-119.2487,-119.2487
2018-04-03,-65.6755,-65.6755,-65.6755,-65.6755
2018-04-04,-52.1339,-52.1339,-52.1339,-52.1339
2018-04-05,145.0565,145.0565,145.0565,145.0565
2018-04-06,-64.1949,-64.1949,-64.1949,-64.1949
2018-04-09,-17.0011,-17.0011,-17.0011,-17.0011
2018-04-10,162.0071,162.0071,162.0071,162.0071
2018-04-11,53.1891,53.1891,53.1891,53.1891
2018-04-12,137.5697,137.5697,137.5697,137.5697
2018-04-13,92.9621,92.9621,92.9621,92.9621
2018-04-16,102.623,102.623,102.623,102.623
2018-04-17,105.6652,105.6652,105.6652,105.6652
2018-04-18,80.6095,80.6095,80.6095,80.6095
2018-04-19,68.7204,68.7204,68.7204,68.7204
2018-04-20,49.5366,49.5366,49.5366,49.5366
2018-04-23,10.2299,10.2299,10.2299,10.2299
2018-04-24,-118.3674,-118.3674,-118.3674,-118.3674
2018-04-25,-205.4667,-205.4667,-205.4667,-205.4667
2018-04-26,-183.925,-183.925,-183.925,-183.925
2018-04-27,-157.3028,-157.3028,-157.3028,-157.3028
2018-04-30,-93.9673,-93.9673,-93.9673,-93.9673
2018-05-01,-115.8298,-115.8298,-115.8298,-115.8298
2018-05-02,-87.9896,-87.9896,-87.9896,-87.9896
2018-05-03,-80.8813,-80.8813,-80.8813,-80.8813
2018-05-04,-21.8299,-21.8299,-21.8299,-21.8299
2018-05-07,28.1425,28.1425,28.1425,28.1425
2018-05-08,23.2292,23.2292,23.2292,23.2292
2018-05-09,128.8893,128.8893,128.8893,128.8893
2018-05-10,103.6722,103.6722,103.6722,103.6722
2018-05-11,51.4311,51.4311,51.4311,51.4311
2018-05-14,89.9776,89.9776,89.9776,89.9776
2018-05-15,83.467,83.467,83.467,83.467
2018-05-16,74.3157,74.3157,74.3157,74.3157
2018-05-17,63.1982,63.1982,63.1982,63.1982
2018-05-18,16.4119,16.4119,16.4119,16.4119
2018-05-21,149.1342,149.1342,149.1342,149.1342
2018-05-22,35.4526,35.4526,35.4526,35.4526
2018-05-23,-121.2258,-121.2258,-121.2258,-121.2258
2018-05-24,-131.6509,-131.6509,-131.6509,-131.6509
2018-05-25,-100.8034,-100.8034,-100.8034,-100.8034
2018-05-29,-147.23,-147.23,-147.23,-147.23
2018-05-30,236.4176,236.4176,236.4176,236.4176
2018-05-31,160.1356,160.1356,160.1356,160.1356
2018-06-01,172.3346,172.3346,172.3346,172.3346
2018-06-04,167.5723,167.5723,167.5723,167.5723
2018-06-05,130.9716,130.9716,130.9716,130.9716
2018-06-06,131.8967,131.8967,131.8967,131.8967
2018-06-07,94.1262,94.1262,94.1262,94.1262
2018-06-08,62.46,62.46,62.46,62.46
2018-06-11,48.3821,48.3821,48.3821,48.3821
2018-06-12,24.9716,24.9716,24.9716,24.9716
2018-06-13,28.1935,28.1935,28.1935,28.1935
2018-06-14,-29.0469,-29.0469,-29.0469,-29.0469
2018-06-15,-106.2659,-106.2659,-106.2659,-106.2659
2018-06-18,-104.0625,-104.0625,-104.0625,-104.0625
2018-06-19,-165.2627,-165.2627,-165.2627,-165.2627
2018-06-20,-120.7901,-120.7901,-120.7901,-120.7901
2018-06-21,-114.4334,-114.4334,-114.4334,-114.4334
2018-06-22,-19.4694,-19.4694,-19.4694,-19.4694
2018-06-25,-123.7569,-123.7569,-123.7569,-123.7569
2018-06-26,-104.8432,-104.8432,-104.8432,-104.8432
2018-06-27,-189.1367,-189.1367,-189.1367,-189.1367
2018-06-28,-150.4139,-150.4139,-150.4139,-150.4139
2018-06-29,-89.2181,-89.2181,-89.2181,-89.2181
2018-07-02,-97.088,-97.088,-97.088,-97.088
2018-07-03,-110.3298,-110.3298,-110.3298,-110.3298
2018-07-05,-145.5978,-145.5978,-145.5978,-145.5978
2018-07-06,-123.7731,-123.7731,-123.7731,-123.7731
2018-07-09,-32.2655,-32.2655,-32.2655,-32.2655
2018-07-10,29.9119,29.9119,29.9119,29.9119
2018-07-11,78.0078,78.0078,78.0078,78.0078
2018-07-12,147.9878,147.9878,147.9878,147.9878
2018-07-13,118.9878,118.9878,118.9878,118.9878
2018-07-16,133.1597,133.1597,133.1597,133.1597
2018-07-17,119.4443,119.4443,119.4443,119.4443
2018-07-18,131.3955,131.3955,131.3955,131.3955
2018-07-19,95.4248,95.4248,95.4248,95.4248
2018-07-20,51.4753,51.4753,51.4753,51.4753
2018-07-23,57.0762,57.0762,57.0762,57.0762
2018-07-24,27.8788,27.8788,27.8788,27.8788
2018-07-25,45.1274,45.1274,45.1274,45.1274
2018-07-26,-32.5625,-32.5625,-32.5625,-32.5625
2018-07-27,-215.7449,-215.7449,-215.7449,-215.7449
2018-07-30,-239.6854,-239.6854,-239.6854,-239.6854
2018-07-31,-186.004,-186.004,-186.004,-186.004
