date,open,low,high,close
2018-01-02,147.2455,147.2455,147.2455,147.2455
2018-01-03,147.4021,147.4021,147.4021,147.4021
2018-01-04,147.6046,147.6046,147.6046,147.6046
2018-01-05,147.8324,147.8324,147.8324,147.8324
2018-01-08,148.1209,148.1209,148.1209,148.1209
2018-01-09,148.4302,148.4302,148.4302,148.4302
2018-01-10,148.7394,148.7394,148.7394,148.7394
2018-01-11,149.0367,149.0367,149.0367,149.0367
2018-01-12,149.3228,149.3228,149.3228,149.3228
2018-01-16,149.5832,149.5832,149.5832,149.5832
2018-01-17,149.8115,149.8115,149.8115,149.8115
2018-01-18,150.0576,150.0576,150.0576,150.0576
2018-01-19,150.3635,150.3635,150.3635,150.3635
2018-01-22,150.6986,150.6986,150.6986,150.6986
2018-01-23,150.985,150.985,150.985,150.985
2018-01-24,151.287,151.287,151.287,151.287
2018-01-25,151.5536,151.5536,151.5536,151.5536
2018-01-26,151.8444,151.8444,151.8444,151.8444
2018-01-29,152.071,152.071,152.071,152.071
2018-01-30,152.2867,152.2867,152.2867,152.2867
2018-01-31,152.5006,152.5006,152.5006,152.5006
2018-02-01,152.8843,152.8843,152.8843,152.8843
2018-02-02,153.2637,153.2637,153.2637,153.2637
2018-02-05,153.4649,153.4649,153.4649,153.4649
2018-02-06,153.7796,153.7796,153.7796,153.7796
2018-02-07,154.1593,154.1593,154.1593,154.1593
2018-02-08,154.3041,154.3041,154.3041,154.3041
2018-02-09,154.5678,154.5678,154.5678,154.5678
2018-02-12,154.9302,154.9302,154.9302,154.9302
2018-02-13,155.2832,155.2832,155.2832,155.2832
2018-02-14,155.6907,155.6907,155.6907,155.6907
2018-02-15,156.1829,156.1829,156.1829,156.1829
2018-02-16,156.5728,156.5728,156.5728,156.5728
2018-02-20,156.9831,156.9831,156.9831,156.9831
2018-02-21,157.3307,157.3307,157.3307,157.3307
2018-02-22,157.6276,157.6276,157.6276,157.6276
2018-02-23,158.029,158.029,158.029,158.029
2018-02-26,158.5127,158.5127,158.5127,158.5127
2018-02-27,158.9761,158.9761,158.9761,158.9761
2018-02-28,159.4092,159.4092,159.4092,159.4092
2018-03-01,159.7033,159.7033,159.7033,159.7033
2018-03-02,160.1185,160.1185,160.1185,160.1185
2018-03-05,160.5945,160.5945,160.5945,160.5945
2018-03-06,161.0928,161.0928,161.0928,161.0928
2018-03-07,161.5444,161.5444,161.5444,161.5444
2018-03-08,161.9786,161.9786,161.9786,161.9786
2018-03-09,162.4973,162.4973,162.4973,162.4973
2018-03-12,162.9287,162.9287,162.9287,162.9287
2018-03-13,163.2057,163.2057,163.2057,163.2057
2018-03-14,163.4136,163.4136,163.4136,163.4136
2018-03-15,163.694,163.694,163.694,163.694
2018-03-16,163.9569,163.9569,163.9569,163.9569
2018-03-19,164.1603,164.1603,164.1603,164.1603
2018-03-20,164.3776,164.3776,164.3776,164.3776
2018-03-21,164.5982,164.5982,164.5982,164.5982
2018-03-22,164.6705,164.6705,164.6705,164.6705
2018-03-23,164.673,164.673,164.673,164.673
2018-03-26,164.7903,164.7903,164.7903,164.7903
2018-03-27,164.8148,164.8148,164.8148,164.8148
2018-03-28,164.8318,164.8318,164.8318,164.8318
2018-03-29,164.9409,164.9409,164.9409,164.9409
2018-04-02,164.9142,164.9142,164.9142,164.9142
2018-04-03,164.9798,164.9798,164.9798,164.9798
2018-04-04,165.0395,165.0395,165.0395,165.0395
2018-04-05,165.1773,165.1773,165.1773,165.1773
2018-04-06,165.1562,165.1562,165.1562,165.1562
2018-04-09,165.1639,165.1639,165.1639,165.1639
2018-04-10,165.3131,165.3131,165.3131,165.3131
2018-04-11,165.3812,165.3812,165.3812,165.3812
2018-04-12,165.542,165.542,165.542,165.542
2018-04-13,165.6714,165.6714,165.6714,165.6714
2018-04-16,165.8156,165.8156,165.8156,165.8156
2018-04-17,165.9787,165.9787,165.9787,165.9787
2018-04-18,166.1504,166.1504,166.1504,166.1504
2018-04-19,166.2926,166.2926,166.2926,166.2926
2018-04-20,166.4494,166.4494,166.4494,166.4494
2018-04-23,166.5722,166.5722,166.5722,166.5722
2018-04-24,166.6058,166.6058,166.6058,166.6058
2018-04-25,166.6201,166.6201,166.6201,166.6201
2018-04-26,166.5794,166.5794,166.5794,166.5794
2018-04-27,166.4702,166.4702,166.4702,166.4702
2018-04-30,166.3725,166.3725,166.3725,166.3725
