date,open,low,high,close
2018-01-02,147.6521,147.6521,147.6521,147.6521
2018-01-03,147.5535,147.5535,147.5535,147.5535
2018-01-04,147.7583,147.7583,147.7583,147.7583
2018-01-05,148.1023,148.1023,148.1023,148.1023
2018-01-08,148.7619,148.7619,148.7619,148.7619
2018-01-09,149.4652,149.4652,149.4652,149.4652
2018-01-10,150.0897,150.0897,150.0897,150.0897
2018-01-11,150.5843,150.5843,150.5843,150.5843
2018-01-12,150.9744,150.9744,150.9744,150.9744
2018-01-16,151.1972,151.1972,151.1972,151.1972
2018-01-17,151.2432,151.2432,151.2432,151.2432
2018-01-18,151.419,151.419,151.419,151.419
2018-01-19,151.9392,151.9392,151.9392,151.9392
2018-01-22,152.5775,152.5775,152.5775,152.5775
2018-01-23,152.8816,152.8816,152.8816,152.8816
2018-01-24,153.2649,153.2649,153.2649,153.2649
2018-01-25,153.4295,153.4295,153.4295,153.4295
2018-01-26,153.7441,153.7441,153.7441,153.7441
2018-01-29,153.6907,153.6907,153.6907,153.6907
2018-01-30,153.6251,153.6251,153.6251,153.6251
2018-01-31,153.5987,153.5987,153.5987,153.5987
2018-02-01,154.5644,154.5644,154.5644,154.5644
2018-02-02,155.3909,155.3909,155.3909,155.3909
2018-02-05,155.1307,155.1307,155.1307,155.1307
2018-02-06,155.5888,155.5888,155.5888,155.5888
2018-02-07,156.3781,156.3781,156.3781,156.3781
2018-02-08,155.7712,155.7712,155.7712,155.7712
2018-02-09,155.9673,155.9673,155.9673,155.9673
2018-02-12,156.7242,156.7242,156.7242,156.7242
2018-02-13,157.3489,157.3489,157.3489,157.3489
2018-02-14,158.2218,158.2218,158.2218,158.2218
2018-02-15,159.4742,159.4742,159.4742,159.4742
2018-02-16,160.0025,160.0025,160.0025,160.0025
2018-02-20,160.6112,160.6112,160.6112,160.6112
2018-02-21,160.8237,160.8237,160.8237,160.8237
2018-02-22,160.7703,160.7703,160.7703,160.7703
2018-02-23,161.3611,161.3611,161.3611,161.3611
2018-02-26,162.3682,162.3682,162.3682,162.3682
2018-02-27,163.154,163.154,163.154,163.154
2018-02-28,163.7005,163.7005,163.7005,163.7005
2018-03-01,163.4386,163.4386,163.4386,163.4386
2018-03-02,163.9516,163.9516,163.9516,163.9516
2018-03-05,164.7768,164.7768,164.7768,164.7768
2018-03-06,165.6519,165.6519,165.6519,165.6519
2018-03-07,166.1843,166.1843,166.1843,166.1843
2018-03-08,166.5944,166.5944,166.5944,166.5944
2018-03-09,167.4718,167.4718,167.4718,167.4718
2018-03-12,167.7824,167.7824,167.7824,167.7824
2018-03-13,167.2419,167.2419,167.2419,167.2419
2018-03-14,166.4616,166.4616,166.4616,166.4616
2018-03-15,166.2668,166.2668,166.2668,166.2668
2018-03-16,166.0583,166.0583,166.0583,166.0583
2018-03-19,165.6004,165.6004,165.6004,165.6004
2018-03-20,165.3421,165.3421,165.3421,165.3421
2018-03-21,165.189,165.189,165.189,165.189
2018-03-22,164.2747,164.2747,164.2747,164.2747
2018-03-23,163.1556,163.1556,163.1556,163.1556
2018-03-26,162.8928,162.8928,162.8928,162.8928
2018-03-27,162.185,162.185,162.185,162.185
2018-03-28,161.5768,161.5768,161.5768,161.5768
2018-03-29,161.6065,161.6065,161.6065,161.6065
2018-04-02,160.8962,160.8962,160.8962,160.8962
2018-04-03,160.8369,160.8369,160.8369,160.8369
2018-04-04,160.7738,160.7738,160.7738,160.7738
2018-04-05,161.1768,161.1768,161.1768,161.1768
2018-04-06,160.6465,160.6465,160.6465,160.6465
2018-04-09,160.3798,160.3798,160.3798,160.3798
2018-04-10,160.9635,160.9635,160.9635,160.9635
2018-04-11,161.0174,161.0174,161.0174,161.0174
2018-04-12,161.5979,161.5979,161.5979,161.5979
2018-04-13,161.9292,161.9292,161.9292,161.9292
2018-04-16,162.3093,162.3093,162.3093,162.3093
2018-04-17,162.7549,162.7549,162.7549,162.7549
2018-04-18,163.1995,163.1995,163.1995,163.1995
2018-04-19,163.4305,163.4305,163.4305,163.4305
2018-04-20,163.7304,163.7304,163.7304,163.7304
2018-04-23,163.8158,163.8158,163.8158,163.8158
2018-04-24,163.4129,163.4129,163.4129,163.4129
2018-04-25,162.9887,162.9887,162.9887,162.9887
2018-04-26,162.3453,162.3453,162.3453,162.3453
2018-04-27,161.4389,161.4389,161.4389,161.4389
2018-04-30,160.7555,160.7555,160.7555,160.7555
2018-05-01,159.9817,159.9817,159.9817,159.9817
2018-05-02,159.3269,159.3269,159.3269,159.3269
2018-05-03,158.9075,158.9075,158.9075,158.9075
2018-05-04,158.9534,158.9534,158.9534,158.9534
2018-05-07,159.0018,159.0018,159.0018,159.0018
2018-05-08,158.9033,158.9033,158.9033,158.9033
2018-05-09,159.37,159.37,159.37,159.37
2018-05-10,159.4773,159.4773,159.4773,159.4773
2018-05-11,159.4432,159.4432,159.4432,159.4432
2018-05-14,159.7317,159.7317,159.7317,159.7317
2018-05-15,159.8623,159.8623,159.8623,159.8623
2018-05-16,160.0092,160.0092,160.0092,160.0092
2018-05-17,160.1348,160.1348,160.1348,160.1348
2018-05-18,160.0703,160.0703,160.0703,160.0703
2018-05-21,160.3084,160.3084,160.3084,160.3084
2018-05-22,160.4087,160.4087,160.4087,160.4087
2018-05-23,160.3544,160.3544,160.3544,160.3544
2018-05-24,160.2918,160.2918,160.2918,160.2918
2018-05-25,160.166,160.166,160.166,160.166
2018-05-29,159.8958,159.8958,159.8958,159.8958
2018-05-30,160.9129,160.9129,160.9129,160.9129
2018-05-31,161.2742,161.2742,161.2742,161.2742
2018-06-01,162.4116,162.4116,162.4116,162.4116
2018-06-04,163.8459,163.8459,163.8459,163.8459
2018-06-05,165.0485,165.0485,165.0485,165.0485
2018-06-06,166.5924,166.5924,166.5924,166.5924
2018-06-07,167.5283,167.5283,167.5283,167.5283
2018-06-08,168.1541,168.1541,168.1541,168.1541
2018-06-11,168.6042,168.6042,168.6042,168.6042
2018-06-12,168.898,168.898,168.898,168.898
2018-06-13,169.1856,169.1856,169.1856,169.1856
2018-06-14,169.1264,169.1264,169.1264,169.1264
2018-06-15,169.2544,169.2544,169.2544,169.2544
2018-06-18,169.2445,169.2445,169.2445,169.2445
2018-06-19,168.8291,168.8291,168.8291,168.8291
2018-06-20,168.5347,168.5347,168.5347,168.5347
2018-06-21,168.4775,168.4775,168.4775,168.4775
2018-06-22,168.4671,168.4671,168.4671,168.4671
2018-06-25,168.1076,168.1076,168.1076,168.1076
2018-06-26,167.6426,167.6426,167.6426,167.6426
2018-06-27,166.833,166.833,166.833,166.833
2018-06-28,166.2925,166.2925,166.2925,166.2925
2018-06-29,165.8611,165.8611,165.8611,165.8611
2018-07-02,165.5209,165.5209,165.5209,165.5209
2018-07-03,164.7207,164.7207,164.7207,164.7207
2018-07-05,163.917,163.917,163.917,163.917
2018-07-06,163.283,163.283,163.283,163.283
2018-07-09,163.3279,163.3279,163.3279,163.3279
2018-07-10,163.481,163.481,163.481,163.481
2018-07-11,163.8354,163.8354,163.8354,163.8354
2018-07-12,164.3562,164.3562,164.3562,164.3562
2018-07-13,164.8205,164.8205,164.8205,164.8205
2018-07-16,165.4386,165.4386,165.4386,165.4386
2018-07-17,166.0898,166.0898,166.0898,166.0898
2018-07-18,166.9862,166.9862,166.9862,166.9862
2018-07-19,167.3251,167.3251,167.3251,167.3251
2018-07-20,167.6296,167.6296,167.6296,167.6296
2018-07-23,167.9333,167.9333,167.9333,167.9333
2018-07-24,168.0291,168.0291,168.0291,168.0291
2018-07-25,168.3001,168.3001,168.3001,168.3001
2018-07-26,167.9656,167.9656,167.9656,167.9656
2018-07-27,167.5155,167.5155,167.5155,167.5155
2018-07-30,166.369,166.369,166.369,166.369
2018-07-31,165.051,165.051,165.051,165.051
2018-08-01,164.3926,164.3926,164.3926,164.3926
2018-08-02,163.7831,163.7831,163.7831,163.7831
2018-08-03,163.3916,163.3916,163.3916,163.3916
2018-08-06,163.115,163.115,163.115,163.115
2018-08-07,163.1704,163.1704,163.1704,163.1704
2018-08-08,163.274,163.274,163.274,163.274
2018-08-09,163.2187,163.2187,163.2187,163.2187
2018-08-10,163.3462,163.3462,163.3462,163.3462
2018-08-13,163.456,163.456,163.456,163.456
2018-08-14,163.9749,163.9749,163.9749,163.9749
2018-08-15,164.6467,164.6467,164.6467,164.6467
2018-08-16,165.3437,165.3437,165.3437,165.3437
2018-08-17,166.0776,166.0776,166.0776,166.0776
2018-08-20,166.7326,166.7326,166.7326,166.7326
2018-08-21,166.8466,166.8466,166.8466,166.8466
2018-08-22,166.8545,166.8545,166.8545,166.8545
2018-08-23,167.0028,167.0028,167.0028,167.0028
2018-08-24,167.4241,167.4241,167.4241,167.4241
2018-08-27,167.9979,167.9979,167.9979,167.9979
2018-08-28,168.2892,168.2892,168.2892,168.2892
2018-08-29,168.9948,168.9948,168.9948,168.9948
2018-08-30,169.7794,169.7794,169.7794,169.7794
2018-08-31,170.6795,170.6795,170.6795,170.6795
2018-09-04,171.8378,171.8378,171.8378,171.8378
2018-09-05,171.7382,171.7382,171.7382,171.7382
2018-09-06,172.0585,172.0585,172.0585,172.0585
2018-09-07,172.3715,172.3715,172.3715,172.3715
2018-09-10,172.6858,172.6858,172.6858,172.6858
2018-09-11,172.7484,172.7484,172.7484,172.7484
2018-09-12,172.5487,172.5487,172.5487,172.5487
2018-09-13,172.5053,172.5053,172.5053,172.5053
2018-09-14,172.6225,172.6225,172.6225,172.6225
2018-09-17,172.4802,172.4802,172.4802,172.4802
2018-09-18,172.4656,172.4656,172.4656,172.4656
2018-09-19,172.6737,172.6737,172.6737,172.6737
2018-09-20,172.9839,172.9839,172.9839,172.9839
2018-09-21,173.3723,173.3723,173.3723,173.3723
2018-09-24,173.6228,173.6228,173.6228,173.6228
2018-09-25,173.6187,173.6187,173.6187,173.6187
2018-09-26,173.5062,173.5062,173.5062,173.5062
2018-09-27,173.2196,173.2196,173.2196,173.2196
2018-09-28,172.6724,172.6724,172.6724,172.6724
2018-10-01,172.9592,172.9592,172.9592,172.9592
2018-10-02,173.2394,173.2394,173.2394,173.2394
2018-10-03,173.6413,173.6413,173.6413,173.6413
2018-10-04,174.8902,174.8902,174.8902,174.8902
2018-10-05,176.1265,176.1265,176.1265,176.1265
2018-10-08,176.9962,176.9962,176.9962,176.9962
2018-10-09,177.7533,177.7533,177.7533,177.7533
2018-10-10,178.2072,178.2072,178.2072,178.2072
2018-10-11,177.8114,177.8114,177.8114,177.8114
2018-10-12,177.5729,177.5729,177.5729,177.5729
2018-10-15,176.8906,176.8906,176.8906,176.8906
2018-10-16,177.1032,177.1032,177.1032,177.1032
2018-10-17,177.8699,177.8699,177.8699,177.8699
2018-10-18,178.6063,178.6063,178.6063,178.6063
2018-10-19,179.3415,179.3415,179.3415,179.3415
2018-10-22,179.683,179.683,179.683,179.683
2018-10-23,179.8861,179.8861,179.8861,179.8861
2018-10-24,180.1032,180.1032,180.1032,180.1032
2018-10-25,179.6244,179.6244,179.6244,179.6244
2018-10-26,179.4454,179.4454,179.4454,179.4454
2018-10-29,179.4354,179.4354,179.4354,179.4354
2018-10-30,179.9871,179.9871,179.9871,179.9871
2018-10-31,180.5785,180.5785,180.5785,180.5785
2018-11-01,181.1552,181.1552,181.1552,181.1552
2018-11-02,181.647,181.647,181.647,181.647
2018-11-05,182.3475,182.3475,182.3475,182.3475
2018-11-06,183.0843,183.0843,183.0843,183.0843
2018-11-07,184.1035,184.1035,184.1035,184.1035
2018-11-08,185.072,185.072,185.072,185.072
2018-11-09,185.9207,185.9207,185.9207,185.9207
2018-11-12,186.017,186.017,186.017,186.017
2018-11-13,186.2557,186.2557,186.2557,186.2557
2018-11-14,186.5837,186.5837,186.5837,186.5837
2018-11-15,187.4885,187.4885,187.4885,187.4885
2018-11-16,188.9652,188.9652,188.9652,188.9652
2018-11-19,190.1733,190.1733,190.1733,190.1733
2018-11-20,190.5345,190.5345,190.5345,190.5345
2018-11-21,190.4392,190.4392,190.4392,190.4392
2018-11-23,190.2339,190.2339,190.2339,190.2339
2018-11-26,190.4677,190.4677,190.4677,190.4677
2018-11-27,191.1372,191.1372,191.1372,191.1372
2018-11-28,190.405,190.405,190.405,190.405
2018-11-29,190.1332,190.1332,190.1332,190.1332
2018-11-30,190.1235,190.1235,190.1235,190.1235
2018-12-03,189.7574,189.7574,189.7574,189.7574
2018-12-04,189.4742,189.4742,189.4742,189.4742
2018-12-06,189.3917,189.3917,189.3917,189.3917
2018-12-07,188.9768,188.9768,188.9768,188.9768
2018-12-10,189.2265,189.2265,189.2265,189.2265
2018-12-11,189.278,189.278,189.278,189.278
2018-12-12,189.1493,189.1493,189.1493,189.1493
2018-12-13,188.9294,188.9294,188.9294,188.9294
2018-12-14,188.695,188.695,188.695,188.695
2018-12-17,188.1304,188.1304,188.1304,188.1304
2018-12-18,187.1595,187.1595,187.1595,187.1595
2018-12-19,186.8632,186.8632,186.8632,186.8632
2018-12-20,186.5062,186.5062,186.5062,186.5062
2018-12-21,185.8051,185.8051,185.8051,185.8051
2018-12-24,184.1351,184.1351,184.1351,184.1351
2018-12-26,183.8051,183.8051,183.8051,183.8051
2018-12-27,183.8987,183.8987,183.8987,183.8987
2018-12-28,184.3008,184.3008,184.3008,184.3008
2018-12-31,184.9952,184.9952,184.9952,184.9952
2019-01-02,185.1015,185.1015,185.1015,185.1015
2019-01-03,184.4467,184.4467,184.4467,184.4467
2019-01-04,184.4891,184.4891,184.4891,184.4891
2019-01-07,184.3547,184.3547,184.3547,184.3547
2019-01-08,184.0466,184.0466,184.0466,184.0466
2019-01-09,183.049,183.049,183.049,183.049
2019-01-10,182.4674,182.4674,182.4674,182.4674
2019-01-11,182.1188,182.1188,182.1188,182.1188
2019-01-14,181.4917,181.4917,181.4917,181.4917
2019-01-15,181.5769,181.5769,181.5769,181.5769
2019-01-16,181.7065,181.7065,181.7065,181.7065
2019-01-17,181.6253,181.6253,181.6253,181.6253
2019-01-18,181.9535,181.9535,181.9535,181.9535
2019-01-22,182.7492,182.7492,182.7492,182.7492
2019-01-23,183.6712,183.6712,183.6712,183.6712
2019-01-24,184.1528,184.1528,184.1528,184.1528
2019-01-25,184.4777,184.4777,184.4777,184.4777
2019-01-28,184.5654,184.5654,184.5654,184.5654
2019-01-29,183.9517,183.9517,183.9517,183.9517
2019-01-30,183.3005,183.3005,183.3005,183.3005
2019-01-31,183.1149,183.1149,183.1149,183.1149
2019-02-01,183.174,183.174,183.174,183.174
2019-02-04,182.8769,182.8769,182.8769,182.8769
2019-02-05,182.132,182.132,182.132,182.132
2019-02-06,181.3371,181.3371,181.3371,181.3371
2019-02-07,180.5904,180.5904,180.5904,180.5904
2019-02-08,180.1558,180.1558,180.1558,180.1558
2019-02-11,179.6402,179.6402,179.6402,179.6402
2019-02-12,179.511,179.511,179.511,179.511
2019-02-13,179.6727,179.6727,179.6727,179.6727
2019-02-14,179.2595,179.2595,179.2595,179.2595
2019-02-15,178.5577,178.5577,178.5577,178.5577
2019-02-19,177.7836,177.7836,177.7836,177.7836
2019-02-20,177.3848,177.3848,177.3848,177.3848
2019-02-21,177.2221,177.2221,177.2221,177.2221
2019-02-22,177.3744,177.3744,177.3744,177.3744
2019-02-25,177.3954,177.3954,177.3954,177.3954
2019-02-26,177.5254,177.5254,177.5254,177.5254
2019-02-27,177.9498,177.9498,177.9498,177.9498
2019-02-28,178.6699,178.6699,178.6699,178.6699
