date,open,low,high,close
2018-01-02,147.9758,147.9758,147.9758,147.9758
2018-01-03,147.9529,147.9529,147.9529,147.9529
2018-01-04,147.9736,147.9736,147.9736,147.9736
2018-01-05,148.0313,148.0313,148.0313,148.0313
2018-01-08,148.1818,148.1818,148.1818,148.1818
2018-01-09,148.3676,148.3676,148.3676,148.3676
2018-01-10,148.5694,148.5694,148.5694,148.5694
2018-01-11,148.7536,148.7536,148.7536,148.7536
2018-01-12,148.9519,148.9519,148.9519,148.9519
2018-01-16,149.103,149.103,149.103,149.103
2018-01-17,149.2205,149.2205,149.2205,149.2205
2018-01-18,149.3756,149.3756,149.3756,149.3756
2018-01-19,149.6774,149.6774,149.6774,149.6774
2018-01-22,150.0739,150.0739,150.0739,150.0739
2018-01-23,150.3355,150.3355,150.3355,150.3355
2018-01-24,150.5973,150.5973,150.5973,150.5973
2018-01-25,150.7716,150.7716,150.7716,150.7716
2018-01-26,151.0351,151.0351,151.0351,151.0351
2018-01-29,151.149,151.149,151.149,151.149
2018-01-30,151.2625,151.2625,151.2625,151.2625
2018-01-31,151.3497,151.3497,151.3497,151.3497
2018-02-01,151.7873,151.7873,151.7873,151.7873
2018-02-02,152.3034,152.3034,152.3034,152.3034
2018-02-05,152.3774,152.3774,152.3774,152.3774
2018-02-06,152.6678,152.6678,152.6678,152.6678
2018-02-07,153.1059,153.1059,153.1059,153.1059
2018-02-08,153.1037,153.1037,153.1037,153.1037
2018-02-09,153.2369,153.2369,153.2369,153.2369
2018-02-12,153.532,153.532,153.532,153.532
2018-02-13,153.8292,153.8292,153.8292,153.8292
2018-02-14,154.2324,154.2324,154.2324,154.2324
2018-02-15,154.861,154.861,154.861,154.861
2018-02-16,155.1757,155.1757,155.1757,155.1757
2018-02-20,155.523,155.523,155.523,155.523
2018-02-21,155.7706,155.7706,155.7706,155.7706
2018-02-22,155.9403,155.9403,155.9403,155.9403
2018-02-23,156.2817,156.2817,156.2817,156.2817
2018-02-26,156.7267,156.7267,156.7267,156.7267
2018-02-27,157.0836,157.0836,157.0836,157.0836
2018-02-28,157.3644,157.3644,157.3644,157.3644
2018-03-01,157.4592,157.4592,157.4592,157.4592
2018-03-02,157.6492,157.6492,157.6492,157.6492
2018-03-05,157.9571,157.9571,157.9571,157.9571
2018-03-06,158.2971,158.2971,158.2971,158.2971
2018-03-07,158.589,158.589,158.589,158.589
2018-03-08,158.8524,158.8524,158.8524,158.8524
2018-03-09,159.2579,159.2579,159.2579,159.2579
2018-03-12,159.5182,159.5182,159.5182,159.5182
2018-03-13,159.6247,159.6247,159.6247,159.6247
2018-03-14,159.6876,159.6876,159.6876,159.6876
2018-03-15,159.8099,159.8099,159.8099,159.8099
2018-03-16,159.9196,159.9196,159.9196,159.9196
2018-03-19,159.9913,159.9913,159.9913,159.9913
2018-03-20,160.0837,160.0837,160.0837,160.0837
2018-03-21,160.174,160.174,160.174,160.174
2018-03-22,160.1738,160.1738,160.1738,160.1738
2018-03-23,160.1465,160.1465,160.1465,160.1465
2018-03-26,160.1822,160.1822,160.1822,160.1822
2018-03-27,160.1613,160.1613,160.1613,160.1613
2018-03-28,160.1378,160.1378,160.1378,160.1378
2018-03-29,160.1761,160.1761,160.1761,160.1761
2018-04-02,160.1405,160.1405,160.1405,160.1405
2018-04-03,160.1473,160.1473,160.1473,160.1473
2018-04-04,160.1523,160.1523,160.1523,160.1523
2018-04-05,160.1952,160.1952,160.1952,160.1952
2018-04-06,160.1785,160.1785,160.1785,160.1785
2018-04-09,160.1694,160.1694,160.1694,160.1694
2018-04-10,160.2158,160.2158,160.2158,160.2158
2018-04-11,160.2273,160.2273,160.2273,160.2273
2018-04-12,160.285,160.285,160.285,160.285
2018-04-13,160.3303,160.3303,160.3303,160.3303
2018-04-16,160.383,160.383,160.383,160.383
2018-04-17,160.4397,160.4397,160.4397,160.4397
2018-04-18,160.4979,160.4979,160.4979,160.4979
2018-04-19,160.5487,160.5487,160.5487,160.5487
2018-04-20,160.606,160.606,160.606,160.606
2018-04-23,160.6512,160.6512,160.6512,160.6512
2018-04-24,160.6598,160.6598,160.6598,160.6598
2018-04-25,160.664,160.664,160.664,160.664
2018-04-26,160.6535,160.6535,160.6535,160.6535
2018-04-27,160.6311,160.6311,160.6311,160.6311
2018-04-30,160.6165,160.6165,160.6165,160.6165
2018-05-01,160.5921,160.5921,160.5921,160.5921
2018-05-02,160.5674,160.5674,160.5674,160.5674
2018-05-03,160.5512,160.5512,160.5512,160.5512
2018-05-04,160.5447,160.5447,160.5447,160.5447
2018-05-07,160.532,160.532,160.532,160.532
2018-05-08,160.5208,160.5208,160.5208,160.5208
2018-05-09,160.5257,160.5257,160.5257,160.5257
2018-05-10,160.5233,160.5233,160.5233,160.5233
2018-05-11,160.5153,160.5153,160.5153,160.5153
2018-05-14,160.5192,160.5192,160.5192,160.5192
2018-05-15,160.5188,160.5188,160.5188,160.5188
2018-05-16,160.5198,160.5198,160.5198,160.5198
2018-05-17,160.5207,160.5207,160.5207,160.5207
2018-05-18,160.5172,160.5172,160.5172,160.5172
2018-05-21,160.5228,160.5228,160.5228,160.5228
2018-05-22,160.5262,160.5262,160.5262,160.5262
2018-05-23,160.5217,160.5217,160.5217,160.5217
2018-05-24,160.5163,160.5163,160.5163,160.5163
2018-05-25,160.5102,160.5102,160.5102,160.5102
2018-05-29,160.4863,160.4863,160.4863,160.4863
2018-05-30,160.521,160.521,160.521,160.521
2018-05-31,160.5476,160.5476,160.5476,160.5476
2018-06-01,160.5826,160.5826,160.5826,160.5826
2018-06-04,160.6377,160.6377,160.6377,160.6377
2018-06-05,160.6862,160.6862,160.6862,160.6862
2018-06-06,160.7909,160.7909,160.7909,160.7909
2018-06-07,160.9151,160.9151,160.9151,160.9151
2018-06-08,161.045,161.045,161.045,161.045
2018-06-11,161.1358,161.1358,161.1358,161.1358
2018-06-12,161.2203,161.2203,161.2203,161.2203
2018-06-13,161.3293,161.3293,161.3293,161.3293
2018-06-14,161.3957,161.3957,161.3957,161.3957
2018-06-15,161.4762,161.4762,161.4762,161.4762
2018-06-18,161.5933,161.5933,161.5933,161.5933
2018-06-19,161.6728,161.6728,161.6728,161.6728
2018-06-20,161.7297,161.7297,161.7297,161.7297
2018-06-21,161.8353,161.8353,161.8353,161.8353
2018-06-22,161.9466,161.9466,161.9466,161.9466
