date,open,low,high,close
2018-01-02,-6.0,-6.0,-6.0,-6.0
2018-01-03,-6.3,-6.3,-6.3,-6.3
2018-01-04,-3.43,-3.43,-3.43,-3.43
2018-01-05,-3.1,-3.1,-3.1,-3.1
2018-01-08,-0.34,-0.34,-0.34,-0.34
2018-01-09,-0.19,-0.19,-0.19,-0.19
2018-01-10,0.19,0.19,0.19,0.19
2018-01-11,-0.22,-0.22,-0.22,-0.22
2018-01-12,1.12,1.12,1.12,1.12
2018-01-16,1.78,1.78,1.78,1.78
2018-01-17,0.38,0.38,0.38,0.38
2018-01-18,0.93,0.93,0.93,0.93
2018-01-19,4.12,4.12,4.12,4.12
2018-01-22,6.01,6.01,6.01,6.01
2018-01-23,3.37,3.37,3.37,3.37
2018-01-24,6.01,6.01,6.01,6.01
2018-01-25,5.23,5.23,5.23,5.23
2018-01-26,9.21,9.21,9.21,9.21
2018-01-29,7.14,7.14,7.14,7.14
2018-01-30,7.28,7.28,7.28,7.28
2018-01-31,8.69,8.69,8.69,8.69
2018-02-01,11.8,11.8,11.8,11.8
2018-02-02,10.43,10.43,10.43,10.43
2018-02-05,4.31,4.31,4.31,4.31
2018-02-06,5.92,5.92,5.92,5.92
2018-02-07,7.3,7.3,7.3,7.3
2018-02-08,0.14,0.14,0.14,0.14
2018-02-09,4.04,4.04,4.04,4.04
2018-02-12,7.4,7.4,7.4,7.4
2018-02-13,7.96,7.96,7.96,7.96
2018-02-14,10.7,10.7,10.7,10.7
2018-02-15,12.9,12.9,12.9,12.9
2018-02-16,8.1,8.1,8.1,8.1
2018-02-20,7.9,7.9,7.9,7.9
2018-02-21,7.53,7.53,7.53,7.53
2018-02-22,5.54,5.54,5.54,5.54
2018-02-23,9.85,9.85,9.85,9.85
2018-02-26,11.74,11.74,11.74,11.74
2018-02-27,13.24,13.24,13.24,13.24
2018-02-28,12.83,12.83,12.83,12.83
2018-03-01,8.78,8.78,8.78,8.78
2018-03-02,7.35,7.35,7.35,7.35
2018-03-05,9.38,9.38,9.38,9.38
2018-03-06,15.63,15.63,15.63,15.63
2018-03-07,10.93,10.93,10.93,10.93
2018-03-08,8.51,8.51,8.51,8.51
2018-03-09,18.38,18.38,18.38,18.38
2018-03-12,12.33,12.33,12.33,12.33
2018-03-13,4.68,4.68,4.68,4.68
2018-03-14,2.79,2.79,2.79,2.79
2018-03-15,3.24,3.24,3.24,3.24
2018-03-16,0.01,0.01,0.01,0.01
2018-03-19,1.16,1.16,1.16,1.16
2018-03-20,0.83,0.83,0.83,0.83
2018-03-21,2.72,2.72,2.72,2.72
2018-03-22,-0.37,-0.37,-0.37,-0.37
2018-03-23,-5.9,-5.9,-5.9,-5.9
2018-03-26,-5.19,-5.19,-5.19,-5.19
2018-03-27,-7.69,-7.69,-7.69,-7.69
2018-03-28,-7.32,-7.32,-7.32,-7.32
2018-03-29,-0.52,-0.52,-0.52,-0.52
2018-04-02,-8.56,-8.56,-8.56,-8.56
2018-04-03,-7.92,-7.92,-7.92,-7.92
2018-04-04,-9.1,-9.1,-9.1,-9.1
2018-04-05,-5.59,-5.59,-5.59,-5.59
2018-04-06,-10.18,-10.18,-10.18,-10.18
2018-04-09,-12.24,-12.24,-12.24,-12.24
2018-04-10,-5.59,-5.59,-5.59,-5.59
2018-04-11,-3.55,-3.55,-3.55,-3.55
2018-04-12,1.26,1.26,1.26,1.26
2018-04-13,-1.97,-1.97,-1.97,-1.97
2018-04-16,-1.1,-1.1,-1.1,-1.1
2018-04-17,1.22,1.22,1.22,1.22
2018-04-18,1.02,1.02,1.02,1.02
2018-04-19,-0.03,-0.03,-0.03,-0.03
2018-04-20,4.92,4.92,4.92,4.92
2018-04-23,6.08,6.08,6.08,6.08
2018-04-24,-0.11,-0.11,-0.11,-0.11
2018-04-25,2.08,2.08,2.08,2.08
2018-04-26,0.61,0.61,0.61,0.61
2018-04-27,-4.38,-4.38,-4.38,-4.38
2018-04-30,-0.02,-0.02,-0.02,-0.02
2018-05-01,-4.07,-4.07,-4.07,-4.07
