date,open,low,high,close
2018-01-02,32.4134,32.4134,32.4134,32.4134
2018-01-03,45.9151,45.9151,45.9151,45.9151
2018-01-04,52.9782,52.9782,52.9782,52.9782
2018-01-05,56.8468,56.8468,56.8468,56.8468
2018-01-08,63.9195,63.9195,63.9195,63.9195
2018-01-09,66.5549,66.5549,66.5549,66.5549
2018-01-10,67.3498,67.3498,67.3498,67.3498
2018-01-11,66.7621,66.7621,66.7621,66.7621
2018-01-12,66.1916,66.1916,66.1916,66.1916
2018-01-16,62.2745,62.2745,62.2745,62.2745
2018-01-17,56.9734,56.9734,56.9734,56.9734
2018-01-18,60.7366,60.7366,60.7366,60.7366
2018-01-19,68.9541,68.9541,68.9541,68.9541
2018-01-22,72.5607,72.5607,72.5607,72.5607
2018-01-23,64.0776,64.0776,64.0776,64.0776
2018-01-24,66.7418,66.7418,66.7418,66.7418
2018-01-25,61.1573,61.1573,61.1573,61.1573
2018-01-26,65.0772,65.0772,65.0772,65.0772
2018-01-29,54.5182,54.5182,54.5182,54.5182
2018-01-30,53.8371,53.8371,53.8371,53.8371
2018-01-31,54.6244,54.6244,54.6244,54.6244
2018-02-01,73.0872,73.0872,73.0872,73.0872
2018-02-02,73.528,73.528,73.528,73.528
2018-02-05,50.0659,50.0659,50.0659,50.0659
2018-02-06,60.1812,60.1812,60.1812,60.1812
2018-02-07,65.0429,65.0429,65.0429,65.0429
2018-02-08,46.1311,46.1311,46.1311,46.1311
2018-02-09,54.296,54.296,54.296,54.296
2018-02-12,60.0833,60.0833,60.0833,60.0833
2018-02-13,60.1346,60.1346,60.1346,60.1346
2018-02-14,63.584,63.584,63.584,63.584
2018-02-15,68.1401,68.1401,68.1401,68.1401
2018-02-16,60.3965,60.3965,60.3965,60.3965
2018-02-20,62.097,62.097,62.097,62.097
2018-02-21,57.6456,57.6456,57.6456,57.6456
2018-02-22,54.208,54.208,54.208,54.208
2018-02-23,61.3569,61.3569,61.3569,61.3569
2018-02-26,66.1957,66.1957,66.1957,66.1957
2018-02-27,65.5309,65.5309,65.5309,65.5309
2018-02-28,63.7359,63.7359,63.7359,63.7359
2018-03-01,52.0735,52.0735,52.0735,52.0735
2018-03-02,60.343,60.343,60.343,60.343
2018-03-05,64.1723,64.1723,64.1723,64.1723
2018-03-06,65.9731,65.9731,65.9731,65.9731
2018-03-07,62.7551,62.7551,62.7551,62.7551
2018-03-08,62.2872,62.2872,62.2872,62.2872
2018-03-09,67.9408,67.9408,67.9408,67.9408
2018-03-12,60.3807,60.3807,60.3807,60.3807
