date,open,low,high,close
2018-01-02,148.278,148.278,148.278,148.278
2018-01-03,147.861,147.861,147.861,147.861
2018-01-04,147.713,147.713,147.713,147.713
2018-01-05,147.734,147.734,147.734,147.734
2018-01-08,147.819,147.819,147.819,147.819
2018-01-09,148.184,148.184,148.184,148.184
2018-01-10,148.58,148.58,148.58,148.58
2018-01-11,149.266,149.266,149.266,149.266
2018-01-12,149.908,149.908,149.908,149.908
2018-01-16,150.523,150.523,150.523,150.523
2018-01-17,151.189,151.189,151.189,151.189
2018-01-18,151.699,151.699,151.699,151.699
2018-01-19,152.259,152.259,152.259,152.259
2018-01-22,152.839,152.839,152.839,152.839
2018-01-23,153.091,153.091,153.091,153.091
2018-01-24,153.327,153.327,153.327,153.327
2018-01-25,153.454,153.454,153.454,153.454
2018-01-26,153.689,153.689,153.689,153.689
2018-01-29,153.761,153.761,153.761,153.761
2018-01-30,153.874,153.874,153.874,153.874
2018-01-31,154.077,154.077,154.077,154.077
2018-02-01,154.747,154.747,154.747,154.747
2018-02-02,155.23,155.23,155.23,155.23
2018-02-05,155.081,155.081,155.081,155.081
2018-02-06,155.421,155.421,155.421,155.421
2018-02-07,155.915,155.915,155.915,155.915
2018-02-08,155.802,155.802,155.802,155.802
2018-02-09,155.971,155.971,155.971,155.971
2018-02-12,156.639,156.639,156.639,156.639
2018-02-13,157.322,157.322,157.322,157.322
2018-02-14,158.189,158.189,158.189,158.189
2018-02-15,158.809,158.809,158.809,158.809
2018-02-16,159.136,159.136,159.136,159.136
2018-02-20,160.075,160.075,160.075,160.075
2018-02-21,160.488,160.488,160.488,160.488
2018-02-22,160.548,160.548,160.548,160.548
2018-02-23,161.646,161.646,161.646,161.646
2018-02-26,162.651,162.651,162.651,162.651
2018-02-27,163.307,163.307,163.307,163.307
2018-02-28,163.907,163.907,163.907,163.907
2018-03-01,163.918,163.918,163.918,163.918
2018-03-02,164.033,164.033,164.033,164.033
2018-03-05,164.644,164.644,164.644,164.644
2018-03-06,165.268,165.268,165.268,165.268
2018-03-07,165.948,165.948,165.948,165.948
2018-03-08,166.739,166.739,166.739,166.739
2018-03-09,167.479,167.479,167.479,167.479
2018-03-12,167.707,167.707,167.707,167.707
2018-03-13,167.519,167.519,167.519,167.519
2018-03-14,167.198,167.198,167.198,167.198
2018-03-15,167.511,167.511,167.511,167.511
2018-03-16,167.397,167.397,167.397,167.397
2018-03-19,166.902,166.902,166.902,166.902
2018-03-20,166.361,166.361,166.361,166.361
2018-03-21,165.953,165.953,165.953,165.953
2018-03-22,165.125,165.125,165.125,165.125
2018-03-23,163.795,163.795,163.795,163.795
2018-03-26,163.048,163.048,163.048,163.048
2018-03-27,162.467,162.467,162.467,162.467
2018-03-28,162.056,162.056,162.056,162.056
2018-03-29,161.691,161.691,161.691,161.691
2018-04-02,160.949,160.949,160.949,160.949
2018-04-03,160.652,160.652,160.652,160.652
2018-04-04,160.283,160.283,160.283,160.283
2018-04-05,160.132,160.132,160.132,160.132
2018-04-06,159.942,159.942,159.942,159.942
2018-04-09,160.048,160.048,160.048,160.048
2018-04-10,160.236,160.236,160.236,160.236
2018-04-11,160.462,160.462,160.462,160.462
2018-04-12,160.999,160.999,160.999,160.999
2018-04-13,161.167,161.167,161.167,161.167
2018-04-16,161.799,161.799,161.799,161.799
2018-04-17,162.218,162.218,162.218,162.218
2018-04-18,162.689,162.689,162.689,162.689
2018-04-19,162.837,162.837,162.837,162.837
2018-04-20,163.519,163.519,163.519,163.519
2018-04-23,164.021,164.021,164.021,164.021
2018-04-24,163.822,163.822,163.822,163.822
2018-04-25,163.804,163.804,163.804,163.804
2018-04-26,163.328,163.328,163.328,163.328
2018-04-27,162.722,162.722,162.722,162.722
2018-04-30,162.088,162.088,162.088,162.088
2018-05-01,161.262,161.262,161.262,161.262
2018-05-02,160.38,160.38,160.38,160.38
2018-05-03,159.635,159.635,159.635,159.635
2018-05-04,159.043,159.043,159.043,159.043
2018-05-07,158.545,158.545,158.545,158.545
2018-05-08,158.231,158.231,158.231,158.231
2018-05-09,158.27,158.27,158.27,158.27
2018-05-10,158.321,158.321,158.321,158.321
2018-05-11,158.514,158.514,158.514,158.514
2018-05-14,158.849,158.849,158.849,158.849
2018-05-15,159.244,159.244,159.244,159.244
2018-05-16,159.673,159.673,159.673,159.673
2018-05-17,160.041,160.041,160.041,160.041
2018-05-18,160.103,160.103,160.103,160.103
2018-05-21,160.319,160.319,160.319,160.319
2018-05-22,160.559,160.559,160.559,160.559
2018-05-23,160.423,160.423,160.423,160.423
2018-05-24,160.428,160.428,160.428,160.428
2018-05-25,160.459,160.459,160.459,160.459
2018-05-29,160.224,160.224,160.224,160.224
2018-05-30,160.728,160.728,160.728,160.728
2018-05-31,160.951,160.951,160.951,160.951
2018-06-01,161.634,161.634,161.634,161.634
2018-06-04,162.686,162.686,162.686,162.686
2018-06-05,163.594,163.594,163.594,163.594
2018-06-06,164.862,164.862,164.862,164.862
2018-06-07,166.025,166.025,166.025,166.025
2018-06-08,167.121,167.121,167.121,167.121
2018-06-11,168.224,168.224,168.224,168.224
2018-06-12,169.378,169.378,169.378,169.378
2018-06-13,169.877,169.877,169.877,169.877
2018-06-14,170.473,170.473,170.473,170.473
2018-06-15,170.703,170.703,170.703,170.703
2018-06-18,170.593,170.593,170.593,170.593
