date,open,low,high,close
2018-01-02,148.422,148.422,148.422,148.422
2018-01-03,147.7377,147.7377,147.7377,147.7377
2018-01-04,147.2223,147.2223,147.2223,147.2223
2018-01-05,146.9587,146.9587,146.9587,146.9587
2018-01-08,146.9887,146.9887,146.9887,146.9887
2018-01-09,147.441,147.441,147.441,147.441
2018-01-10,148.226,148.226,148.226,148.226
2018-01-11,149.2097,149.2097,149.2097,149.2097
2018-01-12,150.205,150.205,150.205,150.205
2018-01-16,151.1047,151.1047,151.1047,151.1047
2018-01-17,151.7757,151.7757,151.7757,151.7757
2018-01-18,152.1623,152.1623,152.1623,152.1623
2018-01-19,152.405,152.405,152.405,152.405
2018-01-22,152.6007,152.6007,152.6007,152.6007
2018-01-23,152.762,152.762,152.762,152.762
2018-01-24,153.0257,153.0257,153.0257,153.0257
2018-01-25,153.394,153.394,153.394,153.394
2018-01-26,153.8147,153.8147,153.8147,153.8147
2018-01-29,154.1197,154.1197,154.1197,154.1197
2018-01-30,154.3033,154.3033,154.3033,154.3033
2018-01-31,154.3683,154.3683,154.3683,154.3683
2018-02-01,154.4733,154.4733,154.4733,154.4733
2018-02-02,154.6447,154.6447,154.6447,154.6447
2018-02-05,154.8037,154.8037,154.8037,154.8037
2018-02-06,155.1733,155.1733,155.1733,155.1733
2018-02-07,155.7887,155.7887,155.7887,155.7887
2018-02-08,156.2587,156.2587,156.2587,156.2587
2018-02-09,156.4953,156.4953,156.4953,156.4953
2018-02-12,156.806,156.806,156.806,156.806
2018-02-13,157.1833,157.1833,157.1833,157.1833
2018-02-14,157.4907,157.4907,157.4907,157.4907
2018-02-15,157.9853,157.9853,157.9853,157.9853
2018-02-16,158.86,158.86,158.86,158.86
2018-02-20,159.9173,159.9173,159.9173,159.9173
2018-02-21,160.823,160.823,160.823,160.823
2018-02-22,161.591,161.591,161.591,161.591
2018-02-23,162.2487,162.2487,162.2487,162.2487
2018-02-26,162.6547,162.6547,162.6547,162.6547
2018-02-27,162.9877,162.9877,162.9877,162.9877
2018-02-28,163.3593,163.3593,163.3593,163.3593
2018-03-01,163.7347,163.7347,163.7347,163.7347
2018-03-02,164.2387,164.2387,164.2387,164.2387
2018-03-05,164.832,164.832,164.832,164.832
2018-03-06,165.3713,165.3713,165.3713,165.3713
2018-03-07,165.88,165.88,165.88,165.88
