date,open,low,high,close
2018-01-02,148.1627,148.1627,148.1627,148.1627
2018-01-03,148.2202,148.2202,148.2202,148.2202
2018-01-04,148.3457,148.3457,148.3457,148.3457
2018-01-05,148.5057,148.5057,148.5057,148.5057
2018-01-08,148.7524,148.7524,148.7524,148.7524
2018-01-09,149.0258,149.0258,149.0258,149.0258
2018-01-10,149.2946,149.2946,149.2946,149.2946
2018-01-11,149.5406,149.5406,149.5406,149.5406
2018-01-12,149.7673,149.7673,149.7673,149.7673
2018-01-16,149.9529,149.9529,149.9529,149.9529
2018-01-17,150.0866,150.0866,150.0866,150.0866
2018-01-18,150.2435,150.2435,150.2435,150.2435
2018-01-19,150.4859,150.4859,150.4859,150.4859
2018-01-22,150.7703,150.7703,150.7703,150.7703
2018-01-23,150.9804,150.9804,150.9804,150.9804
2018-01-24,151.2116,151.2116,151.2116,151.2116
2018-01-25,151.3867,151.3867,151.3867,151.3867
2018-01-26,151.5953,151.5953,151.5953,151.5953
2018-01-29,151.7083,151.7083,151.7083,151.7083
2018-01-30,151.8086,151.8086,151.8086,151.8086
2018-01-31,151.9116,151.9116,151.9116,151.9116
2018-02-01,152.2762,152.2762,152.2762,152.2762
2018-02-02,152.6438,152.6438,152.6438,152.6438
2018-02-05,152.7517,152.7517,152.7517,152.7517
2018-02-06,153.0381,153.0381,153.0381,153.0381
2018-02-07,153.4289,153.4289,153.4289,153.4289
2018-02-08,153.475,153.475,153.475,153.475
2018-02-09,153.7065,153.7065,153.7065,153.7065
2018-02-12,154.0933,154.0933,154.0933,154.0933
2018-02-13,154.4712,154.4712,154.4712,154.4712
2018-02-14,154.9344,154.9344,154.9344,154.9344
2018-02-15,155.5283,155.5283,155.5283,155.5283
2018-02-16,155.9723,155.9723,155.9723,155.9723
2018-02-20,156.4487,156.4487,156.4487,156.4487
2018-02-21,156.8315,156.8315,156.8315,156.8315
2018-02-22,157.14,157.14,157.14,157.14
2018-02-23,157.6047,157.6047,157.6047,157.6047
2018-02-26,158.1915,158.1915,158.1915,158.1915
2018-02-27,158.7425,158.7425,158.7425,158.7425
2018-02-28,159.2429,159.2429,159.2429,159.2429
2018-03-01,159.5284,159.5284,159.5284,159.5284
2018-03-02,159.9877,159.9877,159.9877,159.9877
2018-03-05,160.5325,160.5325,160.5325,160.5325
2018-03-06,161.1068,161.1068,161.1068,161.1068
2018-03-07,161.6075,161.6075,161.6075,161.6075
2018-03-08,162.0808,162.0808,162.0808,162.0808
2018-03-09,162.6802,162.6802,162.6802,162.6802
2018-03-12,163.1478,163.1478,163.1478,163.1478
2018-03-13,163.3822,163.3822,163.3822,163.3822
2018-03-14,163.5111,163.5111,163.5111,163.5111
2018-03-15,163.746,163.746,163.746,163.746
2018-03-16,163.9507,163.9507,163.9507,163.9507
2018-03-19,164.0626,164.0626,164.0626,164.0626
2018-03-20,164.1944,164.1944,164.1944,164.1944
2018-03-21,164.3311,164.3311,164.3311,164.3311
2018-03-22,164.2437,164.2437,164.2437,164.2437
2018-03-23,164.0505,164.0505,164.0505,164.0505
2018-03-26,164.0275,164.0275,164.0275,164.0275
2018-03-27,163.8644,163.8644,163.8644,163.8644
2018-03-28,163.6867,163.6867,163.6867,163.6867
2018-03-29,163.6437,163.6437,163.6437,163.6437
2018-04-02,163.3936,163.3936,163.3936,163.3936
2018-04-03,163.285,163.285,163.285,163.285
2018-04-04,163.1706,163.1706,163.1706,163.1706
2018-04-05,163.1703,163.1703,163.1703,163.1703
2018-04-06,162.9327,162.9327,162.9327,162.9327
2018-04-09,162.7421,162.7421,162.7421,162.7421
2018-04-10,162.759,162.759,162.759,162.759
2018-04-11,162.6541,162.6541,162.6541,162.6541
2018-04-12,162.6918,162.6918,162.6918,162.6918
2018-04-13,162.6859,162.6859,162.6859,162.6859
2018-04-16,162.7078,162.7078,162.7078,162.7078
2018-04-17,162.7671,162.7671,162.7671,162.7671
2018-04-18,162.8449,162.8449,162.8449,162.8449
2018-04-19,162.8849,162.8849,162.8849,162.8849
2018-04-20,162.9514,162.9514,162.9514,162.9514
2018-04-23,162.9694,162.9694,162.9694,162.9694
2018-04-24,162.8603,162.8603,162.8603,162.8603
2018-04-25,162.7323,162.7323,162.7323,162.7323
2018-04-26,162.5317,162.5317,162.5317,162.5317
2018-04-27,162.2373,162.2373,162.2373,162.2373
2018-04-30,161.9645,161.9645,161.9645,161.9645
2018-05-01,161.6446,161.6446,161.6446,161.6446
2018-05-02,161.3334,161.3334,161.3334,161.3334
2018-05-03,161.0696,161.0696,161.0696,161.0696
2018-05-04,160.9243,160.9243,160.9243,160.9243
2018-05-07,160.7932,160.7932,160.7932,160.7932
2018-05-08,160.6399,160.6399,160.6399,160.6399
2018-05-09,160.6465,160.6465,160.6465,160.6465
2018-05-10,160.5836,160.5836,160.5836,160.5836
2018-05-11,160.4916,160.4916,160.4916,160.4916
2018-05-14,160.4919,160.4919,160.4919,160.4919
