date,WILLR,WILLR,WILLR,WILLR
2018-01-02,-92.4103,-92.4103,-92.4103,-92.4103
2018-01-03,-21.844,-21.844,-21.844,-21.844
2018-01-04,-24.907,-24.907,-24.907,-24.907
2018-01-05,-10.3529,-10.3529,-10.3529,-10.3529
2018-01-08,-10.8469,-10.8469,-10.8469,-10.8469
2018-01-09,-5.5879,-5.5879,-5.5879,-5.5879
2018-01-10,-21.4286,-21.4286,-21.4286,-21.4286
2018-01-11,-25.1067,-25.1067,-25.1067,-25.1067
2018-01-12,-39.4608,-39.4608,-39.4608,-39.4608
2018-01-16,-76.9935,-76.9935,-76.9935,-76.9935
2018-01-17,-95.1094,-95.1094,-95.1094,-95.1094
2018-01-18,-75.547,-75.547,-75.547,-75.547
2018-01-19,-22.2651,-22.2651,-22.2651,-22.2651
2018-01-22,-0.0,-0.0,-0.0,-0.0
2018-01-23,-37.1849,-37.1849,-37.1849,-37.1849
2018-01-24,-23.9535,-23.9535,-23.9535,-23.9535
2018-01-25,-52.5568,-52.5568,-52.5568,-52.5568
2018-01-26,-30.1754,-30.1754,-30.1754,-30.1754
2018-01-29,-91.5663,-91.5663,-91.5663,-91.5663
2018-01-30,-74.1784,-74.1784,-74.1784,-74.1784
2018-01-31,-70.6573,-70.6573,-70.6573,-70.6573
2018-02-01,-2.6239,-2.6239,-2.6239,-2.6239
2018-02-02,-36.1188,-36.1188,-36.1188,-36.1188
2018-02-05,-83.9369,-83.9369,-83.9369,-83.9369
2018-02-06,-39.2776,-39.2776,-39.2776,-39.2776
2018-02-07,-22.5387,-22.5387,-22.5387,-22.5387
2018-02-08,-73.1224,-73.1224,-73.1224,-73.1224
2018-02-09,-40.805,-40.805,-40.805,-40.805
2018-02-12,-14.8166,-14.8166,-14.8166,-14.8166
2018-02-13,-19.3705,-19.3705,-19.3705,-19.3705
2018-02-14,-3.9709,-3.9709,-3.9709,-3.9709
2018-02-15,-0.7868,-0.7868,-0.7868,-0.7868
2018-02-16,-36.6667,-36.6667,-36.6667,-36.6667
2018-02-20,-27.8164,-27.8164,-27.8164,-27.8164
2018-02-21,-54.2553,-54.2553,-54.2553,-54.2553
2018-02-22,-90.6015,-90.6015,-90.6015,-90.6015
2018-02-23,-25.0,-25.0,-25.0,-25.0
2018-02-26,-0.7225,-0.7225,-0.7225,-0.7225
2018-02-27,-29.8209,-29.8209,-29.8209,-29.8209
2018-02-28,-35.4057,-35.4057,-35.4057,-35.4057
2018-03-01,-86.7384,-86.7384,-86.7384,-86.7384
2018-03-02,-39.5631,-39.5631,-39.5631,-39.5631
2018-03-05,-18.5311,-18.5311,-18.5311,-18.5311
2018-03-06,-7.8714,-7.8714,-7.8714,-7.8714
2018-03-07,-19.0687,-19.0687,-19.0687,-19.0687
2018-03-08,-21.2815,-21.2815,-21.2815,-21.2815
2018-03-09,-4.1937,-4.1937,-4.1937,-4.1937
2018-03-12,-44.5758,-44.5758,-44.5758,-44.5758
2018-03-13,-92.2412,-92.2412,-92.2412,-92.2412
2018-03-14,-93.9884,-93.9884,-93.9884,-93.9884
2018-03-15,-58.0172,-58.0172,-58.0172,-58.0172
2018-03-16,-60.2955,-60.2955,-60.2955,-60.2955
2018-03-19,-69.9115,-69.9115,-69.9115,-69.9115
2018-03-20,-48.7805,-48.7805,-48.7805,-48.7805
2018-03-21,-43.9024,-43.9024,-43.9024,-43.9024
2018-03-22,-94.0583,-94.0583,-94.0583,-94.0583
2018-03-23,-98.4422,-98.4422,-98.4422,-98.4422
2018-03-26,-58.4956,-58.4956,-58.4956,-58.4956
2018-03-27,-85.0539,-85.0539,-85.0539,-85.0539
2018-03-28,-77.9506,-77.9506,-77.9506,-77.9506
2018-03-29,-51.4181,-51.4181,-51.4181,-51.4181
