date,open,low,high,close
2018-01-02,9.187,9.187,9.187,9.187
2018-01-03,9.3033,9.3033,9.3033,9.3033
2018-01-04,8.9507,8.9507,8.9507,8.9507
2018-01-05,8.6158,8.6158,8.6158,8.6158
2018-01-08,8.3725,8.3725,8.3725,8.3725
2018-01-09,8.0777,8.0777,8.0777,8.0777
2018-01-10,7.9772,7.9772,7.9772,7.9772
2018-01-11,7.7642,7.7642,7.7642,7.7642
2018-01-12,7.9809,7.9809,7.9809,7.9809
2018-01-16,8.7409,8.7409,8.7409,8.7409
2018-01-17,9.104,9.104,9.104,9.104
2018-01-18,9.465,9.465,9.465,9.465
2018-01-19,10.0574,10.0574,10.0574,10.0574
2018-01-22,10.8003,10.8003,10.8003,10.8003
2018-01-23,11.4544,11.4544,11.4544,11.4544
2018-01-24,12.3555,12.3555,12.3555,12.3555
2018-01-25,13.4257,13.4257,13.4257,13.4257
2018-01-26,14.287,14.287,14.287,14.287
2018-01-29,15.2999,15.2999,15.2999,15.2999
2018-01-30,15.5639,15.5639,15.5639,15.5639
2018-01-31,15.5929,15.5929,15.5929,15.5929
2018-02-01,15.5941,15.5941,15.5941,15.5941
2018-02-02,14.9742,14.9742,14.9742,14.9742
2018-02-05,15.5918,15.5918,15.5918,15.5918
2018-02-06,16.4159,16.4159,16.4159,16.4159
2018-02-07,16.8371,16.8371,16.8371,16.8371
2018-02-08,17.7671,17.7671,17.7671,17.7671
2018-02-09,18.7958,18.7958,18.7958,18.7958
2018-02-12,19.3072,19.3072,19.3072,19.3072
2018-02-13,19.793,19.793,19.793,19.793
2018-02-14,19.7172,19.7172,19.7172,19.7172
2018-02-15,19.4429,19.4429,19.4429,19.4429
2018-02-16,19.1823,19.1823,19.1823,19.1823
2018-02-20,19.0728,19.0728,19.0728,19.0728
2018-02-21,18.5526,18.5526,18.5526,18.5526
2018-02-22,18.1868,18.1868,18.1868,18.1868
2018-02-23,17.8394,17.8394,17.8394,17.8394
2018-02-26,17.2833,17.2833,17.2833,17.2833
2018-02-27,16.8702,16.8702,16.8702,16.8702
2018-02-28,16.7483,16.7483,16.7483,16.7483
2018-03-01,17.2115,17.2115,17.2115,17.2115
2018-03-02,17.9366,17.9366,17.9366,17.9366
2018-03-05,18.2188,18.2188,18.2188,18.2188
2018-03-06,18.4682,18.4682,18.4682,18.4682
2018-03-07,18.9112,18.9112,18.9112,18.9112
2018-03-08,19.2701,19.2701,19.2701,19.2701
2018-03-09,18.8288,18.8288,18.8288,18.8288
2018-03-12,18.3562,18.3562,18.3562,18.3562
2018-03-13,18.2447,18.2447,18.2447,18.2447
2018-03-14,18.4592,18.4592,18.4592,18.4592
2018-03-15,18.7341,18.7341,18.7341,18.7341
2018-03-16,18.8928,18.8928,18.8928,18.8928
2018-03-19,19.3303,19.3303,19.3303,19.3303
2018-03-20,19.734,19.734,19.734,19.734
2018-03-21,19.8206,19.8206,19.8206,19.8206
2018-03-22,20.5213,20.5213,20.5213,20.5213
2018-03-23,21.5536,21.5536,21.5536,21.5536
2018-03-26,22.5343,22.5343,22.5343,22.5343
2018-03-27,23.5774,23.5774,23.5774,23.5774
2018-03-28,24.5815,24.5815,24.5815,24.5815
2018-03-29,25.2678,25.2678,25.2678,25.2678
2018-04-02,26.0928,26.0928,26.0928,26.0928
2018-04-03,26.8767,26.8767,26.8767,26.8767
2018-04-04,27.2288,27.2288,27.2288,27.2288
2018-04-05,27.0612,27.0612,27.0612,27.0612
2018-04-06,27.3236,27.3236,27.3236,27.3236
2018-04-09,27.3265,27.3265,27.3265,27.3265
2018-04-10,27.2189,27.2189,27.2189,27.2189
2018-04-11,27.2805,27.2805,27.2805,27.2805
2018-04-12,26.6585,26.6585,26.6585,26.6585
2018-04-13,25.786,25.786,25.786,25.786
2018-04-16,24.9757,24.9757,24.9757,24.9757
2018-04-17,24.2851,24.2851,24.2851,24.2851
2018-04-18,23.7976,23.7976,23.7976,23.7976
2018-04-19,23.2437,23.2437,23.2437,23.2437
2018-04-20,22.6318,22.6318,22.6318,22.6318
2018-04-23,22.1557,22.1557,22.1557,22.1557
2018-04-24,21.9918,21.9918,21.9918,21.9918
2018-04-25,21.9329,21.9329,21.9329,21.9329
2018-04-26,21.877,21.877,21.877,21.877
2018-04-27,21.8711,21.8711,21.8711,21.8711
2018-04-30,22.0107,22.0107,22.0107,22.0107
2018-05-01,22.3766,22.3766,22.3766,22.3766
2018-05-02,22.3731,22.3731,22.3731,22.3731
2018-05-03,22.7034,22.7034,22.7034,22.7034
2018-05-04,22.9979,22.9979,22.9979,22.9979
2018-05-07,23.0828,23.0828,23.0828,23.0828
2018-05-08,22.0192,22.0192,22.0192,22.0192
2018-05-09,21.0148,21.0148,21.0148,21.0148
2018-05-10,20.3617,20.3617,20.3617,20.3617
2018-05-11,19.8384,19.8384,19.8384,19.8384
2018-05-14,19.3605,19.3605,19.3605,19.3605
2018-05-15,18.8511,18.8511,18.8511,18.8511
2018-05-16,18.1402,18.1402,18.1402,18.1402
2018-05-17,17.2884,17.2884,17.2884,17.2884
2018-05-18,16.9001,16.9001,16.9001,16.9001
2018-05-21,16.5311,16.5311,16.5311,16.5311
2018-05-22,15.8451,15.8451,15.8451,15.8451
2018-05-23,15.6379,15.6379,15.6379,15.6379
2018-05-24,15.6737,15.6737,15.6737,15.6737
2018-05-25,15.7938,15.7938,15.7938,15.7938
2018-05-29,16.6812,16.6812,16.6812,16.6812
2018-05-30,17.5243,17.5243,17.5243,17.5243
2018-05-31,18.415,18.415,18.415,18.415
2018-06-01,18.7782,18.7782,18.7782,18.7782
2018-06-04,19.1438,19.1438,19.1438,19.1438
2018-06-05,19.6322,19.6322,19.6322,19.6322
2018-06-06,19.5205,19.5205,19.5205,19.5205
2018-06-07,19.1832,19.1832,19.1832,19.1832
2018-06-08,18.9243,18.9243,18.9243,18.9243
2018-06-11,18.4179,18.4179,18.4179,18.4179
2018-06-12,18.1414,18.1414,18.1414,18.1414
2018-06-13,17.9493,17.9493,17.9493,17.9493
2018-06-14,18.1511,18.1511,18.1511,18.1511
2018-06-15,18.5384,18.5384,18.5384,18.5384
2018-06-18,18.8187,18.8187,18.8187,18.8187
2018-06-19,19.0375,19.0375,19.0375,19.0375
2018-06-20,18.7689,18.7689,18.7689,18.7689
2018-06-21,18.6544,18.6544,18.6544,18.6544
2018-06-22,18.4903,18.4903,18.4903,18.4903
2018-06-25,18.8905,18.8905,18.8905,18.8905
2018-06-26,19.5205,19.5205,19.5205,19.5205
2018-06-27,19.7186,19.7186,19.7186,19.7186
2018-06-28,19.9067,19.9067,19.9067,19.9067
2018-06-29,19.3886,19.3886,19.3886,19.3886
2018-07-02,19.1848,19.1848,19.1848,19.1848
2018-07-03,18.8585,18.8585,18.8585,18.8585
2018-07-05,18.5484,18.5484,18.5484,18.5484
2018-07-06,18.0403,18.0403,18.0403,18.0403
2018-07-09,17.3587,17.3587,17.3587,17.3587
2018-07-10,16.8131,16.8131,16.8131,16.8131
2018-07-11,16.2513,16.2513,16.2513,16.2513
2018-07-12,15.7688,15.7688,15.7688,15.7688
2018-07-13,15.3047,15.3047,15.3047,15.3047
2018-07-16,14.7252,14.7252,14.7252,14.7252
2018-07-17,14.229,14.229,14.229,14.229
2018-07-18,13.8903,13.8903,13.8903,13.8903
2018-07-19,13.3095,13.3095,13.3095,13.3095
2018-07-20,12.748,12.748,12.748,12.748
2018-07-23,12.5408,12.5408,12.5408,12.5408
2018-07-24,12.6837,12.6837,12.6837,12.6837
2018-07-25,12.9085,12.9085,12.9085,12.9085
2018-07-26,13.1738,13.1738,13.1738,13.1738
2018-07-27,13.3824,13.3824,13.3824,13.3824
2018-07-30,13.8985,13.8985,13.8985,13.8985
2018-07-31,14.2997,14.2997,14.2997,14.2997
2018-08-01,14.9055,14.9055,14.9055,14.9055
2018-08-02,15.0367,15.0367,15.0367,15.0367
2018-08-03,15.3563,15.3563,15.3563,15.3563
2018-08-06,15.7024,15.7024,15.7024,15.7024
2018-08-07,16.1164,16.1164,16.1164,16.1164
2018-08-08,16.3301,16.3301,16.3301,16.3301
2018-08-09,16.44,16.44,16.44,16.44
2018-08-10,15.6401,15.6401,15.6401,15.6401
2018-08-13,15.2107,15.2107,15.2107,15.2107
2018-08-14,14.8027,14.8027,14.8027,14.8027
2018-08-15,14.8471,14.8471,14.8471,14.8471
2018-08-16,14.6773,14.6773,14.6773,14.6773
2018-08-17,14.5159,14.5159,14.5159,14.5159
2018-08-20,13.9783,13.9783,13.9783,13.9783
2018-08-21,13.4874,13.4874,13.4874,13.4874
2018-08-22,13.0209,13.0209,13.0209,13.0209
2018-08-23,12.4306,12.4306,12.4306,12.4306
2018-08-24,11.8103,11.8103,11.8103,11.8103
2018-08-27,11.8054,11.8054,11.8054,11.8054
2018-08-28,11.8396,11.8396,11.8396,11.8396
2018-08-29,11.77,11.77,11.77,11.77
2018-08-30,11.3602,11.3602,11.3602,11.3602
2018-08-31,10.949,10.949,10.949,10.949
2018-09-04,10.4232,10.4232,10.4232,10.4232
2018-09-05,9.9741,9.9741,9.9741,9.9741
2018-09-06,9.9446,9.9446,9.9446,9.9446
2018-09-07,10.1009,10.1009,10.1009,10.1009
2018-09-10,10.2495,10.2495,10.2495,10.2495
2018-09-11,10.6739,10.6739,10.6739,10.6739
2018-09-12,10.1406,10.1406,10.1406,10.1406
2018-09-13,9.8306,9.8306,9.8306,9.8306
2018-09-14,9.5362,9.5362,9.5362,9.5362
2018-09-17,9.119,9.119,9.119,9.119
2018-09-18,8.785,8.785,8.785,8.785
2018-09-19,9.4144,9.4144,9.4144,9.4144
2018-09-20,10.2723,10.2723,10.2723,10.2723
