date,Aroon Up,Aroon Down,Aroon Up,Aroon Down,Aroon Down,Aroon Up,Aroon Down,Aroon Up
2018-01-02,84.2975,2.4793,84.2975,2.4793,2.4793,84.2975,2.4793,84.2975
2018-01-03,83.4711,1.6529,83.4711,1.6529,1.6529,83.4711,1.6529,83.4711
2018-01-04,82.6446,0.8264,82.6446,0.8264,0.8264,82.6446,0.8264,82.6446
2018-01-05,81.8182,0.0,81.8182,0.0,0.0,81.8182,0.0,81.8182
2018-01-08,80.9917,30.5785,80.9917,30.5785,30.5785,80.9917,30.5785,80.9917
2018-01-09,80.1653,29.7521,80.1653,29.7521,29.7521,80.1653,29.7521,80.1653
2018-01-10,79.3388,28.9256,79.3388,28.9256,28.9256,79.3388,28.9256,79.3388
2018-01-11,78.5124,28.0992,78.5124,28.0992,28.0992,78.5124,28.0992,78.5124
2018-01-12,77.686,27.2727,77.686,27.2727,27.2727,77.686,27.2727,77.686
2018-01-16,100.0,26.4463,100.0,26.4463,26.4463,100.0,26.4463,100.0
2018-01-17,99.1736,25.6198,99.1736,25.6198,25.6198,99.1736,25.6198,99.1736
2018-01-18,98.3471,24.7934,98.3471,24.7934,24.7934,98.3471,24.7934,98.3471
2018-01-19,97.5207,23.9669,97.5207,23.9669,23.9669,97.5207,23.9669,97.5207
2018-01-22,100.0,23.1405,100.0,23.1405,23.1405,100.0,23.1405,100.0
2018-01-23,99.1736,22.314,99.1736,22.314,22.314,99.1736,22.314,99.1736
2018-01-24,100.0,21.4876,100.0,21.4876,21.4876,100.0,21.4876,100.0
2018-01-25,100.0,20.6612,100.0,20.6612,20.6612,100.0,20.6612,100.0
2018-01-26,99.1736,19.8347,99.1736,19.8347,19.8347,99.1736,19.8347,99.1736
2018-01-29,100.0,19.0083,100.0,19.0083,19.0083,100.0,19.0083,100.0
2018-01-30,99.1736,18.1818,99.1736,18.1818,18.1818,99.1736,18.1818,99.1736
2018-01-31,98.3471,17.3554,98.3471,17.3554,17.3554,98.3471,17.3554,98.3471
2018-02-01,97.5207,16.5289,97.5207,16.5289,16.5289,97.5207,16.5289,97.5207
