date,Aroon Down,Aroon Up,Aroon Up,Aroon Down,Aroon Down,Aroon Up,Aroon Down,Aroon Up
2018-01-02,48.3333,68.3333,68.3333,48.3333,48.3333,68.3333,48.3333,68.3333
2018-01-03,46.6667,66.6667,66.6667,46.6667,46.6667,66.6667,46.6667,66.6667
2018-01-04,45.0,65.0,65.0,45.0,45.0,65.0,45.0,65.0
2018-01-05,43.3333,63.3333,63.3333,43.3333,43.3333,63.3333,43.3333,63.3333
2018-01-08,41.6667,61.6667,61.6667,41.6667,41.6667,61.6667,41.6667,61.6667
2018-01-09,40.0,60.0,60.0,40.0,40.0,60.0,40.0,60.0
2018-01-10,38.3333,58.3333,58.3333,38.3333,38.3333,58.3333,38.3333,58.3333
2018-01-11,36.6667,56.6667,56.6667,36.6667,36.6667,56.6667,36.6667,56.6667
2018-01-12,35.0,55.0,55.0,35.0,35.0,55.0,35.0,55.0
2018-01-16,33.3333,100.0,100.0,33.3333,33.3333,100.0,33.3333,100.0
2018-01-17,31.6667,98.3333,98.3333,31.6667,31.6667,98.3333,31.6667,98.3333
2018-01-18,30.0,96.6667,96.6667,30.0,30.0,96.6667,30.0,96.6667
2018-01-19,28.3333,95.0,95.0,28.3333,28.3333,95.0,28.3333,95.0
2018-01-22,26.6667,100.0,100.0,26.6667,26.6667,100.0,26.6667,100.0
2018-01-23,25.0,98.3333,98.3333,25.0,25.0,98.3333,25.0,98.3333
2018-01-24,23.3333,100.0,100.0,23.3333,23.3333,100.0,23.3333,100.0
2018-01-25,21.6667,100.0,100.0,21.6667,21.6667,100.0,21.6667,100.0
2018-01-26,20.0,98.3333,98.3333,20.0,20.0,98.3333,20.0,98.3333
2018-01-29,18.3333,100.0,100.0,18.3333,18.3333,100.0,18.3333,100.0
2018-01-30,16.6667,98.3333,98.3333,16.6667,16.6667,98.3333,16.6667,98.3333
2018-01-31,15.0,96.6667,96.6667,15.0,15.0,96.6667,15.0,96.6667
2018-02-01,13.3333,95.0,95.0,13.3333,13.3333,95.0,13.3333,95.0
2018-02-02,11.6667,93.3333,93.3333,11.6667,11.6667,93.3333,11.6667,93.3333
2018-02-05,10.0,91.6667,91.6667,10.0,10.0,91.6667,10.0,91.6667
2018-02-06,8.3333,90.0,90.0,8.3333,8.3333,90.0,8.3333,90.0
2018-02-07,6.6667,88.3333,88.3333,6.6667,6.6667,88.3333,6.6667,88.3333
2018-02-08,5.0,86.6667,86.6667,5.0,5.0,86.6667,5.0,86.6667
2018-02-09,3.3333,85.0,85.0,3.3333,3.3333,85.0,3.3333,85.0
2018-02-12,1.6667,83.3333,83.3333,1.6667,1.6667,83.3333,1.6667,83.3333
2018-02-13,0.0,81.6667,81.6667,0.0,0.0,81.6667,0.0,81.6667
2018-02-14,1.6667,80.0,80.0,1.6667,1.6667,80.0,1.6667,80.0
2018-02-15,0.0,78.3333,78.3333,0.0,0.0,78.3333,0.0,78.3333
2018-02-16,91.6667,76.6667,76.6667,91.6667,91.6667,76.6667,91.6667,76.6667
2018-02-20,90.0,75.0,75.0,90.0,90.0,75.0,90.0,75.0
2018-02-21,88.3333,73.3333,73.3333,88.3333,88.3333,73.3333,88.3333,73.3333
2018-02-22,86.6667,71.6667,71.6667,86.6667,86.6667,71.6667,86.6667,71.6667
2018-02-23,85.0,70.0,70.0,85.0,85.0,70.0,85.0,70.0
2018-02-26,83.3333,68.3333,68.3333,83.3333,83.3333,68.3333,83.3333,68.3333
2018-02-27,81.6667,66.6667,66.6667,81.6667,81.6667,66.6667,81.6667,66.6667
2018-02-28,80.0,65.0,65.0,80.0,80.0,65.0,80.0,65.0
2018-03-01,78.3333,63.3333,63.3333,78.3333,78.3333,63.3333,78.3333,63.3333
2018-03-02,76.6667,61.6667,61.6667,76.6667,76.6667,61.6667,76.6667,61.6667
2018-03-05,75.0,60.0,60.0,75.0,75.0,60.0,75.0,60.0
2018-03-06,73.3333,58.3333,58.3333,73.3333,73.3333,58.3333,73.3333,58.3333
2018-03-07,71.6667,56.6667,56.6667,71.6667,71.6667,56.6667,71.6667,56.6667
2018-03-08,70.0,55.0,55.0,70.0,70.0,55.0,70.0,55.0
2018-03-09,68.3333,53.3333,53.3333,68.3333,68.3333,53.3333,68.3333,53.3333
2018-03-12,66.6667,51.6667,51.6667,66.6667,66.6667,51.6667,66.6667,51.6667
2018-03-13,65.0,50.0,50.0,65.0,65.0,50.0,65.0,50.0
2018-03-14,63.3333,48.3333,48.3333,63.3333,63.3333,48.3333,63.3333,48.3333
2018-03-15,61.6667,46.6667,46.6667,61.6667,61.6667,46.6667,61.6667,46.6667
2018-03-16,60.0,45.0,45.0,60.0,60.0,45.0,60.0,45.0
2018-03-19,58.3333,43.3333,43.3333,58.3333,58.3333,43.3333,58.3333,43.3333
2018-03-20,56.6667,41.6667,41.6667,56.6667,56.6667,41.6667,56.6667,41.6667
2018-03-21,55.0,40.0,40.0,55.0,55.0,40.0,55.0,40.0
2018-03-22,100.0,38.3333,38.3333,100.0,100.0,38.3333,100.0,38.3333
2018-03-23,100.0,36.6667,36.6667,100.0,100.0,36.6667,100.0,36.6667
